!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 13:33:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.23111534,-143.88324,-19.259115,153.09274
1001000000,-0.24080716,-144.18307,-19.143978,152.46109
1002000000,-0.21319287,-144.08385,-19.102024,152.65701
1003000000,-0.26220649,-144.12968,-19.078842,152.64128
1004000000,-0.24251609,-144.50574,-19.074236,151.56883
1005000000,-0.24181238,-144.56949,-19.004402,151.50964
1006000000,-0.21263739,-144.61261,-18.920401,151.0448
1007000000,-0.25428247,-144.88805,-18.956724,150.33858
1008000000,-0.23046914,-145.12321,-18.84894,150.54561
1009000000,-0.25753975,-144.97072,-18.841997,150.25092
1010000000,-0.21274184,-145.32439,-18.779249,149.79242
1011000000,-0.2345746,-145.34172,-18.754763,149.98099
1012000000,-0.24070753,-145.49033,-18.726484,149.37334
1013000000,-0.22687875,-145.6769,-18.686342,148.83801
1014000000,-0.26901549,-145.68886,-18.633795,148.6221
1015000000,-0.20902286,-145.87863,-18.540569,148.27098
1016000000,-0.23260781,-146.1151,-18.537199,147.54048
1017000000,-0.24118738,-146.02757,-18.59473,147.95702
1018000000,-0.23080549,-146.26385,-18.466017,147.41739
1019000000,-0.25287321,-146.44565,-18.442284,146.79294
1020000000,-0.2649639,-146.72487,-18.428925,146.70341
1021000000,-0.26841187,-146.65877,-18.405651,146.56105
1022000000,-0.22627382,-147.01691,-18.291136,145.99571
1023000000,-0.25003356,-147.38274,-18.306343,145.4014
1024000000,-0.26705557,-147.09605,-18.236195,145.13786
1025000000,-0.25298306,-147.49158,-18.248493,144.53159
1026000000,-0.24885875,-147.62215,-18.132252,144.36951
1027000000,-0.24102204,-147.62053,-18.059141,144.43997
1028000000,-0.25503144,-147.75879,-18.047934,144.08627
1029000000,-0.23012601,-147.90945,-17.971073,143.53432
1030000000,-0.26674202,-148.18152,-17.985605,143.14781
1031000000,-0.24240503,-148.22551,-17.929459,142.8755
1032000000,-0.2570357,-148.46945,-17.950502,142.00493
1033000000,-0.26934487,-148.4843,-17.929585,141.90656
1034000000,-0.24496768,-148.74713,-17.853716,141.49635
1035000000,-0.26668656,-148.90143,-17.783827,141.39748
1036000000,-0.24677125,-148.95934,-17.749313,141.3203
1037000000,-0.30622157,-148.99181,-17.755127,140.62761
1038000000,-0.28071263,-149.19841,-17.738817,140.11848
1039000000,-0.27907377,-149.51195,-17.725208,139.82477
1040000000,-0.2567181,-149.71146,-17.664803,139.39412
1041000000,-0.27489379,-149.62148,-17.600628,139.99615
1042000000,-0.30546698,-149.89368,-17.633627,139.43645
1043000000,-0.27140626,-149.95955,-17.556868,138.71347
1044000000,-0.25529283,-150.20636,-17.471176,138.26204
1045000000,-0.2607668,-150.39766,-17.453041,138.04886
1046000000,-0.27834219,-150.43216,-17.470663,137.98135
1047000000,-0.25031275,-150.59293,-17.380987,137.57414
