Freq(Hz),S11 Log Mag(dB),S11 Phase(�),S22 Log Mag(dB),S22 Phase(�),S21 Log Mag(dB),S21 Phase(�),S31 Log Mag(dB),S31 Phase(�),S32 Log Mag(dB),S32 Phase(�),S33 Log Mag(dB),S33 Phase(�)
1000000000,-14.300021,119.21049,-15.753864,5.84373,-3.3031089,-92.324867,-3.2979038,-92.159378,-9.8119335,-143.53526,-16.151348,6.5443339
1001000000,-14.306345,119.28559,-15.802276,5.8646741,-3.3200655,-92.618996,-3.3364503,-92.301765,-9.7938576,-143.56146,-16.189804,6.7962127
1002000000,-14.278394,119.51999,-15.815721,5.9320879,-3.3256302,-92.510437,-3.3376417,-92.38604,-9.8269262,-143.58739,-16.216301,6.9259701
1003000000,-14.290505,119.35461,-15.816309,5.7202654,-3.3444421,-92.584183,-3.3050027,-92.329857,-9.8179932,-143.84628,-16.210897,6.6801028
1004000000,-14.275203,119.5321,-15.814073,5.4927268,-3.296206,-92.748024,-3.2938461,-92.610458,-9.8065386,-143.98386,-16.221418,6.5573516
1005000000,-14.321868,119.28111,-15.822076,5.6054158,-3.3582709,-92.837288,-3.3691051,-92.521233,-9.8606787,-143.89107,-16.201962,6.3972955
1006000000,-14.305704,119.12949,-15.845732,5.2929602,-3.3314629,-93.065903,-3.3233097,-92.885284,-9.8234587,-144.18852,-16.228117,6.2914052
1007000000,-14.304113,119.29576,-15.839893,5.6694841,-3.315927,-93.042694,-3.3122168,-92.820198,-9.8515625,-144.44316,-16.244194,6.4045663
1008000000,-14.306793,119.21896,-15.810659,5.3900261,-3.2936885,-93.054947,-3.2945812,-92.989426,-9.8375244,-144.38304,-16.212637,6.1853938
1009000000,-14.316817,119.24446,-15.852491,5.4753308,-3.3323593,-93.232765,-3.3131976,-93.053368,-9.8578682,-144.39946,-16.267431,6.2467489
1010000000,-14.279301,119.15956,-15.867419,5.191484,-3.3162453,-93.445053,-3.3153565,-93.223839,-9.8540297,-144.80898,-16.275961,6.1454949
1011000000,-14.339478,118.46354,-15.852005,5.4639239,-3.3437617,-93.460754,-3.3295681,-93.310478,-9.9058867,-144.82968,-16.254179,6.3962464
1012000000,-14.363085,118.83692,-15.867474,5.2347631,-3.330678,-93.30349,-3.3207934,-93.130272,-9.8897419,-144.7197,-16.256683,6.1704764
1013000000,-14.353533,118.59124,-15.815397,4.9872823,-3.2955241,-93.606689,-3.3180425,-93.489563,-9.8953867,-145.01414,-16.246349,5.7918043
1014000000,-14.317296,118.7683,-15.870024,5.0439167,-3.3116651,-93.505173,-3.295975,-93.490288,-9.8911743,-145.1317,-16.305363,5.8848176
1015000000,-14.381784,118.97276,-15.875871,4.6257186,-3.3024576,-93.821136,-3.3191934,-93.65554,-9.8958616,-145.2863,-16.29195,5.4409213
1016000000,-14.351166,119.06185,-15.965344,4.8990436,-3.2963843,-93.793373,-3.3061004,-93.5746,-9.9009285,-145.34911,-16.369438,5.8820267
1017000000,-14.354682,118.95971,-15.940546,4.9208641,-3.3164914,-93.940063,-3.3129814,-93.856781,-9.9060736,-145.54059,-16.32445,5.7443471
1018000000,-14.400917,118.62856,-15.890702,4.6716561,-3.3506289,-94.182045,-3.3236341,-93.99688,-9.9347582,-145.78693,-16.323408,5.3865767
1019000000,-14.396955,118.39742,-15.912082,4.5827789,-3.3096333,-94.024826,-3.3215766,-93.803505,-9.9563808,-145.72414,-16.342201,5.4906645
1020000000,-14.393271,118.63709,-15.954394,4.7538657,-3.3170166,-94.262505,-3.327585,-93.982758,-9.9301672,-145.71889,-16.381435,5.573947
1021000000,-14.409789,118.51868,-15.975022,4.4246516,-3.2971575,-94.421539,-3.2917414,-94.197746,-9.9469652,-145.96173,-16.363312,5.3496838
1022000000,-14.337261,118.67869,-15.933745,4.7033086,-3.3414946,-94.343704,-3.3010268,-94.11824,-9.9440985,-145.7417,-16.328512,5.3736663
1023000000,-14.4259,118.32308,-15.924234,4.4408798,-3.3591683,-94.56752,-3.3074334,-94.399864,-9.9475918,-146.36978,-16.360205,5.2929463
1024000000,-14.398869,118.60519,-15.944427,4.5266047,-3.3641713,-94.647392,-3.3517363,-94.488953,-10.01818,-146.29291,-16.367695,5.2267346
1025000000,-14.446362,118.60267,-16.010855,4.0043664,-3.3502083,-94.647575,-3.346379,-94.593346,-9.97472,-146.47495,-16.411549,4.8827076
1026000000,-14.397699,117.92841,-15.934181,4.7474885,-3.3342662,-94.687538,-3.3239584,-94.52179,-10.014117,-146.57434,-16.360907,5.5083647
1027000000,-14.431259,118.20049,-15.979423,4.3783102,-3.3055775,-94.917709,-3.3070297,-94.553856,-9.9658689,-146.52391,-16.373524,5.1655383
1028000000,-14.439301,117.96685,-15.958591,4.0171151,-3.3440511,-94.972069,-3.3319736,-94.670509,-10.003701,-146.71808,-16.38236,4.8583651
1029000000,-14.466365,118.27441,-15.954919,3.8289545,-3.3366563,-94.867966,-3.3213809,-94.780907,-9.9992599,-146.87666,-16.379059,4.8005834
1030000000,-14.462805,117.94181,-15.974211,3.963026,-3.3286898,-95.210449,-3.3185675,-95.124573,-9.995121,-146.99867,-16.397013,4.7997627
1031000000,-14.438236,118.06896,-15.976389,3.945735,-3.3206503,-95.34095,-3.3199451,-94.976486,-10.001168,-147.03735,-16.383158,4.9156427
1032000000,-14.46242,117.9753,-15.990837,3.8633983,-3.3316619,-95.456284,-3.3336103,-95.302223,-10.043402,-147.24063,-16.427473,4.6230683
1033000000,-14.44999,118.17898,-16.027342,3.8799591,-3.3415239,-95.436783,-3.3427796,-95.22316,-10.039644,-147.20256,-16.461773,4.6645246
1034000000,-14.48852,118.03874,-16.028801,3.7045145,-3.3401482,-95.410004,-3.3348041,-95.3563,-10.05613,-147.38504,-16.429487,4.5317059
1035000000,-14.448808,117.95135,-16.030109,3.7822771,-3.3226011,-95.521469,-3.3155077,-95.50264,-10.025111,-147.36069,-16.457756,4.4769011
1036000000,-14.45181,118.27934,-16.029902,3.6607249,-3.316937,-95.742996,-3.3106937,-95.557137,-10.035487,-147.62738,-16.472439,4.4046836
1037000000,-14.439985,117.96141,-15.99801,3.7071996,-3.3211832,-95.892395,-3.3185391,-95.77047,-10.040012,-147.99716,-16.457439,4.5932679
1038000000,-14.503059,118.05359,-16.013002,3.6850066,-3.3153489,-95.728302,-3.3034153,-95.728394,-10.034117,-147.93617,-16.442909,4.4675899
1039000000,-14.535621,117.72606,-16.036364,3.4052873,-3.3463182,-96.008804,-3.3107145,-95.812218,-10.050023,-148.22974,-16.442665,4.0537844
1040000000,-14.484746,117.70921,-16.063087,3.4963977,-3.3112123,-96.116722,-3.3095233,-95.783142,-10.054244,-148.10004,-16.481909,4.3209162
1041000000,-14.573742,118.04272,-16.102634,3.2361975,-3.336257,-96.223335,-3.3386974,-95.971642,-10.090462,-148.38872,-16.542387,4.0452995
1042000000,-14.522586,117.64339,-16.049259,3.1806273,-3.3346972,-96.32148,-3.3336654,-95.938438,-10.109119,-148.49551,-16.478825,3.9680765
1043000000,-14.534884,117.75079,-16.076811,3.2110236,-3.3056855,-96.192612,-3.2875662,-96.123047,-10.027571,-148.50842,-16.499872,4.2046056
1044000000,-14.520307,117.53361,-16.049122,3.4749455,-3.3006067,-96.338654,-3.2824988,-96.140785,-10.077552,-148.48169,-16.492992,4.2985592
1045000000,-14.544664,117.43725,-16.08951,3.2458055,-3.3326757,-96.647469,-3.3248873,-96.495705,-10.111601,-148.87733,-16.532965,4.2894254
1046000000,-14.507842,117.69833,-16.078554,3.2117698,-3.3098171,-96.823257,-3.3067095,-96.688301,-10.100956,-149.09877,-16.529696,4.0748906
1047000000,-14.520999,117.71529,-16.108652,3.0482192,-3.324882,-96.613792,-3.2949996,-96.313644,-10.071602,-148.93602,-16.532902,3.8544264
1048000000,-14.570007,117.66681,-16.134544,3.0689864,-3.3325219,-96.749992,-3.3427694,-96.560295,-10.125792,-148.88977,-16.544285,3.8395751
1049000000,-14.522012,117.52718,-16.112089,3.0468674,-3.2999284,-96.831131,-3.3040862,-96.63678,-10.125011,-149.32576,-16.546984,3.7434709
1050000000,-14.612346,117.69962,-16.116686,2.5909381,-3.312216,-96.936119,-3.3038917,-96.837616,-10.110864,-149.43123,-16.563246,3.535687
1051000000,-14.596937,117.27011,-16.12492,2.9066746,-3.3498542,-97.158203,-3.3188097,-96.908943,-10.148888,-149.50186,-16.56068,3.8043487
1052000000,-14.57027,117.12977,-16.098791,2.9215531,-3.3397498,-97.1231,-3.3186104,-96.93502,-10.148307,-149.57971,-16.5285,3.7293222
1053000000,-14.52684,117.00912,-16.154823,2.7805941,-3.3156869,-97.244598,-3.3085754,-97.013763,-10.145614,-149.91235,-16.580372,3.5870306
1054000000,-14.550153,116.90977,-16.184158,2.9114852,-3.3176925,-97.325966,-3.3173072,-97.304535,-10.161273,-149.91995,-16.612017,3.6179953
1055000000,-14.591261,117.16236,-16.166424,2.7489347,-3.3199441,-97.399048,-3.3197606,-97.173752,-10.173662,-149.80867,-16.609573,3.5313542
1056000000,-14.580582,117.23563,-16.161173,2.7023513,-3.3184454,-97.360542,-3.3097239,-97.310471,-10.164267,-149.77927,-16.626717,3.5230894
1057000000,-14.579645,117.01902,-16.161318,2.4246302,-3.2987981,-97.719063,-3.3133132,-97.666771,-10.157983,-150.28192,-16.618837,3.2819753
1058000000,-14.610353,117.21377,-16.196878,2.4889143,-3.3537502,-97.712112,-3.3493497,-97.401924,-10.223232,-150.25621,-16.641783,3.455894
