Freq [GHz],"dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-4.1512541609,-10.3966684035,-4.2702656466,-10.4196487781
1.001,-4.1477411062,-10.4108289078,-4.2668536528,-10.4334282896
1.002,-4.1442274893,-10.4250379618,-4.2634406369,-10.4472526936
1.003,-4.1407133333,-10.439295787,-4.2600266218,-10.461122185
1.004,-4.1371986615,-10.453602606,-4.2566116309,-10.4750369597
1.005,-4.1336834973,-10.4679586429,-4.2531956875,-10.4889972146
1.006,-4.1301678643,-10.4823641226,-4.2497788155,-10.5030031475
1.007,-4.1266517863,-10.4968192718,-4.2463610385,-10.5170549574
1.008,-4.1231352872,-10.5113243182,-4.2429423808,-10.5311528442
1.009,-4.1196183912,-10.5258794908,-4.2395228665,-10.545297009
1.01,-4.1161011227,-10.5404850199,-4.2361025202,-10.5594876537
1.011,-4.1125835064,-10.5551411372,-4.2326813666,-10.5737249814
1.012,-4.1090655668,-10.5698480757,-4.2292594305,-10.5880091962
1.013,-4.1055473291,-10.5846060696,-4.2258367371,-10.6023405034
1.014,-4.1020288183,-10.5994153547,-4.2224133118,-10.6167191092
1.015,-4.0985100599,-10.6142761677,-4.21898918,-10.6311452208
1.016,-4.0949910795,-10.6291887471,-4.2155643675,-10.6456190466
1.017,-4.0914719027,-10.6441533326,-4.2121389004,-10.660140796
1.018,-4.0879525556,-10.6591701651,-4.2087128049,-10.6747106796
1.019,-4.0844330645,-10.6742394871,-4.2052861073,-10.689328909
1.02,-4.0809134557,-10.6893615424,-4.2018588344,-10.7039956969
1.021,-4.0773937559,-10.704536576,-4.198431013,-10.7187112569
1.022,-4.0738739919,-10.7197648348,-4.1950026702,-10.7334758041
1.023,-4.0703541907,-10.7350465665,-4.1915738335,-10.7482895544
1.024,-4.0668343798,-10.7503820207,-4.1881445303,-10.7631527249
1.025,-4.0633145866,-10.765771448,-4.1847147886,-10.7780655338
1.026,-4.0597948388,-10.7812151009,-4.1812846362,-10.7930282003
1.027,-4.0562751645,-10.796713233,-4.1778541017,-10.8080409451
1.028,-4.0527555917,-10.8122660994,-4.1744232134,-10.8231039895
1.029,-4.049236149,-10.8278739568,-4.1709920001,-10.8382175564
1.03,-4.045716865,-10.8435370632,-4.1675604909,-10.8533818695
1.031,-4.0421977686,-10.8592556782,-4.164128715,-10.8685971538
1.032,-4.0386788889,-10.8750300627,-4.160696702,-10.8838636355
1.033,-4.0351602553,-10.8908604794,-4.1572644816,-10.8991815419
1.034,-4.0316418975,-10.9067471922,-4.1538320838,-10.9145511013
1.035,-4.0281238452,-10.9226904667,-4.1503995388,-10.9299725433
1.036,-4.0246061286,-10.9386905699,-4.1469668773,-10.9454460987
1.037,-4.021088778,-10.9547477704,-4.14353413,-10.9609719995
1.038,-4.017571824,-10.9708623383,-4.1401013279,-10.9765504786
1.039,-4.0140552975,-10.9870345453,-4.1366685023,-10.9921817704
1.04,-4.0105392296,-11.0032646645,-4.1332356848,-11.0078661104
1.041,-4.0070236517,-11.0195529708,-4.1298029073,-11.0236037351
1.042,-4.0035085953,-11.0358997404,-4.1263702018,-11.0393948824
1.043,-3.9999940924,-11.0523052514,-4.1229376007,-11.0552397914
1.044,-3.996480175,-11.0687697831,-4.1195051366,-11.0711387021
1.045,-3.9929668757,-11.0852936167,-4.1160728425,-11.0870918562
1.046,-3.989454227,-11.101877035,-4.1126407515,-11.1030994961
1.047,-3.985942262,-11.1185203221,-4.1092088971,-11.1191618658
1.048,-3.9824310137,-11.1352237642,-4.1057773131,-11.1352792102
1.049,-3.9789205158,-11.1519876486,-4.1023460335,-11.1514517758
1.05,-3.975410802,-11.1688122648,-4.0989150927,-11.1676798099
1.051,-3.9719019063,-11.1856979034,-4.0954845251,-11.1839635612
1.052,-3.9683938631,-11.2026448571,-4.0920543657,-11.2003032798
1.053,-3.964886707,-11.2196534201,-4.0886246497,-11.2166992169
1.054,-3.9613804728,-11.2367238881,-4.0851954126,-11.2331516248
1.055,-3.9578751957,-11.2538565587,-4.0817666901,-11.2496607571
1.056,-3.9543709112,-11.2710517312,-4.0783385183,-11.2662268689
1.057,-3.9508676551,-11.2883097066,-4.0749109335,-11.2828502163
1.058,-3.9473654635,-11.3056307873,-4.0714839725,-11.2995310566
1.059,-3.9438643726,-11.3230152779,-4.0680576722,-11.3162696486
1.06,-3.9403644191,-11.3404634845,-4.0646320698,-11.3330662521
1.061,-3.9368656401,-11.3579757147,-4.061207203,-11.3499211282
1.062,-3.9333680726,-11.3755522783,-4.0577831096,-11.3668345395
1.063,-3.9298717544,-11.3931934864,-4.0543598279,-11.3838067497
1.064,-3.9263767233,-11.4108996523,-4.0509373963,-11.4008380236
1.065,-3.9228830174,-11.4286710908,-4.0475158538,-11.4179286275
1.066,-3.9193906753,-11.4465081184,-4.0440952394,-11.4350788289
1.067,-3.9158997358,-11.4644110536,-4.0406755927,-11.4522888966
1.068,-3.9124102379,-11.4823802166,-4.0372569535,-11.4695591006
1.069,-3.9089222213,-11.5004159294,-4.0338393618,-11.4868897123
1.07,-3.9054357255,-11.5185185159,-4.0304228581,-11.5042810042
1.071,-3.9019507909,-11.5366883016,-4.0270074833,-11.5217332503
1.072,-3.8984674576,-11.5549256139,-4.0235932784,-11.5392467256
1.073,-3.8949857667,-11.5732307823,-4.020180285,-11.5568217067
1.074,-3.891505759,-11.5916041378,-4.0167685447,-11.5744584712
1.075,-3.8880274762,-11.6100460134,-4.0133580997,-11.5921572983
1.076,-3.8845509599,-11.628556744,-4.0099489926,-11.609918468
1.077,-3.8810762522,-11.6471366661,-4.0065412661,-11.6277422621
1.078,-3.8776033956,-11.6657861185,-4.0031349633,-11.6456289635
1.079,-3.874132433,-11.6845054415,-3.9997301279,-11.6635788562
1.08,-3.8706634074,-11.7032949775,-3.9963268037,-11.6815922257
1.081,-3.8671963623,-11.7221550706,-3.9929250349,-11.6996693587
1.082,-3.8637313417,-11.7410860671,-3.9895248661,-11.7178105433
1.083,-3.8602683898,-11.7600883149,-3.9861263422,-11.7360160687
1.084,-3.856807551,-11.779162164,-3.9827295085,-11.7542862255
1.085,-3.8533488704,-11.7983079662,-3.9793344107,-11.7726213056
1.086,-3.8498923933,-11.8175260753,-3.9759410949,-11.7910216021
1.087,-3.8464381652,-11.836816847,-3.9725496074,-11.8094874094
1.088,-3.8429862323,-11.856180639,-3.969159995,-11.8280190232
