Freq(Hz),S21 Log Mag(dB),S21 Phase(�)
1000000000,-5.976728,-60.178688
1001000000,-6.0015302,-60.088726
1002000000,-6.0097637,-60.087387
1003000000,-6.0224285,-60.168251
1004000000,-5.9945445,-60.313705
1005000000,-6.0441689,-60.38105
1006000000,-6.0262895,-60.396885
1007000000,-6.0293417,-60.548351
1008000000,-6.0265918,-60.798683
1009000000,-6.0331078,-60.5145
1010000000,-6.0241189,-60.922493
1011000000,-6.0365362,-60.905209
1012000000,-6.0515528,-60.82119
1013000000,-6.0179963,-61.014458
1014000000,-6.0421782,-60.981884
1015000000,-6.0283875,-61.202553
1016000000,-6.0435076,-61.142487
1017000000,-6.0638027,-61.44561
1018000000,-6.0737901,-61.474648
1019000000,-6.0814734,-61.321964
1020000000,-6.0779905,-61.507854
1021000000,-6.0419455,-61.704346
1022000000,-6.0373354,-61.68259
1023000000,-6.0627861,-61.832249
1024000000,-6.0972285,-61.700787
1025000000,-6.1108198,-61.951126
1026000000,-6.1172624,-61.959995
1027000000,-6.0865359,-61.908352
1028000000,-6.1055212,-62.188107
1029000000,-6.0944576,-62.112492
1030000000,-6.1189623,-62.290245
1031000000,-6.1091213,-62.353329
1032000000,-6.1229663,-62.529446
1033000000,-6.1336098,-62.295166
1034000000,-6.1355114,-62.620815
1035000000,-6.1077161,-62.69701
1036000000,-6.1274443,-62.84964
1037000000,-6.1361713,-63.06781
1038000000,-6.1188827,-62.966026
1039000000,-6.1460476,-62.959538
1040000000,-6.1268749,-62.98185
1041000000,-6.1505313,-63.217697
1042000000,-6.1699486,-63.157108
1043000000,-6.1443901,-63.148754
1044000000,-6.1220884,-63.218819
1045000000,-6.1726565,-63.351017
1046000000,-6.1443362,-63.645
1047000000,-6.1758924,-63.423115
1048000000,-6.1886168,-63.643299
1049000000,-6.1479454,-63.410645
1050000000,-6.1612782,-63.793495
1051000000,-6.1968722,-64.036758
1052000000,-6.1954079,-64.027618
1053000000,-6.1984591,-63.917511
1054000000,-6.2094622,-64.382851
1055000000,-6.2000217,-64.159058
1056000000,-6.2010503,-64.128632
1057000000,-6.1828685,-64.349449
1058000000,-6.2338181,-64.443405
1059000000,-6.2203403,-64.561699
1060000000,-6.2098541,-64.554184
1061000000,-6.2733245,-64.609268
1062000000,-6.2359018,-64.770981
1063000000,-6.2273517,-64.799911
1064000000,-6.2373247,-64.861168
1065000000,-6.2252493,-65.057205
1066000000,-6.2226281,-65.162132
1067000000,-6.2406387,-65.183952
1068000000,-6.2258172,-65.312958
1069000000,-6.2636991,-65.296387
1070000000,-6.2601609,-65.353683
1071000000,-6.2670822,-65.367554
1072000000,-6.287199,-65.511864
1073000000,-6.3045731,-65.737617
1074000000,-6.2508144,-65.589218
1075000000,-6.3083515,-65.991379
1076000000,-6.3060298,-65.810478
1077000000,-6.3185797,-65.882866
1078000000,-6.2849078,-65.755241
1079000000,-6.3121428,-65.99588
1080000000,-6.3193741,-66.078835
1081000000,-6.3229523,-66.170006
1082000000,-6.3267164,-66.398277
1083000000,-6.3388448,-66.315399
1084000000,-6.3018761,-66.363281
1085000000,-6.3421922,-66.36528
1086000000,-6.347939,-66.779129
1087000000,-6.3415146,-66.633247
1088000000,-6.3606124,-66.832504
1089000000,-6.3397155,-66.941612
1090000000,-6.3270769,-66.881004
1091000000,-6.3325529,-66.993164
1092000000,-6.3668346,-67.027626
1093000000,-6.3710227,-67.140648
1094000000,-6.3983779,-67.256012
1095000000,-6.3704867,-67.333679
1096000000,-6.4024353,-67.321846
1097000000,-6.3836102,-67.464073
1098000000,-6.4062142,-67.499138
1099000000,-6.4252257,-67.690773
1100000000,-6.4370804,-67.558899
1101000000,-6.4523478,-67.802658
1102000000,-6.4205093,-67.871178
1103000000,-6.4237623,-67.84671
1104000000,-6.4382544,-68.097183
1105000000,-6.4669919,-68.160454
1106000000,-6.4430518,-68.223274
1107000000,-6.448266,-68.202728
1108000000,-6.4459314,-68.446854
1109000000,-6.437366,-68.344139
1110000000,-6.4626675,-68.508545
1111000000,-6.4595461,-68.524231
1112000000,-6.4701581,-68.81282
1113000000,-6.4848299,-68.644386
1114000000,-6.4924531,-68.916435
1115000000,-6.4964752,-68.843033
1116000000,-6.5002284,-68.971428
1117000000,-6.4959064,-68.996269
1118000000,-6.4989901,-68.918358
1119000000,-6.5017009,-69.188194
1120000000,-6.5303845,-69.247627
1121000000,-6.530509,-69.418404
1122000000,-6.5530705,-69.440842
1123000000,-6.5376897,-69.350616
1124000000,-6.5213332,-69.633141
1125000000,-6.5514627,-69.677574
1126000000,-6.5765471,-69.748161
1127000000,-6.576335,-69.75853
1128000000,-6.5603971,-69.966049
1129000000,-6.5974927,-70.053207
1130000000,-6.5914221,-69.969803
1131000000,-6.5649824,-70.129402
1132000000,-6.5757151,-70.174294
1133000000,-6.5851355,-70.371437
1134000000,-6.5980883,-70.356544
1135000000,-6.6362734,-70.371811
1136000000,-6.6207209,-70.546425
1137000000,-6.662107,-70.432961
1138000000,-6.6023097,-70.599297
1139000000,-6.6547079,-70.832001
1140000000,-6.6490493,-70.92347
1141000000,-6.682539,-70.99115
1142000000,-6.6697254,-71.071526
1143000000,-6.6402445,-70.864655
1144000000,-6.6784472,-71.199699
1145000000,-6.6948895,-71.333237
1146000000,-6.6777267,-71.116158
1147000000,-6.662024,-71.409096
1148000000,-6.7006936,-71.459305
1149000000,-6.7029929,-71.435623
1150000000,-6.7083964,-71.554329
1151000000,-6.717875,-71.647377
1152000000,-6.7060146,-71.72818
1153000000,-6.722507,-71.752083
1154000000,-6.7553201,-71.740013
1155000000,-6.7623043,-72.093155
1156000000,-6.7530808,-72.071281
1157000000,-6.7580857,-72.012047
1158000000,-6.754426,-72.138939
1159000000,-6.7746205,-72.388664
1160000000,-6.7570724,-72.299423
1161000000,-6.7765083,-72.30986
1162000000,-6.7960787,-72.510818
1163000000,-6.8231416,-72.607437
1164000000,-6.8167024,-72.688164
1165000000,-6.8228726,-72.608528
1166000000,-6.8181024,-72.836754
1167000000,-6.8335061,-72.920158
1168000000,-6.8478217,-73.04068
1169000000,-6.8372183,-72.913483
1170000000,-6.8534789,-73.074661
1171000000,-6.8380218,-73.236031
1172000000,-6.8535905,-73.024872
1173000000,-6.9022923,-73.093964
1174000000,-6.9077225,-73.267738
1175000000,-6.8709478,-73.378448
1176000000,-6.8358407,-73.366158
1177000000,-6.9241467,-73.688492
1178000000,-6.9252729,-73.796074
1179000000,-6.905642,-73.804382
1180000000,-6.9044065,-73.74855
1181000000,-6.9253502,-73.922195
1182000000,-6.9279051,-74.173935
1183000000,-6.9530444,-74.102646
1184000000,-6.9799657,-74.075623
1185000000,-6.9763937,-74.357368
1186000000,-6.9915996,-74.165764
1187000000,-6.990366,-74.481621
1188000000,-6.9993815,-74.485657
1189000000,-7.0274453,-74.557701
1190000000,-6.9949374,-74.710594
1191000000,-6.9950643,-74.683075
1192000000,-7.0114517,-74.75499
1193000000,-7.0485334,-74.838333
1194000000,-7.0206723,-74.839203
1195000000,-7.0567679,-75.095352
1196000000,-7.0676417,-74.991554
1197000000,-7.0702362,-75.266914
1198000000,-7.0842633,-75.357262
1199000000,-7.0664654,-75.299263
1200000000,-7.0755548,-75.529846
1201000000,-7.1090117,-75.434799
1202000000,-7.1182489,-75.627007
1203000000,-7.1330032,-75.439926
1204000000,-7.1383066,-75.59864
1205000000,-7.138834,-75.812828
1206000000,-7.1629415,-75.739136
1207000000,-7.1552176,-75.747246
1208000000,-7.1745057,-75.967621
1209000000,-7.1804194,-75.827438
1210000000,-7.1957669,-76.176758
1211000000,-7.2045603,-76.072411
1212000000,-7.2044106,-76.200958
1213000000,-7.2138119,-76.22464
1214000000,-7.2356448,-76.387115
1215000000,-7.2249308,-76.386887
1216000000,-7.2229991,-76.289795
1217000000,-7.239912,-76.552742
1218000000,-7.2661214,-76.71347
1219000000,-7.2703562,-76.779846
1220000000,-7.2584639,-76.757172
1221000000,-7.2695303,-76.818787
1222000000,-7.3027682,-76.789177
1223000000,-7.3088603,-77.26564
1224000000,-7.3015237,-77.050545
