Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,2.0428004,68.678513,70.682007
1001000000,1.9612322,69.108887,74.224411
1002000000,2.2599115,69.460907,64.853691
1003000000,1.9925028,69.592293,73.733459
1004000000,2.1631067,70.062424,68.529572
1005000000,2.152107,70.382652,69.297638
1006000000,2.262253,70.445625,66.004913
1007000000,2.2912829,70.677666,65.45536
1008000000,2.4495246,71.004242,61.608788
1009000000,2.4174061,71.34967,62.833405
1010000000,2.4117279,71.5289,63.193623
1011000000,2.4534438,71.64257,62.252983
1012000000,2.4089081,71.863228,63.665646
1013000000,2.0216775,72.766029,77.140648
1014000000,2.3536465,72.726471,66.219864
1015000000,2.364435,72.853767,66.074753
1016000000,2.3798876,73.493507,66.433121
1017000000,2.52107,73.818771,63.096798
1018000000,2.6392729,73.898659,60.363506
1019000000,2.4631989,74.469444,65.361198
1020000000,2.6126833,74.857094,62.068771
1021000000,2.6541519,75.111259,61.387489
1022000000,2.7915792,75.22628,58.49305
1023000000,2.695924,75.557587,60.936451
1024000000,2.5133104,75.914467,65.78907
1025000000,2.9205556,76.073532,56.791546
1026000000,3.1285844,76.667419,53.600979
1027000000,2.9090431,77.134727,58.13406
1028000000,3.2449107,77.483093,52.457943
1029000000,2.714113,77.699699,62.94838
1030000000,2.7363441,78.07679,62.867046
1031000000,2.7121215,78.546181,63.970127
1032000000,3.1593175,78.878731,55.258606
1033000000,3.2842767,79.25087,53.518127
1034000000,3.0307024,79.693314,58.452595
1035000000,3.144733,80.117455,56.76749
1036000000,3.2864864,80.278595,54.480316
1037000000,3.3386641,80.367966,53.716404
1038000000,3.1552773,81.369629,57.860153
1039000000,2.9464061,81.110977,61.670246
1040000000,3.3561037,81.839058,54.860233
1041000000,3.2619636,81.957474,56.5597
1042000000,3.4589105,82.412277,53.777256
1043000000,3.1938314,82.843925,58.67931
1044000000,3.7007718,83.625916,51.358921
1045000000,3.7063372,83.94104,51.567055
1046000000,3.3387275,84.164581,57.458508
1047000000,3.5273659,84.8069,55.006748
1048000000,3.5151725,84.95356,55.338917
1049000000,3.7461267,85.28933,52.239136
1050000000,3.5812426,85.675766,55.00832
1051000000,3.5477531,86.32843,56.159637
1052000000,3.5983343,86.743866,55.771477
1053000000,3.5682876,87.51754,56.996067
1054000000,3.9593472,87.702568,51.541725
1055000000,3.8685513,88.470779,53.448544
1056000000,4.0351119,88.638176,51.394272
1057000000,3.8343878,89.213158,54.612022
1058000000,4.1241269,89.687996,51.195892
1059000000,4.0470853,90.288551,52.702412
1060000000,4.4689021,90.841988,48.189007
1061000000,4.2465739,91.187012,51.000835
1062000000,4.4824677,91.413963,48.50893
1063000000,4.411325,92.164261,49.913765
1064000000,4.298346,92.704483,51.687038
