"Freq [GHz]","im(Z(1,1)) []"
1,-81.2117854011999
1.001,-81.1061308688109
1.002,-81.0006679940419
1.003,-80.8953961897344
1.004,-80.7903148710694
1.005,-80.6854234555555
1.006,-80.580721363018
1.007,-80.4762080155867
1.008,-80.3718828376846
1.009,-80.2677452560168
1.01,-80.1637946995591
1.011,-80.0600305995464
1.012,-79.9564523894619
1.013,-79.8530595050261
1.014,-79.7498513841851
1.015,-79.6468274671003
1.016,-79.5439871961373
1.017,-79.4413300158548
1.018,-79.338855372994
1.019,-79.2365627164679
1.02,-79.1344514973508
1.021,-79.0325211688671
1.022,-78.9307711863814
1.023,-78.829201007388
1.024,-78.7278100914997
1.025,-78.6265979004386
1.026,-78.525563898025
1.027,-78.4247075501674
1.028,-78.3240283248523
1.029,-78.2235256921341
1.03,-78.1231991241253
1.031,-78.023048094986
1.032,-77.9230720809144
1.033,-77.8232705601367
1.034,-77.7236430128973
1.035,-77.6241889214491
1.036,-77.5249077700439
1.037,-77.4257990449224
1.038,-77.326862234305
1.039,-77.2280968283819
1.04,-77.1295023193039
1.041,-77.0310782011731
1.042,-76.9328239700327
1.043,-76.8347391238589
1.044,-76.7368231625507
1.045,-76.6390755879208
1.046,-76.5414959036871
1.047,-76.4440836154627
1.048,-76.3468382307475
1.049,-76.2497592589188
1.05,-76.1528462112226
1.051,-76.0560986007645
1.052,-75.9595159425012
1.053,-75.863097753231
1.054,-75.7668435515859
1.055,-75.6707528580222
1.056,-75.5748251948125
1.057,-75.4790600860363
1.058,-75.3834570575722
1.059,-75.288015637089
1.06,-75.1927353540373
1.061,-75.0976157396409
1.062,-75.0026563268891
1.063,-74.9078566505275
1.064,-74.8132162470505
1.065,-74.7187346546926
1.066,-74.6244114134203
1.067,-74.530246064924
1.068,-74.4362381526104
1.069,-74.3423872215934
1.07,-74.2486928186871
1.071,-74.1551544923975
1.072,-74.0617717929143
1.073,-73.9685442721036
1.074,-73.8754714834997
1.075,-73.7825529822974
1.076,-73.6897883253444
1.077,-73.5971770711333
1.078,-73.5047187797945
1.079,-73.4124130130879
1.08,-73.3202593343961
1.081,-73.2282573087163
1.082,-73.1364065026528
1.083,-73.0447064844104
1.084,-72.9531568237858
1.085,-72.8617570921611
1.086,-72.7705068624963
1.087,-72.6794057093218
1.088,-72.5884532087317
1.089,-72.4976489383756
1.09,-72.4069924774529
1.091,-72.3164834067041
1.092,-72.2261213084053
1.093,-72.1359057663597
1.094,-72.0458363658918
1.095,-71.9559126938396
1.096,-71.8661343385481
1.097,-71.7765008898625
1.098,-71.6870119391209
1.099,-71.5976670791481
1.1,-71.5084659042485
1.101,-71.4194080101989
1.102,-71.330492994243
1.103,-71.2417204550836
1.104,-71.1530899928765
1.105,-71.0646012092237
1.106,-70.9762537071674
1.107,-70.8880470911825
1.108,-70.7999809671712
1.109,-70.7120549424556
1.11,-70.6242686257721
1.111,-70.5366216272643
1.112,-70.4491135584773
1.113,-70.361744032351
1.114,-70.2745126632139
1.115,-70.1874190667769
1.116,-70.1004628601271
1.117,-70.0136436617216
1.118,-69.9269610913814
1.119,-69.8404147702853
1.12,-69.7540043209637
1.121,-69.6677293672928
1.122,-69.5815895344883
1.123,-69.4955844490996
1.124,-69.4097137390038
1.125,-69.3239770333999
1.126,-69.2383739628029
1.127,-69.1529041590375
1.128,-69.0675672552332
1.129,-68.9823628858175
1.13,-68.8972906865109
1.131,-68.8123502943207
1.132,-68.7275413475356
1.133,-68.64286348572
1.134,-68.5583163497081
1.135,-68.4738995815985
1.136,-68.3896128247486
1.137,-68.3054557237693
1.138,-68.221427924519
1.139,-68.1375290740983
1.14,-68.0537588208446
1.141,-67.9701168143269
1.142,-67.8866027053399
1.143,-67.8032161458988
1.144,-67.7199567892344
1.145,-67.6368242897869
1.146,-67.5538183032015
1.147,-67.4709384863226
1.148,-67.3881844971887
1.149,-67.3055559950273
1.15,-67.2230526402495
1.151,-67.140674094445
1.152,-67.058420020377
1.153,-66.976290081977
1.154,-66.8942839443398
1.155,-66.8124012737182
1.156,-66.7306417375185
1.157,-66.6490050042951
1.158,-66.5674907437455
1.159,-66.4860986267055
1.16,-66.4048283251444
1.161,-66.3236795121598
1.162,-66.2426518619731
1.163,-66.1617450499241
1.164,-66.0809587524671
1.165,-66.0002926471649
1.166,-65.9197464126851
1.167,-65.8393197287949
1.168,-65.7590122763561
1.169,-65.678823737321
1.17,-65.5987537947273
1.171,-65.5188021326938
1.172,-65.4389684364152
1.173,-65.3592523921581
1.174,-65.2796536872563
1.175,-65.2001720101057
1.176,-65.1208070501608
1.177,-65.0415584979291
1.178,-64.9624260449672
1.179,-64.8834093838764
1.18,-64.804508208298
1.181,-64.7257222129091
1.182,-64.6470510934179
1.183,-64.5684945465597
1.184,-64.4900522700922
1.185,-64.4117239627916
1.186,-64.3335093244476
1.187,-64.2554080558601
1.188,-64.177419858834
1.189,-64.0995444361754
1.19,-64.0217814916874
1.191,-63.944130730166
1.192,-63.8665918573953
1.193,-63.7891645801441
1.194,-63.7118486061614
1.195,-63.6346436441725
1.196,-63.5575494038745
1.197,-63.4805655959324
1.198,-63.4036919319755
1.199,-63.3269281245926
1.2,-63.2502738873286
1.201,-63.1737289346802
1.202,-63.097292982092
1.203,-63.0209657459525
1.204,-62.9447469435904
1.205,-62.8686362932702
1.206,-62.7926335141888
1.207,-62.7167383264715
1.208,-62.6409504511679
1.209,-62.5652696102482
1.21,-62.4896955265997
1.211,-62.4142279240224
1.212,-62.3388665272257
1.213,-62.2636110618244
1.214,-62.1884612543351
1.215,-62.1134168321723
1.216,-62.0384775236449
1.217,-61.9636430579525
1.218,-61.8889131651812
1.219,-61.814287576301
1.22,-61.739766023161
1.221,-61.6653482384867
1.222,-61.5910339558758
1.223,-61.5168229097949
1.224,-61.4427148355762
1.225,-61.3687094694131
1.226,-61.2948065483576
1.227,-61.2210058103163
1.228,-61.147306994047
1.229,-61.0737098391551
1.23,-61.0002140860905
1.231,-60.9268194761438
1.232,-60.853525751443
1.233,-60.78033265495
1.234,-60.7072399304574
1.235,-60.6342473225851
1.236,-60.5613545767765
1.237,-60.488561439296
1.238,-60.4158676572247
1.239,-60.3432729784578
1.24,-60.2707771517012
1.241,-60.1983799264678
1.242,-60.1260810530747
1.243,-60.0538802826396
1.244,-59.981777367078
1.245,-59.9097720590995
1.246,-59.8378641122049
1.247,-59.7660532806829
1.248,-59.694339319607
1.249,-59.6227219848322
1.25,-59.5512010329921
1.251,-59.4797762214956
1.252,-59.4084473085236
1.253,-59.3372140530265
1.254,-59.2660762147205
1.255,-59.1950335540847
1.256,-59.1240858323583
1.257,-59.0532328115372
1.258,-58.9824742543715
1.259,-58.9118099243617
1.26,-58.8412395857564
1.261,-58.7707630035492
1.262,-58.7003799434752
1.263,-58.6300901720089
1.264,-58.5598934563604
1.265,-58.4897895644733
1.266,-58.4197782650211
1.267,-58.3498593274046
1.268,-58.280032521749
1.269,-58.2102976189012
1.27,-58.1406543904266
1.271,-58.0711026086064
1.272,-58.001642046435
1.273,-57.9322724776166
1.274,-57.8629936765633
1.275,-57.7938054183913
1.276,-57.7247074789188
1.277,-57.6556996346632
1.278,-57.5867816628381
1.279,-57.5179533413503
1.28,-57.4492144487981
1.281,-57.3805647644674
1.282,-57.3120040683296
1.283,-57.2435321410391
1.284,-57.17514876393
1.285,-57.106853719014
1.286,-57.0386467889776
