Freq(Hz),Line S21 Phase,,Thru S21 Phase,,Line S21 Phase Sim,,Thru S21 Phase Sim
1000000000,-31.301643,,-1.0466095,,80.13317263,,-63.79289972
1001000000,-31.332808,,-1.1203889,,80.03209516,,-63.8577824
1002000000,-31.212919,,-1.0751463,,79.93101723,,-63.9226644
1003000000,-31.278296,,-1.0280029,,79.82993884,,-63.98754573
1004000000,-31.497305,,-1.2026088,,79.72886,,-64.05242639
1005000000,-31.351234,,-1.0324788,,79.62778071,,-64.11730638
1006000000,-31.625061,,-1.0893017,,79.52670097,,-64.1821857
1007000000,-31.437616,,-1.0130893,,79.42562078,,-64.24706435
1008000000,-31.483425,,-1.0426773,,79.32454016,,-64.31194233
1009000000,-31.491283,,-1.1054015,,79.22345911,,-64.37681964
1010000000,-31.606161,,-1.2331917,,79.12237763,,-64.44169629
1011000000,-31.601315,,-1.0781436,,79.02129572,,-64.50657227
1012000000,-31.609657,,-1.1160668,,78.92021338,,-64.57144758
1013000000,-31.722557,,-0.94568348,,78.81913063,,-64.63632222
1014000000,-31.637875,,-0.95966655,,78.71804747,,-64.70119621
1015000000,-31.785969,,-1.1749361,,78.61696389,,-64.76606952
1016000000,-31.790335,,-0.89549041,,78.5158799,,-64.83094218
1017000000,-31.887991,,-1.0367901,,78.41479552,,-64.89581417
1018000000,-31.892616,,-1.0908037,,78.31371073,,-64.9606855
1019000000,-31.862726,,-0.89263362,,78.21262555,,-65.02555616
1020000000,-31.929167,,-1.0716237,,78.11153998,,-65.09042617
1021000000,-31.970865,,-1.1177448,,78.01045401,,-65.15529551
1022000000,-32.005459,,-1.2679265,,77.90936767,,-65.2201642
1023000000,-32.017334,,-1.018997,,77.80828094,,-65.28503222
1024000000,-32.05756,,-1.091535,,77.70719384,,-65.34989959
1025000000,-32.026237,,-1.063604,,77.60610636,,-65.4147663
1026000000,-31.896591,,-0.93648511,,77.50501851,,-65.47963235
1027000000,-32.17934,,-1.1675966,,77.4039303,,-65.54449775
1028000000,-32.032253,,-1.2562506,,77.30284173,,-65.60936249
1029000000,-32.077461,,-1.1249985,,77.20175279,,-65.67422658
1030000000,-32.121853,,-1.1063769,,77.10066351,,-65.73909001
1031000000,-32.112034,,-1.1930557,,76.99957387,,-65.80395279
1032000000,-32.333706,,-1.1060852,,76.89848388,,-65.86881492
1033000000,-32.282272,,-1.0651867,,76.79739355,,-65.93367639
1034000000,-32.266598,,-1.0924323,,76.69630287,,-65.99853722
1035000000,-32.358715,,-0.9852978,,76.59521187,,-66.06339739
1036000000,-32.305744,,-1.0906591,,76.49412052,,-66.12825691
1037000000,-32.386684,,-1.1388969,,76.39302885,,-66.19311579
1038000000,-32.288342,,-0.86436117,,76.29193685,,-66.25797402
1039000000,-32.364174,,-1.0324436,,76.19084452,,-66.3228316
1040000000,-32.417946,,-1.1051047,,76.08975188,,-66.38768853
1041000000,-32.551357,,-0.93907589,,75.98865892,,-66.45254482
1042000000,-32.587124,,-1.0734477,,75.88756565,,-66.51740047
1043000000,-32.71983,,-1.2111028,,75.78647206,,-66.58225547
1044000000,-32.647373,,-1.015277,,75.68537817,,-66.64710982
1045000000,-32.607021,,-1.0310956,,75.58428398,,-66.71196354
1046000000,-32.502357,,-0.9501425,,75.48318949,,-66.77681661
1047000000,-32.809956,,-0.96310705,,75.3820947,,-66.84166905
1048000000,-32.78318,,-1.2081287,,75.28099962,,-66.90652084
1049000000,-32.792652,,-1.0223821,,75.17990425,,-66.971372
1050000000,-32.724026,,-1.0296708,,75.07880859,,-67.03622251
1051000000,-32.846191,,-1.1276445,,74.97771265,,-67.10107239
1052000000,-32.855019,,-1.0486428,,74.87661643,,-67.16592163
1053000000,-32.771202,,-0.9370262,,74.77551994,,-67.23077024
1054000000,-33.002369,,-1.1456369,,74.67442317,,-67.29561822
1055000000,-32.908482,,-0.84069932,,74.57332613,,-67.36046556
1056000000,-32.895641,,-1.1868272,,74.47222882,,-67.42531226
1057000000,-33.096775,,-1.1003995,,74.37113125,,-67.49015834
1058000000,-33.084145,,-1.2010443,,74.27003342,,-67.55500378
1059000000,-32.988037,,-0.92468446,,74.16893533,,-67.61984859
1060000000,-32.966015,,-0.84059733,,74.06783698,,-67.68469278
1061000000,-32.94775,,-0.88096708,,73.96673839,,-67.74953634
1062000000,-33.174461,,-0.86178547,,73.86563955,,-67.81437926
1063000000,-33.259075,,-0.92266858,,73.76454046,,-67.87922157
1064000000,-33.364178,,-1.250824,,73.66344113,,-67.94406324
1065000000,-33.36842,,-1.1299291,,73.56234156,,-68.0089043
1066000000,-33.260372,,-1.1246532,,73.46124175,,-68.07374472
1067000000,-33.292301,,-0.87919086,,73.36014171,,-68.13858453
1068000000,-33.434952,,-1.0803902,,73.25904145,,-68.20342371
1069000000,-33.183506,,-1.0827769,,73.15794095,,-68.26826228
1070000000,-33.225204,,-0.91513896,,73.05684023,,-68.33310022
1071000000,-33.397614,,-1.0042876,,72.95573929,,-68.39793754
1072000000,-33.558239,,-1.0709114,,72.85463813,,-68.46277425
1073000000,-33.573196,,-1.0722151,,72.75353676,,-68.52761034
1074000000,-33.513973,,-0.78532803,,72.65243517,,-68.59244581
1075000000,-33.452835,,-0.97462565,,72.55133338,,-68.65728067
1076000000,-33.431618,,-1.0387803,,72.45023138,,-68.72211491
1077000000,-33.313641,,-0.91490054,,72.34912917,,-68.78694855
1078000000,-33.62957,,-1.0129908,,72.24802676,,-68.85178156
1079000000,-33.741695,,-1.0421331,,72.14692416,,-68.91661397
1080000000,-33.751526,,-0.96352905,,72.04582136,,-68.98144577
1081000000,-33.655231,,-0.72338241,,71.94471837,,-69.04627696
1082000000,-33.815453,,-1.014689,,71.84361519,,-69.11110754
1083000000,-33.501797,,-0.92634124,,71.74251182,,-69.17593751
1084000000,-33.796829,,-1.0036035,,71.64140826,,-69.24076688
1085000000,-34.035736,,-1.0923333,,71.54030453,,-69.30559564
1086000000,-33.901787,,-0.96999443,,71.43920062,,-69.37042379
1087000000,-33.863342,,-0.99148744,,71.33809653,,-69.43525135
1088000000,-34.00354,,-0.9759984,,71.23699227,,-69.5000783
1089000000,-33.888512,,-0.97875607,,71.13588783,,-69.56490465
1090000000,-33.990761,,-0.95152539,,71.03478323,,-69.6297304
1091000000,-33.988323,,-1.0664996,,70.93367847,,-69.69455555
1092000000,-34.055477,,-1.0325278,,70.83257354,,-69.75938011
1093000000,-33.905312,,-0.85887957,,70.73146845,,-69.82420407
1094000000,-34.14278,,-1.0723375,,70.63036321,,-69.88902743
1095000000,-33.838959,,-0.77911347,,70.52925781,,-69.95385019
1096000000,-33.987309,,-0.99527413,,70.42815225,,-70.01867237
1097000000,-34.16333,,-1.0109444,,70.32704655,,-70.08349395
1098000000,-34.045681,,-0.93573868,,70.2259407,,-70.14831493
1099000000,-34.339603,,-1.1826799,,70.12483471,,-70.21313533
1100000000,-34.388187,,-1.0047516,,70.02372857,,-70.27795514
1101000000,-34.398598,,-0.96223545,,69.9226223,,-70.34277436
1102000000,-34.305481,,-1.1220844,,69.82151588,,-70.40759299
1103000000,-34.267204,,-0.88380939,,69.72040934,,-70.47241104
1104000000,-34.584389,,-0.97115475,,69.61930266,,-70.5372285
1105000000,-34.386246,,-0.94983953,,69.51819585,,-70.60204538
1106000000,-34.452251,,-0.95466816,,69.41708891,,-70.66686167
1107000000,-34.513607,,-1.1070039,,69.31598185,,-70.73167739
1108000000,-34.766014,,-1.0584328,,69.21487467,,-70.79649252
1109000000,-34.548519,,-1.0775591,,69.11376736,,-70.86130707
1110000000,-34.608723,,-1.1105188,,69.01265994,,-70.92612104
1111000000,-34.659355,,-1.0696284,,68.9115524,,-70.99093444
1112000000,-34.604443,,-0.85511321,,68.81044475,,-71.05574726
1113000000,-34.524601,,-0.95697641,,68.70933699,,-71.1205595
1114000000,-34.568508,,-0.80997074,,68.60822912,,-71.18537117
1115000000,-34.789097,,-1.1311065,,68.50712115,,-71.25018227
1116000000,-34.603622,,-0.97208494,,68.40601307,,-71.3149928
1117000000,-34.652802,,-1.0393488,,68.30490489,,-71.37980275
1118000000,-34.788761,,-0.91418499,,68.20379661,,-71.44461214
1119000000,-34.858707,,-0.95185113,,68.10268823,,-71.50942095
1120000000,-34.935802,,-1.0534819,,68.00157976,,-71.5742292
1121000000,-34.912376,,-1.034296,,67.90047119,,-71.63903689
1122000000,-34.991753,,-1.0512551,,67.79936254,,-71.703844
1123000000,-34.862331,,-0.84093052,,67.6982538,,-71.76865056
1124000000,-35.04842,,-0.97954595,,67.59714497,,-71.83345655
1125000000,-35.110134,,-1.0784127,,67.49603606,,-71.89826198
1126000000,-35.072102,,-1.135464,,67.39492706,,-71.96306685
1127000000,-35.044392,,-0.93677902,,67.29381799,,-72.02787116
1128000000,-34.989548,,-0.97053307,,67.19270883,,-72.09267491
1129000000,-35.178074,,-1.0859334,,67.09159961,,-72.15747811
1130000000,-35.310879,,-1.1167333,,66.99049031,,-72.22228075
1131000000,-35.206612,,-1.0618432,,66.88938093,,-72.28708283
1132000000,-35.066113,,-1.0558382,,66.78827149,,-72.35188436
1133000000,-35.537907,,-1.0084215,,66.68716198,,-72.41668534
1134000000,-35.371574,,-1.0530305,,66.58605241,,-72.48148577
1135000000,-35.400116,,-1.0387447,,66.48494277,,-72.54628565
1136000000,-35.523869,,-1.1662179,,66.38383308,,-72.61108497
1137000000,-35.473915,,-1.0063088,,66.28272332,,-72.67588376
1138000000,-35.683048,,-1.1442784,,66.18161351,,-72.74068199
1139000000,-35.448681,,-1.0650778,,66.08050364,,-72.80547968
1140000000,-35.478382,,-1.1398815,,65.97939372,,-72.87027683
1141000000,-35.344879,,-0.86216891,,65.87828374,,-72.93507343
1142000000,-35.669937,,-0.95821506,,65.77717372,,-72.99986949
1143000000,-35.501003,,-0.89477718,,65.67606365,,-73.06466501
1144000000,-35.445305,,-1.0113207,,65.57495353,,-73.12945999
1145000000,-35.59774,,-1.1436744,,65.47384337,,-73.19425444
1146000000,-35.69416,,-1.030965,,65.37273317,,-73.25904835
1147000000,-35.627846,,-0.94326597,,65.27162293,,-73.32384172
1148000000,-35.77832,,-1.1155117,,65.17051265,,-73.38863455
1149000000,-35.683266,,-1.0353452,,65.06940233,,-73.45342686
1150000000,-35.904217,,-0.92776531,,64.96829198,,-73.51821863
1151000000,-35.943058,,-0.99634027,,64.8671816,,-73.58300987
1152000000,-35.857834,,-1.112324,,64.76607119,,-73.64780058
1153000000,-35.856316,,-1.1325386,,64.66496074,,-73.71259077
1154000000,-35.916332,,-0.95749229,,64.56385027,,-73.77738042
1155000000,-35.757931,,-0.98196018,,64.46273977,,-73.84216955
1156000000,-35.681042,,-1.0002427,,64.36162925,,-73.90695816
1157000000,-36.201485,,-1.1784095,,64.26051871,,-73.97174624
1158000000,-35.941067,,-0.9691456,,64.15940815,,-74.0365338
1159000000,-36.166855,,-1.1280606,,64.05829757,,-74.10132084
1160000000,-36.130894,,-0.99370569,,63.95718697,,-74.16610736
1161000000,-36.131401,,-1.0454421,,63.85607635,,-74.23089336
1162000000,-36.165234,,-1.0558844,,63.75496573,,-74.29567885
1163000000,-36.21909,,-1.0257349,,63.65385509,,-74.36046382
1164000000,-36.289074,,-1.0768161,,63.55274444,,-74.42524827
1165000000,-36.15958,,-1.1912775,,63.45163378,,-74.49003221
1166000000,-36.408997,,-1.0436302,,63.35052311,,-74.55481564
1167000000,-36.32576,,-1.0096794,,63.24941244,,-74.61959856
1168000000,-36.337166,,-0.96418476,,63.14830176,,-74.68438097
1169000000,-36.374413,,-1.015802,,63.04719108,,-74.74916287
1170000000,-36.400082,,-0.9636718,,62.9460804,,-74.81394426
1171000000,-36.430275,,-0.97367388,,62.84496972,,-74.87872514
1172000000,-36.351654,,-0.94046938,,62.74385904,,-74.94350553
1173000000,-36.503036,,-1.0117036,,62.64274837,,-75.0082854
1174000000,-36.439014,,-1.1151043,,62.5416377,,-75.07306478
1175000000,-36.593769,,-1.1788949,,62.44052704,,-75.13784366
1176000000,-36.514725,,-1.0573192,,62.33941639,,-75.20262203
1177000000,-36.545891,,-1.1021662,,62.23830574,,-75.26739991
1178000000,-36.636009,,-1.0775987,,62.13719511,,-75.33217729
