"Freq [GHz]","im(Z(1,1)) []"
1,-80.177744059986
1.001,-80.0719144440666
1.002,-79.9662849575064
1.003,-79.8608549609265
1.004,-79.7556238175766
1.005,-79.6505908933222
1.006,-79.5457555566306
1.007,-79.441117178558
1.008,-79.3366751327366
1.009,-79.2324287953609
1.01,-79.1283775451753
1.011,-79.0245207634607
1.012,-78.9208578340218
1.013,-78.8173881431746
1.014,-78.7141110797334
1.015,-78.6110260349984
1.016,-78.508132402743
1.017,-78.4054295792014
1.018,-78.3029169630564
1.019,-78.200593955427
1.02,-78.098459959856
1.021,-77.9965143822983
1.022,-77.8947566311082
1.023,-77.7931861170281
1.024,-77.6918022531761
1.025,-77.5906044550345
1.026,-77.4895921404373
1.027,-77.3887647295598
1.028,-77.2881216449055
1.029,-77.1876623112958
1.03,-77.0873861558575
1.031,-76.9872926080123
1.032,-76.8873810994644
1.033,-76.7876510641904
1.034,-76.6881019384271
1.035,-76.5887331606608
1.036,-76.4895441716163
1.037,-76.3905344142457
1.038,-76.2917033337173
1.039,-76.1930503774052
1.04,-76.094574994878
1.041,-75.9962766378883
1.042,-75.8981547603621
1.043,-75.8002088183878
1.044,-75.7024382702058
1.045,-75.6048425761985
1.046,-75.5074211988789
1.047,-75.4101736028813
1.048,-75.3130992549498
1.049,-75.2161976239293
1.05,-75.1194681807543
1.051,-75.0229103984391
1.052,-74.9265237520681
1.053,-74.8303077187852
1.054,-74.7342617777842
1.055,-74.6383854102987
1.056,-74.5426780995925
1.057,-74.4471393309495
1.058,-74.3517685916643
1.059,-74.2565653710323
1.06,-74.1615291603401
1.061,-74.0666594528559
1.062,-73.9719557438205
1.063,-73.8774175304369
1.064,-73.7830443118617
1.065,-73.6888355891956
1.066,-73.5947908654737
1.067,-73.5009096456568
1.068,-73.4071914366218
1.069,-73.313635747153
1.07,-73.2202420879325
1.071,-73.1270099715317
1.072,-73.0339389124018
1.073,-72.9410284268653
1.074,-72.8482780331069
1.075,-72.7556872511649
1.076,-72.6632556029221
1.077,-72.5709826120973
1.078,-72.4788678042365
1.079,-72.3869107067045
1.08,-72.295110848676
1.081,-72.2034677611274
1.082,-72.1119809768281
1.083,-72.0206500303319
1.084,-71.9294744579692
1.085,-71.8384537978381
1.086,-71.7475875897962
1.087,-71.6568753754526
1.088,-71.5663166981597
1.089,-71.4759111030045
1.09,-71.3856581368013
1.091,-71.2955573480827
1.092,-71.2056082870928
1.093,-71.115810505778
1.094,-71.0261635577797
1.095,-70.9366669984265
1.096,-70.8473203847258
1.097,-70.7581232753567
1.098,-70.6690752306619
1.099,-70.5801758126396
1.1,-70.4914245849367
1.101,-70.4028211128404
1.102,-70.3143649632709
1.103,-70.226055704774
1.104,-70.1378929075132
1.105,-70.0498761432628
1.106,-69.9620049853999
1.107,-69.8742790088973
1.108,-69.7866977903163
1.109,-69.6992609077989
1.11,-69.6119679410612
1.111,-69.5248184713855
1.112,-69.4378120816139
1.113,-69.3509483561401
1.114,-69.2642268809035
1.115,-69.177647243381
1.116,-69.0912090325809
1.117,-69.0049118390353
1.118,-68.9187552547933
1.119,-68.8327388734142
1.12,-68.7468622899607
1.121,-68.6611251009916
1.122,-68.5755269045554
1.123,-68.4900673001837
1.124,-68.4047458888837
1.125,-68.3195622731324
1.126,-68.2345160568693
1.127,-68.14960684549
1.128,-68.06483424584
1.129,-67.9801978662071
1.13,-67.895697316316
1.131,-67.8113322073213
1.132,-67.7271021518009
1.133,-67.64300676375
1.134,-67.5590456585743
1.135,-67.475218453084
1.136,-67.3915247654871
1.137,-67.3079642153838
1.138,-67.2245364237593
1.139,-67.1412410129782
1.14,-67.0580776067784
1.141,-66.9750458302646
1.142,-66.8921453099022
1.143,-66.8093756735116
1.144,-66.7267365502617
1.145,-66.6442275706641
1.146,-66.5618483665671
1.147,-66.4795985711497
1.148,-66.3974778189156
1.149,-66.3154857456874
1.15,-66.2336219886008
1.151,-66.1518861860987
1.152,-66.0702779779252
1.153,-65.9887970051201
1.154,-65.9074429100131
1.155,-65.826215336218
1.156,-65.745113928627
1.157,-65.6641383334051
1.158,-65.5832881979845
1.159,-65.502563171059
1.16,-65.4219629025783
1.161,-65.3414870437428
1.162,-65.2611352469974
1.163,-65.1809071660269
1.164,-65.1008024557499
1.165,-65.0208207723137
1.166,-64.9409617730886
1.167,-64.861225116663
1.168,-64.7816104628375
1.169,-64.7021174726199
1.17,-64.6227458082201
1.171,-64.5434951330445
1.172,-64.4643651116906
1.173,-64.3853554099424
1.174,-64.3064656947649
1.175,-64.2276956342986
1.176,-64.1490448978551
1.177,-64.0705131559114
1.178,-63.992100080105
1.179,-63.9138053432291
1.18,-63.835628619227
1.181,-63.7575695831878
1.182,-63.6796279113408
1.183,-63.6018032810512
1.184,-63.5240953708144
1.185,-63.4465038602519
1.186,-63.3690284301057
1.187,-63.2916687622341
1.188,-63.2144245396063
1.189,-63.1372954462982
1.19,-63.0602811674871
1.191,-62.983381389447
1.192,-62.9065957995445
1.193,-62.829924086233
1.194,-62.7533659390493
1.195,-62.6769210486077
1.196,-62.6005891065963
1.197,-62.5243698057721
1.198,-62.4482628399561
1.199,-62.3722679040291
1.2,-62.2963846939272
1.201,-62.220612906637
1.202,-62.1449522401913
1.203,-62.0694023936645
1.204,-61.9939630671685
1.205,-61.9186339618476
1.206,-61.8434147798748
1.207,-61.768305224447
1.208,-61.6933049997808
1.209,-61.6184138111079
1.21,-61.5436313646715
1.211,-61.4689573677209
1.212,-61.3943915285083
1.213,-61.3199335562838
1.214,-61.2455831612915
1.215,-61.1713400547652
1.216,-61.0972039489244
1.217,-61.0231745569698
1.218,-60.9492515930794
