"Freq [GHz]","dB(S(1,1)) [] - line_width='1mm' reflect_length='10mm'","dB(S(1,1)) [] - line_width='3.09mm' reflect_length='15mm'"
1,-0.0691512676130547,-0.126103203849945
1.001,-0.069227944180094,-0.12623494369197
1.002,-0.0693044445352306,-0.126366232667699
1.003,-0.0693807691036548,-0.126497072801626
1.004,-0.069456918310361,-0.126627466110845
1.005,-0.0695328925801448,-0.126757414605096
1.006,-0.0696086923376064,-0.126886920286775
1.007,-0.0696843180071247,-0.127015985150967
1.008,-0.0697597700128793,-0.127144611185466
1.009,-0.0698350487788303,-0.1272728003708
1.01,-0.0699101547287158,-0.127400554680258
1.011,-0.0699850882860501,-0.127527876079921
1.012,-0.070059849874116,-0.127654766528669
1.013,-0.0701344399159653,-0.127781227978228
1.014,-0.0702088588344172,-0.127907262373178
1.015,-0.0702831070520374,-0.128032871650982
1.016,-0.0703571849911538,-0.128158057742009
1.017,-0.0704310930738456,-0.128282822569561
1.018,-0.0705048317219324,-0.128407168049905
1.019,-0.0705784013569755,-0.128531096092279
1.02,-0.0706518024002792,-0.128654608598927
1.021,-0.0707250352728776,-0.128777707465121
1.022,-0.0707981003955352,-0.128900394579188
1.023,-0.0708709981887437,-0.129022671822526
1.024,-0.0709437290727118,-0.129144541069637
1.025,-0.0710162934673683,-0.129266004188141
1.026,-0.0710886917923655,-0.129387063038808
1.027,-0.0711609244670477,-0.129507719475578
1.028,-0.0712329919104833,-0.129627975345576
1.029,-0.0713048945414276,-0.129747832489156
1.03,-0.0713766327783541,-0.129867292739898
1.031,-0.0714482070394112,-0.129986357924657
1.032,-0.071519617742447,-0.130105029863558
1.033,-0.0715908653050066,-0.130223310370047
1.034,-0.0716619501443016,-0.130341201250891
1.035,-0.0717328726772414,-0.130458704306224
1.036,-0.0718036333203996,-0.130575821329534
1.037,-0.0718742324900332,-0.13069255410773
1.038,-0.0719446706020608,-0.130808904421125
1.039,-0.0720149480720748,-0.130924874043486
1.04,-0.0720850653153251,-0.131040464742039
1.041,-0.0721550227467264,-0.131155678277502
1.042,-0.072224820780845,-0.131270516404092
1.043,-0.0722944598319009,-0.131384980869577
1.044,-0.0723639403137715,-0.131499073415262
1.045,-0.0724332626399693,-0.131612795776033
1.046,-0.0725024272236543,-0.13172614968037
1.047,-0.0725714344776319,-0.131839136850382
1.048,-0.0726402848143335,-0.131951759001805
