Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
1,-11.91272733,-3.53774014,-12.71713973,-3.479547922,-7.122814912,-13.03902707
1.001,-11.9167395,-3.537614313,-12.72254977,-3.47952366,-7.127186909,-13.04361628
1.002,-11.92075474,-3.537488265,-12.7279669,-3.479499496,-7.131558038,-13.0482113
1.003,-11.92477305,-3.537361995,-12.73339106,-3.47947543,-7.1359283,-13.05281208
1.004,-11.92879443,-3.537235505,-12.73882216,-3.47945146,-7.140297694,-13.05741851
1.005,-11.9328189,-3.537108795,-12.74426013,-3.479427586,-7.144666219,-13.06203052
1.006,-11.93684644,-3.536981865,-12.7497049,-3.479403806,-7.149033874,-13.06664804
1.007,-11.94087706,-3.536854715,-12.75515638,-3.479380122,-7.153400659,-13.07127097
1.008,-11.94491077,-3.536727347,-12.76061451,-3.479356531,-7.157766573,-13.07589923
1.009,-11.94894756,-3.536599761,-12.76607921,-3.479333033,-7.162131616,-13.08053276
1.01,-11.95298745,-3.536471956,-12.7715504,-3.479309628,-7.166495786,-13.08517146
1.011,-11.95703042,-3.536343935,-12.77702801,-3.479286314,-7.170859084,-13.08981526
1.012,-11.96107649,-3.536215696,-12.78251197,-3.479263092,-7.175221508,-13.09446408
1.013,-11.96512566,-3.536087241,-12.78800221,-3.47923996,-7.179583059,-13.09911784
1.014,-11.96917793,-3.53595857,-12.79349864,-3.479216918,-7.183943735,-13.10377647
1.015,-11.9732333,-3.535829684,-12.79900121,-3.479193965,-7.188303536,-13.10843988
1.016,-11.97729178,-3.535700583,-12.80450983,-3.4791711,-7.192662462,-13.11310799
1.017,-11.98135337,-3.535571268,-12.81002444,-3.479148323,-7.197020512,-13.11778073
1.018,-11.98541807,-3.535441739,-12.81554496,-3.479125633,-7.201377686,-13.12245803
1.019,-11.98948588,-3.535311996,-12.82107132,-3.479103029,-7.205733983,-13.1271398
1.02,-11.9935568,-3.535182041,-12.82660345,-3.479080511,-7.210089403,-13.13182597
1.021,-11.99763085,-3.535051873,-12.83214128,-3.479058078,-7.214443946,-13.13651647
1.022,-12.00170802,-3.534921494,-12.83768474,-3.47903573,-7.21879761,-13.14121121
1.023,-12.00578831,-3.534790903,-12.84323376,-3.479013465,-7.223150397,-13.14591013
1.024,-12.00987173,-3.534660102,-12.84878827,-3.478991283,-7.227502305,-13.15061314
1.025,-12.01395828,-3.534529091,-12.85434819,-3.478969184,-7.231853335,-13.15532018
1.026,-12.01804796,-3.534397869,-12.85991346,-3.478947166,-7.236203485,-13.16003117
1.027,-12.02214078,-3.534266439,-12.86548402,-3.47892523,-7.240552756,-13.16474603
1.028,-12.02623674,-3.5341348,-12.87105978,-3.478903373,-7.244901147,-13.16946469
1.029,-12.03033584,-3.534002953,-12.87664069,-3.478881597,-7.249248659,-13.17418708
1.03,-12.03443809,-3.533870898,-12.88222667,-3.478859899,-7.253595291,-13.17891313
1.031,-12.03854348,-3.533738637,-12.88781766,-3.47883828,-7.257941043,-13.18364276
1.032,-12.04265202,-3.533606169,-12.89341359,-3.478816738,-7.262285914,-13.18837591
1.033,-12.04676371,-3.533473495,-12.89901439,-3.478795273,-7.266629905,-13.19311249
1.034,-12.05087856,-3.533340616,-12.90461999,-3.478773885,-7.270973015,-13.19785244
1.035,-12.05499657,-3.533207533,-12.91023033,-3.478752572,-7.275315245,-13.20259569
