Freq [GHz],S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1,70.29187086,-144.143641,-45.73445644,-144.1874087,159.6969882,-46.29705585
1.001,70.2026928,-144.2891192,-45.89851827,-144.3330041,159.5144106,-46.46278056
1.002,70.11355043,-144.4346,-46.06248455,-144.4786018,159.3318456,-46.62840086
1.003,70.02444375,-144.5800834,-46.22635535,-144.6242016,159.149293,-46.79391685
1.004,69.93537271,-144.7255694,-46.39013076,-144.7698037,158.9667529,-46.95932862
1.005,69.84633732,-144.8710579,-46.55381084,-144.9154079,158.7842251,-47.12463626
1.006,69.75733755,-145.0165489,-46.71739567,-145.0610144,158.6017095,-47.28983986
1.007,69.66837339,-145.1620426,-46.88088533,-145.206623,158.4192063,-47.45493951
1.008,69.57944481,-145.3075388,-47.04427989,-145.3522338,158.2367151,-47.61993532
1.009,69.4905518,-145.4530376,-47.20757943,-145.4978468,158.0542362,-47.78482736
1.01,69.40169435,-145.5985389,-47.37078402,-145.643462,157.8717692,-47.94961573
1.011,69.31287243,-145.7440428,-47.53389373,-145.7890793,157.6893143,-48.11430053
1.012,69.22408604,-145.8895493,-47.69690865,-145.9346989,157.5068713,-48.27888184
1.013,69.13533514,-146.0350583,-47.85982883,-146.0803206,157.3244402,-48.44335976
1.014,69.04661974,-146.1805699,-48.02265437,-146.2259445,157.142021,-48.60773437
1.015,68.9579398,-146.3260841,-48.18538532,-146.3715706,156.9596135,-48.77200576
1.016,68.86929533,-146.4716008,-48.34802176,-146.5171988,156.7772177,-48.93617404
1.017,68.78068629,-146.6171201,-48.51056377,-146.6628293,156.5948336,-49.10023927
1.018,68.69211267,-146.762642,-48.67301141,-146.8084619,156.4124612,-49.26420156
1.019,68.60357446,-146.9081664,-48.83536476,-146.9540966,156.2301002,-49.428061
1.02,68.51507164,-147.0536934,-48.99762389,-147.0997336,156.0477508,-49.59181767
1.021,68.4266042,-147.1992229,-49.15978886,-147.2453727,155.8654128,-49.75547167
1.022,68.33817213,-147.344755,-49.32185975,-147.3910139,155.6830862,-49.91902307
1.023,68.24977539,-147.4902897,-49.48383664,-147.5366574,155.5007709,-50.08247198
1.024,68.16141399,-147.6358269,-49.64571958,-147.682303,155.3184669,-50.24581848
1.025,68.07308791,-147.7813666,-49.80750864,-147.8279507,155.1361741,-50.40906265
1.026,67.98479713,-147.926909,-49.96920391,-147.9736007,154.9538925,-50.57220458
1.027,67.89654163,-148.0724539,-50.13080544,-148.1192527,154.771622,-50.73524437
1.028,67.80832141,-148.2180013,-50.29231331,-148.264907,154.5893626,-50.8981821
1.029,67.72013645,-148.3635513,-50.45372758,-148.4105634,154.4071141,-51.06101785
1.03,67.63198673,-148.5091039,-50.61504831,-148.5562219,154.2248766,-51.22375171
1.031,67.54387224,-148.654659,-50.77627559,-148.7018826,154.04265,-51.38638377
1.032,67.45579297,-148.8002167,-50.93740947,-148.8475454,153.8604343,-51.54891412
1.033,67.3677489,-148.9457769,-51.09845003,-148.9932104,153.6782293,-51.71134284
1.034,67.27974002,-149.0913397,-51.25939732,-149.1388776,153.496035,-51.87367002
1.035,67.19176632,-149.236905,-51.42025141,-149.2845469,153.3138515,-52.03589574
1.036,67.10382778,-149.3824729,-51.58101238,-149.4302183,153.1316785,-52.19802009
1.037,67.01592439,-149.5280434,-51.74168028,-149.5758919,152.9495161,-52.36004315
1.038,66.92805614,-149.6736164,-51.90225518,-149.7215677,152.7673643,-52.521965
1.039,66.84022302,-149.819192,-52.06273715,-149.8672455,152.5852229,-52.68378574
1.04,66.752425,-149.9647701,-52.22312625,-150.0129256,152.4030919,-52.84550545
1.041,66.66466209,-150.1103508,-52.38342254,-150.1586077,152.2209713,-53.0071242
1.042,66.57693426,-150.255934,-52.5436261,-150.304292,152.038861,-53.16864209
1.043,66.48924151,-150.4015198,-52.70373697,-150.4499784,151.8567609,-53.3300592
1.044,66.40158382,-150.5471081,-52.86375523,-150.595667,151.6746711,-53.4913756
1.045,66.31396118,-150.692699,-53.02368093,-150.7413577,151.4925914,-53.65259139
1.046,66.22637359,-150.8382924,-53.18351415,-150.8870506,151.3105218,-53.81370665
1.047,66.13882102,-150.9838884,-53.34325494,-151.0327455,151.1284622,-53.97472145
1.048,66.05130347,-151.1294869,-53.50290336,-151.1784427,150.9464127,-54.13563588
1.049,65.96382092,-151.275088,-53.66245948,-151.3241419,150.7643731,-54.29645003
1.05,65.87637337,-151.4206917,-53.82192335,-151.4698433,150.5823433,-54.45716397
1.051,65.7889608,-151.5662979,-53.98129505,-151.6155468,150.4003235,-54.61777778
