"Freq [GHz]","cang_deg(S(2,1))-cang_deg(S(3,1)) [deg]"
1,23.9190879655765
1.001,23.9531684072203
1.002,23.9872844905634
1.003,24.0214362929572
1.004,24.0556238919408
1.005,24.089847365242
1.006,24.1241067907763
1.007,24.1584022466478
1.008,24.1927338111487
1.009,24.227101562759
1.01,24.2615055801478
1.011,24.2959459421718
1.012,24.3304227278764
1.013,24.3649360164948
1.014,24.3994858874495
1.015,24.4340724203502
1.016,24.4686956949957
1.017,24.5033557913725
1.018,24.5380527896558
1.019,24.572786770209
1.02,24.6075578135833
1.021,24.6423660005184
1.022,24.6772114119422
1.023,24.7120941289704
1.024,24.7470142329069
1.025,24.7819718052435
1.026,24.81696692766
1.027,24.8519996820238
1.028,24.8870701503902
1.029,24.9221784150025
1.03,24.9573245582908
1.031,24.9925086628732
1.032,25.0277308115552
1.033,25.0629910873294
1.034,25.0982895733756
1.035,25.1336263530609
1.036,25.1690015099388
1.037,25.2044151277498
1.038,25.2398672904213
1.039,25.275358082067
1.04,25.3108875869868
1.041,25.346455889667
1.042,25.3820630747799
1.043,25.4177092271835
1.044,25.4533944319215
1.045,25.4891187742232
1.046,25.5248823395032
1.047,25.5606852133611
1.048,25.5965274815812
1.049,25.6324092301328
1.05,25.6683305451698
1.051,25.7042915130297
1.052,25.7402922202343
1.053,25.7763327534894
1.054,25.8124131996837
1.055,25.84853364589
1.056,25.8846941793631
1.057,25.9208948875411
1.058,25.9571358580445
1.059,25.9934171786756
1.06,26.029738937419
1.061,26.06610122244
1.062,26.1025041220862
1.063,26.1389477248853
1.064,26.1754321195459
1.065,26.2119573949567
1.066,26.2485236401862
1.067,26.2851309444828
1.068,26.3217793972736
1.069,26.3584690881649
1.07,26.3952001069409
1.071,26.4319725435646
1.072,26.4687864881761
1.073,26.5056420310926
1.074,26.5425392628087
1.075,26.5794782739947
1.076,26.6164591554976
1.077,26.6534819983393
1.078,26.6905468937171
1.079,26.7276539330028
1.08,26.7648032077426
1.081,26.8019948096559
1.082,26.8392288306359
1.083,26.8765053627478
1.084,26.9138244982296
1.085,26.9511863294908
1.086,26.9885909491118
1.087,27.0260384498437
1.088,27.063528924608
1.089,27.1010624664953
1.09,27.1386391687655
1.091,27.1762591248466
1.092,27.2139224283345
1.093,27.2516291729923
1.094,27.2893794527496
1.095,27.3271733617022
1.096,27.365010994111
1.097,27.4028924444019
1.098,27.4408178071647
1.099,27.4787871771523
1.1,27.5168006492809
1.101,27.5548583186286
1.102,27.5929602804346
1.103,27.6311066300987
1.104,27.6692974631815
1.105,27.7075328754017
1.106,27.7458129626372
1.107,27.7841378209235
1.108,27.8225075464531
1.109,27.8609222355743
1.11,27.8993819847915
1.111,27.9378868907635
