"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
1,-4.28645581270234,-6.48465314760707,-11.2236005099288,-5.34454662582519
1.001,-4.28309315530579,-6.48732978748544,-11.2399459889389,-5.34320313771723
1.002,-4.27972917713094,-6.49002122016777,-11.2563331492132,-5.34186019964378
1.003,-4.27636390049022,-6.49272753011551,-11.2727619211099,-5.34051783242013
1.004,-4.27299734787994,-6.49544880225084,-11.2892322299411,-5.33917605702549
1.005,-4.26962954198171,-6.49818512195874,-11.3057439958632,-5.33783489460417
1.006,-4.26626050566376,-6.50093657508926,-11.322297133765,-5.33649436646682
1.007,-4.26289026198232,-6.50370324795975,-11.3388915531546,-5.33515449409154
1.008,-4.259518834183,-6.50648522735704,-11.3555271580434,-5.33381529912519
1.009,-4.2561462457022,-6.50928260053971,-11.3722038468285,-5.3324768033845
1.01,-4.25277252016847,-6.51209545524035,-11.388921512173,-5.33113902885737
1.011,-4.24939768140394,-6.51492387966777,-11.4056800408838,-5.32980199770409
1.012,-4.24602175342579,-6.51776796250928,-11.4224793137873,-5.32846573225852
1.013,-4.24264476044757,-6.520627792933,-11.4393192056033,-5.32713025502943
1.014,-4.23926672688072,-6.52350346059006,-11.4561995848158,-5.32579558870166
1.015,-4.23588767733599,-6.52639505561698,-11.4731203135427,-5.32446175613745
1.016,-4.23250763662489,-6.52930266863792,-11.4900812474018,-5.3231287803777
1.017,-4.22912662976116,-6.53222639076698,-11.5070822353759,-5.32179668464322
1.018,-4.22574468196224,-6.53516631361056,-11.5241231196741,-5.32046549233605
1.019,-4.22236181865077,-6.53812252926961,-11.5412037355919,-5.31913522704074
1.02,-4.21897806545607,-6.54109513034207,-11.5583239113681,-5.31780591252567
1.021,-4.21559344821563,-6.54408420992511,-11.5754834680394,-5.31647757274436
1.022,-4.21220799297663,-6.54708986161754,-11.5926822192929,-5.31515023183678
1.023,-4.2088217259975,-6.55011217952215,-11.6099199713154,-5.31382391413068
1.024,-4.20543467374939,-6.55315125824807,-11.6271965226405,-5.31249864414294
1.025,-4.20204686291776,-6.55620719291317,-11.6445116639933,-5.31117444658095
1.026,-4.19865832040388,-6.55928007914641,-11.6618651781322,-5.30985134634388
1.027,-4.19526907332646,-6.56237001309025,-11.6792568396876,-5.30852936852415
1.028,-4.19187914902315,-6.56547709140305,-11.6966864149992,-5.30720853840873
1.029,-4.18848857505221,-6.56860141126148,-11.714153661949,-5.30588888148054
1.03,-4.18509737919398,-6.57174307036291,-11.7316583297931,-5.30457042341987
1.031,-4.18170558945259,-6.57490216692785,-11.7492001589891,-5.30325319010575
1.032,-4.1783132340575,-6.57807879970238,-11.7667788810225,-5.30193720761737
1.033,-4.17492034146517,-6.58127306796057,-11.7843942182284,-5.30062250223549
1.034,-4.17152694036067,-6.58448507150697,-11.802045883612,-5.2993091004439
1.035,-4.1681330596593,-6.58771491067899,-11.8197335806651,-5.29799702893081
1.036,-4.16473872850828,-6.5909626863494,-11.83745700318,-5.29668631459034
1.037,-4.16134397628839,-6.59422849992879,-11.8552158350608,-5.29537698452394
1.038,-4.15794883261565,-6.59751245336804,-11.8730097501313,-5.29406906604187
1.039,-4.15455332734298,-6.60081464916079,-11.8908384119403,-5.29276258666468
1.04,-4.15115749056192,-6.60413519034592,-11.9087014735632,-5.29145757412467
1.041,-4.14776135260436,-6.60747418051005,-11.9265985774014,-5.2901540563674
1.042,-4.14436494404414,-6.61083172379004,-11.9445293549782,-5.2888520615532
1.043,-4.14096829569893,-6.61420792487547,-11.962493426732,-5.28755161805864
1.044,-4.13757143863184,-6.61760288901116,-11.9804904018053,-5.2862527544781
1.045,-4.13417440415322,-6.6210167219997,-11.9985198778325,-5.28495549962526
1.046,-4.1307772238224,-6.62444953020391,-12.0165814407227,-5.28365988253464
1.047,-4.12737992944948,-6.62790142054944,-12.0346746644403,-5.28236593246319
1.048,-4.12398255309707,-6.63137250052724,-12.0527991107827,-5.28107367889178
1.049,-4.12058512708211,-6.63486287819612,-12.0709543291539,-5.27978315152682
1.05,-4.11718768397765,-6.63837266218527,-12.0891398563359,-5.27849438030183
1.051,-4.11379025661465,-6.64190196169682,-12.1073552162562,-5.27720739537898
1.052,-4.11039287808383,-6.64545088650837,-12.1255999197525,-5.27592222715074
1.053,-4.10699558173747,-6.64901954697554,-12.1438734643343,-5.27463890624145
1.054,-4.10359840119127,-6.65260805403456,-12.1621753339407,-5.27335746350895
1.055,-4.10020137032621,-6.65621651920475,-12.1805049986959,-5.2720779300462
1.056,-4.09680452329037,-6.65984505459115,-12.1988619146606,-5.27080033718291
1.057,-4.09340789450086,-6.66349377288708,-12.2172455235813,-5.26952471648717
1.058,-4.09001151864565,-6.66716278737662,-12.2356552526348,-5.26825109976712
1.059,-4.08661543068553,-6.67085221193733,-12.2540905141716,-5.26697951907264
1.06,-4.08321966585594,-6.67456216104266,-12.2725507054542,-5.26571000669693
1.061,-4.07982425966897,-6.67829274976462,-12.2910352083939,-5.26444259517831
1.062,-4.07642924791521,-6.68204409377635,-12.3095433892829,-5.26317731730181
1.063,-4.07303466666575,-6.68581630935466,-12.3280745985249,-5.26191420610093
1.064,-4.06964055227411,-6.68960951338262,-12.3466281703614,-5.26065329485933
1.065,-4.06624694137818,-6.69342382335214,-12.3652034225956,-5.25939461711256
1.066,-4.06285387090224,-6.69725935736657,-12.3837996563132,-5.25813820664978
1.067,-4.0594613780589,-6.70111623414323,-12.4024161556,-5.2568840975155
1.068,-4.05606950035112,-6.70499457301605,-12.421052187257,-5.25563232401135
1.069,-4.05267827557423,-6.70889449393808,-12.439707000512,-5.2543829206978
1.07,-4.04928774181791,-6.71281611748413,-12.4583798267294,-5.25313592239598
1.071,-4.04589793746823,-6.71675956485331,-12.477069879116,-5.25189136418942
1.072,-4.04250890120974,-6.72072495787161,-12.4957763524249,-5.25064928142586
1.073,-4.03912067202744,-6.72471241899449,-12.5144984226566,-5.24940970971906
1.074,-4.03573328920892,-6.72872207130942,-12.5332352467577,-5.24817268495055
1.075,-4.03234679234639,-6.73275403853849,-12.5519859623164,-5.24693824327154
1.076,-4.02896122133876,-6.73680844504095,-12.5707496872565,-5.24570642110469
1.077,-4.02557661639379,-6.74088541581576,-12.5895255195286,-5.24447725514594
1.078,-4.02219301803013,-6.74498507650419,-12.608312536799,-5.24325078236642
1.079,-4.01881046707951,-6.74910755339233,-12.6271097961368,-5.24202704001424
1.08,-4.01542900468882,-6.75325297341366,-12.6459163336985,-5.24080606561641
1.081,-4.01204867232225,-6.75742146415161,-12.6647311644116,-5.2395878969807
1.082,-4.00866951176351,-6.76161315384209,-12.6835532816549,-5.23837257219753
1.083,-4.00529156511791,-6.765828171376,-12.7023816569391,-5.23716012964188
1.084,-4.00191487481461,-6.77006664630178,-12.7212152395839,-5.23595060797516
1.085,-3.99853948360875,-6.77432870882796,-12.7400529563954,-5.2347440461472
1.086,-3.9951654345837,-6.77861448982558,-12.7588937113408,-5.23354048339812
1.087,-3.99179277115324,-6.78292412083083,-12.7777363852235,-5.23233995926028
1.088,-3.98842153706381,-6.78725773404743,-12.7965798353562,-5.23114251356028
1.089,-3.9850517763967,-6.79161546234916,-12.8154228952336,-5.22994818642083
1.09,-3.98168353357036,-6.79599743928238,-12.8342643742049,-5.2287570182628
1.091,-3.97831685334259,-6.80040379906844,-12.8531030571454,-5.22756904980718
1.092,-3.97495178081288,-6.80483467660614,-12.8719377041283,-5.22638432207703
1.093,-3.97158836142462,-6.80929020747425,-12.8907670500969,-5.22520287639952
1.094,-3.96822664096745,-6.81377052793385,-12.9095898045363,-5.22402475440794
1.095,-3.96486666557952,-6.81827577493084,-12.9284046511463,-5.22284999804371
1.096,-3.96150848174985,-6.82280608609827,-12.947210247515,-5.2216786495584
1.097,-3.95815213632061,-6.8273615997588,-12.9660052247931,-5.22051075151578
1.098,-3.9547976764895,-6.83194245492707,-12.9847881873699,-5.21934634679387
1.099,-3.95144514981207,-6.83654879131204,-13.0035577125508,-5.21818547858701
1.1,-3.94809460420409,-6.84118074931939,-13.0223123502366,-5.21702819040789
1.101,-3.94474608794392,-6.84583847005382,-13.0410506226051,-5.2158745260897
1.102,-3.94139964967492,-6.85052209532135,-13.059771023795,-5.21472452978814
1.103,-3.93805533840779,-6.85523176763172,-13.078472019593,-5.21357824598356
1.104,-3.93471320352304,-6.85996763020055,-13.0971520471236,-5.2124357194831
1.105,-3.93137329477336,-6.86472982695168,-13.1158095145432,-5.21129699542272
1.106,-3.92803566228607,-6.86951850251942,-13.1344428007368,-5.21016211926943
1.107,-3.92470035656555,-6.87433380225075,-13.1530502550209,-5.20903113682335
1.108,-3.92136742849573,-6.8791758722075,-13.1716301968487,-5.2079040942199
1.109,-3.91803692934247,-6.88404485916858,-13.1901809155227,-5.20678103793195
1.11,-3.91470891075614,-6.88894091063213,-13.2087006699113,-5.20566201477196
1.111,-3.91138342477402,-6.89386417481762,-13.2271876881716,-5.20454707189422
1.112,-3.90806052382283,-6.89881480066798,-13.2456401674792,-5.20343625679696
1.113,-3.90474026072125,-6.90379293785171,-13.264056273764,-5.20232961732459
1.114,-3.90142268868241,-6.90879873676488,-13.2824341414543,-5.20122720166991
1.115,-3.89810786131644,-6.91383234853323,-13.3007718732276,-5.2001290583763
1.116,-3.894795832633,-6.91889392501408,-13.3190675397707,-5.19903523633996
1.117,-3.89148665704386,-6.92398361879841,-13.3373191795482,-5.19794578481215
1.118,-3.8881803893654,-6.92910158321271,-13.3555247985802,-5.1968607534014
1.119,-3.88487708482125,-6.93424797232093,-13.3736823702306,-5.19578019207579
1.12,-3.88157679904485,-6.93942294092636,-13.3917898350053,-5.19470415116522
1.121,-3.87827958808203,-6.94462664457347,-13.4098451003617,-5.19363268136366
1.122,-3.87498550839363,-6.94985923954969,-13.4278460405299,-5.19256583373143
1.123,-3.8716946168581,-6.95512088288722,-13.445790496346,-5.19150365969748
