Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1000000000,-6.6587505,-56.740868
1001000000,-6.6586747,-56.791683
1002000000,-6.6772957,-56.595993
1003000000,-6.6877775,-56.600216
1004000000,-6.6508431,-56.801449
1005000000,-6.7049866,-56.844456
1006000000,-6.6969967,-57.017937
1007000000,-6.6861162,-57.129707
1008000000,-6.6711535,-56.937084
1009000000,-6.6822133,-56.986015
1010000000,-6.6613116,-57.140339
1011000000,-6.7137241,-57.234509
1012000000,-6.7069068,-57.02721
1013000000,-6.6780381,-57.393208
1014000000,-6.6776233,-57.39333
1015000000,-6.6805363,-57.607121
1016000000,-6.6858006,-57.216705
1017000000,-6.6931076,-57.476269
1018000000,-6.7197747,-57.715229
1019000000,-6.7078395,-57.718765
1020000000,-6.7033668,-57.724838
1021000000,-6.6684461,-57.879154
1022000000,-6.6892834,-57.703701
1023000000,-6.7011647,-57.968395
1024000000,-6.7230735,-58.108559
1025000000,-6.7251129,-57.958595
1026000000,-6.700182,-57.998314
1027000000,-6.6900005,-58.001617
1028000000,-6.7248039,-58.272339
1029000000,-6.7087603,-58.206913
1030000000,-6.7182236,-58.314838
1031000000,-6.7174993,-58.33485
1032000000,-6.7370343,-58.514595
1033000000,-6.723628,-58.36404
1034000000,-6.7206874,-58.589371
1035000000,-6.72539,-58.558933
1036000000,-6.7170734,-58.63591
1037000000,-6.7321281,-58.872623
1038000000,-6.7053709,-58.763424
1039000000,-6.725584,-58.812183
1040000000,-6.7297759,-58.865528
1041000000,-6.7594776,-59.004784
1042000000,-6.7588186,-59.009777
1043000000,-6.70998,-58.979565
1044000000,-6.7134886,-59.129631
1045000000,-6.7323942,-59.102112
1046000000,-6.7315826,-59.61034
1047000000,-6.7394118,-59.210419
1048000000,-6.7732787,-59.332462
1049000000,-6.7288218,-59.436184
1050000000,-6.732357,-59.361046
1051000000,-6.7480874,-59.463203
1052000000,-6.7235231,-59.559864
1053000000,-6.7599931,-59.738987
1054000000,-6.7400618,-59.687691
1055000000,-6.7350626,-59.719185
1056000000,-6.7550087,-59.786095
1057000000,-6.725708,-60.007938
1058000000,-6.7626691,-59.909542
1059000000,-6.7693815,-59.99078
1060000000,-6.7369533,-60.139668
