f1,S21_A,S21_HFSS,f2,S21_Zolver
2000000000,-1.046881911,-1.204275711,2000000000,-1.204917684
2010000000,-1.046881911,-1.203683538,2010000000,-1.204920373
2020000000,-1.046881911,-1.203102616,2020000000,-1.204921045
2030000000,-1.046881911,-1.202533806,2030000000,-1.204917684
2040000000,-1.046881911,-1.201977922,2040000000,-1.204918356
2050000000,-1.046881911,-1.201435734,2050000000,-1.204918356
2060000000,-1.046881911,-1.200907964,2060000000,-1.204919701
2070000000,-1.046881911,-1.200395292,2070000000,-1.204917684
2080000000,-1.046881911,-1.19989835,2080000000,-1.204920373
2090000000,-1.046881911,-1.199417725,2090000000,-1.204918356
2100000000,-1.046881911,-1.198953962,2100000000,-1.204918356
2110000000,-1.046881911,-1.198507559,2110000000,-1.204919028
2120000000,-1.046881911,-1.19807897,2120000000,-1.204919701
2130000000,-1.046881911,-1.197668605,2130000000,-1.204918356
2140000000,-1.046881911,-1.197276831,2140000000,-1.204919028
2150000000,-1.046881911,-1.196903972,2150000128,-1.204919028
2160000000,-1.046881911,-1.196550308,2160000000,-1.204918356
2170000000,-1.046881911,-1.196216077,2169999872,-1.204919028
2180000000,-1.046881911,-1.195901478,2179999744,-1.204920373
2190000000,-1.046881911,-1.195606665,2189999616,-1.204917684
2200000000,-1.046881911,-1.195331754,2199999488,-1.204918356
2210000000,-1.046881911,-1.195076821,2209999360,-1.204919701
2220000000,-1.046881911,-1.194841901,2219999232,-1.204919028
2230000000,-1.046881911,-1.194626993,2229999104,-1.204918356
2240000000,-1.046881911,-1.194432057,2239998976,-1.204919028
2250000000,-1.046881911,-1.194257016,2249998848,-1.204918356
2260000000,-1.046881911,-1.194101757,2259998720,-1.204919701
2270000000,-1.046881911,-1.193966133,2269998592,-1.204919028
2280000000,-1.046881911,-1.19384996,2279998464,-1.204917011
2290000000,-1.046881911,-1.193753024,2289998336,-1.204919028
2300000000,-1.046881911,-1.193675074,2299998208,-1.204919701
2310000000,-1.046881911,-1.193615832,2309998080,-1.204920373
2320000000,-1.046881911,-1.193574986,2319997952,-1.204917684
2330000000,-1.046881911,-1.193552195,2329997824,-1.204919701
2340000000,-1.046881911,-1.193547092,2339997696,-1.204919028
2350000000,-1.046881911,-1.193559278,2349997568,-1.204919028
2360000000,-1.046881911,-1.19358833,2359997440,-1.204919028
2370000000,-1.046881911,-1.1936338,2369997312,-1.204919028
2380000000,-1.046881911,-1.193695214,2379997184,-1.204919701
2390000000,-1.046881911,-1.193772075,2389997056,-1.204919028
2400000000,-1.046881911,-1.193863865,2399996928,-1.204919701
2410000000,-1.046881911,-1.193970044,2409996800,-1.204919028
2420000000,-1.046881911,-1.194090052,2419996672,-1.204919701
2430000000,-1.046881911,-1.194223309,2429996544,-1.204919701
2440000000,-1.046881911,-1.19436922,2439996416,-1.204919701
2450000000,-1.046881911,-1.194527172,2449996288,-1.204919701
2460000000,-1.046881911,-1.194696536,2459996160,-1.204917684
2470000000,-1.046881911,-1.19487667,2469996032,-1.204917684
2480000000,-1.046881911,-1.195066919,2479995904,-1.204919028
2490000000,-1.046881911,-1.195266616,2489995776,-1.204919701
2500000000,-1.046881911,-1.195475082,2499995648,-1.204916339
2510000000,-1.046881911,-1.195691631,2509995520,-1.204919701
2520000000,-1.046881911,-1.195915567,2519995392,-1.204917684
2530000000,-1.046881911,-1.196146188,2529995264,-1.204920373
2540000000,-1.046881911,-1.196382785,2539995136,-1.204920373
2550000000,-1.046881911,-1.196624646,2549995008,-1.204919028
2560000000,-1.046881911,-1.196871054,2559994880,-1.204919028
2570000000,-1.046881911,-1.197121289,2569994752,-1.204918356
2580000000,-1.046881911,-1.197374633,2579994624,-1.204920373
2590000000,-1.046881911,-1.197630366,2589994496,-1.204917011
2600000000,-1.046881911,-1.197887768,2599994368,-1.204919701
2610000000,-1.046881911,-1.198146123,2609994240,-1.204919701
2620000000,-1.046881911,-1.198404718,2619994112,-1.204919028
2630000000,-1.046881911,-1.198662846,2629993984,-1.204918356
2640000000,-1.046881911,-1.198919804,2639993856,-1.204918356
2650000000,-1.046881911,-1.199174897,2649993728,-1.204919028
2660000000,-1.046881911,-1.199427436,2659993600,-1.204917011
2670000000,-1.046881911,-1.199676745,2669993472,-1.204918356
2680000000,-1.046881911,-1.199922154,2679993344,-1.204920373
2690000000,-1.046881911,-1.200163009,2689993216,-1.204917684
2700000000,-1.046881911,-1.200398663,2699993088,-1.204918356
2710000000,-1.046881911,-1.200628488,2709992960,-1.204918356
2720000000,-1.046881911,-1.200851867,2719992832,-1.204919028
2730000000,-1.046881911,-1.201068199,2729992704,-1.204918356
2740000000,-1.046881911,-1.201276902,2739992576,-1.204918356
2750000000,-1.046881911,-1.20147741,2749992448,-1.204917011
2760000000,-1.046881911,-1.201669176,2759992320,-1.204918356
2770000000,-1.046881911,-1.201851672,2769992192,-1.204918356
2780000000,-1.046881911,-1.202024393,2779992064,-1.204919701
2790000000,-1.046881911,-1.202186854,2789991936,-1.204918356
