frequency,e',e'',u',u''
1000000000,3.8707,0.2729,1.0745,-0.2022
1001000000,3.869,0.2724,1.0744,-0.202
1002000000,3.8673,0.2719,1.0743,-0.2017
1003000000,3.8656,0.2714,1.0742,-0.2014
1004000000,3.8638,0.2709,1.0741,-0.2012
1005000000,3.8621,0.2704,1.074,-0.2009
1006000000,3.8604,0.2699,1.0739,-0.2007
1007000000,3.8587,0.2694,1.0738,-0.2004
1008000000,3.857,0.2689,1.0737,-0.2001
1009000000,3.8553,0.2684,1.0736,-0.1999
1010000000,3.8536,0.2679,1.0735,-0.1996
1011000000,3.8519,0.2674,1.0734,-0.1994
1012000000,3.8502,0.2669,1.0733,-0.1991
1013000000,3.8485,0.2664,1.0732,-0.1988
1014000000,3.8468,0.266,1.0732,-0.1986
1015000000,3.8451,0.2655,1.0731,-0.1983
1016000000,3.8434,0.265,1.073,-0.1981
1017000000,3.8417,0.2645,1.0729,-0.1978
1018000000,3.8401,0.264,1.0728,-0.1975
1019000000,3.8384,0.2636,1.0727,-0.1973
1020000000,3.8367,0.2631,1.0726,-0.197
1021000000,3.8351,0.2626,1.0725,-0.1968
1022000000,3.8334,0.2621,1.0724,-0.1965
1023000000,3.8317,0.2616,1.0723,-0.1962
1024000000,3.8301,0.2612,1.0722,-0.196
1025000000,3.8284,0.2607,1.0722,-0.1957
1026000000,3.8268,0.2602,1.0721,-0.1955
1027000000,3.8251,0.2597,1.072,-0.1952
1028000000,3.8235,0.2593,1.0719,-0.1949
1029000000,3.8219,0.2588,1.0718,-0.1947
1030000000,3.8202,0.2583,1.0717,-0.1944
1031000000,3.8186,0.2579,1.0716,-0.1942
1032000000,3.817,0.2574,1.0715,-0.1939
1033000000,3.8154,0.2569,1.0714,-0.1936
1034000000,3.8137,0.2565,1.0713,-0.1934
1035000000,3.8121,0.256,1.0712,-0.1931
1036000000,3.8105,0.2556,1.0712,-0.1929
1037000000,3.8089,0.2551,1.0711,-0.1926
1038000000,3.8073,0.2546,1.071,-0.1924
1039000000,3.8057,0.2542,1.0709,-0.1921
1040000000,3.8041,0.2537,1.0708,-0.1919
1041000000,3.8025,0.2533,1.0707,-0.1916
1042000000,3.8009,0.2528,1.0706,-0.1914
1043000000,3.7993,0.2524,1.0705,-0.1911
1044000000,3.7978,0.2519,1.0705,-0.1909
1045000000,3.7962,0.2515,1.0704,-0.1906
1046000000,3.7946,0.251,1.0703,-0.1904
1047000000,3.793,0.2506,1.0702,-0.1901
1048000000,3.7914,0.2501,1.0701,-0.1899
1049000000,3.7899,0.2497,1.07,-0.1896
1050000000,3.7883,0.2492,1.0699,-0.1894
1051000000,3.7867,0.2488,1.0699,-0.1891
1052000000,3.7852,0.2484,1.0698,-0.1889
1053000000,3.7836,0.2479,1.0697,-0.1886
1054000000,3.7821,0.2475,1.0696,-0.1884
1055000000,3.7805,0.247,1.0695,-0.1881
