Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1000000000,-5.2874308,-5.022978533
1001000000,-5.3171759,-5.033498569
1002000000,-5.3030806,-5.04403231
1003000000,-5.3132071,-5.054579757
1004000000,-5.3475323,-5.065140914
1005000000,-5.3196044,-5.075715783
1006000000,-5.3461051,-5.086304366
1007000000,-5.3415923,-5.096906667
1008000000,-5.3546457,-5.107522686
1009000000,-5.3702078,-5.118152428
1010000000,-5.3803959,-5.128795895
1011000000,-5.3719831,-5.139453088
1012000000,-5.4359045,-5.150124011
1013000000,-5.3967099,-5.160808666
1014000000,-5.4008646,-5.171507055
1015000000,-5.4487448,-5.182219181
1016000000,-5.4440131,-5.192945047
1017000000,-5.4888592,-5.203684654
1018000000,-5.4700451,-5.214438006
1019000000,-5.5136719,-5.225205105
1020000000,-5.484416,-5.235985952
1021000000,-5.5205593,-5.246780551
1022000000,-5.5256367,-5.257588905
1023000000,-5.5262604,-5.268411014
1024000000,-5.5547829,-5.279246882
1025000000,-5.5472083,-5.290096511
1026000000,-5.560616,-5.300959904
1027000000,-5.5423069,-5.311837062
1028000000,-5.5926299,-5.322727989
1029000000,-5.5867929,-5.333632685
1030000000,-5.6081891,-5.344551155
1031000000,-5.6472716,-5.355483399
1032000000,-5.6600418,-5.366429421
1033000000,-5.6310492,-5.377389222
1034000000,-5.6281214,-5.388362804
1035000000,-5.6238132,-5.399350171
1036000000,-5.6644597,-5.410351323
1037000000,-5.6811638,-5.421366264
1038000000,-5.7106938,-5.432394995
1039000000,-5.6973701,-5.443437519
1040000000,-5.7057781,-5.454493837
1041000000,-5.71666,-5.465563952
1042000000,-5.7109232,-5.476647866
1043000000,-5.7255163,-5.487745581
1044000000,-5.7572107,-5.498857099
1045000000,-5.7586546,-5.509982422
1046000000,-5.7643399,-5.521121551
1047000000,-5.7704396,-5.53227449
1048000000,-5.815907,-5.543441239
1049000000,-5.8073826,-5.554621801
1050000000,-5.829309,-5.565816178
1051000000,-5.8337984,-5.577024371
1052000000,-5.8366961,-5.588246383
1053000000,-5.854506,-5.599482215
1054000000,-5.8613682,-5.610731869
1055000000,-5.8982682,-5.621995347
1056000000,-5.9029732,-5.633272651
1057000000,-5.898561,-5.644563781
1058000000,-5.9243155,-5.655868741
1059000000,-5.9293447,-5.667187532
1060000000,-5.9256916,-5.678520154
1061000000,-5.9637713,-5.689866611
1062000000,-5.9376402,-5.701226903
1063000000,-5.971272,-5.712601032
1064000000,-5.9442453,-5.723989
1065000000,-5.9897575,-5.735390807
1066000000,-5.995719,-5.746806456
1067000000,-6.0256047,-5.758235949
1068000000,-6.0264354,-5.769679285
1069000000,-6.0240946,-5.781136467
1070000000,-6.0443702,-5.792607496
1071000000,-6.0754948,-5.804092374
1072000000,-6.043119,-5.815591101
1073000000,-6.0882931,-5.827103679
1074000000,-6.0711803,-5.838630108
1075000000,-6.1060591,-5.850170391
1076000000,-6.0969234,-5.861724529
1077000000,-6.1144567,-5.873292521
1078000000,-6.1284366,-5.88487437
1079000000,-6.1459241,-5.896470077
1080000000,-6.1395736,-5.908079642
1081000000,-6.1855574,-5.919703066
1082000000,-6.207808,-5.931340351
1083000000,-6.2012014,-5.942991496
1084000000,-6.2113109,-5.954656503
1085000000,-6.2153363,-5.966335374
1086000000,-6.2204819,-5.978028107
1087000000,-6.2367649,-5.989734705
1088000000,-6.2484951,-6.001455167
1089000000,-6.2492604,-6.013189495
1090000000,-6.273344,-6.024937688
1091000000,-6.3018479,-6.036699749
1092000000,-6.2860913,-6.048475676
1093000000,-6.3348627,-6.06026547
1094000000,-6.3358908,-6.072069132
1095000000,-6.3407884,-6.083886663
1096000000,-6.3204556,-6.095718061
1097000000,-6.3427172,-6.107563329
1098000000,-6.3751259,-6.119422465
1099000000,-6.3945947,-6.131295471
1100000000,-6.4133987,-6.143182345
1101000000,-6.4119191,-6.155083089
1102000000,-6.4031754,-6.166997702
1103000000,-6.4633131,-6.178926184
1104000000,-6.4489956,-6.190868536
1105000000,-6.4384294,-6.202824756
1106000000,-6.463028,-6.214794845
1107000000,-6.4713564,-6.226778803
1108000000,-6.495739,-6.238776629
1109000000,-6.4781828,-6.250788323
1110000000,-6.4934907,-6.262813885
1111000000,-6.5295444,-6.274853314
1112000000,-6.5660982,-6.286906609
