Freq(Hz),S21 Log Mag_measured(dB),S21 Log Mag_HFSS(dB)
1000000000,0.075243369,-0.086268017
1001000000,0.070801236,-0.08628952
1002000000,0.082808293,-0.086311062
1003000000,0.076650299,-0.086332643
1004000000,0.07391312,-0.086354264
1005000000,0.090489514,-0.086375922
1006000000,0.055391997,-0.086397617
1007000000,0.10608042,-0.08641935
1008000000,0.10189336,-0.08644112
1009000000,0.064422525,-0.086462925
1010000000,0.071754821,-0.086484766
1011000000,0.10019661,-0.086506642
1012000000,0.05794134,-0.086528552
1013000000,0.10041723,-0.086550497
1014000000,0.088881992,-0.086572475
1015000000,0.10853089,-0.086594486
1016000000,0.089552648,-0.086616529
1017000000,0.078889653,-0.086638605
1018000000,0.06765911,-0.086660712
1019000000,0.06063835,-0.08668285
1020000000,0.099001005,-0.086705018
1021000000,0.053126495,-0.086727217
1022000000,0.066375993,-0.086749445
1023000000,0.078445219,-0.086771702
1024000000,0.060974162,-0.086793988
1025000000,0.06091281,-0.086816302
1026000000,0.096261971,-0.086838643
1027000000,0.085771158,-0.086861012
1028000000,0.062422898,-0.086883407
1029000000,0.067058049,-0.086905828
1030000000,0.055603839,-0.086928275
1031000000,0.070934214,-0.086950748
1032000000,0.055525433,-0.086973245
1033000000,0.088185266,-0.086995766
1034000000,0.077354744,-0.087018312
1035000000,0.074867271,-0.08704088
1036000000,0.09077882,-0.087063472
1037000000,0.06674093,-0.087086086
1038000000,0.079785548,-0.087108722
1039000000,0.077722557,-0.08713138
1040000000,0.067055099,-0.087154058
1041000000,0.090126015,-0.087176758
1042000000,0.075542644,-0.087199477
1043000000,0.07146728,-0.087222216
1044000000,0.072962701,-0.087244975
1045000000,0.075430363,-0.087267752
1046000000,0.051829625,-0.087290548
1047000000,0.11644983,-0.087313361
1048000000,0.065640867,-0.087336192
1049000000,0.051984683,-0.08735904
1050000000,0.064218447,-0.087381905
1051000000,0.073544778,-0.087404786
1052000000,0.052374434,-0.087427683
1053000000,0.063986264,-0.087450595
1054000000,0.073993884,-0.087473522
1055000000,0.071443342,-0.087496463
1056000000,0.055148572,-0.087519419
1057000000,0.078583106,-0.087542388
1058000000,0.051875073,-0.08756537
1059000000,0.06822928,-0.087588365
1060000000,0.063268431,-0.087611372
1061000000,0.069239654,-0.087634392
1062000000,0.073538542,-0.087657422
1063000000,0.070924282,-0.087680464
1064000000,0.078029305,-0.087703517
1065000000,0.074993461,-0.087726579
1066000000,0.061932389,-0.087749652
1067000000,0.084457539,-0.087772734
1068000000,0.081978403,-0.087795825
1069000000,0.055160854,-0.087818924
1070000000,0.044954296,-0.087842032
1071000000,0.044096805,-0.087865148
1072000000,0.098468646,-0.087888271
1073000000,0.072730124,-0.087911401
1074000000,0.070400141,-0.087934538
1075000000,0.046471134,-0.087957681
1076000000,0.067578971,-0.087980829
1077000000,0.073789723,-0.088003983
1078000000,0.060787003,-0.088027142
1079000000,0.054300029,-0.088050306
1080000000,0.068109266,-0.088073474
1081000000,0.067056045,-0.088096646
1082000000,0.060225572,-0.088119821
1083000000,0.075693153,-0.088143
1084000000,0.07918366,-0.088166181
1085000000,0.0785653,-0.088189364
1086000000,0.031664353,-0.088212549
1087000000,0.092027716,-0.088235736
1088000000,0.087025963,-0.088258924
1089000000,0.087134615,-0.088282113
1090000000,0.061753452,-0.088305302
1091000000,0.071325079,-0.088328491
1092000000,0.06028834,-0.08835168
1093000000,0.055616125,-0.088374868
1094000000,0.073900901,-0.088398056
1095000000,0.070981093,-0.088421241
1096000000,0.080299512,-0.088444425
1097000000,0.052570656,-0.088467607
1098000000,0.067990392,-0.088490786
1099000000,0.045383207,-0.088513962
1100000000,0.068971723,-0.088537135
1101000000,0.05236714,-0.088560305
1102000000,0.065242037,-0.08858347
1103000000,0.078897901,-0.088606631
1104000000,0.052382845,-0.088629788
1105000000,0.084272966,-0.088652939
1106000000,0.10376978,-0.088676085
1107000000,0.053971663,-0.088699225
1108000000,0.066666588,-0.08872236
1109000000,0.07792259,-0.088745487
1110000000,0.076791622,-0.088768608
1111000000,0.068638489,-0.088791722
1112000000,0.061994478,-0.088814828
1113000000,0.050213724,-0.088837927
1114000000,0.070991352,-0.088861017
1115000000,0.073044732,-0.088884099
1116000000,0.050417561,-0.088907172
1117000000,0.06389831,-0.088930236
1118000000,0.035998676,-0.08895329
1119000000,0.0316348,-0.088976334
1120000000,0.074497245,-0.088999368
1121000000,0.060971472,-0.089022392
1122000000,0.071161307,-0.089045405
1123000000,0.042573176,-0.089068407
1124000000,0.047117319,-0.089091397
1125000000,0.059436601,-0.089114375
1126000000,0.036332402,-0.089137341
1127000000,0.088786773,-0.089160295
1128000000,0.06172156,-0.089183236
1129000000,0.061524853,-0.089206163
1130000000,0.067003518,-0.089229078
1131000000,0.043713272,-0.089251978
1132000000,0.041299462,-0.089274864
1133000000,0.050604969,-0.089297736
1134000000,0.077502109,-0.089320593
1135000000,0.069146663,-0.089343436
1136000000,0.045852363,-0.089366262
1137000000,0.054356761,-0.089389074
1138000000,0.048224065,-0.089411869
1139000000,0.061417531,-0.089434648
1140000000,0.048700579,-0.08945741
1141000000,0.065573417,-0.089480155
1142000000,0.045006271,-0.089502884
1143000000,0.065984048,-0.089525594
1144000000,0.057183377,-0.089548287
1145000000,0.063294657,-0.089570962
1146000000,0.06014074,-0.089593618
1147000000,0.051897805,-0.089616256
1148000000,0.056792732,-0.089638874
1149000000,0.049097519,-0.089661474
1150000000,0.049233094,-0.089684053
1151000000,0.051256835,-0.089706613
1152000000,0.059152476,-0.089729153
1153000000,0.074197955,-0.089751672
1154000000,0.071714424,-0.08977417
1155000000,0.04976853,-0.089796647
1156000000,0.012272147,-0.089819103
1157000000,0.052829109,-0.089841537
1158000000,0.053487841,-0.08986395
1159000000,0.052981213,-0.08988634
1160000000,0.080646932,-0.089908707
1161000000,0.039028529,-0.089931052
1162000000,0.055346113,-0.089953374
1163000000,0.060513068,-0.089975672
1164000000,0.017495094,-0.089997947
1165000000,0.040240336,-0.090020198
1166000000,0.046701014,-0.090042425
1167000000,0.072452478,-0.090064627
1168000000,0.05701717,-0.090086804
1169000000,0.02204399,-0.090108957
1170000000,0.020347467,-0.090131084
