frequency, S11, S12, S21, S22
1000000000.0000000000, -62.0665125493, -0.0129634685, -0.0129676462, -62.0663693394
1001000000.0000000000, -61.9660368167, -0.0129664526, -0.0129658558, -61.9654822923
1002000000.0000000000, -61.8653357695, -0.0129688399, -0.0129700335, -61.8659017479
1003000000.0000000000, -61.7663492372, -0.0129694367, -0.0129712271, -61.7665285629
1004000000.0000000000, -61.6668325460, -0.0129724208, -0.0129742112, -61.6675638500
1005000000.0000000000, -61.5684283177, -0.0129742112, -0.0129765985, -61.5685129265
1006000000.0000000000, -61.4710798465, -0.0129760017, -0.0129742112, -61.4713736557
1007000000.0000000000, -61.3728110148, -0.0129771953, -0.0129771953, -61.3728390305
1008000000.0000000000, -61.2760555064, -0.0129771953, -0.0129760017, -61.2754664570
1009000000.0000000000, -61.1800263742, -0.0129801795, -0.0129813731, -61.1796553912
1010000000.0000000000, -61.0833214999, -0.0129813731, -0.0129813731, -61.0825123723
1011000000.0000000000, -60.9888555354, -0.0129831636, -0.0129831636, -60.9882157656
1012000000.0000000000, -60.8921912199, -0.0129873413, -0.0129879381, -60.8916335950
1013000000.0000000000, -60.7964482959, -0.0129879381, -0.0129849540, -60.7966608881
1014000000.0000000000, -60.7028960825, -0.0129903254, -0.0129879381, -60.7027076434
1015000000.0000000000, -60.6090658564, -0.0129897286, -0.0129897286, -60.6083730644
1016000000.0000000000, -60.5151752264, -0.0129927127, -0.0129945032, -60.5143504638
1017000000.0000000000, -60.4221452103, -0.0129915191, -0.0129927127, -60.4213545372
1018000000.0000000000, -60.3283806677, -0.0129962936, -0.0129962936, -60.3285660660
1019000000.0000000000, -60.2363969413, -0.0129962936, -0.0129986809, -60.2362738348
1020000000.0000000000, -60.1446912324, -0.0129986809, -0.0129992777, -60.1439860406
1021000000.0000000000, -60.0523958092, -0.0130022618, -0.0130022618, -60.0529727567
1022000000.0000000000, -59.9610904078, -0.0130010682, -0.0130016650, -59.9610483033
1023000000.0000000000, -59.8703487339, -0.0130034555, -0.0130022618, -59.8702727032
1024000000.0000000000, -59.7798588739, -0.0130070364, -0.0130088269, -59.7796098676
1025000000.0000000000, -59.6896113772, -0.0130070364, -0.0130064396, -59.6892872093
1026000000.0000000000, -59.5994752664, -0.0130100205, -0.0130100205, -59.5995357292
1027000000.0000000000, -59.5101389886, -0.0130112142, -0.0130112142, -59.5102078578
1028000000.0000000000, -59.4217444554, -0.0130159888, -0.0130147951, -59.4219217630
1029000000.0000000000, -59.3334715155, -0.0130153919, -0.0130141983, -59.3334020953
1030000000.0000000000, -59.2447584984, -0.0130177792, -0.0130177792, -59.2442794719
1031000000.0000000000, -59.1570707612, -0.0130177792, -0.0130171824, -59.1566088667
1032000000.0000000000, -59.0696591186, -0.0130225538, -0.0130225538, -59.0696291635
1033000000.0000000000, -58.9821887386, -0.0130231506, -0.0130249411, -58.9819902134
1034000000.0000000000, -58.8950512574, -0.0130291189, -0.0130285220, -58.8950201388
1035000000.0000000000, -58.8084463919, -0.0130297157, -0.0130321030, -58.8082229378
1036000000.0000000000, -58.7220494667, -0.0130291189, -0.0130297157, -58.7225843047
1037000000.0000000000, -58.6361663962, -0.0130315062, -0.0130303125, -58.6366630570
1038000000.0000000000, -58.5510804606, -0.0130309093, -0.0130315062, -58.5509276914
1039000000.0000000000, -58.4661282086, -0.0130380712, -0.0130374744, -58.4652483855
1040000000.0000000000, -58.3802322357, -0.0130356839, -0.0130362807, -58.3809128730
1041000000.0000000000, -58.2959272267, -0.0130404585, -0.0130386680, -58.2961577411
1042000000.0000000000, -58.2125092609, -0.0130452331, -0.0130422490, -58.2121809038
1043000000.0000000000, -58.1286938555, -0.0130446363, -0.0130446363, -58.1284827488
1044000000.0000000000, -58.0445414967, -0.0130482172, -0.0130482172, -58.0442780874
1045000000.0000000000, -57.9613740716, -0.0130494109, -0.0130506045, -57.9613962878
1046000000.0000000000, -57.8785378159, -0.0130494109, -0.0130476204, -57.8786229087
1047000000.0000000000, -57.7960965243, -0.0130547823, -0.0130553791, -57.7955140731
1048000000.0000000000, -57.7136940828, -0.0130535887, -0.0130541855, -57.7128018072
1049000000.0000000000, -57.6306050108, -0.0130571696, -0.0130571696, -57.6311831237
1050000000.0000000000, -57.5492760934, -0.0130613474, -0.0130595569, -57.5492150765
1051000000.0000000000, -57.4682795060, -0.0130613474, -0.0130655252, -57.4673818822
1052000000.0000000000, -57.3864414744, -0.0130685093, -0.0130649283, -57.3864942734
1053000000.0000000000, -57.3056487160, -0.0130661220, -0.0130661220, -57.3051644476
1054000000.0000000000, -57.2245085346, -0.0130691061, -0.0130667188, -57.2251440619
1055000000.0000000000, -57.1446631590, -0.0130702998, -0.0130720903, -57.1443560561
1056000000.0000000000, -57.0645131414, -0.0130702998, -0.0130720903, -57.0646735248
1057000000.0000000000, -56.9845189286, -0.0130768649, -0.0130768649, -56.9839318581
1058000000.0000000000, -56.9053456575, -0.0130768649, -0.0130780585, -56.9055421098
1059000000.0000000000, -56.8259025326, -0.0130792522, -0.0130798490, -56.8259736527
1060000000.0000000000, -56.7468752321, -0.0130828331, -0.0130840268, -56.7469295092
1061000000.0000000000, -56.6681774403, -0.0130852204, -0.0130858173, -56.6683450545
1062000000.0000000000, -56.5903372713, -0.0130882046, -0.0130870109, -56.5900373778
1063000000.0000000000, -56.5116973048, -0.0130882046, -0.0130888014, -56.5116515791
1064000000.0000000000, -56.4334440911, -0.0130959633, -0.0130929792, -56.4333947767
1065000000.0000000000, -56.3559093980, -0.0130947697, -0.0130911887, -56.3556751717
1066000000.0000000000, -56.2784811394, -0.0130947697, -0.0130929792, -56.2783969757
1067000000.0000000000, -56.2010291203, -0.0130965602, -0.0130971570, -56.2014878195
1068000000.0000000000, -56.1243272895, -0.0131007379, -0.0131007379, -56.1237618319
1069000000.0000000000, -56.0474267080, -0.0131025284, -0.0131019316, -56.0477145583
1070000000.0000000000, -55.9709208755, -0.0131067062, -0.0131073031, -55.9711588173
1071000000.0000000000, -55.8951205286, -0.0131084967, -0.0131078999, -55.8948544827
1072000000.0000000000, -55.8189511305, -0.0131120777, -0.0131120777, -55.8188126237
1073000000.0000000000, -55.7432642480, -0.0131150618, -0.0131144650, -55.7432231318
1074000000.0000000000, -55.6678237153, -0.0131198365, -0.0131186428, -55.6676848496
1075000064.0000000000, -55.5926089208, -0.0131222238, -0.0131222238, -55.5924384532
