Freq(Hz),S21 Phase_HFSS,S21 Phase_milled,S21 Phase_z0lver
1000000000,-26.59052247,-128.03087,-132.9900414
1001000000,-26.79969665,-128.14154,-133.1291854
1002000000,-27.00888305,-128.19481,-133.2683683
1003000000,-27.21808168,-128.40608,-133.4075706
1004000000,-27.42729257,-128.52483,-133.5467826
1005000000,-27.63651574,-128.61418,-133.6860043
1006000000,-27.84575123,-128.49913,-133.8252649
1007000000,-28.05499905,-128.85139,-133.9645449
1008000000,-28.26425924,-128.76862,-134.1038249
1009000000,-28.47353182,-129.05669,-134.2431437
1010000000,-28.68281681,-128.9743,-134.382482
1011000000,-28.89211425,-129.40973,-134.52183
1012000000,-29.10142415,-129.5619,-134.6612266
1013000000,-29.31074654,-129.50137,-134.8006135
1014000000,-29.52008145,-129.94637,-134.9400489
1015000000,-29.72942891,-129.77426,-135.0794649
1016000000,-29.93878893,-129.71022,-135.2189392
1017000000,-30.14816155,-130.12477,-135.3584232
1018000000,-30.3575468,-130.18933,-135.4979363
1019000000,-30.56694469,-130.36623,-135.6374495
1020000000,-30.77635525,-130.37076,-135.7770014
1021000000,-30.98577851,-130.57289,-135.9165534
1022000000,-31.1952145,-130.91783,-136.056154
1023000000,-31.40466324,-130.98721,-136.1957643
1024000000,-31.61412475,-130.83293,-136.3354134
1025000000,-31.82359907,-131.14198,-136.4750529
1026000000,-32.03308622,-131.20508,-136.6147214
1027000000,-32.24258622,-131.48454,-136.7544191
1028000000,-32.4520991,-131.57384,-136.8941363
1029000000,-32.66162489,-131.72438,-137.0338825
1030000000,-32.87116361,-131.81621,-137.1736288
1031000000,-33.08071529,-132.04799,-137.3134139
1032000000,-33.29027996,-131.99596,-137.4532088
1033000000,-33.49985763,-132.09207,-137.5930425
1034000000,-33.70944834,-132.26064,-137.7328956
1035000000,-33.91905211,-132.38173,-137.8727682
1036000000,-34.12866897,-132.60861,-138.0126505
1037000000,-34.33829895,-132.78696,-138.1525425
1038000000,-34.54794207,-132.89731,-138.2924927
1039000000,-34.75759835,-133.01662,-138.4324333
1040000000,-34.96726782,-133.04411,-138.5724127
1041000000,-35.17695051,-133.02826,-138.712431
1042000000,-35.38664645,-133.26869,-138.8524298
1043000000,-35.59635566,-133.52599,-138.9924675
1044000000,-35.80607816,-133.53235,-139.1325246
1045000000,-36.01581399,-133.63509,-139.2726206
1046000000,-36.22556317,-133.90654,-139.412736
1047000000,-36.43532572,-133.88544,-139.5528514
1048000000,-36.64510167,-134.33789,-139.6930057
1049000000,-36.85489105,-134.13747,-139.8331794
1050000000,-37.06469388,-134.42279,-139.973392
1051000000,-37.27451019,-134.65503,-140.1135948
1052000000,-37.48434,-134.4528,-140.2538268
1053000000,-37.69418335,-134.75542,-140.3940879
1054000000,-37.90404026,-134.78189,-140.5343782
1055000000,-38.11391075,-134.8445,-140.6746879
1056000000,-38.32379484,-135.37613,-140.815017
1057000000,-38.53369258,-135.38669,-140.9553655
1058000000,-38.74360398,-135.53296,-141.0957432
1059000000,-38.95352906,-135.83072,-141.2361403
1060000000,-39.16346786,-135.5405,-141.3765569
1061000000,-39.37342041,-135.60645,-141.5170026
1062000000,-39.58338672,-136.05597,-141.6574677
1063000000,-39.79336682,-136.00436,-141.7979522
1064000000,-40.00336074,-136.20944,-141.9384659
1065000000,-40.21336851,-136.29323,-142.0789699
1066000000,-40.42339015,-136.43697,-142.2195419
1067000000,-40.63342569,-136.54619,-142.3601138
1068000000,-40.84347515,-136.57332,-142.5007247
1069000000,-41.05353857,-136.97342,-142.6413258
1070000000,-41.26361596,-136.83986,-142.7819755
1071000000,-41.47370735,-137.03055,-142.9226543
1072000000,-41.68381278,-137.23502,-143.0633428
1073000000,-41.89393226,-137.157,-143.2040508
1074000000,-42.10406582,-137.41692,-143.3447976
1075000000,-42.3142135,-137.54024,-143.4855542
1076000000,-42.52437531,-137.74583,-143.6263204
1077000000,-42.73455128,-137.77823,-143.7671352
1078000000,-42.94474144,-137.97072,-143.9079501
1079000000,-43.15494581,-138.07712,-144.0487746
1080000000,-43.36516442,-138.37656,-144.1896477
1081000000,-43.5753973,-138.43924,-144.3305305
1082000000,-43.78564448,-138.5367,-144.4714522
1083000000,-43.99590597,-138.75836,-144.612403
1084000000,-44.20618181,-138.63672,-144.7533636
1085000000,-44.41647203,-138.95976,-144.8943338
1086000000,-44.62677664,-138.91434,-145.0353235
1087000000,-44.83709568,-139.33717,-145.1763811
1088000000,-45.04742918,-139.31265,-145.3174291
1089000000,-45.25777715,-139.50967,-145.4584771
1090000000,-45.46813962,-139.35184,-145.599593
1091000000,-45.67851663,-139.53035,-145.7407187
1092000000,-45.8889082,-139.77966,-145.8818735
1093000000,-46.09931435,-139.77786,-146.0230283
1094000000,-46.30973512,-140.18156,-146.1642317
1095000000,-46.52017052,-140.27184,-146.3054351
1096000000,-46.73062059,-140.19772,-146.4466773
1097000000,-46.94108535,-140.51047,-146.5879584
1098000000,-47.15156482,-140.56038,-146.7292492
1099000000,-47.36205904,-140.56801,-146.8705692
1100000000,-47.57256804,-140.86552,-147.0118892
1101000000,-47.78309182,-140.96605,-147.1532577
1102000000,-47.99363044,-140.72809,-147.2946456
1103000000,-48.2041839,-141.18568,-147.436053
1104000000,-48.41475225,-141.43987,-147.5774798
1105000000,-48.62533549,-141.29816,-147.7189455
1106000000,-48.83593367,-141.63301,-147.8604306
1107000000,-49.04654681,-141.73653,-148.0019254
1108000000,-49.25717493,-141.97577,-148.143459
1109000000,-49.46781806,-141.98174,-148.2850024
1110000000,-49.67847623,-141.97017,-148.4265944
1111000000,-49.88914947,-142.39192,-148.568196
1112000000,-50.09983779,-142.39583,-148.7098268
1113000000,-50.31054124,-142.54456,-148.8514771
1114000000,-50.52125983,-142.44978,-148.9931467
1115000000,-50.73199359,-142.72296,-149.1348552
1116000000,-50.94274255,-142.97983,-149.2765735
1117000000,-51.15350674,-142.97266,-149.4183111
1118000000,-51.36428618,-143.13676,-149.5601071
1119000000,-51.57508089,-143.29614,-149.7019127
1120000000,-51.78589092,-143.53346,-149.8437184
1121000000,-51.99671627,-143.3987,-149.9855726
1122000000,-52.20755699,-143.63982,-150.1274462
1123000000,-52.41841309,-143.8036,-150.2693393
1124000000,-52.62928461,-143.7962,-150.4112713
1125000000,-52.84017157,-144.25429,-150.5532032
1126000000,-53.05107399,-143.99719,-150.6951837
1127000000,-53.26199191,-144.26724,-150.8371836
1128000000,-53.47292535,-144.26102,-150.979203
1129000000,-53.68387434,-144.6026,-151.1212418
