!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 16:43:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-17.992168,-0.23314343
1001000000,-17.976276,-0.24375808
1002000000,-18.042442,-0.23030657
1003000000,-17.875776,-0.21415035
1004000000,-17.898752,-0.2402162
1005000000,-17.933378,-0.23847014
1006000000,-17.896658,-0.22822
1007000000,-17.869255,-0.22993299
1008000000,-17.829586,-0.22308345
1009000000,-17.843483,-0.23638186
1010000000,-17.881773,-0.24239223
1011000000,-17.798931,-0.24572851
1012000000,-17.77187,-0.23771822
1013000000,-17.849127,-0.23130673
1014000000,-17.798542,-0.2302442
1015000000,-17.72134,-0.22321966
1016000000,-17.765961,-0.22283785
1017000000,-17.718233,-0.27021974
1018000000,-17.706808,-0.21072815
1019000000,-17.690838,-0.22086762
1020000000,-17.73625,-0.23262827
1021000000,-17.698772,-0.2166284
1022000000,-17.696648,-0.24275871
1023000000,-17.703814,-0.23633604
1024000000,-17.738272,-0.24813592
1025000000,-17.570177,-0.21453591
1026000000,-17.609886,-0.22163387
1027000000,-17.657879,-0.24502762
1028000000,-17.642279,-0.24549577
1029000000,-17.574327,-0.20300654
1030000000,-17.585194,-0.24206577
1031000000,-17.564924,-0.236048
1032000000,-17.480381,-0.2553443
1033000000,-17.580194,-0.25695059
1034000000,-17.52404,-0.25827065
1035000000,-17.557545,-0.24057394
1036000000,-17.529057,-0.24572338
1037000000,-17.489668,-0.24291636
1038000000,-17.522568,-0.2518734
1039000000,-17.521761,-0.25533834
1040000000,-17.5002,-0.27381867
1041000000,-17.466406,-0.24270441
1042000000,-17.443449,-0.24930668
1043000000,-17.464186,-0.24850835
1044000000,-17.457872,-0.26684758
1045000000,-17.456816,-0.25550389
1046000000,-17.364473,-0.21692871
1047000000,-17.480482,-0.25924835
1048000000,-17.433737,-0.26072147
1049000000,-17.415937,-0.28189829
1050000000,-17.36948,-0.24466312
1051000000,-17.40876,-0.25118506
1052000000,-17.346607,-0.25023431
1053000000,-17.377552,-0.23455466
1054000000,-17.365906,-0.24412908
1055000000,-17.379137,-0.23212177
1056000000,-17.372122,-0.24996671
1057000000,-17.323515,-0.25689474
1058000000,-17.291639,-0.25906444
1059000000,-17.351995,-0.26133049
1060000000,-17.338377,-0.24271259
1061000000,-17.289768,-0.24665248
1062000000,-17.288898,-0.2505374
1063000000,-17.353342,-0.26386097
1064000000,-17.332216,-0.24699746
1065000000,-17.289049,-0.27995017
1066000000,-17.291174,-0.26636785
1067000000,-17.19383,-0.23125203
1068000000,-17.341745,-0.26400223
1069000000,-17.287672,-0.2809059
1070000000,-17.243502,-0.2609379
1071000000,-17.27043,-0.2560119
1072000000,-17.205307,-0.24218614
1073000000,-17.252731,-0.26858127
1074000000,-17.245192,-0.24538091
1075000000,-17.246284,-0.25196552
1076000000,-17.211018,-0.25356004
1077000000,-17.318712,-0.28417379
1078000000,-17.171482,-0.24090077
1079000000,-17.158691,-0.23154499
1080000000,-17.118151,-0.24073169
1081000000,-17.188469,-0.26010135
1082000000,-17.154215,-0.24124976
1083000000,-17.202206,-0.26737681
1084000000,-17.179953,-0.24773681
1085000000,-17.192604,-0.27674472
1086000000,-17.231792,-0.26589
1087000000,-17.174681,-0.25918123
1088000000,-17.136234,-0.23993839
1089000000,-17.159678,-0.2756125
1090000000,-17.100735,-0.25412536
1091000000,-17.146702,-0.25561488
1092000000,-17.153875,-0.27514604
1093000000,-17.128761,-0.25665537
1094000000,-17.13946,-0.2620787
1095000000,-17.123983,-0.22893685
1096000000,-17.101835,-0.2599732
1097000000,-17.121975,-0.25842553
1098000000,-17.120155,-0.25553206
1099000000,-17.076864,-0.23499799
1100000000,-17.13975,-0.26235875
1101000000,-17.105,-0.25392702
1102000000,-17.067228,-0.23495542
1103000000,-17.129702,-0.27632779
1104000000,-17.132191,-0.24631454
1105000000,-17.13105,-0.2804265
1106000000,-17.086746,-0.27492821
1107000000,-17.109699,-0.27402613
1108000000,-17.032213,-0.22555606
1109000000,-17.043745,-0.26172069
1110000000,-17.12961,-0.28583664
1111000000,-17.135355,-0.2510561
1112000000,-17.077375,-0.24840049
1113000000,-17.085583,-0.25677946
1114000000,-17.092911,-0.24836668
1115000000,-17.103062,-0.255961
1116000000,-17.026903,-0.25144929
1117000000,-17.012209,-0.23038009
1118000000,-17.093224,-0.26922071
1119000000,-17.073463,-0.25899518
1120000000,-17.050301,-0.27078736
1121000000,-17.053482,-0.27048019
1122000000,-17.055079,-0.26889548
1123000000,-17.072784,-0.27088282
1124000000,-17.047703,-0.25966612
1125000000,-17.062557,-0.25917622
1126000000,-17.074556,-0.30420038
1127000000,-17.080803,-0.26195347
1128000000,-17.039396,-0.25552589
1129000000,-17.029371,-0.26046699
1130000000,-17.054604,-0.25227296
1131000000,-17.077442,-0.2542237
1132000000,-17.046473,-0.24240328
1133000000,-17.08783,-0.27228335
1134000000,-17.030273,-0.26109475
1135000000,-17.016867,-0.24705935
1136000000,-17.032629,-0.26735175
1137000000,-17.061646,-0.24947143
1138000000,-17.05048,-0.2754966
1139000000,-17.072178,-0.24902302
1140000000,-17.097555,-0.27126485
1141000000,-17.100651,-0.27674544
1142000000,-17.089466,-0.26091975
1143000000,-17.031654,-0.25577879
1144000000,-17.072971,-0.26905718
1145000000,-17.083408,-0.25193891
1146000000,-17.040621,-0.24617897
1147000000,-17.034187,-0.24723381
1148000000,-17.066618,-0.22967754
1149000000,-17.014523,-0.2452825
1150000000,-17.092484,-0.26739272
1151000000,-17.028086,-0.260288
1152000000,-17.121365,-0.26978678
1153000000,-17.078527,-0.26296672
1154000000,-17.043341,-0.24467143
1155000000,-17.073931,-0.27202868
1156000000,-17.08317,-0.2734471
1157000000,-17.104164,-0.26022315
1158000000,-17.082598,-0.26679939
1159000000,-17.049751,-0.26959944
1160000000,-17.143095,-0.28322133
1161000000,-17.138353,-0.26889271
1162000000,-17.107937,-0.27332377
1163000000,-17.161673,-0.28394529
1164000000,-17.083454,-0.24026528
1165000000,-17.166628,-0.27708399
1166000000,-17.158102,-0.26900679
1167000000,-17.159811,-0.27393514
1168000000,-17.135801,-0.26059651
1169000000,-17.179983,-0.30891994
1170000000,-17.167011,-0.27175906
1171000000,-17.223906,-0.31058705
1172000000,-17.132298,-0.26297772
1173000000,-17.135267,-0.2364815
1174000000,-17.206514,-0.28017107
1175000000,-17.195337,-0.2893199
1176000000,-17.141703,-0.25524107
1177000000,-17.195503,-0.2669844
1178000000,-17.216091,-0.25947803
1179000000,-17.225246,-0.28868049
1180000000,-17.209011,-0.27146879
1181000000,-17.202459,-0.27174988
1182000000,-17.207636,-0.25860173
1183000000,-17.221121,-0.25745943
1184000000,-17.24852,-0.2600984
1185000000,-17.212368,-0.26536691
1186000000,-17.229092,-0.25234756
1187000000,-17.227701,-0.27058905
1188000000,-17.251905,-0.26207098
1189000000,-17.258385,-0.2724092
1190000000,-17.279182,-0.28026041
1191000000,-17.256741,-0.26353306
1192000000,-17.289539,-0.27441421
1193000000,-17.327528,-0.26751119
1194000000,-17.339716,-0.25317881
1195000000,-17.280819,-0.25268462
1196000000,-17.342342,-0.28840947
1197000000,-17.30863,-0.26651147
1198000000,-17.321825,-0.27173382
1199000000,-17.280806,-0.25860557
1200000000,-17.358143,-0.26399741
1201000000,-17.395571,-0.28950927
1202000000,-17.380495,-0.26609483
1203000000,-17.362143,-0.24473302
1204000000,-17.346371,-0.25950268
1205000000,-17.379848,-0.2601209
1206000000,-17.428593,-0.274699
1207000000,-17.407198,-0.26342878
1208000000,-17.449621,-0.26134017
1209000000,-17.481346,-0.28221923
1210000000,-17.450056,-0.26378325
1211000000,-17.481384,-0.27127439
1212000000,-17.505964,-0.27190039
1213000000,-17.494743,-0.27111977
1214000000,-17.500565,-0.27285749
1215000000,-17.533104,-0.2672064
1216000000,-17.496946,-0.25088066
1217000000,-17.546814,-0.28147775
1218000000,-17.612541,-0.28732783
1219000000,-17.542536,-0.25826851
1220000000,-17.539564,-0.24560267
1221000000,-17.568872,-0.24835715
1222000000,-17.616533,-0.26220837
1223000000,-17.597582,-0.25686702
1224000000,-17.631998,-0.2735976
1225000000,-17.656569,-0.28135312
1226000000,-17.651691,-0.25234738
1227000000,-17.68981,-0.30039093
1228000000,-17.702147,-0.26138636
1229000000,-17.683243,-0.27381089
1230000000,-17.705133,-0.26953578
1231000000,-17.682438,-0.28580192
1232000000,-17.747673,-0.29252079
1233000000,-17.680664,-0.25365275
1234000000,-17.782213,-0.27900678
1235000000,-17.730204,-0.25691968
1236000000,-17.791248,-0.26947939
1237000000,-17.80628,-0.26773885
1238000000,-17.846762,-0.28163126
1239000000,-17.79664,-0.25007227
1240000000,-17.789059,-0.26381993
1241000000,-17.878941,-0.24651414
1242000000,-17.855314,-0.26245537
1243000000,-17.903555,-0.282433
1244000000,-17.908398,-0.25615603
1245000000,-17.8811,-0.25641531
1246000000,-17.904343,-0.2540437
1247000000,-17.906986,-0.2408783
1248000000,-17.988266,-0.2604242
1249000000,-17.982071,-0.26175636
1250000000,-17.989035,-0.26773706
1251000000,-18.000641,-0.27129218
1252000000,-18.029276,-0.27953419
1253000000,-17.989069,-0.23719263
1254000000,-18.011106,-0.2551609
