!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:48:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.23599781,-162.6423,-17.21419,98.106308
1001000000,-0.26686892,-162.83563,-17.183598,97.999069
1002000000,-0.24068263,-163.05936,-17.21582,97.811508
1003000000,-0.27908096,-163.09573,-17.234816,97.938347
1004000000,-0.25147688,-163.30873,-17.20347,97.781487
1005000000,-0.22452927,-163.5181,-17.179867,97.605766
1006000000,-0.24559805,-163.55801,-17.190701,97.446007
1007000000,-0.25319558,-163.84996,-17.201084,97.25132
1008000000,-0.23915645,-163.99341,-17.20775,97.440437
1009000000,-0.27834314,-164.10928,-17.232706,97.126366
1010000000,-0.22630961,-164.33583,-17.19788,97.020164
1011000000,-0.24857208,-164.48166,-17.21883,97.021843
1012000000,-0.24813831,-164.57162,-17.24254,96.958527
1013000000,-0.21329337,-164.64279,-17.187355,96.85257
1014000000,-0.26898894,-164.89058,-17.23502,96.675697
1015000000,-0.24403693,-165.09039,-17.213617,96.601242
1016000000,-0.22500125,-165.31458,-17.180882,96.289879
1017000000,-0.24568851,-165.33842,-17.254644,96.439476
1018000000,-0.24931799,-165.55099,-17.24194,96.414558
1019000000,-0.25606391,-165.7182,-17.239046,96.155342
1020000000,-0.22061619,-165.9662,-17.213062,96.286629
1021000000,-0.26265246,-166.04784,-17.288849,96.076424
1022000000,-0.23686394,-166.34514,-17.218046,95.872879
1023000000,-0.2538439,-166.45102,-17.269615,95.901047
1024000000,-0.2779192,-166.54117,-17.26848,95.621658
1025000000,-0.25615358,-166.7789,-17.281237,95.474358
1026000000,-0.24697952,-167.03279,-17.242876,95.438217
1027000000,-0.25801796,-167.04074,-17.259441,95.745583
1028000000,-0.27115458,-167.09576,-17.314207,95.671906
1029000000,-0.26131806,-167.34589,-17.291311,95.314079
1030000000,-0.26334739,-167.74107,-17.30595,95.092743
1031000000,-0.25487462,-167.58972,-17.302374,95.391747
1032000000,-0.25545686,-167.90553,-17.32128,94.885178
1033000000,-0.28377807,-168.30429,-17.381659,94.470642
1034000000,-0.23945265,-168.29953,-17.340784,94.835342
1035000000,-0.27851111,-168.51369,-17.368856,94.697006
1036000000,-0.24703339,-168.53874,-17.384548,94.967484
1037000000,-0.30787677,-168.7106,-17.434317,94.784653
1038000000,-0.27582103,-168.95287,-17.444727,94.487915
1039000000,-0.28765124,-169.28223,-17.480385,94.384308
1040000000,-0.28876144,-169.38824,-17.519749,94.478287
1041000000,-0.27136576,-169.61751,-17.532108,94.680443
1042000000,-0.28724369,-169.71463,-17.56987,94.872726
1043000000,-0.27529979,-169.91043,-17.595932,94.638084
1044000000,-0.29090849,-169.99957,-17.609308,94.993538
1045000000,-0.28320071,-170.47884,-17.635286,94.857719
1046000000,-0.30227914,-170.44431,-17.706005,95.243103
1047000000,-0.30830717,-170.64423,-17.722254,95.549347
1048000000,-0.33861437,-170.70056,-17.799839,96.158287
1049000000,-0.32362276,-171.05412,-17.73419,96.305801
1050000000,-0.3234942,-171.20444,-17.751444,96.718323
1051000000,-0.35865021,-171.43387,-17.783724,97.298409
1052000000,-0.38032427,-171.53059,-17.701334,97.93618
1053000000,-0.39155108,-171.42279,-17.688189,98.650528
1054000000,-0.39372051,-171.45946,-17.54134,99.217583
1055000000,-0.38686079,-171.35802,-17.432945,99.592995
1056000000,-0.40041506,-171.44832,-17.294088,99.569206
1057000000,-0.40651503,-171.60236,-17.215912,99.196129
1058000000,-0.39230362,-171.63992,-17.067633,99.015892
1059000000,-0.38456476,-171.69153,-16.979328,98.482948
1060000000,-0.37669313,-171.85219,-16.948338,97.852531
1061000000,-0.39346236,-171.79985,-16.900707,97.520851
1062000000,-0.34750617,-171.96486,-16.879368,96.949562
1063000000,-0.34910733,-172.17191,-16.861135,96.681374
1064000000,-0.3318435,-172.34969,-16.811213,96.064392
1065000000,-0.31145465,-172.56006,-16.855009,95.527763
1066000000,-0.32252324,-172.54659,-16.852314,95.165977
1067000000,-0.31168085,-172.82677,-16.83408,94.887016
1068000000,-0.32230923,-172.99786,-16.868696,94.227287
1069000000,-0.30383125,-172.90114,-16.941715,94.31192
1070000000,-0.27766103,-173.29187,-16.83012,93.868721
1071000000,-0.2700406,-173.44475,-16.880613,93.679115
1072000000,-0.30671969,-173.72272,-16.878071,93.2183
1073000000,-0.26930568,-173.95236,-16.893204,93.042831
1074000000,-0.28299046,-174.1333,-16.891375,92.447647
1075000000,-0.27570671,-174.09804,-16.921261,92.599945
1076000000,-0.28002989,-174.49831,-16.923132,92.443954
1077000000,-0.29404545,-174.60753,-16.982668,92.106155
1078000000,-0.26825258,-174.59615,-16.968496,92.337036
1079000000,-0.2774395,-175.00482,-16.998421,91.793503
1080000000,-0.28074327,-175.01428,-16.996229,91.766533
1081000000,-0.26153123,-175.34648,-17.002157,91.634155
1082000000,-0.27920899,-175.51772,-17.016695,91.344376
1083000000,-0.25835976,-175.55893,-17.040194,91.390862
1084000000,-0.27630156,-175.74722,-17.059149,91.255394
1085000000,-0.28580987,-175.86316,-17.100266,91.175644
1086000000,-0.25427809,-175.94519,-17.085308,91.098732
1087000000,-0.28220916,-176.38274,-17.11331,90.882912
1088000000,-0.27368987,-176.25784,-17.124123,90.887718
1089000000,-0.27335644,-176.53723,-17.13064,90.661819
1090000000,-0.25722253,-176.70416,-17.12558,90.485809
1091000000,-0.27822784,-176.96471,-17.165104,90.250473
1092000000,-0.2601468,-176.9906,-17.148569,90.298866
1093000000,-0.28570268,-177.31898,-17.198845,89.977066
1094000000,-0.24918908,-177.47591,-17.168148,90.069061
1095000000,-0.2593922,-177.53915,-17.179211,89.982651
1096000000,-0.28876904,-177.6658,-17.223642,89.814873
1097000000,-0.25448617,-177.91266,-17.2104,89.730537
1098000000,-0.27376351,-177.98643,-17.232775,89.631149
1099000000,-0.26726294,-178.30911,-17.218897,89.348007
1100000000,-0.24665968,-178.16199,-17.23168,89.563271
1101000000,-0.24322131,-178.51599,-17.254667,89.371506
1102000000,-0.26740074,-178.62421,-17.2904,89.448586
1103000000,-0.2732639,-178.81876,-17.309977,89.168121
1104000000,-0.25135344,-178.98645,-17.297316,89.025177
1105000000,-0.25066277,-179.14279,-17.279524,88.981911
1106000000,-0.26318374,-179.42867,-17.304043,88.818268
1107000000,-0.27711555,-179.56129,-17.360054,88.74585
1108000000,-0.26988041,-179.8092,-17.303368,88.449417
1109000000,-0.2853758,-179.98401,-17.3547,88.408699
1110000000,-0.25070444,-180.16673,-17.338634,88.250694
1111000000,-0.23223719,-180.24506,-17.356968,88.258301
1112000000,-0.22351587,-180.3716,-17.362011,88.601318
1113000000,-0.28293332,-180.52838,-17.437122,88.234283
1114000000,-0.25395489,-180.62822,-17.453718,87.966331
1115000000,-0.24878448,-180.90936,-17.416842,87.996513
1116000000,-0.25001264,-180.8913,-17.483944,87.741905
1117000000,-0.25524628,-181.18192,-17.446112,87.680252
1118000000,-0.2575773,-181.18301,-17.530449,87.640427
1119000000,-0.24911037,-181.52518,-17.504356,87.682571
1120000000,-0.27291015,-181.74632,-17.511106,87.122284
1121000000,-0.23386531,-181.8125,-17.538086,87.383698
1122000000,-0.24060865,-182.17058,-17.525784,87.041
1123000000,-0.24395996,-182.14777,-17.560608,87.217682
1124000000,-0.2478593,-182.43555,-17.572117,86.899033
1125000000,-0.26867923,-182.46788,-17.611338,87.030365
1126000000,-0.27119052,-182.35028,-17.662071,87.076889
1127000000,-0.25650519,-182.95724,-17.626682,86.562889
1128000000,-0.23482436,-182.88737,-17.652494,86.885841
1129000000,-0.27785403,-183.03937,-17.705029,86.552841
1130000000,-0.26918969,-183.33305,-17.714884,86.207466
1131000000,-0.25462836,-183.45392,-17.70953,86.341789
1132000000,-0.26033917,-183.55013,-17.766623,86.311081
1133000000,-0.26237798,-183.70068,-17.76536,86.278725
1134000000,-0.24750689,-183.87132,-17.784872,86.295982
1135000000,-0.2709586,-184.01967,-17.809036,85.993179
1136000000,-0.27084017,-183.98824,-17.847475,86.019836
1137000000,-0.20710105,-184.21432,-17.788118,86.198776
1138000000,-0.24335748,-184.59776,-17.859873,85.67395
1139000000,-0.2436465,-184.7897,-17.869864,85.615067
1140000000,-0.23902558,-184.6785,-17.884924,85.700699
1141000000,-0.24612774,-184.96461,-17.911394,85.397942
1142000000,-0.25034246,-185.06514,-17.943747,85.514854
1143000000,-0.2489993,-185.51143,-17.931465,85.213295
1144000000,-0.25168326,-185.41086,-17.974298,85.369339
1145000000,-0.26314715,-185.82483,-17.99819,84.949684
1146000000,-0.27192339,-185.7058,-18.041679,85.10347
1147000000,-0.25120857,-185.75729,-18.039631,85.256973
1148000000,-0.24230178,-186.11162,-18.066553,85.013252
1149000000,-0.26159233,-186.21063,-18.091955,85.049088
1150000000,-0.22520831,-186.84352,-18.053791,84.480576
1151000000,-0.2498403,-186.68462,-18.136642,84.555618
1152000000,-0.21559863,-186.90382,-18.10611,84.471313
1153000000,-0.22441281,-186.99258,-18.15694,84.529861
1154000000,-0.24274707,-187.14435,-18.180084,84.273758
1155000000,-0.26006663,-187.44327,-18.241434,84.119644
1156000000,-0.25336188,-187.64201,-18.210522,84.056854
1157000000,-0.23487994,-187.59744,-18.240831,84.19249
1158000000,-0.25874045,-187.90002,-18.303974,83.989822
1159000000,-0.25442952,-188.05135,-18.343086,84.054848
1160000000,-0.24158731,-188.12119,-18.327551,83.896919
1161000000,-0.24996263,-188.3987,-18.358019,83.867874
1162000000,-0.25935468,-188.4286,-18.381525,83.891113
1163000000,-0.25353646,-188.55893,-18.421364,83.678879
1164000000,-0.20600046,-188.72656,-18.429077,83.632393
1165000000,-0.23873372,-188.98959,-18.455734,83.382683
1166000000,-0.2402973,-189.17828,-18.517284,83.27494
1167000000,-0.26355261,-189.4277,-18.561523,83.181
1168000000,-0.24074537,-189.39529,-18.560612,83.458878
1169000000,-0.21571794,-189.58687,-18.565123,83.528542
1170000000,-0.26901227,-189.66374,-18.64786,83.233963
1171000000,-0.23296012,-190.08083,-18.624105,82.887909
1172000000,-0.22851443,-189.89937,-18.681417,83.283051
1173000000,-0.23342443,-190.29004,-18.678944,82.886612
1174000000,-0.25546247,-190.408,-18.755192,82.94397
1175000000,-0.2307259,-190.5005,-18.770281,82.927361
1176000000,-0.21758132,-190.7598,-18.78211,82.841148
1177000000,-0.23904321,-190.96837,-18.840708,82.646362
1178000000,-0.22904915,-191.21492,-18.844673,82.410873
1179000000,-0.22368856,-191.17645,-18.884315,82.6689
1180000000,-0.20771357,-191.29971,-18.890574,82.590042
1181000000,-0.23398656,-191.36264,-18.967064,82.505821
1182000000,-0.24101736,-191.78513,-18.975693,82.376953
1183000000,-0.25596052,-191.73106,-19.041937,82.448112
1184000000,-0.24914311,-191.96339,-19.069035,82.359978
1185000000,-0.21813443,-192.15677,-19.08054,82.450836
1186000000,-0.21971954,-192.43021,-19.090778,82.00695
1187000000,-0.23260024,-192.64302,-19.125364,82.01162
1188000000,-0.22725855,-192.73824,-19.162777,82.046082
1189000000,-0.23231357,-192.86133,-19.199642,81.87355
1190000000,-0.23363501,-192.98457,-19.243519,81.944237
1191000000,-0.24603054,-193.21368,-19.30908,81.949501
1192000000,-0.25894743,-193.55638,-19.327738,81.598839
1193000000,-0.24690108,-193.752,-19.363125,81.565674
1194000000,-0.25273609,-193.64784,-19.413424,81.79493
1195000000,-0.24865672,-193.78358,-19.432535,81.731491
1196000000,-0.23541412,-193.89409,-19.457552,81.794739
1197000000,-0.25429636,-194.17834,-19.471796,81.511612
1198000000,-0.24771714,-194.37656,-19.54384,81.420799
1199000000,-0.22296707,-194.46327,-19.542934,81.520561
1200000000,-0.24702753,-194.8945,-19.606972,81.114128
1201000000,-0.24052294,-194.7926,-19.62352,81.695999
1202000000,-0.22145422,-194.96426,-19.666105,81.4758
1203000000,-0.23824184,-195.20782,-19.704689,81.358444
1204000000,-0.23113251,-195.42274,-19.745483,81.322853
1205000000,-0.23283339,-195.49055,-19.796198,81.262665
1206000000,-0.26186055,-195.5643,-19.886618,81.367821
1207000000,-0.24405575,-196.00458,-19.863756,81.272446
1208000000,-0.23670083,-196.09151,-19.941227,81.085762
