!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 15:29:36
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-3.9682429,-107.81809,-2.9075809,15.349063
1001000000,-3.9734848,-108.15259,-2.8918507,14.958169
1002000000,-3.9383135,-108.32645,-2.9040158,14.568939
1003000000,-3.950249,-108.32596,-2.9401321,14.384646
1004000000,-3.9461181,-108.76387,-2.9322457,13.935431
1005000000,-3.9167736,-108.86819,-2.9407592,13.637937
1006000000,-3.8915083,-109.03181,-2.9449456,13.317657
1007000000,-3.9028158,-109.31638,-2.9488549,12.964419
1008000000,-3.8881233,-109.64772,-2.9577835,12.552978
1009000000,-3.9099305,-109.59771,-2.9795289,12.340011
1010000000,-3.8633153,-110.02208,-2.9678342,11.876944
1011000000,-3.8603537,-110.02949,-2.9872868,11.501803
1012000000,-3.8484442,-110.2988,-2.9900522,11.374036
1013000000,-3.8429725,-110.28615,-2.9795685,11.082908
1014000000,-3.8660579,-110.67181,-3.0232043,10.499218
1015000000,-3.8267727,-110.87576,-3.0183442,10.353992
1016000000,-3.7854643,-111.24662,-3.0004983,9.9114799
1017000000,-3.8163157,-111.19924,-3.0153677,9.5031567
1018000000,-3.8187382,-111.49819,-3.0624416,9.2877207
1019000000,-3.8017819,-111.55442,-3.0363431,9.0465164
1020000000,-3.7694533,-111.99758,-3.0331829,8.5020113
1021000000,-3.7880902,-112.14259,-3.0913799,8.2956934
1022000000,-3.7752359,-112.36941,-3.0710261,7.8030677
1023000000,-3.7521315,-112.7499,-3.0772004,7.3963957
1024000000,-3.7860575,-112.6483,-3.1196799,7.1285744
1025000000,-3.7473209,-113.00829,-3.1089993,6.9786248
1026000000,-3.7269204,-113.29248,-3.104928,6.4573832
1027000000,-3.7238925,-113.41094,-3.1224041,6.1818552
1028000000,-3.7141032,-113.53238,-3.1369994,5.8766751
1029000000,-3.6932101,-113.68326,-3.1327455,5.5725703
1030000000,-3.6800632,-114.11343,-3.1214519,5.0766196
1031000000,-3.6976504,-114.19876,-3.1555362,4.8717747
1032000000,-3.7121472,-114.22467,-3.1865399,4.5860739
1033000000,-3.6997411,-114.66602,-3.2010741,4.0246043
1034000000,-3.6346259,-114.77818,-3.1382544,3.8902857
1035000000,-3.6651323,-115.09858,-3.1741016,3.2926822
1036000000,-3.6343176,-115.0265,-3.1855173,3.3007238
1037000000,-3.6824994,-115.39458,-3.2267151,3.0017927
1038000000,-3.6069489,-115.60606,-3.1953661,2.5097637
1039000000,-3.6368446,-115.95294,-3.2175057,2.0997927
1040000000,-3.6317968,-116.13676,-3.2442567,1.6784198
1041000000,-3.6230338,-116.35161,-3.2699237,1.229823
1042000000,-3.6171477,-116.53949,-3.2534368,0.94105506
1043000000,-3.6023033,-116.6734,-3.2879071,0.70403743
1044000000,-3.5597057,-116.99823,-3.235213,0.25955391
1045000000,-3.5680306,-117.16944,-3.2683542,0.076216519
1046000000,-3.5673621,-117.40925,-3.2978284,-0.50475705
1047000000,-3.536437,-117.62637,-3.2810853,-0.71135879
1048000000,-3.54724,-117.61514,-3.3170662,-0.91681713
1049000000,-3.530545,-117.9405,-3.2667606,-1.2717385
1050000000,-3.5324483,-118.10705,-3.3175476,-1.707619
1051000000,-3.5250134,-118.37594,-3.3497109,-2.0139992
1052000000,-3.5198441,-118.67372,-3.3248765,-2.4284673
1053000000,-3.5109737,-118.82286,-3.3708649,-2.9074817
1054000000,-3.5028141,-119.03629,-3.3367157,-3.1458933
1055000000,-3.4755585,-119.06695,-3.3259897,-3.3477511
1056000000,-3.4825664,-119.41364,-3.354512,-3.8306501
1057000000,-3.4817383,-119.50409,-3.3858669,-4.2918434
1058000000,-3.4830058,-119.74223,-3.3857477,-4.6502752
1059000000,-3.4661007,-119.8457,-3.3946712,-4.7699089
1060000000,-3.4894302,-120.26311,-3.4077828,-5.3264208
1061000000,-3.4724507,-120.14683,-3.4156313,-5.532577
1062000000,-3.4165077,-120.63704,-3.3972895,-5.9491982
1063000000,-3.4356966,-120.80186,-3.4319363,-6.2708859
1064000000,-3.4309437,-121.0605,-3.4468858,-6.9036622
1065000000,-3.4098401,-121.2512,-3.4519212,-7.029438
1066000000,-3.4238183,-121.4178,-3.4539006,-7.4354048
1067000000,-3.3778691,-121.71346,-3.4473064,-7.7451262
1068000000,-3.3978179,-121.87009,-3.4770532,-8.2016211
1069000000,-3.3702862,-121.88716,-3.4643178,-8.4523916
1070000000,-3.3681681,-122.25791,-3.4804113,-8.9346418
1071000000,-3.325979,-122.51342,-3.4594193,-9.2991076
1072000000,-3.3754067,-122.78387,-3.5007541,-9.8205566
1073000000,-3.3242309,-122.8373,-3.4920812,-9.9696865
