Freq(Hz),S21(Phase)_milled,S21(Phase)_z0lver
1000000000,-92.324867,-34.4113163
1001000000,-92.618996,-34.44661229
1002000000,-92.510437,-34.48191557
1003000000,-92.584183,-34.51721399
1004000000,-92.748024,-34.55252697
1005000000,-92.837288,-34.58782782
1006000000,-93.065903,-34.62314324
1007000000,-93.042694,-34.65845623
1008000000,-93.054947,-34.69377893
1009000000,-93.232765,-34.72908949
1010000000,-93.445053,-34.76440248
1011000000,-93.460754,-34.79973247
1012000000,-93.30349,-34.83505517
1013000000,-93.606689,-34.87038273
1014000000,-93.505173,-34.90570543
1015000000,-93.821136,-34.94103056
1016000000,-93.793373,-34.97637026
1017000000,-93.940063,-35.01170997
1018000000,-94.182045,-35.04704238
1019000000,-94.024826,-35.0823918
1020000000,-94.262505,-35.11773636
1021000000,-94.421539,-35.15307849
1022000000,-94.343704,-35.18843519
1023000000,-94.56752,-35.22377975
1024000000,-94.647392,-35.25913403
1025000000,-94.647575,-35.29449316
1026000000,-94.687538,-35.32984986
1027000000,-94.917709,-35.36521385
1028000000,-94.972069,-35.40058026
1029000000,-94.867966,-35.43593939
1030000000,-95.210449,-35.47131066
1031000000,-95.34095,-35.50668679
1032000000,-95.456284,-35.54205807
1033000000,-95.436783,-35.57741963
1034000000,-95.410004,-35.61281761
1035000000,-95.521469,-35.64819131
1036000000,-95.742996,-35.68357959
1037000000,-95.892395,-35.71895815
1038000000,-95.728302,-35.75434642
1039000000,-96.008804,-35.78973955
1040000000,-96.116722,-35.82513025
1041000000,-96.223335,-35.86052824
1042000000,-96.32148,-35.89592865
1043000000,-96.192612,-35.93133392
1044000000,-96.338654,-35.96672705
1045000000,-96.647469,-36.00214204
1046000000,-96.823257,-36.03754974
1047000000,-96.613792,-36.07295744
1048000000,-96.749992,-36.10837485
1049000000,-96.831131,-36.14378741
1050000000,-96.936119,-36.17920483
1051000000,-97.158203,-36.21462224
1052000000,-97.1231,-36.25005423
1053000000,-97.244598,-36.28547164
1054000000,-97.325966,-36.3209012
1055000000,-97.399048,-36.35633076
1056000000,-97.360542,-36.3917676
1057000000,-97.719063,-36.4272093
1058000000,-97.712112,-36.462651
1059000000,-97.768295,-36.49809027
1060000000,-97.97023,-36.5335344
1061000000,-98.008583,-36.56897367
1062000000,-98.15979,-36.60442508
1063000000,-98.187325,-36.63986921
1064000000,-98.413864,-36.67533034
1065000000,-98.61985,-36.7107939
1066000000,-98.589424,-36.74624774
1067000000,-98.598122,-36.78170158
1068000000,-98.712021,-36.81716028
1069000000,-98.737404,-36.85263355
1070000000,-98.752518,-36.88810925
1071000000,-98.885551,-36.92357524
1072000000,-99.004326,-36.95905093
1073000000,-99.022079,-36.99452663
1074000000,-99.112251,-37.03000476
1075000000,-99.259468,-37.06549017
1076000000,-99.501709,-37.1009683
1077000000,-99.565483,-37.13645614
1078000000,-99.601852,-37.17193427
1079000000,-99.701164,-37.20743183
1080000000,-99.810677,-37.24291724
1081000000,-99.685272,-37.27840994
1082000000,-99.966278,-37.31391478
1083000000,-100.18055,-37.34940991
1084000000,-100.03252,-37.38490989
1085000000,-100.13791,-37.42040987
1086000000,-100.32151,-37.45591957
1087000000,-100.29063,-37.49143656
1088000000,-100.41663,-37.52694868
1089000000,-100.64368,-37.56246809
1090000000,-100.75985,-37.59797779
1091000000,-100.90914,-37.63349478
1092000000,-100.86921,-37.66901662
1093000000,-101.05634,-37.70454331
1094000000,-100.98653,-37.74007244
1095000000,-101.3338,-37.77559671
1096000000,-101.18757,-37.81113555
1097000000,-101.35282,-37.84667196
1098000000,-101.42706,-37.88220352
1099000000,-101.57328,-37.91773993
1100000000,-101.6483,-37.95328848
1101000000,-101.90915,-37.98883218
1102000000,-101.77948,-38.02438073
1103000000,-101.8054,-38.05993172
1104000000,-102.09625,-38.09548513
1105000000,-102.00367,-38.13103368
1106000000,-102.1275,-38.16659195
1107000000,-102.30115,-38.20215265
1108000000,-102.6168,-38.2377182
1109000000,-102.34669,-38.27328376
1110000000,-102.58955,-38.30884688
1111000000,-102.48367,-38.34442701
1112000000,-102.86394,-38.37999499
1113000000,-102.86858,-38.41557026
1114000000,-103.06612,-38.45115038
1115000000,-102.82307,-38.48673051
1116000000,-103.22664,-38.5223082
1117000000,-103.21838,-38.55790776
1118000000,-103.16498,-38.59348545
1119000000,-103.47176,-38.62907044
1120000000,-103.54205,-38.66466999
1121000000,-103.55986,-38.70026954
1122000000,-103.82691,-38.73587152
1123000000,-103.61995,-38.77146865
1124000000,-103.77631,-38.80707306
1125000000,-104.09656,-38.84267504
1126000000,-104.01698,-38.87829159
1127000000,-104.21278,-38.91390329
1128000000,-104.2855,-38.94951255
1129000000,-104.43486,-38.98513154
1130000000,-104.38599,-39.02075537
1131000000,-104.50404,-39.0563695
1132000000,-104.7036,-39.09199576
1133000000,-104.83525,-39.12761232
1134000000,-104.91766,-39.16325316
1135000000,-104.72276,-39.19888671
1136000000,-105.08185,-39.2345154
1137000000,-105.08183,-39.27015867
1138000000,-105.21326,-39.30579465
1139000000,-105.35986,-39.34143549
1140000000,-105.52705,-39.37708604
1141000000,-105.41581,-39.41273173
1142000000,-105.61431,-39.44838229
1143000000,-105.7084,-39.48403527
1144000000,-105.64284,-39.51969553
1145000000,-106.02812,-39.55535337
1146000000,-105.99572,-39.59101121
1147000000,-106.1722,-39.6266739
1148000000,-106.17742,-39.66234145
1149000000,-106.2381,-39.69801143
1150000000,-106.40431,-39.73367898
1151000000,-106.33214,-39.76935625
1152000000,-106.51936,-39.80503352
1153000000,-106.54533,-39.84071078
1154000000,-106.67876,-39.87639047
1155000000,-106.92055,-39.91207503
1156000000,-106.95265,-39.94775715
1157000000,-106.92506,-39.98344656
1158000000,-106.96871,-40.01914325
1159000000,-107.38608,-40.05484237
1160000000,-107.36452,-40.09052692
1161000000,-107.32392,-40.12623819
1162000000,-107.49174,-40.16193974
1163000000,-107.66384,-40.19764372
1164000000,-107.63065,-40.23334284
