Freq(Hz),S32(dB)_milled,S32(dB)_HFSS,S32(dB)_z0lver
1000000000,-9.8119335,-9.547693648,-10.64043382
1001000000,-9.7938576,-9.554217166,-10.64855321
1002000000,-9.8269262,-9.560741252,-10.65666796
1003000000,-9.8179932,-9.567265916,-10.66478757
1004000000,-9.8065386,-9.573791171,-10.67290858
1005000000,-9.8606787,-9.580317027,-10.68102491
1006000000,-9.8234587,-9.586843498,-10.68914957
1007000000,-9.8515625,-9.593370593,-10.69727042
1008000000,-9.8375244,-9.599898326,-10.70539439
1009000000,-9.8578682,-9.606426707,-10.71351887
1010000000,-9.8540297,-9.612955749,-10.72164387
1011000000,-9.9058867,-9.619485464,-10.72977285
1012000000,-9.8897419,-9.626015863,-10.73789624
1013000000,-9.8953867,-9.632546957,-10.74602362
1014000000,-9.8911743,-9.63907876,-10.75415761
1015000000,-9.8958616,-9.645611283,-10.76228597
1016000000,-9.9009285,-9.652144537,-10.77041833
1017000000,-9.9060736,-9.658678535,-10.77855205
1018000000,-9.9347582,-9.665213289,-10.78668363
1019000000,-9.9563808,-9.67174881,-10.79482358
1020000000,-9.9301672,-9.678285112,-10.80295787
1021000000,-9.9469652,-9.684822205,-10.81109439
1022000000,-9.9440985,-9.691360102,-10.81923402
1023000000,-9.9475918,-9.697898815,-10.82737148
1024000000,-10.01818,-9.704438356,-10.83551556
1025000000,-9.97472,-9.710978737,-10.84365659
1026000000,-10.014117,-9.717519971,-10.85180161
1027000000,-9.9658689,-9.72406207,-10.85994708
1028000000,-10.003701,-9.730605045,-10.8680939
1029000000,-9.9992599,-9.73714891,-10.87624028
1030000000,-9.995121,-9.743693676,-10.88438622
1031000000,-10.001168,-9.750239356,-10.89253881
1032000000,-10.043402,-9.756785962,-10.90068741
1033000000,-10.039644,-9.763333506,-10.9088391
1034000000,-10.05613,-9.769882001,-10.91699567
1035000000,-10.025111,-9.776431459,-10.92514824
1036000000,-10.035487,-9.782981893,-10.93330568
1037000000,-10.040012,-9.789533315,-10.94146265
1038000000,-10.034117,-9.796085737,-10.94962095
1039000000,-10.050023,-9.802639173,-10.95778055
1040000000,-10.054244,-9.809193634,-10.96594146
1041000000,-10.090462,-9.815749133,-10.97410279
1042000000,-10.109119,-9.822305682,-10.98226721
1043000000,-10.027571,-9.828863295,-10.99043562
1044000000,-10.077552,-9.835421984,-10.99860085
1045000000,-10.111601,-9.841981761,-11.00677097
1046000000,-10.100956,-9.848542639,-11.01494149
1047000000,-10.071602,-9.855104631,-11.02311062
1048000000,-10.125792,-9.86166775,-11.03128463
1049000000,-10.125011,-9.868232008,-11.03945724
1050000000,-10.110864,-9.874797417,-11.04763113
1051000000,-10.148888,-9.881363992,-11.05580991
1052000000,-10.148307,-9.887931744,-11.06399088
1053000000,-10.145614,-9.894500686,-11.07216773
1054000000,-10.161273,-9.901070831,-11.08034675
1055000000,-10.173662,-9.907642193,-11.08853157
1056000000,-10.164267,-9.914214783,-11.09671496
1057000000,-10.157983,-9.920788615,-11.10490414
1058000000,-10.223232,-9.927363702,-11.11309279
1059000000,-10.18913,-9.933940057,-11.12128
1060000000,-10.192078,-9.940517692,-11.12947119
1061000000,-10.188493,-9.947096621,-11.13766002
1062000000,-10.21288,-9.953676857,-11.14585556
1063000000,-10.181127,-9.960258412,-11.15404874
