Freq(Hz),S11_Phase_90deg,S11_Phase_180deg,S11_Phase_thru,S11_Phase_thru_with_coupling,,
1000000000,138.31384,52.298847,152.6077,85.477829,,
1001000000,137.88319,51.999298,152.33546,85.896286,,
1002000000,137.12163,51.874382,151.5984,85.272209,,
1003000000,137.39302,51.232906,152.05438,85.82782,,
1004000000,136.95691,50.865986,151.49503,85.159073,,
1005000000,136.75755,50.510788,151.39253,85.84761,,
1006000000,137.01956,50.254192,151.51851,85.878403,,
1007000000,136.03484,50.010311,150.78328,85.995361,,
1008000000,136.0838,49.832096,150.76447,86.03434,,
1009000000,135.62804,49.033844,150.52124,86.296509,,
1010000000,135.50183,48.996185,150.50266,86.050591,,
1011000000,135.17265,48.959225,149.90005,86.117317,,
1012000000,134.75676,48.30492,149.82072,86.281418,,
1013000000,134.72525,47.938969,149.43231,86.576309,,
1014000000,134.425,48.102127,149.16194,86.261856,,
1015000000,134.30156,47.456165,149.48561,86.452606,,
1016000000,134.04097,46.818611,149.43323,87.095535,,
1017000000,133.50682,46.716526,148.11745,86.805321,,
1018000000,133.79454,46.49905,148.90295,87.452667,,
1019000000,132.96086,46.493526,147.90947,86.916451,,
1020000000,132.75687,45.940208,148.03815,86.54895,,
1021000000,132.52095,45.789803,147.50531,86.792297,,
1022000000,132.26497,45.123459,147.69489,87.034348,,
1023000000,131.87636,45.064354,147.36528,86.835915,,
1024000000,131.70201,45.182732,146.85573,86.631729,,
1025000000,131.22563,44.514317,146.35529,86.510704,,
1026000000,130.83017,44.204506,146.11295,86.899315,,
1027000000,130.81866,43.895103,146.28763,87.007332,,
1028000000,130.50441,43.459377,146.07637,87.102966,,
1029000000,130.60963,43.456226,146.1729,87.012665,,
1030000000,129.74576,42.701366,145.42299,86.822105,,
1031000000,129.70969,42.306133,145.06184,86.81353,,
1032000000,129.27498,42.315647,145.05722,87.006874,,
1033000000,129.11929,41.946537,144.74345,87.314377,,
1034000000,128.82317,41.523335,144.52554,86.879616,,
1035000000,128.68628,41.128307,144.53868,87.167259,,
1036000000,128.33269,40.834648,143.86761,87.138649,,
1037000000,128.32405,40.771454,144.16411,87.086685,,
1038000000,127.88206,40.263546,143.5952,87.151489,,
1039000000,127.7449,39.986481,143.72472,87.309776,,
1040000000,127.63726,39.641129,143.67534,87.447411,,
1041000000,127.39894,39.422714,143.52051,87.400513,,
1042000000,127.08134,39.268921,143.24881,87.162529,,
1043000000,126.68949,38.432232,142.95897,87.316093,,360
1044000000,126.34793,37.859673,142.72324,87.577248,,
1045000000,126.36496,37.895916,142.53372,87.3396,,
1046000000,126.35875,37.645065,142.35468,87.57769,,
1047000000,125.59457,37.533932,142.0262,87.382103,,
1048000000,125.46789,36.502605,141.77946,87.80957,,
1049000000,125.24469,36.357594,141.75854,87.532295,,
1050000000,124.78399,36.255394,141.16513,87.25647,,
1051000000,124.93953,36.092148,141.46674,87.766319,,
1052000000,124.25095,35.64217,140.41647,86.898781,,
1053000000,124.37341,35.328201,141.13326,87.531876,,
1054000000,124.17078,34.80162,140.79858,87.642891,,
1055000000,123.84095,34.804302,140.15373,87.191803,,
1056000000,123.83524,33.874355,140.67065,88.195412,,
1057000000,123.47966,34.037849,140.19218,87.297424,,
1058000000,123.33939,33.021793,140.22693,87.639038,,
1059000000,122.73852,32.640831,139.88493,87.738319,,
1060000000,122.77264,32.586212,139.62129,87.877815,,
1061000000,122.36588,32.282211,139.20674,87.796516,,
1062000000,122.08552,32.167385,138.84308,87.349915,,
1063000000,121.61272,31.310507,138.44734,87.398094,,
1064000000,121.62626,31.324804,138.63141,87.488724,,
1065000000,121.38868,30.990786,138.3084,87.419678,,
1066000000,121.29813,30.763569,138.06342,87.650749,,
1067000000,121.0529,30.009727,137.81535,87.394104,,
1068000000,120.62836,29.92005,137.39963,87.319839,,
1069000000,120.40848,29.340609,137.50089,87.511841,,
1070000000,120.18414,29.132189,137.40892,87.557068,,
1071000000,120.03172,28.928635,137.12773,87.396233,,
1072000000,119.56306,28.251577,137.12251,87.185234,,
1073000000,119.46994,27.925974,136.77197,87.679344,,
1074000000,119.34913,27.720654,136.64958,87.329697,,
1075000000,118.8615,26.702776,136.45058,87.35154,,
1076000000,118.73756,26.593767,136.34724,87.429176,,
1077000000,118.54348,26.119232,136.07462,87.534462,,
1078000000,118.19618,26.212729,135.6922,87.045776,,
1079000000,118.03243,25.468596,135.65857,87.331001,,
1080000000,117.83865,24.984785,135.53485,87.352066,,
1081000000,117.64431,24.780853,135.59528,87.161453,,
1082000000,117.26868,24.109039,135.18501,87.53595,,
1083000000,117.21947,24.181328,134.80867,87.20311,,
1084000000,116.83772,23.022379,134.71729,87.291702,,
1085000000,116.74356,22.812113,134.58211,87.407051,,
1086000000,116.59539,22.965307,134.21335,87.168686,,
1087000000,116.2078,22.311687,133.92735,87.016144,,
1088000000,116.14569,22.037519,133.92682,86.962105,,
1089000000,115.90694,21.638266,133.88664,87.076088,,
1090000000,115.71685,20.82995,133.63753,87.284744,,
1091000000,115.39897,20.549055,133.4366,87.125298,,
1092000000,115.31575,20.108038,133.31708,87.248947,,
1093000000,115.03096,19.746315,132.89468,87.010185,,
1094000000,115.16647,19.295065,132.96121,87.584785,,
1095000000,114.69566,18.290184,133.27966,87.20829,,
1096000000,114.36247,18.981293,132.74727,86.975143,,
1097000000,114.41344,18.307211,132.42719,87.147659,,
1098000000,113.91202,17.820984,131.80371,86.553116,,
1099000000,114.00889,17.551813,131.88878,86.957893,,
1100000000,113.58982,16.450495,131.79111,87.089394,,
1101000000,113.2908,16.095661,131.75832,86.964249,,
1102000000,112.82778,16.299892,131.20966,87.084816,,
1103000000,112.70927,15.365398,130.94292,86.67141,,
1104000000,112.71415,14.940132,130.74014,86.846191,,
1105000000,112.45698,14.547441,130.68961,86.864334,,
1106000000,112.45979,14.656318,130.94295,86.753433,,
1107000000,112.19976,13.886487,130.72549,86.810547,,
1108000000,111.72725,12.450089,129.92511,86.97496,,
1109000000,111.58678,12.594004,129.68359,86.74894,,
1110000000,111.21643,12.222345,129.72369,86.513565,,
1111000000,111.12347,12.051559,129.28397,86.451767,,
1112000000,110.97116,11.146383,129.18694,86.826302,,
1113000000,110.9967,10.988848,129.30777,86.48909,,
1114000000,110.40285,10.136716,128.74432,86.362793,,
1115000000,110.34777,9.7085323,129.04573,86.704849,,
1116000000,110.24646,9.1829996,128.58789,86.181541,,
1117000000,110.27179,8.9404402,128.56514,86.319839,,
1118000000,109.54494,8.6475849,128.12996,85.876854,,
1119000000,109.63342,8.1380472,127.98686,86.023354,,
1120000000,109.30346,7.2326002,127.41647,86.059944,,
1121000000,109.12889,6.6807842,127.52801,86.130676,,
1122000000,109.03397,6.8635101,127.62959,86.383965,,
1123000000,108.65437,6.158659,127.5006,86.009636,,
1124000000,108.34532,4.628829,126.99156,86.306679,,
1125000000,108.53566,4.7664051,127.04317,86.138405,,
1126000000,108.31421,4.6776829,126.83932,85.622955,,
1127000000,108.13589,4.0193219,126.42302,85.721794,,
1128000000,107.73946,3.5095584,126.13775,85.868065,,
1129000000,107.66357,2.698889,126.54283,86.019127,,
1130000000,107.62175,2.8772106,125.72975,85.61528,,
1131000000,107.3191,1.4228749,125.727,85.791008,,
1132000000,107.07158,1.9791828,125.75552,85.456444,,
1133000000,106.86702,1.0818888,125.47897,85.748932,,
1134000000,106.75193,0.0100631,125.56453,85.736137,,
1135000000,106.515,0.1670991,125.05063,85.23246,,
1136000000,106.4108,-1.4461255,125.13494,85.432365,,
1137000000,106.00237,-1.6021259,124.61128,85.599815,,
1138000000,106.01434,-1.7006384,124.65927,85.137146,,
