!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 17:02:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.35568506,160.92741,-26.402018,-54.133839
1001000000,-0.34235346,161.03,-26.309731,-54.685867
1002000000,-0.35647979,160.30754,-26.373318,-54.812901
1003000000,-0.3722772,160.35291,-26.198553,-55.146629
1004000000,-0.35565555,160.12451,-26.312138,-54.623486
1005000000,-0.35968369,159.79657,-26.117128,-55.401272
1006000000,-0.3490141,159.81085,-26.105093,-55.487053
1007000000,-0.36937171,159.69777,-26.023304,-56.167519
1008000000,-0.35426697,159.4785,-26.021843,-56.415497
1009000000,-0.37352553,159.11546,-25.962976,-56.735672
1010000000,-0.34999999,159.03204,-25.93354,-56.832787
1011000000,-0.3724733,158.96297,-25.968801,-57.201427
1012000000,-0.35833481,158.39793,-25.831696,-57.483776
1013000000,-0.3525399,158.25679,-25.810434,-57.943146
1014000000,-0.37380719,158.42496,-25.793427,-58.184387
1015000000,-0.37120563,158.19009,-25.743168,-58.178467
1016000000,-0.36156076,158.00407,-25.608549,-58.219166
1017000000,-0.36532152,157.55458,-25.613235,-59.326771
1018000000,-0.37142837,157.41275,-25.569437,-58.482471
1019000000,-0.35898408,157.23407,-25.596392,-59.814686
1020000000,-0.40813017,157.11902,-25.584892,-59.489098
1021000000,-0.3515746,156.88924,-25.523211,-59.694359
1022000000,-0.37530172,156.53505,-25.452326,-60.202805
1023000000,-0.36807173,156.52972,-25.461723,-60.29303
1024000000,-0.35915914,156.29063,-25.507936,-60.597958
1025000000,-0.3633118,155.95409,-25.469069,-61.172657
1026000000,-0.36617258,155.85843,-25.400589,-61.837029
1027000000,-0.35831299,155.54697,-25.355459,-61.44902
1028000000,-0.36163941,155.36008,-25.300482,-61.792675
1029000000,-0.37359655,155.11415,-25.288853,-61.546322
1030000000,-0.38120395,154.75607,-25.249462,-62.400131
1031000000,-0.38751298,154.7951,-25.281378,-62.600624
1032000000,-0.35135493,154.42264,-25.20722,-62.860641
1033000000,-0.35586488,154.29642,-25.150484,-63.567272
1034000000,-0.35115445,154.18048,-25.126741,-63.440022
1035000000,-0.37267363,153.8609,-25.084488,-63.524975
1036000000,-0.31973252,153.86551,-25.032507,-64.328766
1037000000,-0.37131053,153.51843,-25.084173,-64.115738
1038000000,-0.3516579,153.37874,-24.944561,-64.928673
1039000000,-0.36232546,153.08061,-24.965342,-64.538277
1040000000,-0.37824735,153.06169,-24.951664,-64.83091
1041000000,-0.37558222,152.85384,-24.838417,-64.962128
1042000000,-0.40286624,152.71683,-24.910141,-65.049301
1043000000,-0.39148647,152.53943,-24.845695,-65.710938
1044000000,-0.3485164,152.26617,-24.698009,-66.197861
1045000000,-0.38312647,151.96193,-24.774147,-65.81633
1046000000,-0.39489558,151.92947,-24.645712,-66.563515
1047000000,-0.38174692,151.7364,-24.709183,-67.026054
1048000000,-0.39008397,151.3726,-24.561134,-67.135811
1049000000,-0.38099337,151.21518,-24.582733,-67.299469
1050000000,-0.402264,151.03169,-24.64637,-67.471222
1051000000,-0.36788383,150.84543,-24.549992,-67.982956
1052000000,-0.3562746,150.67764,-24.583181,-68.707397
1053000000,-0.37235728,150.58818,-24.55307,-67.831192
1054000000,-0.37374312,150.30339,-24.47048,-68.468895
1055000000,-0.37519309,150.0896,-24.442728,-69.423363
1056000000,-0.39251536,149.96272,-24.27248,-69.012085
1057000000,-0.38248056,149.71812,-24.407419,-68.683922
1058000000,-0.38009933,149.42735,-24.264282,-69.177315
1059000000,-0.4152464,149.36957,-24.289164,-69.421356
1060000000,-0.34052968,149.08453,-24.252403,-69.657394
1061000000,-0.36634019,148.87993,-24.199953,-70.501823
1062000000,-0.41245109,148.64238,-24.268404,-70.295341
1063000000,-0.36834115,148.37183,-24.157074,-71.00943
1064000000,-0.37124822,148.13737,-24.24346,-70.847008
1065000000,-0.37642282,148.09959,-24.162052,-71.327728
1066000000,-0.37686145,148.03717,-24.144449,-71.591736
1067000000,-0.36705378,147.7657,-24.042753,-72.11161
1068000000,-0.37690708,147.41139,-24.059807,-72.156746
1069000000,-0.39000392,147.11008,-24.00404,-71.936707
1070000000,-0.3678804,147.20917,-24.014959,-72.344543
1071000000,-0.40222019,146.72832,-24.028488,-72.327103
1072000000,-0.40258554,146.68866,-23.974089,-72.750244
1073000000,-0.41254699,146.52199,-23.905405,-73.090607
1074000000,-0.38477096,146.34981,-23.954147,-72.883034
1075000000,-0.40769821,146.04289,-23.83507,-73.084129
1076000000,-0.38196263,145.7778,-23.852367,-73.480103
1077000000,-0.39558941,145.745,-23.816343,-73.872513
1078000000,-0.39497879,145.50536,-23.888205,-74.284714
1079000000,-0.38409343,145.17603,-23.767185,-74.515381
1080000000,-0.40547302,145.01799,-23.715017,-74.928078
1081000000,-0.39113367,144.85143,-23.736792,-73.931534
1082000000,-0.38850418,144.66451,-23.63484,-74.714142
1083000000,-0.36165971,144.57512,-23.697832,-75.669106
1084000000,-0.38167402,144.2711,-23.518255,-75.586235
1085000000,-0.38833895,144.01863,-23.567039,-75.947433
1086000000,-0.37083504,143.84758,-23.603918,-76.418442
1087000000,-0.40671766,143.72322,-23.559473,-76.531746
1088000000,-0.37532064,143.50497,-23.570681,-76.383232
1089000000,-0.37229472,143.45148,-23.525911,-76.449127
1090000000,-0.36028662,143.08194,-23.449286,-76.648224
1091000000,-0.39284739,142.87073,-23.436235,-76.720734
1092000000,-0.37069947,142.55702,-23.399576,-77.115852
1093000000,-0.39611101,142.41571,-23.396313,-78.139168
1094000000,-0.37821162,142.42941,-23.360329,-77.751854
1095000000,-0.38255796,142.13754,-23.286909,-77.290848
1096000000,-0.36104074,141.78114,-23.35218,-78.04567
1097000000,-0.39065346,141.8849,-23.292704,-78.640694
1098000000,-0.38741937,141.31865,-23.340309,-78.844109
1099000000,-0.41237348,141.39085,-23.336176,-78.79908
1100000000,-0.37427542,141.15231,-23.172462,-79.171494
1101000000,-0.40352494,140.88416,-23.21628,-78.914246
1102000000,-0.39061615,140.82355,-23.206398,-80.003853
1103000000,-0.38913336,140.15712,-23.141989,-80.749199
1104000000,-0.38761038,140.1544,-23.114992,-80.669556
1105000000,-0.3673141,139.96367,-23.118122,-80.483109
1106000000,-0.38703069,140.10187,-23.12565,-80.419479
1107000000,-0.39579031,139.97685,-23.08757,-80.427521
1108000000,-0.40192664,139.39668,-22.958351,-80.71386
1109000000,-0.37994781,139.29376,-22.992662,-81.503052
1110000000,-0.40375474,139.08325,-23.035448,-81.779686
1111000000,-0.41767752,138.78053,-23.058819,-81.703033
1112000000,-0.40716475,138.56619,-22.951332,-81.99604
1113000000,-0.38008827,138.55144,-22.923981,-82.702072
1114000000,-0.4138408,138.19658,-22.929865,-82.550209
1115000000,-0.40889812,138.04648,-22.816933,-82.476532
1116000000,-0.40012237,137.89478,-22.822338,-83.405762
1117000000,-0.37678686,137.72385,-22.826609,-83.726288
1118000000,-0.39962691,137.40308,-22.857046,-83.503365
1119000000,-0.4055064,137.42209,-22.846294,-84.142296
1120000000,-0.40950763,136.87778,-22.791224,-84.684616
1121000000,-0.42880905,136.72369,-22.741495,-84.817337
1122000000,-0.39373797,136.70853,-22.762636,-84.589516
1123000000,-0.39117083,136.43506,-22.735203,-84.929459
1124000000,-0.41017509,136.39595,-22.612591,-85.078102
