Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1,-4.749031411,-4.8015685,-7.397866015,-7.0394664,-5.953096452,-5.6389937,-7.256849608,-6.6587505
1.001,-4.747773651,-4.7803583,-7.400149166,-7.0345783,-5.952368652,-5.6614752,-7.258826988,-6.6586747
1.002,-4.746518566,-4.797225,-7.402434881,-7.0650668,-5.951637963,-5.6732559,-7.260804592,-6.6772957
1.003,-4.745266163,-4.7905331,-7.40472315,-7.0542197,-5.950904381,-5.6563005,-7.262782416,-6.6877775
1.004,-4.744016448,-4.7529159,-7.407013966,-7.0226908,-5.9501679,-5.6390166,-7.26476046,-6.6508431
1.005,-4.74276943,-4.8148274,-7.40930732,-7.0941124,-5.949428516,-5.6894259,-7.266738721,-6.7049866
1.006,-4.741525116,-4.7985091,-7.411603206,-7.061789,-5.948686224,-5.6485128,-7.268717199,-6.6969967
1.007,-4.740283513,-4.7908854,-7.413901613,-7.0442119,-5.947941018,-5.638515,-7.270695892,-6.6861162
1.008,-4.739044627,-4.7524877,-7.416202535,-7.0529675,-5.947192893,-5.6395531,-7.272674798,-6.6711535
1.009,-4.737808468,-4.782855,-7.418505962,-7.0538778,-5.946441845,-5.6543937,-7.274653915,-6.6822133
1.01,-4.736575041,-4.7686934,-7.420811886,-7.0642672,-5.945687869,-5.6289697,-7.276633243,-6.6613116
1.011,-4.735344354,-4.801734,-7.423120298,-7.0897455,-5.94493096,-5.6334295,-7.278612778,-6.7137241
1.012,-4.734116415,-4.8184319,-7.425431189,-7.0906281,-5.944171112,-5.6272759,-7.280592521,-6.7069068
1.013,-4.73289123,-4.7722712,-7.427744551,-7.0511017,-5.943408321,-5.6159348,-7.282572468,-6.6780381
1.014,-4.731668808,-4.7594361,-7.430060374,-7.0776067,-5.942642583,-5.6451292,-7.284552619,-6.6776233
1.015,-4.730449156,-4.7842827,-7.432378651,-7.071907,-5.941873891,-5.6263132,-7.286532972,-6.6805363
1.016,-4.72923228,-4.7529211,-7.43469937,-7.07903,-5.941102241,-5.6255426,-7.288513526,-6.6858006
1.017,-4.728018188,-4.7398109,-7.437022524,-7.0626936,-5.940327628,-5.6229601,-7.290494278,-6.6931076
1.018,-4.726806889,-4.7622566,-7.439348102,-7.0982895,-5.939550047,-5.6261792,-7.292475228,-6.7197747
1.019,-4.725598388,-4.7949572,-7.441676096,-7.0863442,-5.938769493,-5.6254787,-7.294456373,-6.7078395
1.02,-4.724392694,-4.7741551,-7.444006496,-7.1149182,-5.937985962,-5.6494193,-7.296437712,-6.7033668
1.021,-4.723189814,-4.7924647,-7.446339292,-7.0785055,-5.937199447,-5.5823817,-7.298419244,-6.6684461
1.022,-4.721989755,-4.7571001,-7.448674475,-7.0632644,-5.936409945,-5.6135769,-7.300400966,-6.6892834
1.023,-4.720792525,-4.7824807,-7.451012035,-7.0899191,-5.935617451,-5.6214948,-7.302382878,-6.7011647
1.024,-4.719598131,-4.7666965,-7.453351962,-7.1230268,-5.934821959,-5.6555624,-7.304364978,-6.7230735
1.025,-4.718406581,-4.7364326,-7.455694246,-7.1232591,-5.934023464,-5.6333666,-7.306347263,-6.7251129
1.026,-4.717217882,-4.8029871,-7.458038877,-7.1364331,-5.933221962,-5.6261716,-7.308329733,-6.700182
1.027,-4.716032042,-4.7286696,-7.460385845,-7.0752301,-5.932417448,-5.581573,-7.310312386,-6.6900005
