Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1,-4.287506139,-4.6348395,-6.489209952,-5.976728,-11.28876983,-10.641809,-5.327039209,-5.0894923
1.001,-4.284117869,-4.5919943,-6.491964479,-6.0015302,-11.30527047,-10.65833,-5.32569401,-5.1105781
1.002,-4.280728121,-4.6164355,-6.494735245,-6.0097637,-11.32181219,-10.666235,-5.324349427,-5.0846372
1.003,-4.277336918,-4.6028991,-6.497522344,-6.0224285,-11.33839487,-10.694569,-5.323005483,-5.1136713
1.004,-4.273944285,-4.5738692,-6.500325867,-5.9945445,-11.35501836,-10.699408,-5.321662201,-5.0754099
1.005,-4.270550244,-4.593842,-6.503145908,-6.0441689,-11.37168255,-10.768373,-5.320319606,-5.1202607
1.006,-4.267154818,-4.5699763,-6.505982561,-6.0262895,-11.38838727,-10.726007,-5.31897772,-5.1103477
1.007,-4.263758033,-4.5485988,-6.50883592,-6.0293417,-11.4051324,-10.749262,-5.317636568,-5.1107173
1.008,-4.260359912,-4.570138,-6.51170608,-6.0265918,-11.42191776,-10.750133,-5.316296175,-5.0785789
1.009,-4.256960479,-4.5584912,-6.514593135,-6.0331078,-11.4387432,-10.755584,-5.314956564,-5.0987659
1.01,-4.253559758,-4.5447178,-6.517497183,-6.0241189,-11.45560854,-10.781174,-5.31361776,-5.0590086
1.011,-4.250157775,-4.5887618,-6.520418318,-6.0365362,-11.47251362,-10.80985,-5.312279788,-5.1070566
1.012,-4.246754555,-4.5658541,-6.523356639,-6.0515528,-11.48945825,-10.838021,-5.310942673,-5.1076727
1.013,-4.243350121,-4.5503926,-6.526312242,-6.0179963,-11.50644223,-10.80777,-5.309606439,-5.0623684
1.014,-4.239944501,-4.5196857,-6.529285226,-6.0421782,-11.52346537,-10.820589,-5.308271113,-5.0857639
1.015,-4.236537718,-4.5567379,-6.532275689,-6.0283875,-11.54052747,-10.87909,-5.30693672,-5.0808792
1.016,-4.2331298,-4.5395632,-6.535283729,-6.0435076,-11.55762831,-10.833554,-5.305603285,-5.0479631
1.017,-4.229720771,-4.5155745,-6.538309446,-6.0638027,-11.57476767,-10.904716,-5.304270835,-5.073379
