!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:07:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°)
1000000000,-4.8781047,161.44044
1001000000,-4.8325815,161.59769
1002000000,-4.8558068,161.62259
1003000000,-4.8456163,161.57411
1004000000,-4.8209629,161.29994
1005000000,-4.8827019,161.45612
1006000000,-4.8561206,161.3782
1007000000,-4.8425922,161.33331
1008000000,-4.8248258,161.49199
1009000000,-4.8220863,161.42784
1010000000,-4.7874641,161.20442
1011000000,-4.8353033,161.20451
1012000000,-4.8373075,161.18959
1013000000,-4.8171687,160.97
1014000000,-4.8070173,161.14876
1015000000,-4.8255029,161.26422
1016000000,-4.8152614,161.12894
1017000000,-4.7946181,161.05901
1018000000,-4.8377423,161.03813
1019000000,-4.8119755,160.89081
1020000000,-4.8282862,161.07552
1021000000,-4.8128939,160.96393
1022000000,-4.8001804,160.71362
1023000000,-4.8059669,160.78827
1024000000,-4.8323565,160.90193
1025000000,-4.8276644,160.76672
1026000000,-4.8263888,160.6375
1027000000,-4.7973814,160.707
1028000000,-4.8550901,160.66391
1029000000,-4.8223143,160.60158
1030000000,-4.8279524,160.41953
1031000000,-4.7739701,160.47627
1032000000,-4.8340802,160.38657
1033000000,-4.817883,160.34874
1034000000,-4.8163333,160.45821
1035000000,-4.7865543,160.29951
1036000000,-4.7894063,160.48694
1037000000,-4.7696123,159.99628
1038000000,-4.8062353,160.20844
1039000000,-4.8120713,160.15143
1040000000,-4.8004551,160.25075
1041000000,-4.8371072,160.28052
1042000000,-4.8003235,159.99773
1043000000,-4.8011675,160.23351
1044000000,-4.806499,159.94228
1045000000,-4.8201032,159.93361
1046000000,-4.7660899,159.82993
1047000000,-4.7905455,160.18016
1048000000,-4.8079648,159.90825
1049000000,-4.7718844,159.83759
1050000000,-4.781383,159.96477
1051000000,-4.7787232,159.71594
1052000000,-4.7697101,159.53592
1053000000,-4.787147,159.58434
1054000000,-4.784801,159.59387
1055000000,-4.796804,159.56331
1056000000,-4.7825356,159.54977
1057000000,-4.7486339,159.37497
1058000000,-4.8104472,159.20532
1059000000,-4.7729092,159.25775
1060000000,-4.7674627,159.49031
1061000000,-4.7751598,159.39241
1062000000,-4.7563314,159.44458
1063000000,-4.763176,159.33649
1064000000,-4.7695265,159.41806
1065000000,-4.7689157,159.18774
1066000000,-4.767931,159.10124
1067000000,-4.7737641,158.90826
1068000000,-4.7402205,159.0692
1069000000,-4.7630434,159.00282
1070000000,-4.7497125,158.86974
1071000000,-4.7828145,159.15697
1072000000,-4.764123,158.8233
1073000000,-4.8007784,159.13986
1074000000,-4.7422171,159.01582
1075000000,-4.7716641,158.7261
1076000000,-4.7528753,159.00072
1077000000,-4.7286048,158.87794
1078000000,-4.7810512,158.74883
1079000000,-4.7540283,158.58705
1080000000,-4.7429643,158.79276
1081000000,-4.711246,158.71745
1082000000,-4.7488217,158.33185
1083000000,-4.7766795,158.47531
1084000000,-4.722827,158.53969
1085000000,-4.7455549,158.38498
1086000000,-4.7555165,158.20851
1087000000,-4.7454877,158.50034
1088000000,-4.7407336,158.50818
1089000000,-4.7466898,158.32843
1090000000,-4.7583604,158.28645
1091000000,-4.7496333,158.00795
1092000000,-4.7519784,158.19537
1093000000,-4.7137976,158.08429
1094000000,-4.7184153,158.09927
1095000000,-4.7380743,158.04053
1096000000,-4.7452869,157.99994
1097000000,-4.7003675,157.86638
1098000000,-4.7109714,157.86852
1099000000,-4.7417574,157.98749
1100000000,-4.756,157.78697
1101000000,-4.7224069,157.64508
1102000000,-4.7154303,157.67029
1103000000,-4.758924,157.43575
1104000000,-4.7415452,157.6709
1105000000,-4.721067,157.56317
1106000000,-4.7281575,157.63033
1107000000,-4.7636051,157.42703
1108000000,-4.7131305,157.46227
1109000000,-4.6922388,157.4642
1110000000,-4.698689,157.53479
1111000000,-4.6883712,157.39844
1112000000,-4.7188835,157.12469
1113000000,-4.7299328,157.38127
1114000000,-4.7490807,157.11699
1115000000,-4.722403,157.14151
1116000000,-4.735599,157.07227
1117000000,-4.6625686,157.17821
1118000000,-4.7381296,157.21652
1119000000,-4.7198982,156.60994
1120000000,-4.702641,157.04848
1121000000,-4.7023044,156.91032
1122000000,-4.7191596,156.98827
1123000000,-4.7240553,156.73796
1124000000,-4.6819925,156.74207
1125000000,-4.7287388,156.70605
1126000000,-4.692255,156.67027
1127000000,-4.7210522,156.59747
1128000000,-4.7175894,156.51442
1129000000,-4.7182183,156.41188
1130000000,-4.6972632,156.27074
1131000000,-4.6958208,156.41325
1132000000,-4.6893978,156.53363
1133000000,-4.7177558,156.21272
1134000000,-4.7164183,156.70827
1135000000,-4.7331681,156.489
1136000000,-4.7141371,156.16333
1137000000,-4.7183332,156.34787
1138000000,-4.6994066,156.13016
1139000000,-4.7525144,156.04997
1140000000,-4.7072196,156.05733
1141000000,-4.6979365,156.12953
1142000000,-4.709578,155.94147
1143000000,-4.6850152,155.97374
1144000000,-4.7293348,155.89815
1145000000,-4.6937861,155.9214
1146000000,-4.6678448,155.98055
1147000000,-4.6347179,155.8576
1148000000,-4.7096009,155.65594
1149000000,-4.6981173,156.05821
1150000000,-4.7018552,155.48572
1151000000,-4.6971064,155.7294
1152000000,-4.7046065,155.46576
1153000000,-4.6761374,155.52519
1154000000,-4.6982751,155.45399
1155000000,-4.6737442,155.29314
1156000000,-4.6762633,155.43315
1157000000,-4.6990309,155.41925
1158000000,-4.6797667,155.31488
1159000000,-4.7103133,155.27815
1160000000,-4.6721821,155.12799
1161000000,-4.6852679,155.36424
1162000000,-4.684761,155.25787
1163000000,-4.7037249,155.24524
1164000000,-4.6874604,155.30347
1165000000,-4.6801267,155.11682
1166000000,-4.6709042,155.11794
1167000000,-4.6841645,155.26523
1168000000,-4.6831098,155.13853
1169000000,-4.6912761,154.72633
1170000000,-4.6511636,155.04047
1171000000,-4.7017217,154.91602
1172000000,-4.692234,154.79388
1173000000,-4.6936789,154.67062
1174000000,-4.691287,154.73276
1175000000,-4.6610856,154.52621
1176000000,-4.6843557,154.63231
1177000000,-4.7275214,154.46819
1178000000,-4.6567535,154.6678
1179000000,-4.7063179,154.58939
1180000000,-4.6476111,154.2719
1181000000,-4.7080722,154.30637
1182000000,-4.6665411,154.22211
1183000000,-4.6350121,154.45485
1184000000,-4.6757593,154.29865
1185000000,-4.7050357,154.25331
1186000000,-4.6721525,154.24637
1187000000,-4.6923623,154.07574
1188000000,-4.6391191,153.92621
1189000000,-4.6629057,153.92104
1190000000,-4.6756768,154.04379
1191000000,-4.6357312,153.93271
1192000000,-4.6518064,153.80899
1193000000,-4.7017031,153.98753
1194000000,-4.6679111,153.93483
1195000000,-4.6666994,153.67648
1196000000,-4.6264033,153.84686
1197000000,-4.6814494,153.49631
1198000000,-4.6525898,153.76892
1199000000,-4.6824961,153.45975
1200000000,-4.6603599,153.54689
1201000000,-4.6611295,153.56387
1202000000,-4.6620798,153.49789
1203000000,-4.6627393,153.36009
1204000000,-4.6643472,153.54102
1205000000,-4.6553097,153.3499
1206000000,-4.6820884,153.59898
1207000000,-4.6680126,153.53201
1208000000,-4.6444445,153.13194
1209000000,-4.6496491,153.21634
1210000000,-4.668931,153.11963
