Freq [GHz],"SimuldB(S(2,1)) []",Meausre_S21 Log Mag(dB),,,,,"dB(S(1,1)) []"
1,-0.088570949,0.075243369,,,,,-56.38765587
1.001,-0.088612279,0.070801236,,,,,-56.44540291
1.002,-0.088653401,0.082808293,,,,,-56.50336313
1.003,-0.088694315,0.076650299,,,,,-56.56153634
1.004,-0.088735022,0.07391312,,,,,-56.61992231
1.005,-0.088775522,0.090489514,,,,,-56.67852073
1.006,-0.088815818,0.055391997,,,,,-56.73733121
1.007,-0.088855908,0.10608042,,,,,-56.79635327
1.008,-0.088895794,0.10189336,,,,,-56.85558636
1.009,-0.088935478,0.064422525,,,,,-56.91502982
1.01,-0.088974958,0.071754821,,,,,-56.97468292
1.011,-0.089014237,0.10019661,,,,,-57.0345448
1.012,-0.089053315,0.05794134,,,,,-57.09461453
1.013,-0.089092193,0.10041723,,,,,-57.15489106
1.014,-0.089130871,0.088881992,,,,,-57.21537321
1.015,-0.08916935,0.10853089,,,,,-57.2760597
1.016,-0.089207631,0.089552648,,,,,-57.33694914
1.017,-0.089245715,0.078889653,,,,,-57.39803999
1.018,-0.089283603,0.06765911,,,,,-57.45933057
1.019,-0.089321294,0.06063835,,,,,-57.52081909
1.02,-0.089358791,0.099001005,,,,,-57.58250359
1.021,-0.089396093,0.053126495,,,,,-57.64438198
1.022,-0.089433201,0.066375993,,,,,-57.70645198
1.023,-0.089470116,0.078445219,,,,,-57.76871118
1.024,-0.08950684,0.060974162,,,,,-57.83115698
1.025,-0.089543371,0.06091281,,,,,-57.8937866
1.026,-0.089579712,0.096261971,,,,,-57.95659709
1.027,-0.089615863,0.085771158,,,,,-58.01958528
1.028,-0.089651824,0.062422898,,,,,-58.08274782
1.029,-0.089687596,0.067058049,,,,,-58.14608115
1.03,-0.089723181,0.055603839,,,,,-58.20958148
1.031,-0.089758578,0.070934214,,,,,-58.2732448
1.032,-0.089793789,0.055525433,,,,,-58.33706687
1.033,-0.089828814,0.088185266,,,,,-58.40104319
1.034,-0.089863654,0.077354744,,,,,-58.46516902
1.035,-0.089898309,0.074867271,,,,,-58.52943935
1.036,-0.089932781,0.09077882,,,,,-58.59384891
1.037,-0.089967069,0.06674093,,,,,-58.65839211
1.038,-0.090001175,0.079785548,,,,,-58.72306312
1.039,-0.090035099,0.077722557,,,,,-58.78785575
1.04,-0.090068843,0.067055099,,,,,-58.85276353
1.041,-0.090102406,0.090126015,,,,,-58.91777964
1.042,-0.090135789,0.075542644,,,,,-58.98289694
1.043,-0.090168993,0.07146728,,,,,-59.04810793
1.044,-0.09020202,0.072962701,,,,,-59.11340474
1.045,-0.090234868,0.075430363,,,,,-59.17877914
1.046,-0.09026754,0.051829625,,,,,-59.2442225
1.047,-0.090300035,0.11644983,,,,,-59.3097258
1.048,-0.090332354,0.065640867,,,,,-59.37527959
1.049,-0.090364499,0.051984683,,,,,-59.44087402
1.05,-0.09039647,0.064218447,,,,,-59.50649877
1.051,-0.090428266,0.073544778,,,,,-59.57214309
1.052,-0.09045989,0.052374434,,,,,-59.63779576
1.053,-0.090491342,0.063986264,,,,,-59.70344507
1.054,-0.090522622,0.073993884,,,,,-59.76907884
1.055,-0.090553731,0.071443342,,,,,-59.83468436
1.056,-0.09058467,0.055148572,,,,,-59.90024842
1.057,-0.090615439,0.078583106,,,,,-59.96575726
1.058,-0.090646039,0.051875073,,,,,-60.0311966
1.059,-0.090676471,0.06822928,,,,,-60.09655157
1.06,-0.090706735,0.063268431,,,,,-60.16180677
1.061,-0.090736832,0.069239654,,,,,-60.22694619
1.062,-0.090766762,0.073538542,,,,,-60.29195322
1.063,-0.090796527,0.070924282,,,,,-60.35681068
1.064,-0.090826127,0.078029305,,,,,-60.42150075
1.065,-0.090855562,0.074993461,,,,,-60.48600499
1.066,-0.090884833,0.061932389,,,,,-60.55030432
1.067,-0.090913941,0.084457539,,,,,-60.61437903
1.068,-0.090942887,0.081978403,,,,,-60.67820876
1.069,-0.09097167,0.055160854,,,,,-60.7417725
1.07,-0.091000293,0.044954296,,,,,-60.80504855
1.071,-0.091028754,0.044096805,,,,,-60.8680146
1.072,-0.091057055,0.098468646,,,,,-60.93064762
1.073,-0.091085197,0.072730124,,,,,-60.99292395
1.074,-0.09111318,0.070400141,,,,,-61.05481924
1.075,-0.091141005,0.046471134,,,,,-61.11630852
1.076,-0.091168672,0.067578971,,,,,-61.17736611
1.077,-0.091196182,0.073789723,,,,,-61.23796571
1.078,-0.091223536,0.060787003,,,,,-61.29808038
1.079,-0.091250734,0.054300029,,,,,-61.35768254
1.08,-0.091277777,0.068109266,,,,,-61.41674401
1.081,-0.091304665,0.067056045,,,,,-61.475236
1.082,-0.0913314,0.060225572,,,,,-61.53312914
1.083,-0.091357981,0.075693153,,,,,-61.59039351
1.084,-0.091384409,0.07918366,,,,,-61.64699866
1.085,-0.091410685,0.0785653,,,,,-61.70291365
1.086,-0.091436809,0.031664353,,,,,-61.75810704
1.087,-0.091462783,0.092027716,,,,,-61.81254698
1.088,-0.091488606,0.087025963,,,,,-61.86620122
1.089,-0.091514279,0.087134615,,,,,-61.91903716
1.09,-0.091539804,0.061753452,,,,,-61.97102189
1.091,-0.091565179,0.071325079,,,,,-62.02212223
1.092,-0.091590407,0.06028834,,,,,-62.07230482
1.093,-0.091615487,0.055616125,,,,,-62.12153613
1.094,-0.09164042,0.073900901,,,,,-62.16978255
