"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-4.78624259702332,-2.5880218069024
1.001,-4.7964165387129,-2.5821416994453
1.002,-4.80660523560495,-2.57627431458621
1.003,-4.816808693579,-2.57041963819624
1.004,-4.8270269184724,-2.56457765615965
1.005,-4.83725991608021,-2.5587483543735
1.006,-4.84750769215501,-2.55293171874746
1.007,-4.8577702524067,-2.54712773520338
1.008,-4.86804760250233,-2.54133638967505
1.009,-4.87833974806592,-2.53555766810793
1.01,-4.88864669467829,-2.52979155645878
1.011,-4.89896844787686,-2.52403804069542
1.012,-4.9093050131555,-2.51829710679639
1.013,-4.91965639596429,-2.51256874075074
1.014,-4.93002260170941,-2.50685292855763
1.015,-4.94040363575292,-2.50114965622616
1.016,-4.95079950341255,-2.49545890977497
1.017,-4.96121020996159,-2.48978067523208
1.018,-4.97163576062866,-2.48411493863448
1.019,-4.98207616059751,-2.47846168602797
1.02,-4.99253141500689,-2.4728209034668
1.021,-5.00300152895035,-2.46719257701344
1.022,-5.01348650747599,-2.46157669273832
1.023,-5.02398635558639,-2.45597323671948
1.024,-5.03450107823834,-2.45038219504241
1.025,-5.04503068034271,-2.44480355379972
1.026,-5.05557516676422,-2.4392372990909
1.027,-5.06613454232126,-2.43368341702201
1.028,-5.07670881178578,-2.4281418937055
1.029,-5.08729797988297,-2.42261271525991
1.03,-5.09790205129123,-2.4170958678096
1.031,-5.10852103064184,-2.41159133748454
1.032,-5.11915492251888,-2.40609911042001
1.033,-5.12980373145901,-2.40061917275639
1.034,-5.14046746195124,-2.39515151063892
1.035,-5.1511461184368,-2.38969611021738
1.036,-5.16183970530896,-2.38425295764597
1.037,-5.17254822691279,-2.37882203908293
1.038,-5.18327168754501,-2.37340334069046
1.039,-5.19401009145381,-2.3679968486343
1.04,-5.2047634428386,-2.36260254908368
1.041,-5.21553174584993,-2.35722042821094
1.042,-5.22631500458918,-2.35185047219139
1.043,-5.23711322310849,-2.34649266720306
1.044,-5.24792640541047,-2.34114699942642
1.045,-5.25875455544808,-2.33581345504426
1.046,-5.2695976771244,-2.33049202024137
1.047,-5.28045577429245,-2.32518268120438
1.048,-5.29132885075502,-2.31988542412151
1.049,-5.30221691026447,-2.31460023518236
1.05,-5.31311995652252,-2.30932710057771
1.051,-5.32403799318007,-2.3040660064993
1.052,-5.33497102383705,-2.29881693913961
1.053,-5.34591905204214,-2.29357988469168
1.054,-5.35688208129267,-2.28835482934885
1.055,-5.36786011503438,-2.28314175930462
1.056,-5.37885315666123,-2.2779406607524
1.057,-5.38986120951521,-2.27275151988534
1.058,-5.40088427688619,-2.2675743228961
1.059,-5.41192236201164,-2.2624090559767
1.06,-5.4229754680765,-2.25725570531827
1.061,-5.434043598213,-2.25211425711089
1.062,-5.4451267555004,-2.24698469754342
1.063,-5.45622494296488,-2.24186701280325
1.064,-5.46733816357924,-2.23676118907618
1.065,-5.47846642026282,-2.23166721254619
1.066,-5.48960971588124,-2.22658506939528
1.067,-5.50076805324618,-2.22151474580327
1.068,-5.51194143511524,-2.21645622794764
1.069,-5.52312986419177,-2.21140950200333
1.07,-5.53433334312456,-2.20637455414262
1.071,-5.54555187450773,-2.20135137053488
1.072,-5.55678546088053,-2.19633993734643
1.073,-5.5680341047271,-2.19134024074041
1.074,-5.57929780847634,-2.18635226687657
1.075,-5.59057657450162,-2.18137600191108
1.076,-5.60187040512068,-2.17641143199644
1.077,-5.61317930259533,-2.17145854328126
1.078,-5.62450326913137,-2.16651732191012
1.079,-5.63584230687827,-2.1615877540234
1.08,-5.64719641792905,-2.15666982575715
1.081,-5.65856560432007,-2.15176352324291
1.082,-5.66994986803078,-2.14686883260756
1.083,-5.68134921098357,-2.14198573997319
1.084,-5.69276363504355,-2.13711423145692
1.085,-5.70419314201838,-2.13225429317079
1.086,-5.71563773365801,-2.12740591122157
1.087,-5.72709741165451,-2.12256907171066
1.088,-5.73857217764186,-2.11774376073392
1.089,-5.75006203319577,-2.11292996438155
1.09,-5.76156697983345,-2.10812766873794
1.091,-5.77308701901343,-2.10333685988151
1.092,-5.78462215213532,-2.09855752388464
1.093,-5.79617238053961,-2.09378964681348
1.094,-5.80773770550756,-2.08903321472784
1.095,-5.81931812826079,-2.08428821368105
1.096,-5.83091364996133,-2.07955462971986
1.097,-5.84252427171117,-2.0748324488843
1.098,-5.85414999455229,-2.07012165720753
1.099,-5.86579081946623,-2.06542224071576
1.1,-5.87744674737398,-2.06073418542811
1.101,-5.88911777913585,-2.05605747735648
1.102,-5.90080391555117,-2.05139210250547
1.103,-5.91250515735806,-2.04673804687222
