"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1,-32.1879469291099,-0.436962435339115,-0.436962435339101,-32.2307065249248
1.001,-32.4185052462591,-0.437268738444462,-0.437268738444457,-32.463311335222
1.002,-32.6549273450587,-0.437579039546417,-0.437579039546415,-32.701966607598
1.003,-32.897482660118,-0.437893342684632,-0.437893342684632,-32.9469633702631
1.004,-33.146456524906,-0.438211651670057,-0.438211651670061,-33.1986116077235
1.005,-33.4021509126316,-0.438533970084288,-0.438533970084296,-33.4572415109353
1.006,-33.6648850850234,-0.438860301278898,-0.438860301278906,-33.7232047315605
1.007,-33.9349960902649,-0.439190648374798,-0.439190648374808,-33.9968756013573
1.008,-34.2128390289839,-0.439525014261625,-0.439525014261641,-34.278652259532
1.009,-34.4987869768332,-0.439863401597106,-0.439863401597125,-34.5689576054381
1.01,-34.7932304109904,-0.440205812806476,-0.4402058128065,-34.8682399585072
1.011,-35.096575931889,-0.440552250081875,-0.440552250081901,-35.1769732577427
1.012,-35.4092439953822,-0.440902715381787,-0.440902715381813,-35.4956565639276
1.013,-35.7316652670538,-0.441257210430468,-0.441257210430498,-35.824812531065
1.014,-36.0642750698184,-0.44161573671741,-0.441615736717445,-36.1649843785077
1.015,-36.4075052052287,-0.441978295496804,-0.441978295496839,-36.5167307064127
1.016,-36.7617721709565,-0.442344887787015,-0.442344887787053,-36.8806172332918
1.017,-37.1274604497911,-0.442715514370092,-0.442715514370133,-37.2572041662473
1.018,-37.5048990823067,-0.443090175791268,-0.443090175791311,-37.6470274024732
1.019,-37.8943291254291,-0.443468872358472,-0.443468872358517,-38.0505710529163
1.02,-38.2958588127486,-0.443851604141896,-0.44385160414194,-38.4682278110162
1.021,-38.7094022523123,-0.444238370973518,-0.444238370973565,-38.9002423880696
1.022,-39.1345963443639,-0.444629172446685,-0.444629172446736,-39.346631536327
1.023,-39.5706893840101,-0.445024007915685,-0.445024007915739,-39.807072064594
1.024,-40.0163938233645,-0.445422876495354,-0.445422876495407,-40.2807458442353
1.025,-40.4696955395966,-0.445825777060666,-0.445825777060723,-40.7661285649734
1.026,-40.9276139180435,-0.446232708246382,-0.44623270824644,-41.2607080818821
1.027,-41.3859132517554,-0.44664366844667,-0.446643668446733,-41.7606210471417
1.028,-41.8387796591103,-0.447058655814762,-0.447058655814824,-42.260207729041
1.029,-42.278503016278,-0.447477668262638,-0.447477668262701,-42.7515119069729
1.03,-42.6952432622287,-0.447900703460687,-0.447900703460751,-43.2238049355315
1.031,-43.0770116757481,-0.448327758837431,-0.448327758837495,-43.6632964181051
1.032,-43.4100422343179,-0.448758831579203,-0.448758831579273,-44.0532958775243
1.033,-43.6797248346566,-0.449193918629928,-0.44919391863,-44.3751547683917
1.034,-43.8721643445412,-0.449633016690817,-0.449633016690887,-44.6102340173686
1.035,-43.9761882860798,-0.450076122220149,-0.45007612222022,-44.7427929940533
1.036,-43.9853220842739,-0.450523231433055,-0.450523231433128,-44.7631212516219
1.037,-43.8990780291968,-0.450974340301285,-0.45097434030136,-44.6697778164132
1.038,-43.7230566132019,-0.451429444553034,-0.451429444553109,-44.4699431485397
1.039,-43.4678186244899,-0.451888539672754,-0.451888539672834,-44.1777156286643
1.04,-43.1469732723135,-0.452351620900991,-0.45235162090107,-43.8111373433922
1.041,-42.775136802432,-0.452818683234236,-0.45281868323432,-43.3891218519144
1.042,-42.3662841940737,-0.453289721424807,-0.453289721424889,-42.9291492309757
1.043,-41.9327180356567,-0.453764729980697,-0.453764729980778,-42.446005398094
1.044,-41.4846196856298,-0.454243703165523,-0.454243703165608,-41.9514021879177
1.045,-41.0300194759515,-0.454726634998404,-0.454726634998488,-41.4541532820009
1.046,-40.5750068530188,-0.455213519253905,-0.45521351925399,-40.9606119593815
1.047,-40.1240417274833,-0.455704349461979,-0.455704349462066,-40.4751754231791
1.048,-39.680280206524,-0.456199118907943,-0.456199118908033,-40.0007527992727
1.049,-39.2458699858527,-0.456697820632444,-0.456697820632531,-39.5391561028505
1.05,-38.8221981254132,-0.457200447431456,-0.457200447431545,-39.0914076377832
1.051,-38.4100891649395,-0.457706991856293,-0.457706991856385,-38.6579726953133
1.052,-38.0099586528276,-0.458217446213644,-0.458217446213736,-38.2389313649852
1.053,-37.6219296154849,-0.458731802565601,-0.458731802565692,-37.8341032287259
1.054,-37.2459195919813,-0.459250052729726,-0.459250052729814,-37.4431367266838
1.055,-36.8817049493354,-0.45977218827914,-0.45977218827923,-37.0655725567141
1.056,-36.5289679860783,-0.460298200542593,-0.460298200542683,-36.7008882333818
1.057,-36.1873311580605,-0.460828080604577,-0.460828080604668,-36.3485290936855
1.058,-35.8563817505372,-0.461361819305483,-0.461361819305576,-36.0079296111163
1.059,-35.535689504561,-0.461899407241684,-0.461899407241777,-35.6785278110262
1.06,-35.2248190701201,-0.462440834765747,-0.462440834765838,-35.3597747953142
1.061,-34.9233386744727,-0.46298609198657,-0.462986091986663,-35.0511408148956
1.062,-34.6308260308121,-0.463535168769606,-0.463535168769699,-34.7521189182001
