"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1,-12.5501569042991,-3.43305422084064,-12.5458965497145,-3.40905346834591,-7.34260950193779,-12.7109359221791
1.001,-12.5548837396697,-3.43290266088857,-12.5510939577025,-3.40895405312908,-7.34701530831576,-12.7158864349508
1.002,-12.559610981097,-3.43275115922509,-12.5562944263052,-3.40885489176604,-7.35141991772869,-12.720838357646
1.003,-12.5643386281317,-3.43259971631877,-12.561497962687,-3.40875598391404,-7.35582333212858,-12.7257916971723
1.004,-12.569066680344,-3.43244833263704,-12.5667045738111,-3.40865732922765,-7.36022555348335,-12.7307464602601
1.005,-12.5737951373228,-3.43229700864625,-12.5719142664396,-3.40855892735878,-7.36462658377677,-12.735702653462
1.006,-12.5785239986761,-3.43214574481167,-12.5771270471337,-3.4084607779567,-7.36902642500834,-12.7406602831532
1.007,-12.5832532640306,-3.43199454159742,-12.5823429222532,-3.40836288066806,-7.37342507919324,-12.7456193555314
1.008,-12.587982933032,-3.43184339946652,-12.5875618979566,-3.40826523513687,-7.37782254836223,-12.7505798766166
1.009,-12.5927130053447,-3.43169231888091,-12.5927839802012,-3.40816784100456,-7.38221883456157,-12.7555418522514
1.01,-12.5974434806517,-3.43154130030135,-12.598009174743,-3.40807069790994,-7.38661393985295,-12.7605052881005
1.011,-12.6021743586547,-3.43139034418751,-12.6032374871363,-3.40797380548928,-7.3910078663134,-12.7654701896513
1.012,-12.6069056390741,-3.43123945099793,-12.608468922734,-3.40787716337627,-7.39540061603522,-12.7704365622135
1.013,-12.6116373216484,-3.43108862118999,-12.6137034866877,-3.40778077120203,-7.39979219112588,-12.7754044109192
1.014,-12.6163694061351,-3.43093785521998,-12.6189411839471,-3.40768462859518,-7.40418259370795,-12.7803737407229
1.015,-12.6211018923096,-3.43078715354302,-12.6241820192605,-3.4075887351818,-7.40857182591903,-12.7853445564016
1.016,-12.625834779966,-3.43063651661308,-12.6294259971745,-3.40749309058547,-7.41295988991167,-12.7903168625548
1.017,-12.6305680689165,-3.430485944883,-12.6346731220343,-3.40739769442727,-7.41734678785327,-12.7952906636044
1.018,-12.6353017589914,-3.43033543880446,-12.639923397983,-3.40730254632579,-7.42173252192601,-12.8002659637949
1.019,-12.6400358500394,-3.43018499882799,-12.6451768289624,-3.40720764589718,-7.42611709432679,-12.8052427671933
1.02,-12.6447703419271,-3.43003462540296,-12.6504334187126,-3.40711299275513,-7.43050050726714,-12.8102210776891
1.021,-12.6495052345392,-3.42988431897757,-12.6556931707718,-3.40701858651087,-7.43488276297312,-12.8152008989948
1.022,-12.6542405277783,-3.42973407999887,-12.6609560884767,-3.40692442677323,-7.43926386368529,-12.8201822346451
1.023,-12.658976221565,-3.42958390891273,-12.6662221749623,-3.40683051314864,-7.44364381165858,-12.8251650879978
1.024,-12.6637123158376,-3.42943380616387,-12.671491433162,-3.40673684524109,-7.44802260916227,-12.8301494622334
1.025,-12.6684488105524,-3.42928377219579,-12.6767638658075,-3.40664342265224,-7.45240025847984,-12.8351353603552
1.026,-12.6731857056832,-3.42913380745087,-12.682039475429,-3.40655024498136,-7.45677676190898,-12.8401227851894
1.027,-12.6779230012215,-3.42898391237027,-12.687318264355,-3.40645731182536,-7.46115212176143,-12.8451117393854
1.028,-12.6826606971766,-3.42883408739398,-12.6926002347126,-3.40636462277884,-7.46552634036297,-12.8501022254154
1.029,-12.687398793575,-3.42868433296081,-12.6978853884272,-3.40627217743404,-7.46989942005331,-12.8550942455749
1.03,-12.692137290461,-3.42853464950835,-12.7031737272231,-3.40617997538092,-7.47427136318603,-12.8600878019826
