frequency, S11, S12, S21, S22
1000000000.0000000000, -15.3253562389, -9.1215571207, -9.1215571207, -15.3253617581
1001000000.0000000000, -15.3358214249, -9.1230760765, -9.1230745923, -15.3358214249
1002000000.0000000000, -15.3462554019, -9.1245893253, -9.1245893253, -15.3462588587
1003000000.0000000000, -15.3566587526, -9.1260953800, -9.1260953800, -15.3566559843
1004000000.0000000000, -15.3670188998, -9.1275979494, -9.1275942372, -15.3670209782
1005000000.0000000000, -15.3773599706, -9.1290948042, -9.1290955467, -15.3773613576
1006000000.0000000000, -15.3876638449, -9.1305851992, -9.1305859419, -15.3876624565
1007000000.0000000000, -15.3979401256, -9.1320683888, -9.1320683888, -15.3979387358
1008000000.0000000000, -15.4081831515, -9.1335540270, -9.1335532841, -15.4081817603
1009000000.0000000000, -15.4183900241, -9.1350265122, -9.1350287411, -15.4183914168
1010000000.0000000000, -15.4285703807, -9.1364992142, -9.1364984712, -15.4285689866
1011000000.0000000000, -15.4387122676, -9.1379654444, -9.1379639580, -15.4387143609
1012000000.0000000000, -15.4488372099, -9.1394318896, -9.1394274297, -15.4488309235
1013000000.0000000000, -15.4589094871, -9.1408851683, -9.1408844249, -15.4589094871
1014000000.0000000000, -15.4689611246, -9.1423312230, -9.1423319665, -15.4689618245
1015000000.0000000000, -15.4789675291, -9.1437797177, -9.1437789741, -15.4789668285
1016000000.0000000000, -15.4889453856, -9.1452172661, -9.1452180099, -15.4889432817
1017000000.0000000000, -15.4988967043, -9.1466550212, -9.1466557651, -15.4988938964
1018000000.0000000000, -15.5088157748, -9.1480877754, -9.1480862875, -15.5088157748
1019000000.0000000000, -15.5186842032, -9.1495088299, -9.1495080859, -15.5186849066
1020000000.0000000000, -15.5285285845, -9.1509300864, -9.1509308306, -15.5285271764
1021000000.0000000000, -15.5383361522, -9.1523448465, -9.1523426137, -15.5383361522
1022000000.0000000000, -15.5481018503, -9.1537493854, -9.1537516186, -15.5481004394
1023000000.0000000000, -15.5578375509, -9.1551556107, -9.1551578441, -15.5578403754
1024000000.0000000000, -15.5675410365, -9.1565553324, -9.1565560770, -15.5675417433
1025000000.0000000000, -15.5772086666, -9.1579507820, -9.1579530160, -15.5772058366
1026000000.0000000000, -15.5868318298, -9.1593359992, -9.1593374888, -15.5868297052
1027000000.0000000000, -15.5964203126, -9.1607199185, -9.1607184287, -15.5964224392
1028000000.0000000000, -15.6059789732, -9.1620995594, -9.1621010494, -15.6059754255
1029000000.0000000000, -15.6154942229, -9.1634711946, -9.1634726848, -15.6154906718
1030000000.0000000000, -15.6249744598, -9.1648392919, -9.1648385467, -15.6249730381
1031000000.0000000000, -15.6344181526, -9.1662038499, -9.1662016140, -15.6344167294
1032000000.0000000000, -15.6438152177, -9.1675611400, -9.1675596492, -15.6438159299
1033000000.0000000000, -15.6531840506, -9.1689141414, -9.1689119049, -15.6531854764
1034000000.0000000000, -15.6625074382, -9.1702583786, -9.1702591242, -15.6625110060
1035000000.0000000000, -15.6718016721, -9.1716013051, -9.1716027965, -15.6718002437
