"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-15.7391719129994,-0.354971703436559
1.001,-15.7311962559164,-0.355469864168911
1.002,-15.7232386395148,-0.35596724467766
1.003,-15.7152990704469,-0.35646384387393
1.004,-15.7073775553948,-0.356959660676066
1.005,-15.6994741010701,-0.357454694009648
1.006,-15.691588714213,-0.357948942807481
1.007,-15.6837214015921,-0.358442406009611
1.008,-15.6758721700037,-0.3589350825633
1.009,-15.6680410262712,-0.359426971423036
1.01,-15.6602279772444,-0.359918071550545
1.011,-15.6524330297992,-0.360408381914762
1.012,-15.6446561908367,-0.360897901491858
1.013,-15.6368974672828,-0.361386629265215
1.014,-15.6291568660878,-0.361874564225431
1.015,-15.6214343942255,-0.362361705370343
1.016,-15.6137300586926,-0.362848051704979
1.017,-15.6060438665086,-0.363333602241596
1.018,-15.5983758247146,-0.363818355999666
1.019,-15.5907259403732,-0.364302312005863
1.02,-15.5830942205677,-0.364785469294085
1.021,-15.5754806724016,-0.365267826905425
1.022,-15.5678853029977,-0.365749383888189
1.023,-15.5603081194983,-0.366230139297887
1.024,-15.5527491290637,-0.366710092197228
1.025,-15.5452083388723,-0.367189241656131
1.026,-15.5376857561196,-0.367667586751711
1.027,-15.5301813880178,-0.368145126568272
1.028,-15.5226952417954,-0.368621860197317
1.029,-15.5152273246962,-0.369097786737553
1.03,-15.507777643979,-0.369572905294862
1.031,-15.5003462069171,-0.370047214982322
1.032,-15.4929330207974,-0.370520714920205
1.033,-15.4855380929202,-0.37099340423595
1.034,-15.4781614305982,-0.371465282064193
1.035,-15.4708030411563,-0.371936347546751
1.036,-15.4634629319308,-0.372406599832599
1.037,-15.456141110269,-0.372876038077914
1.038,-15.4488375835284,-0.373344661446027
1.039,-15.4415523590762,-0.373812469107447
1.04,-15.4342854442888,-0.374279460239848
1.041,-15.4270368465511,-0.37474563402807
1.042,-15.4198065732561,-0.37521098966412
1.043,-15.4125946318042,-0.375675526347159
1.044,-15.4054010296024,-0.376139243283509
1.045,-15.3982257740642,-0.376602139686644
1.046,-15.3910688726086,-0.377064214777199
1.047,-15.3839303326598,-0.377525467782946
1.048,-15.3768101616463,-0.377985897938812
1.049,-15.3697083670008,-0.378445504486864
1.05,-15.3626249561592,-0.378904286676317
1.051,-15.35555993656,-0.37936224376351
1.052,-15.3485133156442,-0.379819375011934
1.053,-15.341485100854,-0.380275679692197
1.054,-15.3344752996331,-0.380731157082054
1.055,-15.3274839194253,-0.381185806466366
1.056,-15.3205109676742,-0.38163962713713
1.057,-15.313556451823,-0.382092618393459
1.058,-15.3066203793133,-0.38254477954158
1.059,-15.2997027575851,-0.382996109894844
1.06,-15.2928035940756,-0.383446608773703
1.061,-15.2859228962193,-0.383896275505712
1.062,-15.2790606714468,-0.384345109425546
1.063,-15.2722169271848,-0.384793109874962
1.064,-15.2653916708549,-0.385240276202825
1.065,-15.2585849098736,-0.385686607765092
1.066,-15.2517966516514,-0.386132103924808
1.067,-15.2450269035922,-0.386576764052106
1.068,-15.2382756730931,-0.387020587524197
1.069,-15.2315429675431,-0.387463573725386
1.07,-15.2248287943234,-0.387905722047036
1.071,-15.2181331608061,-0.388347031887588
1.072,-15.211456074354,-0.388787502652569
1.073,-15.20479754232,-0.389227133754541
1.074,-15.1981575720464,-0.389665924613147
1.075,-15.1915361708644,-0.39010387465508
1.076,-15.1849333460935,-0.390540983314094
1.077,-15.1783491050409,-0.390977250030982
1.078,-15.171783455001,-0.391412674253588
1.079,-15.1652364032549,-0.391847255436803
1.08,-15.1587079570696,-0.392280993042539
1.081,-15.1521981236975,-0.392713886539769
1.082,-15.145706910376,-0.393145935404471
1.083,-15.1392343243267,-0.393577139119655
1.084,-15.132780372755,-0.39400749717536
1.085,-15.1263450628495,-0.39443700906864
1.086,-15.1199284017812,-0.394865674303554
1.087,-15.1135303967034,-0.395293492391178
1.088,-15.1071510547505,-0.395720462849588
1.089,-15.1007903830382,-0.396146585203871
1.09,-15.0944483886622,-0.396571858986094
1.091,-15.0881250786981,-0.396996283735324
1.092,-15.0818204602006,-0.397419858997617
1.093,-15.0755345402032,-0.397842584326011
1.094,-15.0692673257171,-0.398264459280526
1.095,-15.0630188237313,-0.398685483428133
1.096,-15.0567890412116,-0.399105656342808
1.097,-15.0505779851003,-0.399524977605471
1.098,-15.0443856623153,-0.399943446804002
1.099,-15.0382120797498,-0.400361063533234
1.1,-15.0320572442717,-0.400777827394968
1.101,-15.025921162723,-0.401193737997931
1.102,-15.0198038419194,-0.401608794957802
1.103,-15.0137052886494,-0.402022997897198
1.104,-15.0076255096739,-0.402436346445656
1.105,-15.0015645117259,-0.402848840239655
1.106,-14.9955223015096,-0.403260478922583
1.107,-14.9894988856999,-0.403671262144753
1.108,-14.9834942709422,-0.404081189563388
1.109,-14.9775084638511,-0.404490260842618
1.11,-14.9715414710108,-0.404898475653471
1.111,-14.9655932989737,-0.405305833673876
1.112,-14.9596639542603,-0.405712334588656
1.113,-14.9537534433587,-0.406117978089512
1.114,-14.9478617727238,-0.406522763875035
1.115,-14.9419889487768,-0.406926691650693
1.116,-14.9361349779047,-0.407329761128817
1.117,-14.93029986646,-0.407731972028605
1.118,-14.9244836207596,-0.408133324076119
1.119,-14.9186862470847,-0.408533817004275
1.12,-14.9129077516804,-0.408933450552841
1.121,-14.9071481407544,-0.409332224468426
1.122,-14.9014074204773,-0.409730138504478
1.123,-14.8956855969817,-0.410127192421277
1.124,-14.8899826763614,-0.410523385985933
1.125,-14.8842986646714,-0.410918718972375
1.126,-14.8786335679271,-0.411313191161356
1.127,-14.8729873921037,-0.411706802340429
1.128,-14.8673601431355,-0.412099552303959
1.129,-14.861751826916,-0.412491440853116
1.13,-14.8561624492967,-0.412882467795846
1.131,-14.8505920160869,-0.413272632946899
1.132,-14.8450405330532,-0.413661936127809
1.133,-14.8395080059187,-0.414050377166866
1.134,-14.8339944403629,-0.414437955899158
1.135,-14.8284998420205,-0.414824672166511
1.136,-14.8230242164819,-0.41521052581753
1.137,-14.8175675692915,-0.415595516707565
1.138,-14.8121299059482,-0.415979644698707
1.139,-14.8067112319042,-0.416362909659799
1.14,-14.8013115525647,-0.416745311466404
1.141,-14.7959308732877,-0.417126850000832
1.142,-14.7905691993828,-0.417507525152097
1.143,-14.7852265361114,-0.417887336815944
1.144,-14.7799028886856,-0.41826628489482
1.145,-14.7745982622683,-0.418644369297868
1.146,-14.7693126619719,-0.419021589940948
1.147,-14.7640460928586,-0.419397946746592
1.148,-14.7587985599393,-0.419773439644027
1.149,-14.7535700681736,-0.420148068569158
1.15,-14.7483606224688,-0.420521833464561
1.151,-14.7431702276796,-0.420894734279467
1.152,-14.7379988886078,-0.421266770969784
1.153,-14.7328466100015,-0.421637943498059
1.154,-14.7277133965547,-0.422008251833488
1.155,-14.7225992529071,-0.422377695951911
1.156,-14.7175041836429,-0.422746275835792
1.157,-14.7124281932912,-0.423113991474229
1.158,-14.7073712863248,-0.423480842862936
1.159,-14.70233346716,-0.423846830004239
1.16,-14.6973147401561,-0.424211952907068
1.161,-14.692315109615,-0.424576211586955
1.162,-14.6873345797805,-0.424939606066025
1.163,-14.6823731548381,-0.42530213637298
1.164,-14.6774308389141,-0.425663802543119
1.165,-14.6725076360756,-0.426024604618291
1.166,-14.6676035503299,-0.426384542646917
1.167,-14.6627185856236,-0.426743616683979
1.168,-14.6578527458427,-0.427101826791013
1.169,-14.653006034812,-0.427459173036092
1.17,-14.6481784562943,-0.427815655493817
1.171,-14.6433700139903,-0.428171274245339
1.172,-14.638580711538,-0.428526029378312
1.173,-14.6338105525122,-0.428879920986911
1.174,-14.629059540424,-0.429232949171824
1.175,-14.6243276787207,-0.429585114040238
1.176,-14.6196149707848,-0.42993641570582
1.177,-14.6149214199339,-0.43028685428874
1.178,-14.6102470294203,-0.430636429915638
1.179,-14.6055918024302,-0.430985142719624
1.18,-14.6009557420837,-0.431332992840275
1.181,-14.596338851434,-0.43167998042362
1.182,-14.591741133467,-0.432026105622139
1.183,-14.5871625911012,-0.432371368594747
1.184,-14.5826032271868,-0.432715769506817
