Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []"
1,-25.15628646,-0.224203988
1.001,-25.17046697,-0.224357975
1.002,-25.18465896,-0.224511875
1.003,-25.19886248,-0.22466569
1.004,-25.21307756,-0.22481942
1.005,-25.22730421,-0.224973066
1.006,-25.24154248,-0.225126628
1.007,-25.2557924,-0.225280106
1.008,-25.27005399,-0.225433503
1.009,-25.28432729,-0.225586817
1.01,-25.29861232,-0.22574005
1.011,-25.31290912,-0.225893203
1.012,-25.32721772,-0.226046276
1.013,-25.34153816,-0.226199269
1.014,-25.35587046,-0.226352184
1.015,-25.37021465,-0.226505021
1.016,-25.38457078,-0.22665778
1.017,-25.39893886,-0.226810463
1.018,-25.41331895,-0.226963069
1.019,-25.42771106,-0.2271156
1.02,-25.44211523,-0.227268056
1.021,-25.4565315,-0.227420438
1.022,-25.4709599,-0.227572746
1.023,-25.48540046,-0.227724982
1.024,-25.49985322,-0.227877145
1.025,-25.51431822,-0.228029236
1.026,-25.52879548,-0.228181257
1.027,-25.54328505,-0.228333207
1.028,-25.55778696,-0.228485087
1.029,-25.57230124,-0.228636899
1.03,-25.58682794,-0.228788642
1.031,-25.60136708,-0.228940317
1.032,-25.61591871,-0.229091925
1.033,-25.63048287,-0.229243467
1.034,-25.64505958,-0.229394943
1.035,-25.65964889,-0.229546353
1.036,-25.67425083,-0.2296977
1.037,-25.68886544,-0.229848982
1.038,-25.70349277,-0.230000202
1.039,-25.71813285,-0.230151359
1.04,-25.73278571,-0.230302454
1.041,-25.7474514,-0.230453487
1.042,-25.76212996,-0.230604461
1.043,-25.77682143,-0.230755374
1.044,-25.79152584,-0.230906228
1.045,-25.80624325,-0.231057024
1.046,-25.82097367,-0.231207762
1.047,-25.83571717,-0.231358442
1.048,-25.85047378,-0.231509066
1.049,-25.86524354,-0.231659634
1.05,-25.88002649,-0.231810147
1.051,-25.89482268,-0.231960605
1.052,-25.90963215,-0.232111009
1.053,-25.92445494,-0.23226136
1.054,-25.93929109,-0.232411659
1.055,-25.95414065,-0.232561905
1.056,-25.96900367,-0.232712101
1.057,-25.98388017,-0.232862245
1.058,-25.99877022,-0.23301234
1.059,-26.01367385,-0.233162386
1.06,-26.02859111,-0.233312383
1.061,-26.04352204,-0.233462332
1.062,-26.0584667,-0.233612234
1.063,-26.07342512,-0.233762089
1.064,-26.08839735,-0.233911898
1.065,-26.10338345,-0.234061662
1.066,-26.11838344,-0.234211382
1.067,-26.1333974,-0.234361058
1.068,-26.14842535,-0.23451069
1.069,-26.16346735,-0.23466028
1.07,-26.17852345,-0.234809828
1.071,-26.1935937,-0.234959335
1.072,-26.20867814,-0.235108801
1.073,-26.22377683,-0.235258227
1.074,-26.23888981,-0.235407614
1.075,-26.25401713,-0.235556963
1.076,-26.26915886,-0.235706273
1.077,-26.28431502,-0.235855547
1.078,-26.29948569,-0.236004784
1.079,-26.3146709,-0.236153985
1.08,-26.32987072,-0.236303151
1.081,-26.34508518,-0.236452282
1.082,-26.36031436,-0.23660138
1.083,-26.37555829,-0.236750445
1.084,-26.39081704,-0.236899476
1.085,-26.40609065,-0.237048477
1.086,-26.42137919,-0.237197446
1.087,-26.4366827,-0.237346384
1.088,-26.45200124,-0.237495293
1.089,-26.46733487,-0.237644172
1.09,-26.48268363,-0.237793023
1.091,-26.4980476,-0.237941846
1.092,-26.51342683,-0.238090643
1.093,-26.52882136,-0.238239412
1.094,-26.54423127,-0.238388156
1.095,-26.5596566,-0.238536875
1.096,-26.57509742,-0.238685569
1.097,-26.59055378,-0.23883424
1.098,-26.60602575,-0.238982887
1.099,-26.62151338,-0.239131512
1.1,-26.63701674,-0.239280115
1.101,-26.65253588,-0.239428697
1.102,-26.66807086,-0.239577259
1.103,-26.68362175,-0.2397258
1.104,-26.69918862,-0.239874323
1.105,-26.71477151,-0.240022827
1.106,-26.73037049,-0.240171314
1.107,-26.74598563,-0.240319783
1.108,-26.761617,-0.240468236
1.109,-26.77726464,-0.240616673
1.11,-26.79292864,-0.240765095
1.111,-26.80860905,-0.240913502
1.112,-26.82430594,-0.241061896
1.113,-26.84001937,-0.241210277
1.114,-26.85574942,-0.241358645
1.115,-26.87149615,-0.241507001
1.116,-26.88725962,-0.241655346
1.117,-26.90303991,-0.241803681
1.118,-26.91883708,-0.241952006
1.119,-26.9346512,-0.242100321
1.12,-26.95048234,-0.242248628
1.121,-26.96633058,-0.242396928
1.122,-26.98219597,-0.24254522
1.123,-26.9980786,-0.242693505
1.124,-27.01397854,-0.242841785
1.125,-27.02989584,-0.24299006
1.126,-27.0458306,-0.24313833
1.127,-27.06178288,-0.243286596
1.128,-27.07775276,-0.243434858
1.129,-27.0937403,-0.243583118
1.13,-27.10974559,-0.243731377
1.131,-27.12576869,-0.243879633
1.132,-27.1418097,-0.24402789
1.133,-27.15786867,-0.244176146
1.134,-27.17394569,-0.244324403
1.135,-27.19004084,-0.244472661
1.136,-27.20615419,-0.244620921
1.137,-27.22228582,-0.244769184
1.138,-27.23843581,-0.24491745
1.139,-27.25460425,-0.24506572
1.14,-27.27079121,-0.245213994
1.141,-27.28699676,-0.245362274
1.142,-27.30322101,-0.245510559
1.143,-27.31946401,-0.245658851
1.144,-27.33572587,-0.24580715
1.145,-27.35200666,-0.245955456
1.146,-27.36830646,-0.246103771
1.147,-27.38462536,-0.246252095
1.148,-27.40096345,-0.246400429
1.149,-27.41732081,-0.246548773
1.15,-27.43369753,-0.246697128
1.151,-27.45009369,-0.246845495
1.152,-27.46650939,-0.246993873
1.153,-27.4829447,-0.247142265
1.154,-27.49939972,-0.24729067
1.155,-27.51587455,-0.247439089
1.156,-27.53236926,-0.247587523
1.157,-27.54888395,-0.247735972
1.158,-27.56541872,-0.247884437
1.159,-27.58197365,-0.248032919
1.16,-27.59854883,-0.248181418
1.161,-27.61514437,-0.248329935
1.162,-27.63176035,-0.24847847
1.163,-27.64839688,-0.248627024
1.164,-27.66505404,-0.248775599
1.165,-27.68173193,-0.248924193
1.166,-27.69843065,-0.249072809
1.167,-27.7151503,-0.249221446
1.168,-27.73189098,-0.249370105
1.169,-27.74865278,-0.249518787
1.17,-27.76543581,-0.249667492
1.171,-27.78224016,-0.249816222
1.172,-27.79906595,-0.249964976
1.173,-27.81591326,-0.250113756
1.174,-27.83278221,-0.250262561
1.175,-27.8496729,-0.250411393
1.176,-27.86658543,-0.250560252
1.177,-27.8835199,-0.250709138
1.178,-27.90047644,-0.250858053
1.179,-27.91745513,-0.251006997
1.18,-27.93445609,-0.25115597
1.181,-27.95147943,-0.251304974
1.182,-27.96852526,-0.251454008
1.183,-27.98559369,-0.251603074
1.184,-28.00268482,-0.251752171
1.185,-28.01979878,-0.251901301
1.186,-28.03693567,-0.252050464
1.187,-28.05409561,-0.252199661
1.188,-28.0712787,-0.252348892
1.189,-28.08848508,-0.252498158
1.19,-28.10571485,-0.252647459
1.191,-28.12296813,-0.252796796
1.192,-28.14024504,-0.25294617
1.193,-28.1575457,-0.253095582
1.194,-28.17487022,-0.253245031
1.195,-28.19221874,-0.253394518
1.196,-28.20959136,-0.253544045
1.197,-28.22698822,-0.253693611
1.198,-28.24440943,-0.253843217
1.199,-28.26185512,-0.253992864
1.2,-28.27932542,-0.254142552
1.201,-28.29682045,-0.254292282
1.202,-28.31434034,-0.254442055
1.203,-28.33188521,-0.25459187
1.204,-28.3494552,-0.254741729
1.205,-28.36705045,-0.254891633
1.206,-28.38467106,-0.255041581
1.207,-28.40231719,-0.255191574
1.208,-28.41998897,-0.255341613
1.209,-28.43768652,-0.255491699
1.21,-28.45540998,-0.255641831
