frequency, S11, S12, S21, S22
1000000000.0000000000, -108.2292372072, 173.0777366927, 173.0777366927, -85.8002996526
1001000000.0000000000, -108.2481698844, 172.8847768667, 172.8847768667, -86.1675197645
1002000000.0000000000, -108.2670637055, 172.6917976126, 172.6917976126, -86.5347884467
1003000000.0000000000, -108.2859089563, 172.4987989304, 172.4987989304, -86.9021639834
1004000000.0000000000, -108.3048222055, 172.3057808200, 172.3057808200, -87.2695492341
1005000000.0000000000, -108.3237063125, 172.1127627097, 172.1127627097, -87.6370121972
1006000000.0000000000, -108.3425321352, 171.9197057432, 171.9196863152, -88.0044751603
1007000000.0000000000, -108.3613579580, 171.7266293487, 171.7266293487, -88.3721129762
1008000000.0000000000, -108.3801934947, 171.5335140979, 171.5335140979, -88.7396730797
1009000000.0000000000, -108.3990193175, 171.3403988471, 171.3403988471, -89.1073303238
1010000000.0000000000, -108.4177868559, 171.1472253121, 171.1472447402, -89.4751138504
1011000000.0000000000, -108.4365446803, 170.9540906332, 170.9540906332, -89.8428099506
1012000000.0000000000, -108.4553219328, 170.7608782420, 170.7608782420, -90.2107100458
1013000000.0000000000, -108.4740603292, 170.5676464226, 170.5676658507, -90.5786198551
1014000000.0000000000, -108.4928181536, 170.3744340314, 170.3744340314, -90.9465393784
1015000000.0000000000, -108.5115565499, 170.1811827840, 170.1811827840, -91.3145754702
1016000000.0000000000, -108.5302463760, 169.9879121084, 169.9879121084, -91.6826115621
1017000000.0000000000, -108.5489362020, 169.7946025767, 169.7946025767, -92.0507156522
1018000000.0000000000, -108.5676163141, 169.6012736169, 169.6012541888, -92.4189460250
1019000000.0000000000, -108.5862478559, 169.4079252290, 169.4079252290, -92.7871472557
1020000000.0000000000, -108.6049765382, 169.2145574130, 169.2145574130, -93.1554456268
1021000000.0000000000, -108.6236177940, 169.0211701689, 169.0211701689, -93.5238217103
1022000000.0000000000, -108.6422201937, 168.8277634968, 168.8277829249, -93.8921589376
1023000000.0000000000, -108.6608420214, 168.6343179684, 168.6343179684, -94.2606418756
1024000000.0000000000, -108.6794055649, 168.4408724400, 168.4408724400, -94.6292219541
1025000000.0000000000, -108.6980079645, 168.2473880555, 168.2473880555, -94.9977923185
1026000000.0000000000, -108.7165812221, 168.0539036709, 168.0539036709, -95.3663918251
1027000000.0000000000, -108.7351350515, 167.8603804302, 167.8603610021, -95.7351176143
1028000000.0000000000, -108.7536403107, 167.6668183333, 167.6667989052, -96.1038725456
1029000000.0000000000, -108.7721649980, 167.4732368082, 167.4732368082, -96.4727440455
1030000000.0000000000, -108.7906799712, 167.2796358551, 167.2796552832, -96.8415766891
1031000000.0000000000, -108.8091852304, 167.0860349020, 167.0860349020, -97.2105064733
1032000000.0000000000, -108.8276613474, 166.8923950927, 166.8923950927, -97.5794653996
1033000000.0000000000, -108.8461374645, 166.6987358553, 166.6987358553, -97.9485797507
1034000000.0000000000, -108.8645747254, 166.5050377617, 166.5050377617, -98.3177135298
1035000000.0000000000, -108.8829731300, 166.3113396682, 166.3113396682, -98.6868764511
1036000000.0000000000, -108.9014201049, 166.1176027184, 166.1176027184, -99.0560976567
1037000000.0000000000, -108.9197893675, 165.9238657686, 165.9238657686, -99.4253868605
1038000000.0000000000, -108.9381683441, 165.7300899627, 165.7300899627, -99.7947634909
1039000000.0000000000, -108.9564987504, 165.5362753005, 165.5362753005, -100.1641498352
1040000000.0000000000, -108.9748485849, 165.3424606384, 165.3424412103, -100.5336333200
1041000000.0000000000, -108.9932178474, 165.1486071200, 165.1485876919, -100.9031945173
1042000000.0000000000, -109.0115385397, 164.9547341736, 164.9547341736, -101.2728139987
1043000000.0000000000, -109.0298398039, 164.7608417991, 164.7608417991, -101.6424334802
1044000000.0000000000, -109.0481410681, 164.5669105684, 164.5669105684, -102.0121889584
1045000000.0000000000, -109.0663937621, 164.3729599096, 164.3729599096, -102.3819735786
1046000000.0000000000, -109.0846075999, 164.1790286789, 164.1790286789, -102.7518844815
1047000000.0000000000, -109.1028408657, 163.9850197358, 163.9850197358, -103.1217953844
1048000000.0000000000, -109.1210449895, 163.7910107927, 163.7909913646, -103.4917062873
1049000000.0000000000, -109.1392393992, 163.5969824215, 163.5969824215, -103.8617920430
1050000000.0000000000, -109.1574240948, 163.4028957661, 163.4028957661, -104.2319457971
1051000000.0000000000, -109.1755796483, 163.2088091106, 163.2088091106, -104.6020024107
1052000000.0000000000, -109.1937449159, 163.0147030271, 163.0147224552, -104.9723115895
1053000000.0000000000, -109.2118907553, 162.8205775154, 162.8205580874, -105.3426013402
1054000000.0000000000, -109.2299880246, 162.6264325757, 162.6264228617, -105.7129299471
1055000000.0000000000, -109.2480658657, 162.4322390657, 162.4322487798, -106.0833654085
1056000000.0000000000, -109.2661145647, 162.2380455558, 162.2380261277, -106.4538980104
1057000000.0000000000, -109.2841826918, 162.0438034756, 162.0437937615, -106.8244403264
1058000000.0000000000, -109.3022508189, 161.8495419673, 161.8495419673, -107.1950603547
1059000000.0000000000, -109.3202606617, 161.6552610309, 161.6552610309, -107.5657678094
1060000000.0000000000, -109.3382607904, 161.4609606664, 161.4609703804, -107.9364849782
1061000000.0000000000, -109.3562220630, 161.2666408738, 161.2666408738, -108.3072992874
1062000000.0000000000, -109.3741736215, 161.0722822250, 161.0722919391, -108.6781718809
1063000000.0000000000, -109.3921543222, 160.8779041482, 160.8778944341, -109.0491416149
1064000000.0000000000, -109.4100378824, 160.6835066432, 160.6834969292, -109.4201793472
1065000000.0000000000, -109.4279797268, 160.4890799961, 160.4890799961, -109.7912365077
1066000000.0000000000, -109.4458924292, 160.2946242069, 160.2946047788, -110.1623616664
1067000000.0000000000, -109.4637468472, 160.1001295615, 160.1001392755, -110.5336033937
1068000000.0000000000, -109.4815915512, 159.9056446301, 159.9056446301, -110.9049034053
1069000000.0000000000, -109.4994265412, 159.7111014145, 159.7111208426, -111.2762034169
1070000000.0000000000, -109.5172615312, 159.5165581988, 159.5165581988, -111.6476685673
1071000000.0000000000, -109.5350090947, 159.3219664129, 159.3219761270, -112.0191822879
1072000000.0000000000, -109.5527566582, 159.1273746270, 159.1273746270, -112.3907251506
1073000000.0000000000, -109.5705819342, 158.9327634130, 158.9327634130, -112.7623360117
1074000000.0000000000, -109.5882906415, 158.7380939148, 158.7381036288, -113.1340148711
1075000064.0000000000, -109.6059896348, 158.5434049884, 158.5434049884, -113.5058297272
1076000000.0000000000, -109.6236886281, 158.3487160621, 158.3487160621, -113.8776542973
1076999936.0000000000, -109.6413876214, 158.1539882795, 158.1539882795, -114.2494982955
1077999872.0000000000, -109.6590186164, 157.9592604970, 157.9592604970, -114.6214200061
1078999808.0000000000, -109.6766593254, 157.7644841442, 157.7644841442, -114.9934485712
1079999744.0000000000, -109.6942708923, 157.5697077914, 157.5697077914, -115.3655548487
1080999680.0000000000, -109.7118436030, 157.3748634403, 157.3748634403, -115.7377096964
1081999616.0000000000, -109.7294454558, 157.1800288032, 157.1800190892, -116.1099228283
1082999552.0000000000, -109.7469598823, 156.9851358819, 156.9851358819, -116.4822525289
1083999488.0000000000, -109.7645325930, 156.7902429606, 156.7902332465, -116.8546307997
1084999424.0000000000, -109.7820373053, 156.5953208971, 156.5953208971, -117.2270673547
1085999360.0000000000, -109.7995420177, 156.4003891195, 156.4003891195, -117.5995330519
1086999296.0000000000, -109.8169593036, 156.2053990577, 156.2053990577, -117.9721056037
1087999232.0000000000, -109.8344445879, 156.0103992819, 156.0103992819, -118.3448432942
1088999168.0000000000, -109.8518424458, 155.8153703639, 155.8153703639, -118.7175227004
1089999104.0000000000, -109.8692597317, 155.6203123038, 155.6203123038, -119.0902895331
1090999040.0000000000, -109.8866284474, 155.4252348155, 155.4252348155, -119.4631632202
1091998976.0000000000, -109.9040165912, 155.2301184711, 155.2301184711, -119.8361729041
1092998912.0000000000, -109.9213173086, 155.0349826986, 155.0349632705, -120.2091534457
1093998848.0000000000, -109.9386180260, 154.8397983558, 154.8398274980, -120.5822311279
1094998784.0000000000, -109.9559575996, 154.6446334412, 154.6446334412, -120.9554059505
1095998720.0000000000, -109.9732194608, 154.4494102423, 154.4494005282, -121.3286681996
1096998656.0000000000, -109.9904716079, 154.2541676152, 154.2541579012, -121.7019790188
1097998592.0000000000, -110.0077140410, 154.0589055601, 154.0588958461, -122.0753966926
1098998528.0000000000, -110.0248884758, 153.8635852207, 153.8636046488, -122.4488337945
1099998464.0000000000, -110.0420726246, 153.6682843094, 153.6682843094, -122.8223583228
1100998400.0000000000, -110.0591984892, 153.4729445419, 153.4729251138, -123.1959897056
1101998336.0000000000, -110.0763923521, 153.2775562042, 153.2775562042, -123.5696696587
1102998272.0000000000, -110.0935182166, 153.0821484384, 153.0821581524, -123.9434370382
1103998208.0000000000, -110.1105566547, 152.8866921023, 152.8866921023, -124.3172529879
1104998144.0000000000, -110.1276533771, 152.6912454803, 152.6912454803, -124.6912049342
1105998080.0000000000, -110.1447209574, 152.4957600021, 152.4957502880, -125.0652054508
1106998016.0000000000, -110.1617205393, 152.3002453818, 152.3002550958, -125.4392253955
1107997952.0000000000, -110.1787395493, 152.1046919052, 152.1046919052, -125.8133813369
1108997888.0000000000, -110.1957099891, 151.9091481428, 151.9091287147, -126.1875955625
1109997824.0000000000, -110.2126415727, 151.7135266679, 151.7135266679, -126.5618875005
1110997760.0000000000, -110.2296022985, 151.5178954790, 151.5178954790, -126.9362765790
1111997696.0000000000, -110.2465338821, 151.3222642901, 151.3222642901, -127.3107239417
1112997632.0000000000, -110.2634071814, 151.1265553888, 151.1265651029, -127.6852781590
1113997568.0000000000, -110.2802416246, 150.9308659156, 150.9308659156, -128.0598323763
1114997504.0000000000, -110.2970760677, 150.7351278722, 150.7351473003, -128.4345128762
1115997440.0000000000, -110.3138716547, 150.5393509726, 150.5393509726, -128.8093099446
1116997376.0000000000, -110.3306866697, 150.3435837871, 150.3435740730, -129.1841167271
1117997312.0000000000, -110.3473851162, 150.1477486032, 150.1477388891, -129.5590886484
1118997248.0000000000, -110.3641515610, 149.9518745631, 149.9518745631, -129.9340897118
1119997184.0000000000, -110.3808888637, 149.7560199511, 149.7560199511, -130.3092073438
1120997120.0000000000, -110.3975484540, 149.5600876268, 149.5600876268, -130.6843346898
1121997056.0000000000, -110.4142080442, 149.3641650165, 149.3641455884, -131.0595786044
1122996992.0000000000, -110.4308773486, 149.1681938360, 149.1682035500, -131.4349390876
1123996928.0000000000, -110.4474786546, 148.9722032273, 148.9722032273, -131.8103189988
1124996864.0000000000, -110.4640508185, 148.7761737625, 148.7761737625, -132.1857669084
1125996800.0000000000, -110.4806132683, 148.5801248696, 148.5801248696, -132.5613508146
1126996736.0000000000, -110.4971174339, 148.3840468345, 148.3840274064, -132.9370124332
1127996672.0000000000, -110.5136410275, 148.1879202293, 148.1879202293, -133.3127517642
1128996608.0000000000, -110.5301354790, 147.9917839099, 147.9918033380, -133.6885396654
1129996544.0000000000, -110.5466396445, 147.7956087344, 147.7956184484, -134.0644538492
1130996480.0000000000, -110.5630369556, 147.5994335589, 147.5994432729, -134.4403777471
1131996416.0000000000, -110.5794148385, 147.4032000991, 147.4031903850, -134.8164764978
1132996352.0000000000, -110.5958315776, 147.2069569252, 147.2069666393, -135.1925946766
1133996288.0000000000, -110.6121997465, 147.0106651811, 147.0106651811, -135.5688294240
1134996224.0000000000, -110.6285290592, 146.8143248668, 146.8143540090, -135.9451613118
1135996160.0000000000, -110.6448195157, 146.6180039806, 146.6180039806, -136.3215320559
1136996096.0000000000, -110.6610808301, 146.4216053820, 146.4216248101, -136.6980679387
1137996032.0000000000, -110.6773324305, 146.2252067834, 146.2252067834, -137.0745843934
1138995968.0000000000, -110.6935937448, 146.0287790427, 146.0287790427, -137.4512562729
1139995904.0000000000, -110.7097579187, 145.8323124457, 145.8323124457, -137.8279670086
1140995840.0000000000, -110.7259123786, 145.6358361348, 145.6358361348, -138.2047651706
1141995776.0000000000, -110.7420668385, 145.4392918255, 145.4392918255, -138.5817090434
1142995712.0000000000, -110.7581533000, 145.2427572302, 145.2427280881, -138.9586140600
1143995648.0000000000, -110.7742689037, 145.0461449226, 145.0461449226, -139.3357522137
1144995584.0000000000, -110.7903262231, 144.8495326150, 144.8495326150, -139.7129000815
1145995520.0000000000, -110.8063252582, 144.6529008792, 144.6529008792, -140.0901450898
1146995456.0000000000, -110.8223534354, 144.4562108592, 144.4562108592, -140.4674872385
1147995392.0000000000, -110.8383621846, 144.2595111252, 144.2595111252, -140.8449070995
1148995328.0000000000, -110.8543029354, 144.0627628209, 144.0627628209, -141.2224435292
1149995264.0000000000, -110.8702145441, 143.8659950885, 143.8660048026, -141.5999896729
1150995200.0000000000, -110.8861067247, 143.6691885000, 143.6691885000, -141.9776815273
1151995136.0000000000, -110.9019503351, 143.4723721973, 143.4723721973, -142.3554219519
1152995072.0000000000, -110.9177939454, 143.2755073245, 143.2755073245, -142.7333080872
1153995008.0000000000, -110.9336472698, 143.0786230236, 143.0786230236, -143.1112622209
1154994944.0000000000, -110.9493840257, 142.8816804383, 142.8816804383, -143.4892940669
1155994880.0000000000, -110.9651402096, 142.6847378531, 142.6847281391, -143.8674133394
1156994816.0000000000, -110.9808866795, 142.4877564117, 142.4877564117, -144.2456200382
1157994752.0000000000, -110.9965748651, 142.2907361141, 142.2907361141, -144.6239238776
1158994688.0000000000, -111.0122144805, 142.0936866744, 142.0936866744, -145.0023248574
1159994624.0000000000, -111.0278832380, 141.8966080925, 141.8966080925, -145.3807938355
1160994560.0000000000, -111.0434742832, 141.6995003685, 141.6995003685, -145.7593793822
1161994496.0000000000, -111.0590556143, 141.5023440742, 141.5023440742, -146.1380620694
1162994432.0000000000, -111.0745883751, 141.3051780659, 141.3051780659, -146.5167933268
1163994368.0000000000, -111.0901114220, 141.1079634874, 141.1079634874, -146.8956314387
1164994304.0000000000, -111.1056053266, 140.9107197667, 140.9107391948, -147.2745472630
1165994240.0000000000, -111.1210700892, 140.7134566180, 140.7134566180, -147.6536087980
1166994176.0000000000, -111.1365154236, 140.5161546130, 140.5161546130, -148.0327091892
1167994112.0000000000, -111.1519121878, 140.3188040378, 140.3188040378, -148.4119552911
1168994048.0000000000, -111.1672798099, 140.1214534627, 140.1214534627, -148.7912596772
1169993984.0000000000, -111.1825697196, 139.9240446032, 139.9240446032, -149.1706029196
1170993920.0000000000, -111.1979081995, 139.7265968875, 139.7266163156, -149.5501501569
1171993856.0000000000, -111.2131883952, 139.5291394578, 139.5291394578, -149.9296876802
1172993792.0000000000, -111.2284588768, 139.3316528860, 139.3316626000, -150.3094097704
1173993728.0000000000, -111.2436613600, 139.1341080299, 139.1341080299, -150.6891901448
1174993664.0000000000, -111.2588249871, 138.9365631737, 138.9365534597, -151.0690579457
1175993600.0000000000, -111.2739691861, 138.7389697474, 138.7389988895, -151.4489354606
1176993536.0000000000, -111.2890842430, 138.5413277508, 138.5413277508, -151.8290363986
1177993472.0000000000, -111.3042090139, 138.3436760402, 138.3436663261, -152.2091859069
1178993408.0000000000, -111.3192657864, 138.1459854733, 138.1459854733, -152.5894616977
1179993344.0000000000, -111.3342934169, 137.9482560503, 137.9482366222, -152.9698346290
1180993280.0000000000, -111.3493016192, 137.7504780571, 137.7504780571, -153.3502852727
1181993216.0000000000, -111.3642612513, 137.5526903498, 137.5526903498, -153.7308233428
1182993152.0000000000, -111.3791820272, 137.3548735003, 137.3548735003, -154.1114002691
1183993088.0000000000, -111.3941125172, 137.1569886526, 137.1569886526, -154.4921326202
1184993024.0000000000, -111.4089361526, 136.9591038048, 136.9591038048, -154.8729912538
1185992960.0000000000, -111.4237986443, 136.7611801009, 136.7611606728, -155.2538887437
1186992896.0000000000, -111.4386514218, 136.5632078267, 136.5632078267, -155.6349125161
1187992832.0000000000, -111.4533779168, 136.3652355525, 136.3652355525, -156.0159848588
1188992768.0000000000, -111.4681335539, 136.1671564238, 136.1671661379, -156.3972709105
1189992704.0000000000, -111.4828406208, 135.9691258653, 135.9691258653, -156.7785666763
1190992640.0000000000, -111.4975476877, 135.7710078805, 135.7710078805, -157.1600178668
1191992576.0000000000, -111.5121867563, 135.5728801815, 135.5728898956, -157.5414981994
1192992512.0000000000, -111.5267869686, 135.3747136264, 135.3747039124, -157.9231436709
1193992448.0000000000, -111.5414163231, 135.1765179291, 135.1765179291, -158.3048085704
1194992384.0000000000, -111.5559291091, 134.9782833757, 134.9782833757, -158.6866094666
1195992320.0000000000, -111.5704613231, 134.7800002520, 134.7800002520, -159.0685852157
1196992256.0000000000, -111.5849158248, 134.5816782722, 134.5816879862, -159.4505512507
1197992192.0000000000, -111.5993703265, 134.3833465782, 134.3833562923, -159.8326824245
1198992128.0000000000, -111.6137568298, 134.1849857422, 134.1849857422, -160.2148718825
1199992064.0000000000, -111.6281627612, 133.9865666218, 133.9865763359, -160.5972167653
1200992000.0000000000, -111.6424909803, 133.7881183594, 133.7881183594, -160.9796393605
1201991936.0000000000, -111.6568289134, 133.5896506688, 133.5896603828, -161.3621688102
1202991872.0000000000, -111.6711085622, 133.3911344080, 133.3911246939, -161.7448051145
1203991808.0000000000, -111.6853493549, 133.1925792910, 133.1925792910, -162.1275191311
1204991744.0000000000, -111.6995512913, 132.9940047459, 132.9940144600, -162.5103205741
1205991680.0000000000, -111.7137532278, 132.7953622025, 132.7953622025, -162.8932774418
1206991616.0000000000, -111.7278774518, 132.5967002310, 132.5967002310, -163.2763217360
1207991552.0000000000, -111.7419822478, 132.3980091173, 132.3980091173, -163.6594437426
1208991488.0000000000, -111.7560773298, 132.1992985756, 132.1992985756, -164.0427017458
1209991424.0000000000, -111.7701141274, 132.0005200355, 132.0005103215, -164.4260374614
1210991360.0000000000, -111.7841023548, 131.8017220674, 131.8017123533, -164.8094897456
1211991296.0000000000, -111.7980905823, 131.6028852430, 131.6028658149, -165.1930585983
1212991232.0000000000, -111.8120108114, 131.4040192765, 131.4040192765, -165.5766857353
1213991168.0000000000, -111.8259310404, 131.2051047398, 131.2051047398, -165.9604877251
1214991104.0000000000, -111.8397929853, 131.0061416329, 131.0061319188, -166.3444062835
1215991040.0000000000, -111.8536160739, 130.8071688118, 130.8071493838, -166.7283831262
1216990976.0000000000, -111.8673905923, 130.6081474206, 130.6081377066, -167.1124571094
1217990912.0000000000, -111.8811942528, 130.4090871732, 130.4090871732, -167.4966282330
1218990848.0000000000, -111.8948813448, 130.2100172117, 130.2100172117, -167.8809159252
1219990784.0000000000, -111.9085975789, 130.0108598238, 130.0108792519, -168.2653784702
1220990720.0000000000, -111.9222361006, 129.8117024359, 129.8117024359, -168.6498604433
1221990656.0000000000, -111.9358746223, 129.6124964778, 129.6125061918, -169.0344978412
1222990592.0000000000, -111.9494257177, 129.4132516635, 129.4132613775, -169.4192129514
1223990528.0000000000, -111.9629768130, 129.2139874211, 129.2139874211, -169.8040252021
1224990464.0000000000, -111.9764696240, 129.0146648944, 129.0146648944, -170.1890123057
1225990400.0000000000, -111.9899915772, 128.8153229396, 128.8153229396, -170.5740382654
1226990336.0000000000, -112.0034261039, 128.6159324146, 128.6159421286, -170.9592196499
1227990272.0000000000, -112.0168120604, 128.4164933193, 128.4165030334, -171.3444981749
1228990208.0000000000, -112.0301688748, 128.2170445100, 128.2170445100, -171.7298544122
1229990144.0000000000, -112.0434868330, 128.0175374164, 128.0175374164, -172.1153660743
1230990080.0000000000, -112.0567756491, 127.8180011807, 127.8180108948, -172.5009554487
1231990016.0000000000, -112.0700547511, 127.6184066607, 127.6184066607, -172.8867002480
1232989952.0000000000, -112.0832561407, 127.4188024267, 127.4188024267, -173.2725227595
1233989888.0000000000, -112.0964186741, 127.2191593364, 127.2191690505, -173.6584618397
1234989824.0000000000, -112.1095617795, 127.0194579619, 127.0194676760, -174.0444980603
1235989760.0000000000, -112.1226660286, 126.8197274453, 126.8197177312, -174.4306897056
1236989696.0000000000, -112.1357119935, 126.6199580724, 126.6199580724, -174.8169396353
1237989632.0000000000, -112.1487773865, 126.4201498434, 126.4201595574, -175.2033255616
1238989568.0000000000, -112.1617650671, 126.2202833301, 126.2202736160, -175.5899057688
1239989504.0000000000, -112.1747333196, 126.0204071027, 126.0204071027, -175.9764665479
1240989440.0000000000, -112.1876335738, 125.8205308753, 125.8205308753, -176.3631244676
1241989376.0000000000, -112.2004949718, 125.6205283654, 125.6205283654, -176.7500349524
1242989312.0000000000, -112.2133466557, 125.4205258554, 125.4205258554, -177.1370037215
1243989248.0000000000, -112.2261400554, 125.2204942033, 125.2204844893, -177.5240696311
1244989184.0000000000, -112.2388945988, 125.0204139810, 125.0204139810, -177.9112326811
1245989120.0000000000, -112.2516005721, 124.8202754743, 124.8202560462, -178.2986094402
1246989056.0000000000, -112.2643065453, 124.6201369677, 124.6201175396, -178.6859473430
1247988992.0000000000, -112.2769542343, 124.4199304628, 124.4199304628, -179.0735183831
1248988928.0000000000, -112.2895533530, 124.2196851016, 124.2196851016, -179.4611477073
1249988864.0000000000, -112.3021816139, 124.0194203124, 124.0194203124, -179.8489324564
1250988800.0000000000, -112.3146835921, 123.8190875248, 123.8190875248, 179.7631574230
1251988736.0000000000, -112.3271564282, 123.6187158811, 123.6187353092, 179.3751589649
1252988672.0000000000, -112.3396195503, 123.4183345233, 123.4183442373, 178.9871022225
1253988608.0000000000, -112.3520632443, 123.2178948812, 123.2179143093, 178.5988511993
1254988544.0000000000, -112.3644097978, 123.0174260970, 123.0174163829, 178.2104641793
1255988480.0000000000, -112.3767369232, 122.8169087425, 122.8169087425, 177.8219994470
1256988416.0000000000, -112.3890543346, 122.6163331038, 122.6163525319, 177.4334181461
1257988352.0000000000, -112.4012843195, 122.4157477510, 122.4157477510, 177.0447397048
1258988288.0000000000, -112.4135240185, 122.2151138280, 122.2151138280, 176.6559252668
1259988224.0000000000, -112.4256957192, 122.0144313348, 122.0144216207, 176.2669748321
1260988160.0000000000, -112.4378382777, 121.8137099853, 121.8137099853, 175.8779078289
1261988096.0000000000, -112.4499225519, 121.6129206376, 121.6129400657, 175.4887048290
1262988032.0000000000, -112.4619776840, 121.4121312898, 121.4121312898, 175.0994241168
1263987968.0000000000, -112.4739842459, 121.2113127999, 121.2113127999, 174.7100462641
1264987904.0000000000, -112.4859810937, 121.0103971696, 121.0103971696, 174.3204547023
1265987840.0000000000, -112.4979390854, 120.8094621111, 120.8094718251, 173.9308048563
1266987776.0000000000, -112.5098193646, 120.6084881964, 120.6085076245, 173.5409995855
1267987712.0000000000, -112.5216996439, 120.4074948537, 120.4074754256, 173.1510583181
1268987648.0000000000, -112.5335119248, 120.2064432267, 120.2064432267, 172.7610199102
1269987584.0000000000, -112.5452659215, 120.0053430294, 120.0053624575, 172.3708843618
1270987520.0000000000, -112.5570199181, 119.8042136900, 119.8042136900, 171.9805933887
1271987456.0000000000, -112.5687059165, 119.6030357804, 119.6030357804, 171.5902247032
1272987392.0000000000, -112.5803239165, 119.4017995865, 119.4017898724, 171.1997200211
1273987328.0000000000, -112.5919710586, 119.2005536785, 119.2005536785, 170.8090599142
1274987264.0000000000, -112.6035793445, 118.9992397722, 118.9992592003, 170.4183026668
1275987200.0000000000, -112.6150807760, 118.7979161519, 118.7979064378, 170.0274288509
1276987136.0000000000, -112.6266016355, 118.5964953911, 118.5965051051, 169.6363996102
1277987072.0000000000, -112.6380544967, 118.3950746303, 118.3950843443, 169.2452149448
1278987008.0000000000, -112.6494393596, 118.1935955852, 118.1936052992, 168.8539331389
1279986944.0000000000, -112.6607853663, 117.9920776839, 117.9920776839, 168.4625347644
1280986880.0000000000, -112.6721216589, 117.7905209265, 117.7905209265, 168.0710198214
1281986816.0000000000, -112.6834190953, 117.5889058847, 117.5889058847, 167.6793494537
1282986752.0000000000, -112.6946485335, 117.3872811289, 117.3872811289, 167.2876208016
1283986688.0000000000, -112.7058876856, 117.1855786608, 117.1855786608, 166.8957172967
1284986624.0000000000, -112.7169811271, 116.9838373364, 116.9838470505, 166.5037166514
1285986560.0000000000, -112.7281231388, 116.7820571559, 116.7820571559, 166.1115411532
1286986496.0000000000, -112.7391971522, 116.5802381192, 116.5802478332, 165.7192685145
1287986432.0000000000, -112.7502225953, 116.3783802263, 116.3783802263, 165.3268793073
1288986368.0000000000, -112.7612188963, 116.1764931912, 116.1764931912, 164.9343735315
1289986304.0000000000, -112.7721666271, 115.9745090157, 115.9745090157, 164.5416540467
1290986240.0000000000, -112.7830366455, 115.7725151261, 115.7724956980, 164.1488374214
1291986176.0000000000, -112.7938969498, 115.5704726663, 115.5704726663, 163.7559625118
1292986112.0000000000, -112.8047378261, 115.3683816363, 115.3683816363, 163.3628544651
1293986048.0000000000, -112.8155107040, 115.1662614641, 115.1662614641, 162.9697075622
1294985984.0000000000, -112.8262641538, 114.9640732936, 114.9640732936, 162.5763663784
1295985920.0000000000, -112.8369690334, 114.7618656950, 114.7618754091, 162.1829669103
1296985856.0000000000, -112.8476059147, 114.5596095262, 114.5596192402, 161.7894120175
1297985792.0000000000, -112.8581845117, 114.3572950731, 114.3573047871, 161.3956531296
1298985728.0000000000, -112.8687825368, 114.1549417638, 114.1549417638, 161.0018456716
1299985664.0000000000, -112.8792639933, 113.9525495983, 113.9525398842, 160.6078827887
1300985600.0000000000, -112.8897551638, 113.7500991485, 113.7500991485, 160.2137644812
1301985536.0000000000, -112.9001977642, 113.5476098426, 113.5476098426, 159.8195296051
1302985472.0000000000, -112.9106015083, 113.3450719664, 113.3450816804, 159.4251781604
1303985408.0000000000, -112.9209469682, 113.1424758059, 113.1424855199, 159.0306518628
1304985344.0000000000, -112.9312341438, 112.9398602173, 112.9398699314, 158.6360381389
1305985280.0000000000, -112.9415116053, 112.7371863445, 112.7371863445, 158.2412495621
1306985216.0000000000, -112.9517307826, 112.5344736155, 112.5344736155, 157.8464415572
1307985152.0000000000, -112.9618916755, 112.3317123162, 112.3317220302, 157.4513615590
1308985088.0000000000, -112.9720137123, 112.1289024467, 112.1289121607, 157.0562427046
1309985024.0000000000, -112.9821357491, 111.9260342929, 111.9260342929, 156.6608809991
1310984960.0000000000, -112.9921315033, 111.7231369970, 111.7231369970, 156.2654512952
1311984896.0000000000, -113.0021272575, 111.5201814168, 111.5201911308, 155.8699147368
1312984832.0000000000, -113.0120647273, 111.3171869804, 111.3171966945, 155.4742033255
1313984768.0000000000, -113.0220021972, 111.1141536878, 111.1141634019, 155.0784044879
1314984704.0000000000, -113.0318619548, 110.9110718250, 110.9110815391, 154.6824502255
1315984640.0000000000, -113.0417022842, 110.7079413920, 110.7079511060, 154.2863211102
1316984576.0000000000, -113.0514940434, 110.5047332466, 110.5047526747, 153.8900074281
1317984512.0000000000, -113.0612663745, 110.3015056730, 110.3015056730, 153.4936646038
1318984448.0000000000, -113.0709415651, 110.0982586714, 110.0982683855, 153.0971566407
