Freq,S21sim,S21mea
1,-15.23252799,-16.800127
1.001,-15.2142431,-16.776104
1.002,-15.19599911,-16.742289
1.003,-15.17779599,-16.738312
1.004,-15.15963371,-16.752743
1.005,-15.14151223,-16.724369
1.006,-15.12343154,-16.690832
1.007,-15.1053916,-16.677114
1.008,-15.08739238,-16.649578
1.009,-15.06943386,-16.660898
1.01,-15.05151601,-16.613182
1.011,-15.0336388,-16.620657
1.012,-15.01580219,-16.589809
1.013,-14.99800616,-16.577538
1.014,-14.98025069,-16.580576
1.015,-14.96253573,-16.548136
1.016,-14.94486127,-16.543036
1.017,-14.92722726,-16.512171
1.018,-14.90963369,-16.523355
1.019,-14.89208053,-16.502222
1.02,-14.87456773,-16.470589
1.021,-14.85709528,-16.508696
1.022,-14.83966314,-16.456066
1.023,-14.82227128,-16.423273
1.024,-14.80491968,-16.435886
1.025,-14.7876083,-16.401171
1.026,-14.7703371,-16.360992
1.027,-14.75310607,-16.329798
1.028,-14.73591517,-16.368307
1.029,-14.71876437,-16.361271
1.03,-14.70165364,-16.347984
1.031,-14.68458294,-16.304457
1.032,-14.66755225,-16.317066
1.033,-14.65056154,-16.269104
1.034,-14.63361077,-16.264956
1.035,-14.61669991,-16.250408
1.036,-14.59982893,-16.236319
1.037,-14.5829978,-16.228312
1.038,-14.56620649,-16.222197
1.039,-14.54945496,-16.17972
1.04,-14.53274318,-16.185745
1.041,-14.51607113,-16.170162
1.042,-14.49943876,-16.17062
1.043,-14.48284605,-16.145231
1.044,-14.46629297,-16.137171
1.045,-14.44977947,-16.116306
1.046,-14.43330553,-16.129736
1.047,-14.41687112,-16.070047
1.048,-14.4004762,-16.097507
1.049,-14.38412074,-16.067646
1.05,-14.3678047,-16.0525
1.051,-14.35152806,-16.016108
1.052,-14.33529077,-16.037697
1.053,-14.31909281,-16.032923
1.054,-14.30293414,-15.993755
1.055,-14.28681473,-15.995275
1.056,-14.27073454,-15.967868
1.057,-14.25469354,-15.946159
1.058,-14.2386917,-15.983932
1.059,-14.22272897,-15.928771
1.06,-14.20680534,-15.91545
1.061,-14.19092075,-15.910844
1.062,-14.17507518,-15.898409
1.063,-14.15926859,-15.898213
1.064,-14.14350094,-15.843596
1.065,-14.12777221,-15.834913
1.066,-14.11208235,-15.850018
1.067,-14.09643133,-15.816494
1.068,-14.08081912,-15.79295
1.069,-14.06524568,-15.784218
1.07,-14.04971097,-15.749155
1.071,-14.03421495,-15.782096
1.072,-14.0187576,-15.727441
1.073,-14.00333887,-15.734763
1.074,-13.98795872,-15.741785
1.075,-13.97261713,-15.738373
1.076,-13.95731406,-15.70395
1.077,-13.94204946,-15.658018
1.078,-13.9268233,-15.686598
1.079,-13.91163554,-15.66573
1.08,-13.89648615,-15.636144
1.081,-13.88137509,-15.634862
1.082,-13.86630232,-15.611182
1.083,-13.8512678,-15.599393
1.084,-13.8362715,-15.590792
1.085,-13.82131337,-15.566269
1.086,-13.80639339,-15.592192
1.087,-13.7915115,-15.55775
1.088,-13.77666768,-15.535869
1.089,-13.76186188,-15.531957
1.09,-13.74709406,-15.502491
1.091,-13.73236419,-15.492558
1.092,-13.71767223,-15.486093
1.093,-13.70301814,-15.506079
1.094,-13.68840187,-15.472775
1.095,-13.67382339,-15.454059
1.096,-13.65928267,-15.448216
1.097,-13.64477965,-15.423622
1.098,-13.6303143,-15.426586
1.099,-13.61588658,-15.443916
1.1,-13.60149645,-15.385777
1.101,-13.58714386,-15.359967
1.102,-13.57282879,-15.366502
1.103,-13.55855118,-15.337089
1.104,-13.544311,-15.332257
1.105,-13.53010821,-15.313169
1.106,-13.51594276,-15.282865
1.107,-13.50181461,-15.291932
1.108,-13.48772372,-15.283927
1.109,-13.47367006,-15.267482
1.11,-13.45965357,-15.229996
1.111,-13.44567422,-15.247478
1.112,-13.43173196,-15.208553
1.113,-13.41782676,-15.231869
1.114,-13.40395856,-15.223186
1.115,-13.39012733,-15.165306
1.116,-13.37633303,-15.206924
1.117,-13.36257561,-15.147226
1.118,-13.34885502,-15.161939
1.119,-13.33517123,-15.143381
1.12,-13.3215242,-15.124262
1.121,-13.30791387,-15.130917
1.122,-13.29434021,-15.098563
1.123,-13.28080317,-15.09287
1.124,-13.2673027,-15.081538
1.125,-13.25383877,-15.06346
1.126,-13.24041133,-15.042419
1.127,-13.22702034,-15.044503
1.128,-13.21366574,-15.040432
1.129,-13.2003475,-15.015381
1.13,-13.18706557,-15.030469
1.131,-13.17381991,-15.058935
1.132,-13.16061046,-15.019586
1.133,-13.1474372,-15.005802
1.134,-13.13430006,-14.950699
1.135,-13.121199,-14.977475
1.136,-13.10813399,-14.959341
1.137,-13.09510497,-14.929033
1.138,-13.08211189,-14.903901
1.139,-13.06915471,-14.893998
1.14,-13.05623339,-14.874721
1.141,-13.04334788,-14.890275
1.142,-13.03049812,-14.854868
1.143,-13.01768408,-14.86254
1.144,-13.00490571,-14.846143
1.145,-12.99216296,-14.851933
1.146,-12.97945578,-14.829827
1.147,-12.96678412,-14.832691
1.148,-12.95414794,-14.823503
1.149,-12.94154719,-14.763506
1.15,-12.92898183,-14.780955
1.151,-12.91645179,-14.782928
1.152,-12.90395705,-14.785925
1.153,-12.89149754,-14.716759
1.154,-12.87907321,-14.706676
1.155,-12.86668403,-14.718259
1.156,-12.85432994,-14.722928
1.157,-12.84201089,-14.671947
1.158,-12.82972684,-14.679115
1.159,-12.81747773,-14.722211
1.16,-12.80526351,-14.651388
1.161,-12.79308414,-14.656703
1.162,-12.78093956,-14.647982
1.163,-12.76882973,-14.629634
1.164,-12.75675459,-14.649067
1.165,-12.7447141,-14.630805
1.166,-12.73270821,-14.607288
1.167,-12.72073686,-14.575729
1.168,-12.7088,-14.581837
1.169,-12.69689759,-14.546288
1.17,-12.68502957,-14.54755
1.171,-12.67319589,-14.530332
1.172,-12.6613965,-14.51455
1.173,-12.64963135,-14.516088
1.174,-12.63790038,-14.535598
1.175,-12.62620355,-14.491143
1.176,-12.61454081,-14.52743
1.177,-12.6029121,-14.498501
1.178,-12.59131737,-14.47346
1.179,-12.57975657,-14.474712
1.18,-12.56822964,-14.424381
1.181,-12.55673654,-14.42986
1.182,-12.5452772,-14.416025
1.183,-12.53385159,-14.434576
1.184,-12.52245964,-14.427277
1.185,-12.5111013,-14.402574
1.186,-12.49977652,-14.377745
1.187,-12.48848525,-14.356986
1.188,-12.47722743,-14.394553
1.189,-12.46600301,-14.347015
1.19,-12.45481193,-14.340238
1.191,-12.44365415,-14.343342
1.192,-12.4325296,-14.32965
1.193,-12.42143824,-14.313207
1.194,-12.41038,-14.3097
1.195,-12.39935484,-14.294608
1.196,-12.3883627,-14.293362
1.197,-12.37740353,-14.29404
1.198,-12.36647726,-14.246609
1.199,-12.35558386,-14.240878
1.2,-12.34472325,-14.239434
1.201,-12.33389539,-14.237553
1.202,-12.32310022,-14.211171
1.203,-12.31233769,-14.207005
1.204,-12.30160773,-14.179185
1.205,-12.2909103,-14.19201
1.206,-12.28024534,-14.188136
1.207,-12.26961279,-14.161561
1.208,-12.2590126,-14.170454
1.209,-12.24844471,-14.137892
1.21,-12.23790906,-14.127064
1.211,-12.2274056,-14.122097
1.212,-12.21693427,-14.11518
1.213,-12.20649502,-14.104981
1.214,-12.19608778,-14.13413
1.215,-12.18571251,-14.117375
1.216,-12.17536914,-14.091513
1.217,-12.16505762,-14.090327
1.218,-12.15477788,-14.05824
1.219,-12.14452988,-14.048788
1.22,-12.13431356,-14.061057
1.221,-12.12412885,-14.027802
1.222,-12.1139757,-14.03922
1.223,-12.10385405,-14.000708
1.224,-12.09376385,-14.00956
1.225,-12.08370504,-14.01303
1.226,-12.07367755,-13.965242
1.227,-12.06368134,-14.014206
1.228,-12.05371633,-13.980231
1.229,-12.04378248,-13.991682
1.23,-12.03387972,-13.977131
