Freq,Measured,Simulated
1,0.064007699,-0.015922234
1.001,0.049001426,-0.015978992
1.002,0.10179503,-0.016035499
1.003,0.070962027,-0.016091757
1.004,0.064582214,-0.016147766
1.005,0.072323769,-0.016203527
1.006,0.079134174,-0.01625904
1.007,0.098458953,-0.016314305
1.008,0.073355116,-0.016369324
1.009,0.058750443,-0.016424096
1.01,0.10081871,-0.016478623
1.011,0.11263729,-0.016532905
1.012,0.10334518,-0.016586941
1.013,0.094235457,-0.016640734
1.014,0.062196512,-0.016694283
1.015,0.086493209,-0.016747589
1.016,0.074844293,-0.016800653
1.017,0.082766496,-0.016853475
1.018,0.067847282,-0.016906055
1.019,0.071309783,-0.016958394
1.02,0.10956316,-0.017010493
1.021,0.05685281,-0.017062353
1.022,0.075946279,-0.017113973
1.023,0.080943294,-0.017165354
1.024,0.064191937,-0.017216497
1.025,0.056992374,-0.017267403
1.026,0.071352445,-0.017318071
1.027,0.095453158,-0.017368503
1.028,0.06392473,-0.017418699
1.029,0.055980735,-0.017468659
1.03,0.089354329,-0.017518385
1.031,0.06281884,-0.017567876
1.032,0.071821347,-0.017617133
1.033,0.082721934,-0.017666157
1.034,0.064355761,-0.017714948
1.035,0.055072661,-0.017763507
1.036,0.068892866,-0.017811834
1.037,0.067046687,-0.01785993
1.038,0.072139174,-0.017907795
1.039,0.092271797,-0.017955431
1.04,0.082610972,-0.018002836
1.041,0.091976486,-0.018050013
1.042,0.095124513,-0.018096961
1.043,0.07386785,-0.018143682
1.044,0.075601384,-0.018190175
1.045,0.070291862,-0.018236441
1.046,0.064849235,-0.018282481
1.047,0.088838771,-0.018328295
1.048,0.086014494,-0.018373884
1.049,0.050546292,-0.018419248
1.05,0.0811553,-0.018464388
1.051,0.091046147,-0.018509304
1.052,0.066927098,-0.018553998
1.053,0.080359995,-0.018598469
1.054,0.06394127,-0.018642717
1.055,0.075917304,-0.018686745
1.056,0.057324532,-0.018730551
1.057,0.090488553,-0.018774137
1.058,0.044830117,-0.018817503
1.059,0.071176685,-0.01886065
1.06,0.067095287,-0.018903578
1.061,0.066274852,-0.018946288
1.062,0.057453427,-0.01898878
1.063,0.068633616,-0.019031055
1.064,0.075639717,-0.019073113
1.065,0.065071329,-0.019114956
1.066,0.067811258,-0.019156582
1.067,0.06788221,-0.019197994
1.068,0.0797721,-0.019239191
1.069,0.071131587,-0.019280174
1.07,0.066398136,-0.019320944
1.071,0.074637264,-0.019361501
1.072,0.047543474,-0.019401845
1.073,0.073716745,-0.019441978
1.074,0.081902184,-0.019481899
1.075,0.056333739,-0.01952161
1.076,0.066119611,-0.01956111
1.077,0.060571983,-0.019600401
1.078,0.064471491,-0.019639482
1.079,0.04730659,-0.019678355
1.08,0.10013388,-0.01971702
1.081,0.085078113,-0.019755477
1.082,0.057646338,-0.019793727
1.083,0.094414681,-0.019831771
1.084,0.065630369,-0.019869609
1.085,0.066487566,-0.019907241
1.086,0.032871563,-0.019944668
1.087,0.076529108,-0.019981891
1.088,0.10997231,-0.02001891
1.089,0.076432981,-0.020055726
1.09,0.044949226,-0.020092339
1.091,0.062773317,-0.020128749
1.092,0.054372922,-0.020164958
1.093,0.065522194,-0.020200966
1.094,0.040464263,-0.020236773
1.095,0.072678618,-0.02027238
1.096,0.047044154,-0.020307787
1.097,0.047681428,-0.020342995
1.098,0.067154601,-0.020378005
1.099,0.031379052,-0.020412816
1.1,0.052271962,-0.02044743
1.101,0.067147881,-0.020481847
1.102,0.064696237,-0.020516068
1.103,0.067790352,-0.020550092
1.104,0.076721497,-0.020583921
1.105,0.087039061,-0.020617555
1.106,0.086245552,-0.020650995
1.107,0.065985449,-0.020684241
1.108,0.061802085,-0.020717294
1.109,0.07918293,-0.020750153
1.11,0.094144441,-0.020782821
1.111,0.077037781,-0.020815296
1.112,0.064884603,-0.020847581
1.113,0.083730109,-0.020879674
1.114,0.057202403,-0.020911578
1.115,0.088071719,-0.020943291
1.116,0.044993225,-0.020974816
1.117,0.052237961,-0.021006152
1.118,0.078933351,-0.021037299
1.119,0.047637481,-0.021068259
1.12,0.085827954,-0.021099032
1.121,0.060154974,-0.021129619
1.122,0.082607567,-0.021160019
1.123,0.078233279,-0.021190234
1.124,0.056218203,-0.021220263
1.125,0.062685199,-0.021250109
1.126,0.046701964,-0.02127977
1.127,0.08912921,-0.021309247
1.128,0.052243315,-0.021338542
1.129,0.082698323,-0.021367654
1.13,0.075734138,-0.021396584
1.131,0.024080113,-0.021425333
1.132,0.041752357,-0.021453901
1.133,0.048626423,-0.021482288
1.134,0.073664844,-0.021510495
1.135,0.060729854,-0.021538523
1.136,0.059030719,-0.021566373
1.137,0.057343978,-0.021594043
1.138,0.046433792,-0.021621536
1.139,0.06825345,-0.021648852
1.14,0.061891194,-0.02167599
1.141,0.055865604,-0.021702952
1.142,0.078835219,-0.021729739
1.143,0.066751778,-0.02175635
1.144,0.048597593,-0.021782786
1.145,0.054866161,-0.021809048
1.146,0.059917334,-0.021835136
1.147,0.048169576,-0.02186105
1.148,0.046151288,-0.021886792
1.149,0.054484688,-0.021912362
1.15,0.065706111,-0.02193776
1.151,0.049583111,-0.021962986
1.152,0.053178027,-0.021988042
1.153,0.063939862,-0.022012927
1.154,0.088199385,-0.022037642
1.155,0.034086149,-0.022062188
1.156,0.037585203,-0.022086566
1.157,0.064810775,-0.022110775
1.158,0.042845417,-0.022134816
1.159,0.059990432,-0.02215869
1.16,0.058741163,-0.022182397
1.161,0.059160996,-0.022205938
1.162,0.071415864,-0.022229313
1.163,0.066830099,-0.022252522
1.164,0.042121571,-0.022275567
1.165,0.0532175,-0.022298447
1.166,0.046608575,-0.022321164
1.167,0.083537772,-0.022343717
