!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Thursday, February 25, 2016 16:42:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB)
1000000000,-16.800127
1001000000,-16.776104
1002000000,-16.742289
1003000000,-16.738312
1004000000,-16.752743
1005000000,-16.724369
1006000000,-16.690832
1007000000,-16.677114
1008000000,-16.649578
1009000000,-16.660898
1010000000,-16.613182
1011000000,-16.620657
1012000000,-16.589809
1013000000,-16.577538
1014000000,-16.580576
1015000000,-16.548136
1016000000,-16.543036
1017000000,-16.512171
1018000000,-16.523355
1019000000,-16.502222
1020000000,-16.470589
1021000000,-16.508696
1022000000,-16.456066
1023000000,-16.423273
1024000000,-16.435886
1025000000,-16.401171
1026000000,-16.360992
1027000000,-16.329798
1028000000,-16.368307
1029000000,-16.361271
1030000000,-16.347984
1031000000,-16.304457
1032000000,-16.317066
1033000000,-16.269104
1034000000,-16.264956
1035000000,-16.250408
1036000000,-16.236319
1037000000,-16.228312
1038000000,-16.222197
1039000000,-16.17972
1040000000,-16.185745
1041000000,-16.170162
1042000000,-16.17062
1043000000,-16.145231
1044000000,-16.137171
1045000000,-16.116306
1046000000,-16.129736
1047000000,-16.070047
1048000000,-16.097507
1049000000,-16.067646
1050000000,-16.0525
1051000000,-16.016108
1052000000,-16.037697
1053000000,-16.032923
1054000000,-15.993755
1055000000,-15.995275
1056000000,-15.967868
1057000000,-15.946159
1058000000,-15.983932
1059000000,-15.928771
1060000000,-15.91545
1061000000,-15.910844
1062000000,-15.898409
1063000000,-15.898213
1064000000,-15.843596
1065000000,-15.834913
1066000000,-15.850018
1067000000,-15.816494
1068000000,-15.79295
1069000000,-15.784218
1070000000,-15.749155
1071000000,-15.782096
1072000000,-15.727441
1073000000,-15.734763
1074000000,-15.741785
1075000000,-15.738373
1076000000,-15.70395
1077000000,-15.658018
1078000000,-15.686598
1079000000,-15.66573
1080000000,-15.636144
1081000000,-15.634862
1082000000,-15.611182
1083000000,-15.599393
1084000000,-15.590792
1085000000,-15.566269
1086000000,-15.592192
1087000000,-15.55775
1088000000,-15.535869
1089000000,-15.531957
1090000000,-15.502491
1091000000,-15.492558
1092000000,-15.486093
1093000000,-15.506079
1094000000,-15.472775
1095000000,-15.454059
1096000000,-15.448216
1097000000,-15.423622
1098000000,-15.426586
1099000000,-15.443916
1100000000,-15.385777
1101000000,-15.359967
1102000000,-15.366502
1103000000,-15.337089
1104000000,-15.332257
1105000000,-15.313169
1106000000,-15.282865
1107000000,-15.291932
1108000000,-15.283927
1109000000,-15.267482
1110000000,-15.229996
1111000000,-15.247478
1112000000,-15.208553
1113000000,-15.231869
1114000000,-15.223186
1115000000,-15.165306
1116000000,-15.206924
1117000000,-15.147226
1118000000,-15.161939
1119000000,-15.143381
1120000000,-15.124262
1121000000,-15.130917
1122000000,-15.098563
1123000000,-15.09287
1124000000,-15.081538
1125000000,-15.06346
1126000000,-15.042419
1127000000,-15.044503
1128000000,-15.040432
1129000000,-15.015381
1130000000,-15.030469
1131000000,-15.058935
1132000000,-15.019586
1133000000,-15.005802
1134000000,-14.950699
1135000000,-14.977475
1136000000,-14.959341
1137000000,-14.929033
1138000000,-14.903901
1139000000,-14.893998
1140000000,-14.874721
1141000000,-14.890275
1142000000,-14.854868
1143000000,-14.86254
1144000000,-14.846143
1145000000,-14.851933
1146000000,-14.829827
1147000000,-14.832691
1148000000,-14.823503
1149000000,-14.763506
1150000000,-14.780955
1151000000,-14.782928
1152000000,-14.785925
1153000000,-14.716759
1154000000,-14.706676
1155000000,-14.718259
1156000000,-14.722928
1157000000,-14.671947
1158000000,-14.679115
1159000000,-14.722211
1160000000,-14.651388
1161000000,-14.656703
1162000000,-14.647982
1163000000,-14.629634
1164000000,-14.649067
1165000000,-14.630805
1166000000,-14.607288
1167000000,-14.575729
1168000000,-14.581837
1169000000,-14.546288
1170000000,-14.54755
1171000000,-14.530332
1172000000,-14.51455
1173000000,-14.516088
1174000000,-14.535598
1175000000,-14.491143
1176000000,-14.52743
1177000000,-14.498501
1178000000,-14.47346
1179000000,-14.474712
1180000000,-14.424381
1181000000,-14.42986
1182000000,-14.416025
1183000000,-14.434576
1184000000,-14.427277
1185000000,-14.402574
1186000000,-14.377745
1187000000,-14.356986
1188000000,-14.394553
1189000000,-14.347015
1190000000,-14.340238
1191000000,-14.343342
1192000000,-14.32965
1193000000,-14.313207
1194000000,-14.3097
1195000000,-14.294608
1196000000,-14.293362
1197000000,-14.29404
1198000000,-14.246609
1199000000,-14.240878
1200000000,-14.239434
