"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-33.2329443450603,-0.531582784674549
1.001,-33.4717117180565,-0.532001732059676
1.002,-33.7167673032673,-0.532424611074983
1.003,-33.9683980292223,-0.532851424960125
1.004,-34.2269058967976,-0.533282176726319
1.005,-34.4926081040608,-0.533716869155656
1.006,-34.7658368698753,-0.534155504800468
1.007,-35.0469388315731,-0.534598085982679
1.008,-35.3362738485945,-0.535044614793185
1.009,-35.6342129857477,-0.535495093091241
1.01,-35.9411353715989,-0.535949522503867
1.011,-36.257423522715,-0.536407904425264
1.012,-36.5834565842051,-0.536870240016243
1.013,-36.9196007497355,-0.537336530203677
1.014,-37.2661958754303,-0.53780677567996
1.015,-37.6235369741567,-0.538280976902479
1.016,-37.9918488496854,-0.538759134093108
1.017,-38.3712515844624,-0.539241247237705
1.018,-38.7617139175701,-0.539727316085642
1.019,-39.1629907490841,-0.540217340149333
1.02,-39.5745401400279,-0.540711318703783
1.021,-39.9954143986402,-0.541209250786148
1.022,-40.4241194936693,-0.541711135195328
1.023,-40.8584377736337,-0.542216970491545
1.024,-41.2952119602327,-0.542726754995957
1.025,-41.7300954702179,-0.543240486790292
1.026,-42.1572878287263,-0.543758163716477
1.027,-42.5692968548771,-0.544279783376297
1.028,-42.9568020760084,-0.544805343131069
1.029,-43.3087309869858,-0.545334840101321
1.03,-43.612683856606,-0.545868271166506
1.031,-43.855821440309,-0.546405632964704
1.032,-44.0262266718614,-0.546946921892376
1.033,-44.1145595877883,-0.547492134104094
1.034,-44.1156112753497,-0.548041265512316
1.035,-44.02926690625,-0.548594311787169
1.036,-43.860527770389,-0.549151268356241
1.037,-43.6185839267409,-0.5497121304044
1.038,-43.3152758892039,-0.550276892873614
1.039,-42.9634345437158,-0.550845550462815
1.04,-42.575501269213,-0.551418097627739
1.041,-42.1626186819297,-0.551994528580816
1.042,-41.7341876190485,-0.552574837291069
1.043,-41.2977785760858,-0.553159017484018
1.044,-40.8592615979553,-0.553747062641608
1.045,-40.4230415012225,-0.554338966002151
1.046,-39.9923223671522,-0.5549347205603
1.047,-39.5693583912529,-0.555534319067009
1.048,-39.1556715350664,-0.556137754029536
1.049,-38.7522304864773,-0.55674501771145
1.05,-38.3595927530124,-0.557356102132664
1.051,-37.9780148365576,-0.557970999069476
1.052,-37.607536245633,-0.558589700054626
1.053,-37.2480427821187,-0.55921219637738
1.054,-36.8993137706677,-0.559838479083621
1.055,-36.5610570316871,-0.560468538975956
1.056,-36.2329345938234,-0.561102366613865
1.057,-35.9145814589503,-0.561739952313819
1.058,-35.6056191813618,-0.562381286149461
1.059,-35.3056655910666,-0.563026357951773
1.06,-35.0143416592828,-0.563675157309295
1.061,-34.7312762524011,-0.564327673568308
1.062,-34.4561093310648,-0.564983895833095
1.063,-34.1884940089415,-0.565643812966162
1.064,-33.9280977796386,-0.566307413588527
1.065,-33.6746031410544,-0.566974686079993
1.066,-33.4277077874675,-0.567645618579439
1.067,-33.1871244956936,-0.568320198985156
1.068,-32.9525807988584,-0.568998414955164
1.069,-32.7238185168879,-0.569680253907576
1.07,-32.5005931945696,-0.570365703020959
1.071,-32.2826734844211,-0.571054749234729
1.072,-32.0698405014368,-0.571747379249542
1.073,-31.8618871691987,-0.572443579527738
1.074,-31.658617571182,-0.573143336293748
1.075,-31.45984631688,-0.573846635534576
1.076,-31.2653979292507,-0.574553463000264
1.077,-31.0751062576769,-0.575263804204384
1.078,-30.8888139189365,-0.575977644424532
1.079,-30.7063717674406,-0.57669496870289
1.08,-30.5276383951014,-0.577415761846722
1.081,-30.352479660559,-0.57814000842897
1.082,-30.1807682470493,-0.578867692788823
1.083,-30.0123832478978,-0.579598799032304
1.084,-29.8472097784321,-0.580333311032896
1.085,-29.6851386129907,-0.581071212432151
1.086,-29.5260658456493,-0.581812486640365
1.087,-29.3698925732728,-0.582557116837233
1.088,-29.2165245995172,-0.583305085972525
1.089,-29.0658721584369,-0.584056376766786
1.09,-28.9178496564104,-0.584810971712059
1.091,-28.7723754311488,-0.585568853072624
1.092,-28.6293715266211,-0.586330002885743
1.093,-28.4887634827956,-0.587094402962431
1.094,-28.3504801391604,-0.587862034888251
1.095,-28.2144534510593,-0.588632880024098
1.096,-28.080618317937,-0.589406919507047
1.097,-27.9489124226532,-0.590184134251174
1.098,-27.8192760810842,-0.590964504948423
1.099,-27.6916521012845,-0.591748012069472
1.1,-27.5659856515346,-0.592534635864621
1.101,-27.4422241366516,-0.59332435636472
1.102,-27.320317081982,-0.594117153382075
1.103,-27.2002160245425,-0.594913006511389
1.104,-27.0818744108116,-0.595711895130742
1.105,-26.965247500713,-0.596513798402553
1.106,-26.8502922773659,-0.59731869527457
1.107,-26.7369673622082,-0.598126564480898
1.108,-26.6252329351284,-0.598937384543009
1.109,-26.5150506592695,-0.599751133770812
1.11,-26.4063836101906,-0.600567790263682
1.111,-26.2991962090994,-0.601387331911572
1.112,-26.1934541598843,-0.602209736396088
1.113,-26.0891243896993,-0.603034981191615
1.114,-25.9861749928711,-0.60386304356644
1.115,-25.8845751779124,-0.604693900583899
1.116,-25.7842952174447,-0.605527529103551
1.117,-25.6853064008454,-0.606363905782344
1.118,-25.5875809894468,-0.607203007075824
1.119,-25.4910921741292,-0.608044809239349
1.12,-25.3958140351587,-0.608889288329312
1.121,-25.3017215041316,-0.609736420204389
1.122,-25.2087903278985,-0.610586180526823
1.123,-25.1169970343466,-0.611438544763673
1.124,-25.0263188999299,-0.612293488188143
1.125,-24.9367339188431,-0.613150985880863
1.126,-24.8482207737425,-0.614011012731252
1.127,-24.7607588079218,-0.614873543438845
1.128,-24.6743279988618,-0.615738552514653
1.129,-24.588908933071,-0.616606014282562
1.13,-24.5044827821458,-0.61747590288071
1.131,-24.421031279981,-0.618348192262901
1.132,-24.3385367010649,-0.619222856200043
1.133,-24.2569818398,-0.620099868281579
1.134,-24.1763499907918,-0.620979201916964
1.135,-24.0966249300518,-0.621860830337116
