!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 16:34:34
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,151.21007,-147.09273
1001000000,150.24887,-147.38446
1002000000,149.32155,-147.50108
1003000000,151.01753,-147.53197
1004000000,149.06474,-147.92
1005000000,149.32663,-147.77539
1006000000,149.93242,-147.93547
1007000000,148.67336,-148.24498
1008000000,147.79768,-148.26724
1009000000,149.18137,-148.23241
1010000000,149.61737,-148.27838
1011000000,147.27019,-148.82115
1012000000,146.15718,-148.95045
1013000000,145.93794,-148.90547
1014000000,147.16078,-149.31212
1015000000,146.2666,-149.40601
1016000000,146.98102,-149.10405
1017000000,145.87587,-149.70639
1018000000,146.30086,-149.74039
1019000000,146.98743,-149.86255
1020000000,146.5992,-149.99117
1021000000,144.73599,-150.24152
1022000000,143.95158,-150.49834
1023000000,144.40083,-150.57315
1024000000,144.84192,-150.59711
1025000000,144.103,-150.76796
1026000000,144.59406,-150.76215
1027000000,144.55859,-151.19995
1028000000,143.689,-151.46947
1029000000,143.92339,-151.33011
1030000000,143.72752,-151.59149
1031000000,142.76263,-151.71106
1032000000,142.46327,-151.84169
1033000000,143.3528,-151.92108
1034000000,142.61665,-152.11139
1035000000,141.85678,-152.2262
1036000000,142.18546,-152.50539
1037000000,142.03426,-152.55194
1038000000,141.10597,-152.75819
1039000000,141.82832,-152.93102
1040000000,140.95404,-152.98111
1041000000,140.77856,-153.05644
1042000000,141.65781,-153.3131
1043000000,140.23288,-153.59892
1044000000,140.16125,-153.74275
1045000000,139.21002,-153.72964
1046000000,138.98738,-153.98199
1047000000,138.90149,-154.10603
1048000000,138.1319,-154.2715
1049000000,138.19563,-154.38792
1050000000,138.96877,-154.65138
1051000000,138.29674,-154.76453
1052000000,138.42255,-154.68616
1053000000,138.73039,-154.80969
1054000000,138.44131,-155.09598
1055000000,137.8479,-155.11858
1056000000,137.13911,-155.67516
1057000000,137.3934,-155.47433
1058000000,137.18436,-155.67462
1059000000,136.68956,-155.87201
1060000000,136.30577,-155.82593
1061000000,136.06357,-156.06322
1062000000,135.82776,-156.3064
1063000000,135.63387,-156.47574
1064000000,135.48741,-156.62683
1065000000,134.96823,-156.61342
1066000000,135.25609,-156.85721
1067000000,135.28552,-156.93159
1068000000,134.3121,-157.06392
1069000000,134.11554,-157.34866
1070000000,134.02885,-157.41765
1071000000,133.83452,-157.53838
1072000000,133.62325,-157.78531
1073000000,133.45557,-157.89682
1074000000,133.92241,-157.93834
1075000000,133.65399,-158.11316
1076000000,133.29947,-158.26648
1077000000,132.82922,-158.44022
1078000000,133.0536,-158.66475
1079000000,132.49416,-158.84721
1080000000,132.52812,-158.96552
1081000000,131.55994,-159.07884
1082000000,131.51109,-159.19273
1083000000,131.4135,-159.60034
1084000000,131.44606,-159.51707
1085000000,131.19936,-159.60765
1086000000,131.59196,-159.53767
1087000000,131.26401,-159.97057
1088000000,130.75803,-159.96045
1089000000,130.54449,-160.23232
1090000000,130.66548,-160.36765
1091000000,129.8372,-160.53889
1092000000,130.04886,-160.60626
1093000000,129.72441,-160.73775
1094000000,129.97832,-161.04803
1095000000,129.09988,-161.1815
1096000000,129.39507,-161.17509
1097000000,128.96652,-161.5631
1098000000,129.33575,-161.51901
1099000000,128.4754,-161.66512
1100000000,128.37553,-161.7307
1101000000,128.3325,-161.99966
1102000000,128.48572,-161.91068
1103000000,128.23474,-162.2244
1104000000,127.59526,-162.47217
1105000000,127.41195,-162.40456
1106000000,126.85209,-162.69946
1107000000,127.36288,-162.97246
1108000000,126.22858,-163.19676
1109000000,126.89022,-163.16415
1110000000,126.00676,-163.38745
1111000000,126.80827,-163.41956
1112000000,125.88135,-163.5533
1113000000,125.15891,-163.79285
1114000000,125.95953,-163.76868
1115000000,125.59019,-163.93503
1116000000,125.61039,-164.31311
1117000000,125.62292,-164.30667
1118000000,125.46288,-164.40643
1119000000,124.55676,-164.64099
1120000000,124.89516,-164.80264
1121000000,124.51148,-164.76752
1122000000,124.25993,-164.936
1123000000,123.94433,-165.20702
1124000000,123.36063,-165.34839
1125000000,123.63491,-165.714
1126000000,123.36732,-165.65625
1127000000,122.96439,-165.87256
1128000000,122.77946,-165.88353
1129000000,122.29962,-166.18076
1130000000,122.44673,-166.33565
1131000000,122.62191,-166.47647
1132000000,121.81903,-166.51756
1133000000,122.32571,-166.49702
1134000000,121.59447,-166.83003
1135000000,122.03548,-166.71532
1136000000,121.37066,-167.12654
1137000000,121.03759,-167.44051
1138000000,120.91463,-167.38423
1139000000,120.87794,-167.40013
1140000000,120.40437,-167.70042
1141000000,120.20988,-167.88629
1142000000,119.7839,-168.27167
1143000000,119.97517,-168.0665
1144000000,119.67646,-168.44078
1145000000,119.79485,-168.41393
1146000000,119.1359,-168.61462
1147000000,119.10896,-168.84418
1148000000,119.01625,-168.75113
1149000000,118.50336,-169.17348
1150000000,118.62102,-169.20647
1151000000,118.76946,-169.40179
1152000000,118.46869,-169.51993
1153000000,118.14792,-169.49081
1154000000,117.98218,-169.72012
1155000000,117.91058,-169.85449
1156000000,117.41553,-170.18042
1157000000,117.50217,-170.13196
1158000000,117.19713,-170.50407
1159000000,117.39937,-170.44272
1160000000,116.90932,-170.68144
1161000000,116.94359,-170.68669
1162000000,116.82189,-170.97609
1163000000,116.64567,-171.06253
1164000000,116.46922,-171.21707
1165000000,116.49342,-171.35817
1166000000,116.13972,-171.58472
1167000000,115.70538,-171.64464
1168000000,115.89942,-171.92552
1169000000,115.65647,-171.95596
1170000000,115.75581,-172.09656
1171000000,115.21685,-172.2849
1172000000,115.58421,-172.25989
1173000000,115.40038,-172.44453
1174000000,115.31165,-172.53346
1175000000,114.70146,-172.84897
1176000000,114.71854,-173.02301
1177000000,114.73684,-173.1396
1178000000,114.58492,-173.2914
1179000000,114.3496,-173.39589
1180000000,114.45759,-173.55173
1181000000,114.12707,-173.62231
1182000000,113.80839,-173.92317
1183000000,113.74551,-174.03227
1184000000,113.76028,-174.10263
1185000000,113.451,-174.14166
1186000000,113.15616,-174.44096
1187000000,113.61003,-174.50388
1188000000,113.10683,-174.60638
1189000000,112.69779,-174.95937
1190000000,112.40984,-175.12747
1191000000,112.3633,-175.10104
1192000000,112.38069,-175.22552
1193000000,112.21872,-175.51859
1194000000,111.90487,-175.64786
1195000000,111.68224,-175.81131
1196000000,111.84796,-175.93068
1197000000,111.4367,-175.9624
1198000000,111.40193,-176.22906
1199000000,111.40739,-176.3177
1200000000,111.11542,-176.39862
1201000000,111.11995,-176.53894
1202000000,110.7576,-176.69359
1203000000,110.65029,-176.83443
1204000000,110.21314,-177.10748
1205000000,110.26902,-177.21423
1206000000,110.06094,-177.36481
1207000000,110.36975,-177.32603
1208000000,109.90697,-177.47978
1209000000,109.79638,-177.63046
1210000000,109.92283,-177.76347
1211000000,109.07376,-178.16502
1212000000,109.20851,-178.21712
1213000000,108.88805,-178.51756
1214000000,108.90114,-178.43831
1215000000,108.68195,-178.70706
1216000000,108.33417,-178.89748
1217000000,108.3909,-178.86644
1218000000,108.12045,-179.04713
1219000000,108.27649,-179.20851
1220000000,107.85708,-179.44569
1221000000,107.68773,-179.6109
1222000000,107.50469,-179.6013
1223000000,107.91357,-179.67332
1224000000,107.28848,-179.98344
1225000000,107.12299,179.79051
1226000000,107.04131,179.63173
1227000000,107.21568,179.76183
1228000000,106.91679,179.56554
1229000000,106.36732,179.15437
1230000000,106.7099,179.16776
1231000000,106.05397,178.92543
1232000000,105.90897,178.69034
1233000000,105.94965,178.59012
1234000000,106.05479,178.62579
1235000000,105.8895,178.37029
1236000000,105.53069,178.26048
1237000000,105.44361,178.34125
1238000000,105.37724,177.86819
1239000000,104.95875,177.79305
1240000000,104.60246,177.45918
1241000000,104.70944,177.43152
1242000000,104.54594,177.31331
1243000000,104.58939,177.28708
1244000000,104.53269,177.03279
1245000000,104.18027,176.81691
1246000000,104.34344,176.83008
1247000000,104.31872,176.78976
1248000000,103.98869,176.59872
1249000000,104.02748,176.45178
1250000000,103.7415,176.28494
1251000000,103.64582,176.16609
1252000000,103.33698,175.85587
1253000000,103.31702,175.66354
1254000000,102.9131,175.45142
1255000000,102.90836,175.45526
1256000000,102.82744,175.22304
