!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 13:44:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-34.882206,-0.18035576
1001000000,-34.603886,-0.14545433
1002000000,-34.297615,-0.18236385
1003000000,-34.522545,-0.20605083
1004000000,-34.930984,-0.18693957
1005000000,-34.258369,-0.19692585
1006000000,-34.084538,-0.22025712
1007000000,-34.127701,-0.20725442
1008000000,-34.291142,-0.19824493
1009000000,-34.360157,-0.18215334
1010000000,-34.325569,-0.15391776
1011000000,-34.153675,-0.16709307
1012000000,-33.921452,-0.18677533
1013000000,-34.171692,-0.22611383
1014000000,-34.17556,-0.17572692
1015000000,-33.570751,-0.19247803
1016000000,-33.85424,-0.17124681
1017000000,-33.661533,-0.16838388
1018000000,-33.886971,-0.16433784
1019000000,-33.560024,-0.18446559
1020000000,-33.855755,-0.16331354
1021000000,-33.708405,-0.20595072
1022000000,-33.354813,-0.1804717
1023000000,-33.462475,-0.16195677
1024000000,-33.861618,-0.2215206
1025000000,-33.826134,-0.18299104
1026000000,-33.437824,-0.21588309
1027000000,-33.753323,-0.19284861
1028000000,-33.539104,-0.20077975
1029000000,-33.493977,-0.17127396
1030000000,-33.57972,-0.18179408
1031000000,-33.251728,-0.19269563
1032000000,-33.438427,-0.19628076
1033000000,-33.350388,-0.18092187
1034000000,-33.554768,-0.1954937
1035000000,-33.483383,-0.20096871
1036000000,-33.296574,-0.18262176
1037000000,-33.326851,-0.17984493
1038000000,-32.952015,-0.17513573
1039000000,-33.212811,-0.20427801
1040000000,-33.369251,-0.19354492
1041000000,-33.068592,-0.18377756
1042000000,-33.130856,-0.21242148
1043000000,-33.093777,-0.18485276
1044000000,-32.71788,-0.18046974
1045000000,-33.039303,-0.18164246
1046000000,-33.043068,-0.19043094
1047000000,-33.009556,-0.18593267
1048000000,-32.916924,-0.18374504
1049000000,-32.824238,-0.18344472
1050000000,-32.791519,-0.21988757
1051000000,-32.885624,-0.20233612
1052000000,-32.737659,-0.20408356
1053000000,-32.717373,-0.20947577
1054000000,-32.728336,-0.20492731
1055000000,-32.598007,-0.17489468
1056000000,-32.72184,-0.19578527
1057000000,-32.670696,-0.19631045
1058000000,-32.444019,-0.1902891
1059000000,-32.602783,-0.1856883
1060000000,-32.504803,-0.18208681
1061000000,-32.417709,-0.22316217
1062000000,-32.322815,-0.21819817
1063000000,-32.604633,-0.19269355
1064000000,-32.392426,-0.15403096
1065000000,-32.21109,-0.21849674
1066000000,-32.275444,-0.19734176
1067000000,-32.270889,-0.17912275
1068000000,-32.400429,-0.20130865
1069000000,-32.30307,-0.17228541
1070000000,-32.215786,-0.18460988
1071000000,-32.095974,-0.20358598
1072000000,-32.125759,-0.22314616
1073000000,-32.303509,-0.19637348
1074000000,-32.225143,-0.19155061
1075000000,-32.040501,-0.17977343
1076000000,-32.174503,-0.19988702
1077000000,-32.013546,-0.19226611
1078000000,-32.158867,-0.2095634
1079000000,-32.051304,-0.17428996
1080000000,-31.904716,-0.20208144
1081000000,-31.97006,-0.20275348
1082000000,-31.990112,-0.16279362
1083000000,-31.980526,-0.22927561
1084000000,-31.878237,-0.19656171
1085000000,-31.956554,-0.20587565
1086000000,-31.954411,-0.20311882
1087000000,-31.926077,-0.17428388
1088000000,-31.887808,-0.15159899
1089000000,-31.762833,-0.20807825
1090000000,-31.759083,-0.19435726
1091000000,-31.943464,-0.22143742
1092000000,-31.788067,-0.18779905
1093000000,-31.726934,-0.21262042
1094000000,-31.619963,-0.17839387
1095000000,-31.843229,-0.18196559
1096000000,-31.785725,-0.1894156
1097000000,-31.667368,-0.18740965
1098000000,-31.676342,-0.19494103
1099000000,-31.582922,-0.20226955
1100000000,-31.578671,-0.20291148
1101000000,-31.569183,-0.20499587
1102000000,-31.618975,-0.22178341
1103000000,-31.59152,-0.19339524
1104000000,-31.64402,-0.21533765
1105000000,-31.69479,-0.20156725
1106000000,-31.528147,-0.21426798
1107000000,-31.430021,-0.1963339
1108000000,-31.583931,-0.19051521
1109000000,-31.469952,-0.19070956
1110000000,-31.479589,-0.19074258
1111000000,-31.66507,-0.20896944
1112000000,-31.601606,-0.19943535
1113000000,-31.498665,-0.22569291
1114000000,-31.421406,-0.2109095
1115000000,-31.495682,-0.22012356
1116000000,-31.582851,-0.19665249
1117000000,-31.544947,-0.2015737
1118000000,-31.35055,-0.20004812
1119000000,-31.424824,-0.19671127
1120000000,-31.245098,-0.21169278
1121000000,-31.446497,-0.18674408
1122000000,-31.298128,-0.22336654
1123000000,-31.307743,-0.17836589
1124000000,-31.298138,-0.2167425
1125000000,-31.373194,-0.21687198
1126000000,-31.285049,-0.20056714
1127000000,-31.306536,-0.20671034
1128000000,-31.285484,-0.18755163
1129000000,-31.252224,-0.18816309
1130000000,-31.238377,-0.24304163
1131000000,-31.263966,-0.21164237
1132000000,-31.236244,-0.18709598
1133000000,-31.287378,-0.21374054
1134000000,-31.296547,-0.21571478
1135000000,-31.162743,-0.20483921
1136000000,-31.337395,-0.18976037
1137000000,-31.237278,-0.21557264
1138000000,-31.199234,-0.19067022
1139000000,-31.213598,-0.17515787
1140000000,-31.138557,-0.18466471
1141000000,-31.274315,-0.22116996
1142000000,-31.185369,-0.22982331
1143000000,-31.304237,-0.21326755
1144000000,-31.11989,-0.20343317
1145000000,-31.21068,-0.19370952
1146000000,-31.131245,-0.1767021
1147000000,-31.234138,-0.19225441
1148000000,-31.151068,-0.22354759
1149000000,-31.255045,-0.22986388
1150000000,-31.223471,-0.20817375
1151000000,-31.262032,-0.21058516
1152000000,-31.209949,-0.19766143
1153000000,-31.117638,-0.2125112
1154000000,-31.204506,-0.19471848
1155000000,-31.208183,-0.23282768
1156000000,-31.19269,-0.23585625
1157000000,-31.103134,-0.20618209
1158000000,-31.228407,-0.21713284
1159000000,-31.159321,-0.20982209
1160000000,-31.161829,-0.21420501
1161000000,-31.042982,-0.22101107
1162000000,-31.195589,-0.20645817
1163000000,-31.053896,-0.21698402
1164000000,-31.231825,-0.21565773
1165000000,-31.174982,-0.20635143
1166000000,-31.047018,-0.22736722
1167000000,-31.056448,-0.19042543
1168000000,-31.107367,-0.19665515
1169000000,-31.028343,-0.2061812
1170000000,-31.082504,-0.20676494
1171000000,-31.090651,-0.2153928
1172000000,-31.078028,-0.21598507
1173000000,-31.029945,-0.20678964
1174000000,-31.020372,-0.1666455
1175000000,-31.021122,-0.2128986
1176000000,-31.017464,-0.22488031
1177000000,-31.064501,-0.22093542
1178000000,-30.971704,-0.22602351
1179000000,-31.063297,-0.21624537
1180000000,-31.107845,-0.21777768
1181000000,-30.988678,-0.21513715
1182000000,-30.915476,-0.2059342
1183000000,-30.988556,-0.21296242
1184000000,-31.008497,-0.22988978
1185000000,-30.948027,-0.19090299
1186000000,-30.920395,-0.22397412
1187000000,-30.971117,-0.22063749
1188000000,-31.024817,-0.22659524
1189000000,-30.958195,-0.19760719
1190000000,-31.063948,-0.23526794
1191000000,-30.998056,-0.22380479
1192000000,-31.066973,-0.24425919
1193000000,-31.096375,-0.22308171
1194000000,-31.038471,-0.20153227
1195000000,-31.087143,-0.2115888
