!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:13:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-28.523659,-0.32264683
1001000000,-28.472134,-0.31636077
1002000000,-28.359306,-0.32526973
1003000000,-28.228867,-0.33940139
1004000000,-28.115421,-0.32199398
1005000000,-27.983767,-0.33816397
1006000000,-27.89278,-0.3269527
1007000000,-27.854322,-0.33099911
1008000000,-27.672455,-0.35343331
1009000000,-27.603987,-0.32750484
1010000000,-27.434273,-0.31658635
1011000000,-27.36334,-0.31763306
1012000000,-27.284967,-0.35676879
1013000000,-27.235914,-0.35334516
1014000000,-27.047855,-0.3359639
1015000000,-27.00605,-0.33941871
1016000000,-26.915064,-0.33247173
1017000000,-26.820292,-0.3318418
1018000000,-26.660854,-0.3036156
1019000000,-26.602242,-0.35894579
1020000000,-26.502165,-0.31625542
1021000000,-26.410515,-0.3197971
1022000000,-26.387148,-0.33881503
1023000000,-26.250603,-0.31344029
1024000000,-26.108479,-0.36725545
1025000000,-26.010044,-0.32665783
1026000000,-25.941576,-0.38112468
1027000000,-25.799175,-0.3473298
1028000000,-25.802671,-0.35133445
1029000000,-25.659105,-0.32627657
1030000000,-25.517693,-0.31991947
1031000000,-25.483381,-0.36763343
1032000000,-25.384605,-0.3638255
1033000000,-25.289059,-0.33467364
1034000000,-25.17104,-0.35929134
1035000000,-25.127678,-0.38444805
1036000000,-25.062155,-0.35945842
1037000000,-24.902313,-0.34623957
1038000000,-24.867777,-0.31598625
1039000000,-24.700603,-0.34214422
1040000000,-24.654385,-0.37315187
1041000000,-24.519234,-0.3032153
1042000000,-24.451979,-0.3541919
1043000000,-24.388866,-0.35828507
1044000000,-24.285267,-0.34353796
1045000000,-24.194826,-0.36078942
1046000000,-24.068226,-0.36266056
1047000000,-24.011204,-0.35560188
1048000000,-23.978458,-0.36344168
1049000000,-23.867056,-0.35441107
1050000000,-23.817686,-0.39269513
1051000000,-23.61791,-0.35316777
1052000000,-23.595699,-0.34977883
1053000000,-23.493587,-0.36524305
1054000000,-23.405117,-0.34939191
1055000000,-23.318209,-0.3369936
1056000000,-23.276983,-0.36624587
