!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:01:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1000000000,-25.936981,-0.2111163
1001000000,-25.866951,-0.16512677
1002000000,-26.109186,-0.21078213
1003000000,-25.956556,-0.22835389
1004000000,-25.812868,-0.21385066
1005000000,-26.026737,-0.21407051
1006000000,-26.053558,-0.22304404
1007000000,-25.99711,-0.19449075
1008000000,-26.007208,-0.21282677
1009000000,-25.924063,-0.18689065
1010000000,-25.89142,-0.17161752
1011000000,-25.958359,-0.21380591
1012000000,-26.044687,-0.20894594
1013000000,-25.94249,-0.19957677
1014000000,-25.871832,-0.20286876
1015000000,-26.1001,-0.20709093
1016000000,-25.846869,-0.18216994
1017000000,-26.088184,-0.20173813
1018000000,-25.944456,-0.17813344
1019000000,-25.967989,-0.19241828
1020000000,-25.943157,-0.18122736
1021000000,-25.980577,-0.19145505
1022000000,-26.040218,-0.22553489
1023000000,-25.935255,-0.19603308
1024000000,-25.863634,-0.2534219
1025000000,-25.843981,-0.19425704
1026000000,-25.946756,-0.22106785
1027000000,-25.822498,-0.1799271
1028000000,-25.919127,-0.23995803
1029000000,-25.889503,-0.20860696
1030000000,-25.814823,-0.17811483
1031000000,-25.881081,-0.20979525
1032000000,-25.85537,-0.2087238
1033000000,-25.877401,-0.20181058
1034000000,-25.793814,-0.21256231
1035000000,-25.798489,-0.24105163
1036000000,-25.869783,-0.20635995
1037000000,-25.860239,-0.20885096
1038000000,-25.979952,-0.16972774
1039000000,-25.822147,-0.21117483
1040000000,-25.764666,-0.23447552
1041000000,-25.889231,-0.21475975
1042000000,-25.882618,-0.23372182
1043000000,-25.829433,-0.20128982
1044000000,-25.916218,-0.21085483
1045000000,-25.831762,-0.22599454
1046000000,-25.782377,-0.21805559
1047000000,-25.732931,-0.16469817
1048000000,-25.847977,-0.20696607
1049000000,-25.897474,-0.22806729
1050000000,-25.850456,-0.24311227
1051000000,-25.759726,-0.22841011
1052000000,-25.89802,-0.23161568
1053000000,-25.835911,-0.22480126
1054000000,-25.819736,-0.21382023
1055000000,-25.86253,-0.18545894
1056000000,-25.837717,-0.22100495
1057000000,-25.87303,-0.20693031
1058000000,-25.835672,-0.20608954
1059000000,-25.833584,-0.2116321
1060000000,-25.818893,-0.22329412
1061000000,-25.813852,-0.23359266
1062000000,-25.914869,-0.24056934
1063000000,-25.743526,-0.2182191
