!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 16:31:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1000000000,-152.98776,-147.71239
1001000000,-153.69844,-147.80881
1002000000,-152.91216,-147.97928
1003000000,-154.46657,-148.089
1004000000,-153.93661,-148.15871
1005000000,-154.40927,-148.4247
1006000000,-154.10612,-148.42848
1007000000,-154.88681,-148.67865
1008000000,-155.63499,-148.83279
1009000000,-154.1086,-148.90076
1010000000,-154.11711,-149.06085
1011000000,-155.2765,-149.14284
1012000000,-156.52293,-149.68918
1013000000,-154.09241,-149.4221
1014000000,-155.45537,-149.8423
1015000000,-156.4436,-149.90721
1016000000,-154.73018,-149.73807
1017000000,-156.56319,-150.1748
1018000000,-155.58183,-150.11023
1019000000,-155.78754,-150.23831
1020000000,-155.201,-150.37646
1021000000,-156.53746,-150.74844
1022000000,-156.61516,-150.89432
1023000000,-156.8299,-151.14061
1024000000,-155.72313,-151.1828
1025000000,-157.66711,-151.23119
1026000000,-156.80768,-151.2236
1027000000,-156.46419,-151.66624
1028000000,-156.83205,-151.89722
1029000000,-157.3718,-151.95619
1030000000,-157.20963,-151.98778
1031000000,-157.71481,-152.15834
1032000000,-159.32881,-152.41241
1033000000,-157.13733,-152.4234
1034000000,-158.38644,-152.65146
1035000000,-157.66492,-152.6722
1036000000,-158.23717,-152.95947
1037000000,-158.42039,-152.97469
1038000000,-157.98436,-153.06458
1039000000,-158.00629,-153.47206
1040000000,-158.56729,-153.45563
1041000000,-158.48914,-153.49081
1042000000,-159.09381,-153.77061
1043000000,-158.91624,-153.90567
1044000000,-158.94429,-153.99739
1045000000,-159.29553,-154.20546
1046000000,-160.04486,-154.4558
1047000000,-158.91182,-154.49367
1048000000,-159.84114,-154.78551
1049000000,-159.50258,-154.72237
1050000000,-160.01907,-155.08781
1051000000,-160.002,-155.29637
1052000000,-160.32246,-155.37526
1053000000,-159.92445,-155.30457
1054000000,-159.79691,-155.52789
1055000000,-159.61417,-155.67096
1056000000,-160.2803,-156.04401
1057000000,-160.51451,-156.02733
1058000000,-161.1176,-156.27357
1059000000,-160.74579,-156.52522
1060000000,-160.47414,-156.28012
1061000000,-160.8799,-156.58551
1062000000,-161.27969,-156.86343
1063000000,-161.04822,-156.84097
1064000000,-160.60864,-157.00252
1065000000,-161.28061,-157.19307
1066000000,-161.49103,-157.38164
1067000000,-161.96906,-157.45869
1068000000,-161.62892,-157.632
1069000000,-161.94347,-157.97762
1070000000,-161.92468,-157.93532
1071000000,-161.67535,-158.0415
1072000000,-162.12903,-158.37364
1073000000,-161.94699,-158.26637
1074000000,-161.97917,-158.52603
1075000000,-161.38092,-158.6356
1076000000,-162.04088,-158.83638
1077000000,-161.54225,-158.93111
1078000000,-162.03476,-159.10031
1079000000,-162.2962,-159.26837
1080000000,-163.1355,-159.45667
1081000000,-162.55194,-159.60025
1082000000,-162.68504,-159.6416
1083000000,-162.41722,-160.01312
1084000000,-162.84036,-160.08249
1085000000,-162.72322,-160.18677
1086000000,-162.22762,-160.22173
1087000000,-163.00232,-160.50928
1088000000,-163.13914,-160.58342
1089000000,-163.38857,-160.7807
1090000000,-163.36192,-160.74487
1091000000,-163.20305,-160.89227
1092000000,-163.47597,-161.14273
1093000000,-163.13625,-161.18855
1094000000,-163.52217,-161.61699
1095000000,-164.08759,-161.70103
1096000000,-163.96919,-161.72948
1097000000,-164.14616,-161.95856
1098000000,-164.20319,-162.20392
1099000000,-164.63515,-162.29515
1100000000,-164.24786,-162.34418
1101000000,-164.27151,-162.39766
1102000000,-164.12042,-162.33315
1103000000,-164.29675,-162.66998
1104000000,-164.40878,-162.96436
1105000000,-164.93843,-163.12163
1106000000,-165.26717,-163.25914
1107000000,-164.83636,-163.26321
1108000000,-165.18803,-163.62061
1109000000,-165.68913,-163.84695
1110000000,-165.15619,-163.82274
1111000000,-165.104,-164.14745
1112000000,-165.50479,-164.01299
1113000000,-165.55099,-164.11696
1114000000,-165.5321,-164.30171
1115000000,-165.6026,-164.56232
1116000000,-166.11969,-164.86209
1117000000,-165.80473,-164.79086
1118000000,-165.80519,-165.03391
1119000000,-166.41583,-165.23201
1120000000,-166.01724,-165.3325
1121000000,-166.11714,-165.32121
1122000000,-166.31284,-165.5377
1123000000,-166.49602,-165.68732
1124000000,-166.78043,-165.86716
1125000000,-166.8649,-166.12093
1126000000,-167.14934,-166.17511
1127000000,-166.91441,-166.34373
1128000000,-166.70686,-166.26006
1129000000,-167.33292,-166.54419
1130000000,-167.51234,-166.8168
1131000000,-167.19113,-166.94289
1132000000,-167.6185,-166.83267
1133000000,-167.14328,-166.99568
1134000000,-167.69403,-167.18892
1135000000,-167.67595,-167.41887
1136000000,-168.01331,-167.79297
1137000000,-168.27707,-167.97942
1138000000,-168.18401,-167.84834
1139000000,-168.5833,-168.04886
1140000000,-168.27182,-168.06396
1141000000,-168.7162,-168.43802
1142000000,-168.74187,-168.68723
1143000000,-168.81638,-168.62216
1144000000,-168.85603,-168.64552
1145000000,-168.98309,-168.98555
1146000000,-169.38936,-169.20061
1147000000,-169.77516,-169.44781
1148000000,-169.65697,-169.50568
1149000000,-169.44904,-169.55917
1150000000,-170.03474,-169.87248
1151000000,-170.09561,-169.83151
1152000000,-169.83882,-170.12526
1153000000,-170.30357,-170.13245
1154000000,-170.289,-170.20067
1155000000,-170.1902,-170.38928
1156000000,-170.1722,-170.72482
1157000000,-170.67805,-170.82494
1158000000,-170.55128,-170.91209
1159000000,-170.52528,-171.0025
1160000000,-170.80602,-171.31499
1161000000,-170.46519,-171.32948
1162000000,-170.8519,-171.57863
1163000000,-170.82079,-171.69447
1164000000,-171.31221,-171.78824
1165000000,-171.01178,-171.93933
1166000000,-170.90015,-171.95949
1167000000,-171.51733,-172.23947
1168000000,-171.14973,-172.33943
1169000000,-171.7538,-172.59378
1170000000,-171.48247,-172.64156
1171000000,-171.67365,-172.86731
1172000000,-171.76668,-172.97986
1173000000,-172.13148,-173.20171
1174000000,-172.02466,-173.21957
1175000000,-171.81813,-173.34348
1176000000,-172.49617,-173.53351
1177000000,-172.66176,-173.7917
1178000000,-172.31668,-173.79298
1179000000,-172.51608,-174.04771
1180000000,-172.65387,-174.14972
1181000000,-172.63626,-174.20247
1182000000,-172.9682,-174.56152
1183000000,-172.70609,-174.56584
1184000000,-173.06863,-174.73871
1185000000,-173.12405,-174.84418
1186000000,-173.22435,-175.01802
1187000000,-173.22403,-175.16693
1188000000,-173.41286,-175.27473
1189000000,-173.85583,-175.44423
1190000000,-174.22641,-175.92632
1191000000,-173.84787,-175.73987
1192000000,-173.9747,-175.96172
1193000000,-173.83817,-176.10117
1194000000,-174.07312,-176.22852
1195000000,-174.44635,-176.45551
1196000000,-174.20766,-176.57013
1197000000,-174.22148,-176.51962
1198000000,-174.77202,-176.72174
1199000000,-174.76065,-176.94444
1200000000,-174.54654,-176.9803
1201000000,-174.81313,-177.3004
1202000000,-175.24876,-177.41426
1203000000,-175.0282,-177.48477
