!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 16:50:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.2875891,-155.50523,-28.621864,-25.839699
1001000000,-0.29476851,-155.45065,-28.669323,-25.613811
1002000000,-0.29302391,-156.05646,-28.472574,-25.489006
1003000000,-0.28635475,-155.95197,-28.481867,-26.202667
1004000000,-0.27997735,-156.00925,-28.149145,-26.07555
1005000000,-0.28545344,-156.2117,-28.311935,-26.571053
1006000000,-0.27296636,-156.26945,-28.20104,-27.309473
1007000000,-0.27610093,-156.30527,-28.228037,-26.270239
1008000000,-0.26544613,-156.54367,-28.092165,-26.424654
1009000000,-0.27845418,-156.92844,-28.022202,-26.945045
1010000000,-0.29440331,-156.94046,-27.932211,-27.347191
1011000000,-0.27366558,-157.05382,-27.89319,-27.206696
1012000000,-0.26767328,-157.33334,-27.90403,-27.322229
1013000000,-0.30799699,-157.44626,-27.890265,-27.427406
1014000000,-0.29370135,-157.52913,-27.721508,-26.799126
1015000000,-0.27722231,-157.92657,-27.671932,-28.404837
1016000000,-0.2694999,-157.92303,-27.730995,-28.95405
1017000000,-0.27658862,-158.02672,-27.672195,-27.239605
1018000000,-0.31076905,-158.02963,-27.641527,-28.400536
1019000000,-0.26707524,-158.39998,-27.505413,-27.530979
1020000000,-0.32454619,-158.39464,-27.407873,-28.606155
1021000000,-0.26814774,-158.64769,-27.346912,-28.417101
1022000000,-0.30675501,-158.842,-27.349909,-28.901827
1023000000,-0.30680409,-158.88322,-27.20558,-28.54447
1024000000,-0.27774945,-158.92023,-27.153414,-28.843384
1025000000,-0.2967889,-159.27417,-27.138441,-28.717876
1026000000,-0.27236214,-159.39983,-27.073463,-28.884192
1027000000,-0.30439153,-159.76353,-27.090683,-29.331381
1028000000,-0.25307655,-159.74889,-27.027731,-29.598503
1029000000,-0.29504395,-159.86613,-26.865955,-30.132582
1030000000,-0.29704115,-160.30486,-26.871735,-29.686329
1031000000,-0.30480966,-160.2168,-26.844044,-29.680779
1032000000,-0.27764773,-160.51906,-26.827423,-30.12372
1033000000,-0.29254529,-160.50085,-26.78484,-30.288355
1034000000,-0.29415193,-160.63655,-26.650961,-30.657768
1035000000,-0.28959975,-160.99832,-26.629545,-30.865202
1036000000,-0.27251557,-160.96391,-26.588104,-30.517145
1037000000,-0.27593988,-161.19208,-26.456326,-31.005917
1038000000,-0.29718584,-161.50348,-26.548801,-30.882893
1039000000,-0.29802439,-161.5379,-26.43519,-31.564381
1040000000,-0.2912972,-161.53218,-26.372656,-32.21246
1041000000,-0.30980268,-161.82591,-26.304232,-31.647968
1042000000,-0.32145509,-161.86797,-26.221703,-32.140835
1043000000,-0.31656495,-162.12944,-26.182554,-32.52301
1044000000,-0.27057385,-162.20653,-26.210905,-32.348152
1045000000,-0.28862059,-162.45547,-26.092236,-33.148849
1046000000,-0.31103212,-162.3994,-26.100231,-32.694649
1047000000,-0.24848212,-162.66298,-26.022715,-32.718662
1048000000,-0.32350817,-162.90526,-25.99506,-33.133427
1049000000,-0.30714157,-162.96385,-25.897503,-33.515423
1050000000,-0.32195905,-163.21136,-25.845758,-33.319794
1051000000,-0.30202398,-163.24817,-25.820042,-33.714554
1052000000,-0.30224249,-163.61041,-25.64246,-33.488373
1053000000,-0.29722869,-163.61003,-25.685308,-33.943188
1054000000,-0.31226534,-163.75034,-25.65748,-34.054153
1055000000,-0.25295585,-163.89734,-25.603392,-33.957714
1056000000,-0.30886441,-164.10197,-25.620922,-34.072449
1057000000,-0.29809368,-164.31456,-25.444862,-34.673531
1058000000,-0.28125066,-164.51659,-25.439302,-34.937935
