Freq,S21_HFSS,S31_HFSS,S32_HFSS,S21_Milled,S31_Milled,S32_Milled
1,-3.469239074,-3.458673105,-7.390449446,-3.3031089,-3.2979038,-9.8119335
1.001,-3.469167188,-3.458612275,-7.394803615,-3.3200655,-3.3364503,-9.7938576
1.002,-3.46909554,-3.458551701,-7.399157011,-3.3256302,-3.3376417,-9.8269262
1.003,-3.469024128,-3.458491382,-7.403509637,-3.3444421,-3.3050027,-9.8179932
1.004,-3.468952954,-3.458431318,-7.40786149,-3.296206,-3.2938461,-9.8065386
1.005,-3.468882016,-3.45837151,-7.412212573,-3.3582709,-3.3691051,-9.8606787
1.006,-3.468811315,-3.458311956,-7.416562883,-3.3314629,-3.3233097,-9.8234587
1.007,-3.468740851,-3.458252657,-7.420912423,-3.315927,-3.3122168,-9.8515625
1.008,-3.468670623,-3.458193612,-7.425261191,-3.2936885,-3.2945812,-9.8375244
1.009,-3.468600632,-3.458134821,-7.429609189,-3.3323593,-3.3131976,-9.8578682
1.01,-3.468530878,-3.458076285,-7.433956415,-3.3162453,-3.3153565,-9.8540297
1.011,-3.468461359,-3.458018002,-7.438302871,-3.3437617,-3.3295681,-9.9058867
1.012,-3.468392076,-3.457959972,-7.442648557,-3.330678,-3.3207934,-9.8897419
1.013,-3.46832303,-3.457902195,-7.446993472,-3.2955241,-3.3180425,-9.8953867
1.014,-3.468254219,-3.457844671,-7.451337617,-3.3116651,-3.295975,-9.8911743
1.015,-3.468185644,-3.4577874,-7.455680993,-3.3024576,-3.3191934,-9.8958616
1.016,-3.468117304,-3.457730382,-7.460023599,-3.2963843,-3.3061004,-9.9009285
1.017,-3.4680492,-3.457673615,-7.464365436,-3.3164914,-3.3129814,-9.9060736
1.018,-3.467981331,-3.4576171,-7.468706504,-3.3506289,-3.3236341,-9.9347582
1.019,-3.467913697,-3.457560837,-7.473046804,-3.3096333,-3.3215766,-9.9563808
1.02,-3.467846298,-3.457504825,-7.477386335,-3.3170166,-3.327585,-9.9301672
1.021,-3.467779134,-3.457449064,-7.481725099,-3.2971575,-3.2917414,-9.9469652
1.022,-3.467712204,-3.457393554,-7.486063095,-3.3414946,-3.3010268,-9.9440985
1.023,-3.467645509,-3.457338294,-7.490400325,-3.3591683,-3.3074334,-9.9475918
1.024,-3.467579048,-3.457283285,-7.494736787,-3.3641713,-3.3517363,-10.01818
1.025,-3.467512822,-3.457228525,-7.499072484,-3.3502083,-3.346379,-9.97472
1.026,-3.467446829,-3.457174015,-7.503407415,-3.3342662,-3.3239584,-10.014117
1.027,-3.46738107,-3.457119754,-7.507741581,-3.3055775,-3.3070297,-9.9658689
1.028,-3.467315545,-3.457065742,-7.512074982,-3.3440511,-3.3319736,-10.003701
1.029,-3.467250253,-3.457011979,-7.516407619,-3.3366563,-3.3213809,-9.9992599
1.03,-3.467185195,-3.456958464,-7.520739492,-3.3286898,-3.3185675,-9.995121
