!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB)
1000000000,-0.39558464,153.44897,-17.228504
1001000000,-0.39713117,153.03424,-17.213768
1002000000,-0.38569772,152.73596,-17.213076
1003000000,-0.39191607,152.6967,-17.219439
1004000000,-0.42567015,152.21785,-17.19989
1005000000,-0.38988492,152.06233,-17.165956
1006000000,-0.38543084,152.06587,-17.143417
1007000000,-0.40627325,151.61319,-17.141932
1008000000,-0.41761121,151.25656,-17.175072
1009000000,-0.44131762,151.2822,-17.169245
1010000000,-0.37745735,150.90044,-17.10354
1011000000,-0.41204777,150.86403,-17.129848
1012000000,-0.41773236,150.64427,-17.108673
1013000000,-0.3998605,150.52818,-17.030899
1014000000,-0.44037497,150.14899,-17.099522
1015000000,-0.43309352,149.77046,-17.085758
1016000000,-0.37897551,149.55933,-17.012768
1017000000,-0.41662341,149.69339,-17.020422
1018000000,-0.40992242,149.20476,-17.026703
1019000000,-0.42575026,149.00603,-16.981321
1020000000,-0.41643092,148.50363,-16.998087
1021000000,-0.43082911,148.69176,-16.983681
1022000000,-0.41517311,148.1541,-16.970282
1023000000,-0.43553492,147.85931,-16.956856
1024000000,-0.46102893,147.87491,-16.949589
1025000000,-0.43794301,147.61836,-16.923418
1026000000,-0.40276465,147.11301,-16.87586
1027000000,-0.42506605,147.14471,-16.90033
1028000000,-0.42927146,146.94284,-16.910532
1029000000,-0.42558277,146.73848,-16.86133
1030000000,-0.43423349,146.40382,-16.843216
1031000000,-0.43436104,146.07977,-16.812929
1032000000,-0.43823832,145.91107,-16.784365
1033000000,-0.46363533,145.55133,-16.8162
1034000000,-0.41946864,145.50578,-16.716763
1035000000,-0.48030588,145.16347,-16.796583
1036000000,-0.42951307,144.96877,-16.751478
1037000000,-0.48045412,144.80304,-16.70793
1038000000,-0.47940943,144.53662,-16.694382
1039000000,-0.47895339,144.34517,-16.655922
1040000000,-0.46473679,144.06534,-16.652563
1041000000,-0.44446349,143.92516,-16.685921
1042000000,-0.47087738,143.41544,-16.639578
1043000000,-0.45595032,143.39035,-16.610767
1044000000,-0.46585453,142.99561,-16.569958
1045000000,-0.46519619,142.80156,-16.551266
1046000000,-0.48034284,142.65382,-16.561527
1047000000,-0.45936763,142.35809,-16.500299
1048000000,-0.46895108,142.1796,-16.538399
1049000000,-0.45897159,141.87399,-16.392601
1050000000,-0.46665958,141.60995,-16.413927
1051000000,-0.48041919,141.37523,-16.452927
1052000000,-0.49224859,141.19724,-16.420835
1053000000,-0.47159532,140.85248,-16.409403
1054000000,-0.47924581,140.92741,-16.368353
1055000000,-0.46879295,140.56543,-16.302553
1056000000,-0.48194203,140.30234,-16.264174
1057000000,-0.46923411,140.11301,-16.237314
1058000000,-0.49749181,139.79814,-16.22801
1059000000,-0.51386821,139.71306,-16.20673
1060000000,-0.504439,139.37689,-16.171383
1061000000,-0.51483756,139.24704,-16.159849
1062000000,-0.48972306,138.85493,-16.093321
1063000000,-0.50851953,138.55545,-16.102633
1064000000,-0.49882123,138.48999,-16.076527
1065000000,-0.48040327,138.03035,-15.985399
1066000000,-0.54080772,137.81709,-16.004908
1067000000,-0.51036596,137.49591,-15.911791
1068000000,-0.51227897,137.45352,-15.915022
