!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:48:33
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-47.358372,26.256155,-0.089162476,-49.467228
1001000000,-47.090569,25.535427,-0.076195568,-49.531467
1002000000,-47.221912,24.446178,-0.093836255,-49.795696
1003000000,-46.987377,23.826744,-0.086827077,-49.742332
1004000000,-47.070721,24.176266,-0.088272579,-49.731236
1005000000,-46.986427,23.150991,-0.082058214,-49.885815
1006000000,-46.842983,24.006428,-0.069915444,-49.816761
1007000000,-46.706127,24.437931,-0.078492671,-50.034397
1008000000,-46.576832,25.295607,-0.077093296,-50.034645
1009000000,-46.681492,23.194536,-0.066415921,-50.115818
1010000000,-46.578308,23.576317,-0.079606414,-50.229897
1011000000,-46.483154,24.488379,-0.08257506,-50.317703
1012000000,-46.434364,23.743855,-0.08417239,-50.371475
1013000000,-46.371532,23.337006,-0.10667372,-50.54261
1014000000,-46.295776,24.132574,-0.10812276,-50.354759
1015000000,-46.261002,23.426758,-0.086143248,-50.529797
1016000000,-45.991009,23.594795,-0.064842932,-50.677608
1017000000,-46.085125,23.946632,-0.085155264,-50.597759
1018000000,-45.995075,23.639048,-0.085996628,-50.460365
1019000000,-45.884357,23.100258,-0.08835721,-50.663395
1020000000,-45.599533,23.210976,-0.09514448,-50.778919
1021000000,-45.752705,23.108747,-0.08476866,-50.790512
1022000000,-45.61174,23.435591,-0.083920583,-50.810574
1023000000,-45.535355,22.497515,-0.10345754,-50.93922
1024000000,-45.567158,22.468311,-0.078695536,-50.897732
1025000000,-45.213875,23.6136,-0.079322875,-51.155563
1026000000,-45.375221,22.625858,-0.086874321,-51.341244
1027000000,-45.234631,22.488039,-0.085614771,-51.343601
1028000000,-45.090519,23.22982,-0.057989895,-51.287296
1029000000,-45.018848,22.731577,-0.07868614,-51.208912
1030000000,-44.916679,22.428343,-0.068594716,-51.452816
1031000000,-44.857113,21.929607,-0.11322044,-51.679405
1032000000,-44.7714,21.829638,-0.063363045,-51.657772
1033000000,-44.436581,22.843943,-0.059011146,-51.743965
1034000000,-44.481712,21.511301,-0.073359795,-51.703148
1035000000,-44.47044,21.905109,-0.075417504,-51.695843
