!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:01:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1000000000,-3.2979038,-92.159378
1001000000,-3.3364503,-92.301765
1002000000,-3.3376417,-92.38604
1003000000,-3.3050027,-92.329857
1004000000,-3.2938461,-92.610458
1005000000,-3.3691051,-92.521233
1006000000,-3.3233097,-92.885284
1007000000,-3.3122168,-92.820198
1008000000,-3.2945812,-92.989426
1009000000,-3.3131976,-93.053368
1010000000,-3.3153565,-93.223839
1011000000,-3.3295681,-93.310478
1012000000,-3.3207934,-93.130272
1013000000,-3.3180425,-93.489563
1014000000,-3.295975,-93.490288
1015000000,-3.3191934,-93.65554
1016000000,-3.3061004,-93.5746
1017000000,-3.3129814,-93.856781
1018000000,-3.3236341,-93.99688
1019000000,-3.3215766,-93.803505
1020000000,-3.327585,-93.982758
1021000000,-3.2917414,-94.197746
1022000000,-3.3010268,-94.11824
1023000000,-3.3074334,-94.399864
1024000000,-3.3517363,-94.488953
1025000000,-3.346379,-94.593346
1026000000,-3.3239584,-94.52179
1027000000,-3.3070297,-94.553856
1028000000,-3.3319736,-94.670509
1029000000,-3.3213809,-94.780907
1030000000,-3.3185675,-95.124573
1031000000,-3.3199451,-94.976486
1032000000,-3.3336103,-95.302223
1033000000,-3.3427796,-95.22316
1034000000,-3.3348041,-95.3563
1035000000,-3.3155077,-95.50264
1036000000,-3.3106937,-95.557137
1037000000,-3.3185391,-95.77047
1038000000,-3.3034153,-95.728394
1039000000,-3.3107145,-95.812218
1040000000,-3.3095233,-95.783142
1041000000,-3.3386974,-95.971642
1042000000,-3.3336654,-95.938438
1043000000,-3.2875662,-96.123047
1044000000,-3.2824988,-96.140785
1045000000,-3.3248873,-96.495705
1046000000,-3.3067095,-96.688301
1047000000,-3.2949996,-96.313644
1048000000,-3.3427694,-96.560295
1049000000,-3.3040862,-96.63678
1050000000,-3.3038917,-96.837616
1051000000,-3.3188097,-96.908943
1052000000,-3.3186104,-96.93502
1053000000,-3.3085754,-97.013763
1054000000,-3.3173072,-97.304535
1055000000,-3.3197606,-97.173752
1056000000,-3.3097239,-97.310471
1057000000,-3.3133132,-97.666771
1058000000,-3.3493497,-97.401924
1059000000,-3.326879,-97.714661
1060000000,-3.3159544,-97.861031
1061000000,-3.3245368,-97.866165
1062000000,-3.3234296,-98.098755
1063000000,-3.3086331,-97.963539
1064000000,-3.3186893,-98.216835
1065000000,-3.3014886,-98.218765
1066000000,-3.2994149,-98.471321
1067000000,-3.2902696,-98.513115
1068000000,-3.3064783,-98.57695
1069000000,-3.3245373,-98.536728
1070000000,-3.296581,-98.746872
1071000000,-3.317755,-98.704292
1072000000,-3.3219252,-98.799904
1073000000,-3.3323643,-98.855576
1074000000,-3.3004506,-98.885574
1075000000,-3.3271925,-99.269653
1076000000,-3.3168166,-99.279434
1077000000,-3.3282127,-99.447571
1078000000,-3.295476,-99.367409
1079000000,-3.3110723,-99.446312
1080000000,-3.2946754,-99.682167
1081000000,-3.3103466,-99.506966
1082000000,-3.3307035,-99.747086
1083000000,-3.3063374,-99.859741
1084000000,-3.2946503,-99.971344
1085000000,-3.2940104,-99.998352
1086000000,-3.3185353,-100.32008
1087000000,-3.2969,-100.23484
1088000000,-3.3034861,-100.38335
1089000000,-3.2921619,-100.59817
1090000000,-3.2944629,-100.75095
1091000000,-3.3052454,-100.6387
1092000000,-3.3091674,-100.62793
1093000000,-3.3024111,-100.84148
1094000000,-3.3046653,-100.91938
1095000000,-3.2952981,-101.12611
1096000000,-3.3032956,-101.16837
1097000000,-3.3276401,-101.16645
1098000000,-3.2995498,-101.29339
1099000000,-3.3037052,-101.50575
1100000000,-3.2987504,-101.57749
1101000000,-3.3310199,-101.61042
1102000000,-3.3247266,-101.76758
1103000000,-3.3206191,-101.92966
1104000000,-3.3070974,-101.9594
1105000000,-3.3162529,-101.9523
1106000000,-3.295404,-102.115
1107000000,-3.3289371,-102.05119
1108000000,-3.3247955,-102.32125
1109000000,-3.3056912,-102.37484
1110000000,-3.3232915,-102.54676
