!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 23, 2016 15:50:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°)
1000000000,-20.92462,75.822144,-0.22455555,-146.2715
1001000000,-20.888927,75.589279,-0.23150185,-146.41374
1002000000,-20.90724,75.808777,-0.23488322,-146.42642
1003000000,-20.78721,76.081551,-0.22005776,-146.65373
1004000000,-20.762655,76.268272,-0.22238989,-146.66692
1005000000,-20.742689,76.061157,-0.24788851,-147.1241
1006000000,-20.649046,76.385239,-0.21593954,-146.96626
1007000000,-20.717173,75.982109,-0.26625049,-147.26776
1008000000,-20.733326,75.982826,-0.22503427,-147.36844
1009000000,-20.718891,76.045975,-0.23609887,-147.51628
1010000000,-20.71163,75.989174,-0.24166393,-147.57172
1011000000,-20.593081,76.402733,-0.23946004,-147.86615
1012000000,-20.637836,75.736145,-0.26931152,-148.05579
1013000000,-20.54534,76.442123,-0.21936202,-148.01874
1014000000,-20.610174,76.466759,-0.27165854,-148.25888
1015000000,-20.551115,76.265617,-0.25771105,-148.4314
1016000000,-20.666109,76.394363,-0.25919232,-148.5345
1017000000,-20.559893,76.344643,-0.25604939,-148.7303
1018000000,-20.514534,76.508751,-0.25191462,-148.69969
1019000000,-20.520092,76.558762,-0.23505329,-149.05304
1020000000,-20.469461,76.947281,-0.2281663,-149.05406
1021000000,-20.509644,76.737335,-0.24470063,-149.09171
1022000000,-20.361448,76.891014,-0.25811824,-149.55656
1023000000,-20.398294,76.960464,-0.24766038,-149.56866
1024000000,-20.318676,76.622955,-0.19956671,-149.62334
1025000000,-20.368425,77.165833,-0.26285231,-149.6828
1026000000,-20.302925,76.718536,-0.26164404,-150.11134
1027000000,-20.406078,76.854378,-0.25910854,-150.13156
1028000000,-20.317684,76.898842,-0.22427432,-150.20074
1029000000,-20.270218,76.806313,-0.25980902,-150.49275
1030000000,-20.256779,76.949234,-0.25274023,-150.53294
1031000000,-20.271969,76.648895,-0.27953014,-150.57555
1032000000,-20.262846,77.135361,-0.23930475,-150.65895
1033000000,-20.296291,77.309174,-0.26795611,-150.90236
1034000000,-20.176205,77.044289,-0.22497272,-151.10498
1035000000,-20.149727,77.273621,-0.22454722,-151.19635
1036000000,-20.164875,77.569984,-0.24823786,-151.4424
1037000000,-20.214212,76.991974,-0.24801663,-151.55391
