Freq,S21_HFSS,S31_HFSS,S41_HFSS,S21_Milled,S31_Milled,S41_Milled
1,-7.256515436,-6.449752449,-7.747114236,-7.0394664,-5.6389937,-6.6587505
1.001,-7.258564165,-6.450051436,-7.749970024,-7.0345783,-5.6614752,-6.6586747
1.002,-7.260613742,-6.450348707,-7.752826592,-7.0650668,-5.6732559,-6.6772957
1.003,-7.262664166,-6.450644257,-7.755683935,-7.0542197,-5.6563005,-6.6877775
1.004,-7.264715433,-6.450938082,-7.758542045,-7.0226908,-5.6390166,-6.6508431
1.005,-7.266767541,-6.451230175,-7.761400916,-7.0941124,-5.6894259,-6.7049866
1.006,-7.268820486,-6.451520532,-7.764260542,-7.061789,-5.6485128,-6.6969967
1.007,-7.270874265,-6.451809149,-7.767120918,-7.0442119,-5.638515,-6.6861162
1.008,-7.272928876,-6.45209602,-7.769982036,-7.0529675,-5.6395531,-6.6711535
1.009,-7.274984317,-6.452381139,-7.772843891,-7.0538778,-5.6543937,-6.6822133
1.01,-7.277040583,-6.452664503,-7.775706475,-7.0642672,-5.6289697,-6.6613116
1.011,-7.279097672,-6.452946107,-7.778569784,-7.0897455,-5.6334295,-6.7137241
1.012,-7.281155581,-6.453225944,-7.78143381,-7.0906281,-5.6272759,-6.7069068
1.013,-7.283214307,-6.453504011,-7.784298548,-7.0511017,-5.6159348,-6.6780381
1.014,-7.285273848,-6.453780301,-7.787163991,-7.0776067,-5.6451292,-6.6776233
1.015,-7.287334201,-6.454054811,-7.790030133,-7.071907,-5.6263132,-6.6805363
1.016,-7.289395362,-6.454327536,-7.792896967,-7.07903,-5.6255426,-6.6858006
1.017,-7.291457329,-6.454598469,-7.795764488,-7.0626936,-5.6229601,-6.6931076
1.018,-7.293520099,-6.454867607,-7.798632688,-7.0982895,-5.6261792,-6.7197747
1.019,-7.295583669,-6.455134944,-7.801501562,-7.0863442,-5.6254787,-6.7078395
1.02,-7.297648036,-6.455400475,-7.804371104,-7.1149182,-5.6494193,-6.7033668
1.021,-7.299713197,-6.455664195,-7.807241306,-7.0785055,-5.5823817,-6.6684461
1.022,-7.30177915,-6.4559261,-7.810112164,-7.0632644,-5.6135769,-6.6892834
1.023,-7.303845892,-6.456186184,-7.81298367,-7.0899191,-5.6214948,-6.7011647
1.024,-7.30591342,-6.456444443,-7.815855818,-7.1230268,-5.6555624,-6.7230735
1.025,-7.30798173,-6.456700871,-7.818728602,-7.1232591,-5.6333666,-6.7251129
1.026,-7.310050821,-6.456955463,-7.821602015,-7.1364331,-5.6261716,-6.700182
1.027,-7.312120688,-6.457208214,-7.824476052,-7.0752301,-5.581573,-6.6900005
1.028,-7.314191331,-6.45745912,-7.827350705,-7.0952253,-5.6192226,-6.7248039
1.029,-7.316262745,-6.457708175,-7.830225969,-7.115437,-5.6030331,-6.7087603
1.03,-7.318334927,-6.457955375,-7.833101837,-7.0895495,-5.6247897,-6.7182236
1.031,-7.320407876,-6.458200714,-7.835978303,-7.1151433,-5.6229835,-6.7174993
1.032,-7.322481588,-6.458444188,-7.83885536,-7.1445079,-5.6088095,-6.7370343
1.033,-7.32455606,-6.458685791,-7.841733003,-7.138207,-5.630734,-6.723628
1.034,-7.326631289,-6.458925518,-7.844611224,-7.1594553,-5.6573911,-6.7206874
1.035,-7.328707273,-6.459163365,-7.847490018,-7.1332183,-5.608603,-6.72539
1.036,-7.330784009,-6.459399326,-7.850369378,-7.1046162,-5.6100278,-6.7170734
1.037,-7.332861494,-6.459633397,-7.853249297,-7.1053381,-5.6148543,-6.7321281
1.038,-7.334939725,-6.459865572,-7.85612977,-7.1194057,-5.5861907,-6.7053709
1.039,-7.3370187,-6.460095847,-7.85901079,-7.1420965,-5.6087584,-6.725584
1.04,-7.339098415,-6.460324217,-7.86189235,-7.1173959,-5.5982585,-6.7297759
1.041,-7.341178868,-6.460550675,-7.864774444,-7.1673322,-5.6202083,-6.7594776
1.042,-7.343260056,-6.460775219,-7.867657067,-7.1442084,-5.619915,-6.7588186
1.043,-7.345341976,-6.460997842,-7.87054021,-7.1249156,-5.5698099,-6.70998
1.044,-7.347424626,-6.46121854,-7.873423869,-7.1157689,-5.5919571,-6.7134886
1.045,-7.349508002,-6.461437307,-7.876308036,-7.1586871,-5.6164699,-6.7323942
1.046,-7.351592102,-6.461654139,-7.879192705,-7.1481347,-5.6177974,-6.7315826
1.047,-7.353676923,-6.461869031,-7.882077871,-7.1596127,-5.6033468,-6.7394118
1.048,-7.355762463,-6.462081977,-7.884963525,-7.1699572,-5.6066327,-6.7732787
1.049,-7.357848718,-6.462292973,-7.887849663,-7.173049,-5.5853944,-6.7288218
1.05,-7.359935685,-6.462502014,-7.890736277,-7.1357207,-5.6063156,-6.732357
