Freq,S21_HFSS,S31_HFSS,S41_HFSS,S21_Milled,S31_Milled,S41_Milled
1,-6.43627062,-11.26672306,-5.332209308,-7.0394664,-5.6389937,-6.6587505
1.001,-6.439024736,-11.28313366,-5.330842991,-7.0345783,-5.6614752,-6.6586747
1.002,-6.441794968,-11.29958283,-5.329477539,-7.0650668,-5.6732559,-6.6772957
1.003,-6.444581407,-11.31607041,-5.328112975,-7.0542197,-5.6563005,-6.6877775
1.004,-6.447384142,-11.33259625,-5.326749323,-7.0226908,-5.6390166,-6.6508431
1.005,-6.450203264,-11.34916019,-5.325386607,-7.0941124,-5.6894259,-6.7049866
1.006,-6.453038865,-11.36576204,-5.324024849,-7.061789,-5.6485128,-6.6969967
1.007,-6.455891037,-11.38240164,-5.322664075,-7.0442119,-5.638515,-6.6861162
1.008,-6.458759873,-11.3990788,-5.321304309,-7.0529675,-5.6395531,-6.6711535
1.009,-6.461645465,-11.41579332,-5.319945574,-7.0538778,-5.6543937,-6.6822133
1.01,-6.464547907,-11.43254502,-5.318587896,-7.0642672,-5.6289697,-6.6613116
1.011,-6.467467292,-11.44933368,-5.317231299,-7.0897455,-5.6334295,-6.7137241
1.012,-6.470403716,-11.46615909,-5.315875808,-7.0906281,-5.6272759,-6.7069068
1.013,-6.473357273,-11.48302103,-5.314521448,-7.0511017,-5.6159348,-6.6780381
1.014,-6.476328059,-11.49991927,-5.313168245,-7.0776067,-5.6451292,-6.6776233
1.015,-6.47931617,-11.51685357,-5.311816224,-7.071907,-5.6263132,-6.6805363
1.016,-6.482321703,-11.53382369,-5.310465411,-7.07903,-5.6255426,-6.6858006
1.017,-6.485344754,-11.55082939,-5.309115832,-7.0626936,-5.6229601,-6.6931076
1.018,-6.488385422,-11.56787039,-5.307767512,-7.0982895,-5.6261792,-6.7197747
1.019,-6.491443804,-11.58494643,-5.306420479,-7.0863442,-5.6254787,-6.7078395
1.02,-6.49452,-11.60205723,-5.305074758,-7.1149182,-5.6494193,-6.7033668
1.021,-6.497614109,-11.6192025,-5.303730378,-7.0785055,-5.5823817,-6.6684461
1.022,-6.500726229,-11.63638195,-5.302387363,-7.0632644,-5.6135769,-6.6892834
1.023,-6.503856463,-11.65359528,-5.301045742,-7.0899191,-5.6214948,-6.7011647
1.024,-6.50700491,-11.67084216,-5.299705542,-7.1230268,-5.6555624,-6.7230735
1.025,-6.510171673,-11.68812228,-5.298366791,-7.1232591,-5.6333666,-6.7251129
1.026,-6.513356852,-11.70543531,-5.297029516,-7.1364331,-5.6261716,-6.700182
1.027,-6.516560552,-11.7227809,-5.295693746,-7.0752301,-5.581573,-6.6900005
1.028,-6.519782874,-11.74015869,-5.294359508,-7.0952253,-5.6192226,-6.7248039
1.029,-6.523023923,-11.75756833,-5.293026831,-7.115437,-5.6030331,-6.7087603
1.03,-6.526283803,-11.77500944,-5.291695744,-7.0895495,-5.6247897,-6.7182236
1.031,-6.529562618,-11.79248163,-5.290366275,-7.1151433,-5.6229835,-6.7174993
1.032,-6.532860475,-11.80998452,-5.289038454,-7.1445079,-5.6088095,-6.7370343
1.033,-6.536177479,-11.82751769,-5.28771231,-7.138207,-5.630734,-6.723628
1.034,-6.539513736,-11.84508074,-5.286387872,-7.1594553,-5.6573911,-6.7206874
1.035,-6.542869353,-11.86267322,-5.285065171,-7.1332183,-5.608603,-6.72539
1.036,-6.54624444,-11.8802947,-5.283744236,-7.1046162,-5.6100278,-6.7170734
1.037,-6.549639103,-11.89794473,-5.282425098,-7.1053381,-5.6148543,-6.7321281
1.038,-6.553053451,-11.91562284,-5.281107787,-7.1194057,-5.5861907,-6.7053709
1.039,-6.556487594,-11.93332856,-5.279792333,-7.1420965,-5.6087584,-6.725584
1.04,-6.559941643,-11.9510614,-5.278478768,-7.1173959,-5.5982585,-6.7297759
1.041,-6.563415707,-11.96882086,-5.277167123,-7.1673322,-5.6202083,-6.7594776
1.042,-6.566909898,-11.98660641,-5.275857429,-7.1442084,-5.619915,-6.7588186
1.043,-6.570424328,-12.00441755,-5.274549718,-7.1249156,-5.5698099,-6.70998
1.044,-6.573959109,-12.02225372,-5.273244021,-7.1157689,-5.5919571,-6.7134886
1.045,-6.577514354,-12.04011436,-5.271940372,-7.1586871,-5.6164699,-6.7323942
1.046,-6.581090177,-12.05799892,-5.270638802,-7.1481347,-5.6177974,-6.7315826
1.047,-6.584686693,-12.07590681,-5.269339343,-7.1596127,-5.6033468,-6.7394118
1.048,-6.588304015,-12.09383743,-5.268042029,-7.1699572,-5.6066327,-6.7732787
1.049,-6.59194226,-12.11179017,-5.266746893,-7.173049,-5.5853944,-6.7288218
1.05,-6.595601544,-12.1297644,-5.265453969,-7.1357207,-5.6063156,-6.732357
1.051,-6.599281983,-12.14775949,-5.264163289,-7.1571112,-5.6019869,-6.7480874
1.052,-6.602983694,-12.16577477,-5.262874888,-7.1805754,-5.5987334,-6.7235231
1.053,-6.606706797,-12.18380958,-5.2615888,-7.1763091,-5.5886464,-6.7599931
1.054,-6.610451409,-12.20186322,-5.260305059,-7.1543627,-5.5785642,-6.7400618
1.055,-6.61421765,-12.219935,-5.259023699,-7.1842351,-5.6095133,-6.7350626
