!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, April 01, 2016 14:28:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,4.1175361,76.966881,40.975128
1001000000,4.1326871,77.20713,41.004719
1002000000,4.2411108,77.66153,40.291496
1003000000,4.2569356,77.920761,40.331779
1004000000,4.2122064,78.251633,41.004292
1005000000,3.965867,78.819588,43.994156
1006000000,3.9210174,78.723679,44.418983
1007000000,4.2901936,79.13932,40.912804
1008000000,4.3736329,79.113205,40.115738
1009000000,4.2768712,79.227707,41.105362
1010000000,4.3183641,79.801056,41.134144
1011000000,4.3705812,80.471512,41.136211
1012000000,4.208724,80.442909,42.691544
1013000000,4.6652122,80.635925,38.66011
1014000000,4.4879594,81.140854,40.546021
1015000000,4.6730614,81.639275,39.292713
1016000000,4.3878784,81.997009,42.104855
1017000000,4.3493214,81.617142,42.191025
1018000000,4.7740793,81.833405,38.597248
1019000000,4.6601286,82.387337,39.928329
1020000000,4.620595,82.557007,40.390003
1021000000,4.8136587,83.043633,39.110622
1022000000,4.8757725,83.563126,38.969456
1023000000,4.8013268,83.678139,39.651661
1024000000,4.8090429,84.11171,39.890999
1025000000,4.9510918,84.443695,38.976845
1026000000,4.9557695,84.782715,39.171875
1027000000,4.8276052,84.870033,40.269382
1028000000,5.0862951,85.193199,38.445034
1029000000,4.8892903,85.597733,40.270889
1030000000,4.9971113,86.039055,39.708542
1031000000,5.3367453,86.154823,37.266068
1032000000,4.8688889,86.624619,41.165947
1033000000,5.2107697,86.803185,38.593906
1034000000,5.2012529,87.36026,39.037529
1035000000,4.8750887,87.604973,41.814919
1036000000,5.0424714,87.97538,40.689976
1037000000,5.3178,88.302429,38.808315
1038000000,4.8479023,88.464111,42.672977
1039000000,5.0431395,88.961662,41.377079
1040000000,5.3792911,89.894135,39.421818
1041000000,5.2653694,89.387222,39.925793
1042000000,5.7140312,89.488457,36.867451
1043000000,5.3833499,89.976486,39.447269
1044000000,5.4847336,90.769318,39.244068
1045000000,5.1063123,90.799408,42.161755
1046000000,5.6576133,91.172562,38.309658
1047000000,5.5667806,91.725983,39.295834
1048000000,4.983716,91.837921,43.956646
1049000000,5.8497958,92.043716,37.602982
1050000000,5.765357,92.678101,38.557865
1051000000,5.8302069,92.652664,38.114796
1052000000,5.8913493,93.510963,38.263931
1053000000,5.8354692,93.812393,38.822254
1054000000,5.7331758,93.868301,39.54834
1055000000,5.6739149,94.094604,40.109573
1056000000,5.943233,94.62738,38.638809
1057000000,5.8219943,95.526733,40.027447
1058000000,5.9148054,95.176353,39.176189
1059000000,6.0067081,95.543648,38.813042
1060000000,5.6410756,96.042877,41.656197
1061000000,5.9943013,96.617424,39.581882
1062000000,5.9974627,96.954712,39.778976
1063000000,6.153717,97.155235,38.900394
1064000000,6.2274537,97.662949,38.759979
1065000000,6.0235782,98.054787,40.320072
1066000000,6.369668,98.531136,38.434254
1067000000,6.2560582,98.503716,39.11129
1068000000,6.0799794,98.932404,40.516857
1069000000,6.2586179,99.847534,39.947685
1070000000,6.3860288,100.18958,39.369129
1071000000,6.3069806,100.76341,40.225918
1072000000,6.4415164,101.06747,39.580711
1073000000,6.6227555,101.50578,38.771599
1074000000,6.2614093,101.24742,40.829716
1075000000,6.5236902,102.10807,39.73336
1076000000,6.8830342,102.55574,37.936707
1077000000,6.6481509,102.33862,39.13538
1078000000,6.7145491,103.55184,39.495045
1079000000,6.3860126,103.67229,41.594185
1080000000,6.9650292,104.16441,38.448296
1081000000,7.3549204,104.46176,36.591309
1082000000,7.2772446,104.88631,37.223755
1083000000,6.5252075,105.52718,41.901447
1084000000,6.7519665,105.66814,40.589748
1085000000,6.8445897,106.64767,40.651531
1086000000,7.1080923,106.93586,39.326351
1087000000,7.2852798,107.87975,38.932636
1088000000,7.2048635,107.62897,39.214397
1089000000,6.8975797,107.87614,41.10556
1090000000,7.4628181,108.65684,38.463482
1091000000,7.0947132,109.40796,40.908676
1092000000,7.6425767,109.84654,38.24543
