!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 30, 2016 16:57:40
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,5.2714272,89.209396,39.759552
1001000000,5.1458077,89.703957,41.070374
1002000000,5.200655,90.335785,41.076645
1003000000,4.8809233,90.753807,44.067654
1004000000,5.2483411,90.677818,40.940945
1005000000,5.3936362,91.396942,40.328289
1006000000,5.303359,91.662003,41.195068
1007000000,5.3105564,92.121193,41.45747
1008000000,5.889617,92.616928,37.709667
1009000000,5.5451198,92.521927,39.977928
1010000000,5.4604335,93.18721,41.048096
1011000000,5.6085792,93.262848,40.018707
1012000000,5.2086926,93.707314,43.397427
1013000000,5.6332397,94.516846,40.68082
1014000000,5.8398585,94.485123,39.227314
1015000000,6.0430541,94.862511,38.151211
1016000000,5.7836738,95.564995,40.316746
1017000000,5.8762832,96.035835,39.991501
1018000000,5.9396338,96.079758,39.595367
1019000000,5.9442735,96.360191,39.746307
1020000000,6.4891043,97.309784,36.992882
1021000000,5.8564773,97.360985,41.001854
1022000000,6.4549618,97.871475,37.527378
1023000000,6.5880494,98.201111,36.969833
1024000000,6.055932,98.886391,40.646889
1025000000,6.314785,99.030228,39.079029
1026000000,6.7556977,99.599251,36.876991
1027000000,6.5177903,100.36797,38.687302
1028000000,6.9371738,100.42458,36.394337
1029000000,6.524446,100.96217,39.015015
1030000000,6.7018452,101.7103,38.440708
1031000000,6.5594411,101.89364,39.384495
1032000000,6.750711,102.49677,38.640156
1033000000,7.2672963,103.03748,36.215675
1034000000,6.9156842,103.66372,38.419907
1035000000,7.144268,103.70486,37.221836
1036000000,7.15203,104.23888,37.492458
1037000000,7.3308678,104.42999,36.692444
1038000000,7.3062272,105.15179,37.229805
1039000000,7.2579904,105.58027,37.724636
1040000000,7.2195334,105.91842,38.122585
1041000000,7.7142992,106.6957,36.122017
1042000000,7.4252529,107.23322,37.828426
1043000000,7.7635126,107.52151,36.350739
1044000000,7.7685552,108.22338,36.717442
1045000000,8.1648741,108.81481,35.262638
1046000000,7.7858558,109.14523,37.151539
1047000000,7.906498,109.93278,37.025364
1048000000,7.8763938,110.37273,37.412174
1049000000,8.1942205,110.36657,35.968117
1050000000,8.1103754,110.92239,36.640697
1051000000,8.6013107,112.16573,35.210728
1052000000,8.4270754,112.75185,36.24596
1053000000,8.6025238,113.06342,35.676243
1054000000,9.1714487,113.57445,33.734421
1055000000,9.0509396,113.74306,34.264271
1056000000,8.9232092,114.46137,35.118145
1057000000,8.6419039,115.54512,36.828972
1058000000,8.7989225,115.7223,36.270218
1059000000,8.8397169,116.69653,36.61689
1060000000,9.2690964,117.20413,35.191254
1061000000,9.6388931,117.84254,34.165054
1062000000,9.5674381,118.18892,34.58884
1063000000,10.047251,118.85737,33.268646
1064000000,9.829874,119.39246,34.25647
1065000000,9.8438158,120.08646,34.546379
1066000000,10.355919,120.35558,32.980198
1067000000,10.478655,121.44254,33.100163
1068000000,10.521128,121.91463,33.1866
1069000000,10.06092,122.45303,34.950233
1070000000,10.640145,122.99716,33.318245
1071000000,10.902931,123.65106,32.820251
1072000000,10.670738,124.18787,33.775909
1073000000,10.486092,125.13652,34.815731
1074000000,10.555063,125.6087,34.81514
1075000000,10.95972,126.7572,34.072807
1076000000,10.571168,127.27793,35.561939
1077000000,11.333998,128.31223,33.660938
1078000000,11.209213,128.89745,34.300098
1079000000,11.521025,129.11198,33.478676
1080000000,11.073124,130.03862,35.251026
1081000000,10.951042,131.20796,36.198067
1082000000,11.7262,131.54103,33.98082
1083000000,12.124857,131.61208,32.90815
1084000000,11.199882,132.5647,36.041985
1085000000,12.50733,133.11269,32.550846
1086000000,11.522912,134.4792,35.930843
1087000000,12.71784,136.1868,33.322491
1088000000,12.229359,135.12791,34.165672
1089000000,12.499968,136.27318,33.93322
1090000000,13.18242,138.00005,32.919247
1091000000,13.922569,138.44316,31.370871
1092000000,13.305388,139.35591,33.185131
1093000000,13.38471,139.8522,33.198521
1094000000,14.020424,140.76917,32.082733
1095000000,14.136206,140.63159,31.769243
1096000000,14.302871,142.27451,32.055527
1097000000,14.792431,143.18771,31.364626
1098000000,14.282976,144.41017,32.957603
1099000000,14.944685,145.34798,31.885513
1100000000,15.576549,145.58366,30.702391
1101000000,15.656725,146.0867,30.735655
1102000000,16.337156,148.12897,30.215853
1103000000,15.943974,148.81155,31.201178
1104000000,16.141327,149.57201,31.108204
1105000000,15.945972,150.92955,31.994389
1106000000,17.201269,151.37741,29.860823
1107000000,16.991171,152.14854,30.49822
1108000000,16.853127,153.39833,31.196663
1109000000,17.275732,154.78545,30.944065
1110000000,17.547375,155.7691,30.823364
1111000000,17.707125,156.27676,30.730183
1112000000,17.600481,156.81679,31.104815
1113000000,19.012039,158.26555,29.325653
1114000000,18.336866,159.8515,30.93124
1115000000,18.582388,161.16069,30.984266
1116000000,20.36479,161.99207,28.598917
1117000000,19.980345,162.3772,29.260187
1118000000,20.058432,164.46597,29.830626
1119000000,20.384682,164.80502,29.474731
1120000000,20.33815,165.41415,29.738485
1121000000,19.962694,167.51395,30.985014
1122000000,21.12376,169.27362,29.885235
1123000000,20.430794,169.08327,30.809776
1124000000,22.279684,170.12283,28.635288
1125000000,22.972198,171.27791,28.140995
1126000000,22.706495,172.62621,28.869331
1127000000,22.920763,174.15825,29.071486
1128000000,23.14637,175.46967,29.193098
1129000000,23.511381,176.4901,29.059191
1130000000,23.438826,176.9301,29.279293
1131000000,24.273895,179.73848,29.128809
1132000000,24.942375,181.33856,28.836502
1133000000,25.525799,183.18523,28.726988
1134000000,25.355867,183.36037,28.963852
1135000000,25.722784,184.52042,28.896513
1136000000,26.163143,186.91577,29.107422
1137000000,26.161104,187.76682,29.353668
1138000000,28.348959,190.78291,27.973597
1139000000,26.980835,191.40277,29.515228
1140000000,29.188543,192.53685,27.661301
1141000000,28.277365,193.11047,28.674494
1142000000,30.624548,194.21736,26.841995
1143000000,29.922676,197.04396,28.185051
1144000000,31.210964,198.90875,27.542988
1145000000,30.799242,200.98283,28.434811
1146000000,33.440426,200.61391,26.19606
1147000000,33.051159,203.4559,27.185671
1148000000,32.936558,205.22597,27.715765
1149000000,33.657425,206.25763,27.401751
1150000000,34.453911,208.16675,27.258017
1151000000,35.064758,211.2233,27.538277
1152000000,36.137085,211.97455,26.937435
1153000000,36.488277,212.69405,26.859161
1154000000,37.479218,215.41052,26.807648
1155000000,38.398266,217.41745,26.653673
