!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 30, 2016 16:10:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,1.1781822,65.104286,114.40406
1001000000,1.1478165,65.273827,117.81499
1002000000,1.3060863,65.598747,104.19334
1003000000,1.1815835,65.510925,114.97392
1004000000,1.2162657,65.454277,111.57422
1005000000,1.3711867,65.952797,99.927536
1006000000,1.2240613,65.909859,111.84178
1007000000,1.1677083,66.440147,118.43987
1008000000,1.3335192,66.364868,103.56713
1009000000,1.5949227,66.556091,86.917587
1010000000,1.2488506,66.915306,111.76125
1011000000,1.332755,66.874825,104.64624
1012000000,0.95598203,66.667046,145.29729
1013000000,1.4240978,67.313858,98.763664
1014000000,1.3708578,67.183784,102.34279
1015000000,1.193473,67.181038,117.54289
1016000000,1.1829756,67.853981,120.12206
1017000000,1.2267598,67.798561,115.71342
1018000000,1.3963959,67.871002,101.80121
1019000000,1.2433747,68.09864,114.82346
1020000000,1.4163226,68.274269,101.14479
1021000000,1.2311436,68.652206,117.19374
1022000000,1.4789698,68.307297,96.923058
1023000000,1.5397474,68.775475,93.932426
1024000000,1.1561745,68.958466,125.52008
1025000000,1.4692488,69.102219,99.051086
1026000000,1.6092119,69.124954,90.478638
1027000000,1.3300325,69.540733,110.32927
1028000000,1.5085552,69.496498,97.195816
1029000000,1.4596456,69.885307,101.19395
1030000000,1.5181019,70.043861,97.59124
1031000000,1.2207588,70.223106,121.76482
1032000000,1.5381627,70.247337,96.690193
1033000000,1.5202118,70.50444,98.307487
1034000000,1.4501182,70.475807,103.0018
1035000000,1.2843964,70.682739,116.74191
1036000000,1.5964335,70.831314,94.194611
1037000000,1.2540461,70.87291,119.99604
1038000000,1.3894277,71.343117,109.2699
1039000000,1.360507,71.307449,111.51704
1040000000,1.4041178,71.763977,108.98511
1041000000,1.5753886,71.669998,96.969841
1042000000,1.3724643,71.84494,111.66711
1043000000,1.3494443,71.939545,113.77328
1044000000,1.4880085,72.308548,103.89758
1045000000,1.3268272,72.53463,117.00801
1046000000,1.4536506,72.629532,106.9924
1047000000,1.4861748,72.836891,105.05771
1048000000,1.3130833,72.885582,119.00968
1049000000,1.5894638,73.19075,98.883675
1050000000,1.3126836,73.210999,119.77023
1051000000,1.6153525,73.440918,97.753914
1052000000,1.5870365,73.595749,99.784103
1053000000,1.3910806,73.587708,113.81754
1054000000,1.572991,74.062851,101.55185
1055000000,1.4575934,74.391685,110.25835
1056000000,1.4924109,74.341888,107.58776
1057000000,1.6300195,74.634567,99.043587
1058000000,1.4665917,74.889343,110.59514
1059000000,1.4414548,75.110046,112.98259
1060000000,1.6052828,75.270607,101.75727
1061000000,1.8457781,75.517624,88.908623
1062000000,1.6040457,75.414742,102.10638
1063000000,1.8221643,75.765717,90.472221
1064000000,1.5290544,76.060959,108.39241
1065000000,1.6633488,75.996384,99.526764
1066000000,1.7611446,76.142235,94.254639
1067000000,1.7048253,76.549934,98.097145
1068000000,1.6513102,76.65168,101.46369
1069000000,1.4925649,76.893295,112.74753
1070000000,1.5442157,76.95047,109.09155
1071000000,1.7750227,77.18821,95.3255
1072000000,1.6053116,77.278641,105.57217
1073000000,1.7882053,77.719574,95.543701
1074000000,1.6094923,77.502373,105.72824
1075000000,1.817018,78.220268,94.88903
1076000000,1.6413329,77.939102,104.50555
1077000000,1.9456601,78.552719,89.154579
1078000000,1.6199884,78.556351,107.07438
1079000000,1.6592624,78.676468,104.76891
1080000000,1.6296102,78.717651,106.75388
1081000000,1.3212641,79.17939,132.76109
1082000000,1.8304048,78.917191,95.392166
1083000000,1.8357896,79.236671,95.662987
1084000000,1.8925551,79.499451,93.236176
1085000000,1.7227167,79.802742,102.98404
1086000000,1.6547277,80.163055,107.90996
1087000000,1.7467396,80.50914,102.86498
1088000000,1.9241842,80.327995,93.081017
1089000000,1.7871493,80.630806,100.75967
1090000000,1.6146913,81.176987,112.61102
1091000000,1.8963715,81.346619,96.182457
1092000000,1.8686923,81.366295,97.64064
1093000000,1.7939574,81.467094,101.88908
1094000000,1.78941,81.901527,102.94118
1095000000,1.8516988,81.607224,98.960358
1096000000,2.1549788,82.090172,85.775124
1097000000,2.039748,82.517334,91.306976
1098000000,1.4778061,82.683311,126.3784
