Frequency (GHz),Analytical (S11 dB),Z0lver (S11 dB),HFSS (S11 dB)
2,-12.44319784,-12.44319879,-11.99275131
2.01,-12.44319784,-12.44319879,-12.00036879
2.02,-12.44319784,-12.44319879,-12.00799514
2.03,-12.44319784,-12.44319879,-12.01562593
2.04,-12.44319784,-12.44319879,-12.02325618
2.05,-12.44319784,-12.44319879,-12.0308804
2.06,-12.44319784,-12.44319879,-12.03849269
2.07,-12.44319784,-12.44319879,-12.04608671
2.08,-12.44319784,-12.44319879,-12.05365576
2.09,-12.44319784,-12.44319879,-12.06119278
2.1,-12.44319784,-12.44319879,-12.06869045
2.11,-12.44319784,-12.44319879,-12.07614119
2.12,-12.44319784,-12.44319879,-12.08353719
2.13,-12.44319784,-12.44319879,-12.09087049
2.14,-12.44319784,-12.44319879,-12.09813297
2.15,-12.44319784,-12.44319879,-12.10531643
2.16,-12.44319784,-12.44319879,-12.11241261
2.17,-12.44319784,-12.44319879,-12.11941323
2.18,-12.44319784,-12.44319879,-12.12631001
2.19,-12.44319784,-12.44319879,-12.13309474
2.2,-12.44319784,-12.44319879,-12.13975929
2.21,-12.44319784,-12.44319879,-12.14629564
2.22,-12.44319784,-12.44319879,-12.15269593
2.23,-12.44319784,-12.44319879,-12.15895247
2.24,-12.44319784,-12.44319879,-12.16505779
2.25,-12.44319784,-12.44319879,-12.17100466
2.26,-12.44319784,-12.44319879,-12.17678611
2.27,-12.44319784,-12.44319879,-12.18239545
2.28,-12.44319784,-12.44319879,-12.18782633
2.29,-12.44319784,-12.44319879,-12.19307271
2.3,-12.44319784,-12.44319879,-12.19812891
2.31,-12.44319784,-12.44319879,-12.20298963
2.32,-12.44319784,-12.44319879,-12.20764997
2.33,-12.44319784,-12.44319879,-12.2121054
2.34,-12.44319784,-12.44319879,-12.21635183
2.35,-12.44319784,-12.44319879,-12.22038561
2.36,-12.44319784,-12.44319879,-12.22420349
2.37,-12.44319784,-12.44319879,-12.2278027
2.38,-12.44319784,-12.44319879,-12.23118091
2.39,-12.44319784,-12.44319879,-12.23433622
2.4,-12.44319784,-12.44319879,-12.23726722
2.41,-12.44319784,-12.44319879,-12.23997293
2.42,-12.44319784,-12.44319879,-12.24245283
2.43,-12.44319784,-12.44319879,-12.24470686
2.44,-12.44319784,-12.44319879,-12.24673539
2.45,-12.44319784,-12.44319879,-12.24853925
2.46,-12.44319784,-12.44319879,-12.25011968
2.47,-12.44319784,-12.44319879,-12.25147836
2.48,-12.44319784,-12.44319879,-12.25261737
2.49,-12.44319784,-12.44319879,-12.2535392
2.5,-12.44319784,-12.44319879,-12.25424672
2.51,-12.44319784,-12.44319879,-12.25474319
2.52,-12.44319784,-12.44319879,-12.25503222
2.53,-12.44319784,-12.44319879,-12.25511775
2.54,-12.44319784,-12.44319879,-12.25500409
2.55,-12.44319784,-12.44319879,-12.25469584
2.56,-12.44319784,-12.44319879,-12.25419788
2.57,-12.44319784,-12.44319879,-12.2535154
2.58,-12.44319784,-12.44319879,-12.25265383
2.59,-12.44319784,-12.44319879,-12.25161887
2.6,-12.44319784,-12.44319879,-12.25041642
2.61,-12.44319784,-12.44319879,-12.24905261
2.62,-12.44319784,-12.44319879,-12.24753376
2.63,-12.44319784,-12.44319879,-12.24586635
2.64,-12.44319784,-12.44319879,-12.24405705
2.65,-12.44319784,-12.44319879,-12.24211265
2.66,-12.44319784,-12.44319879,-12.24004008
2.67,-12.44319784,-12.44319879,-12.23784638
2.68,-12.44319784,-12.44319879,-12.23553871
2.69,-12.44319784,-12.44319879,-12.23312429
2.7,-12.44319784,-12.44319879,-12.23061045
2.71,-12.44319784,-12.44319879,-12.22800455
2.72,-12.44319784,-12.44319879,-12.22531403
2.73,-12.44319784,-12.44319879,-12.22254637
2.74,-12.44319784,-12.44319879,-12.2197091
2.75,-12.44319784,-12.44319879,-12.21680976
2.76,-12.44319784,-12.44319879,-12.21385593
2.77,-12.44319784,-12.44319879,-12.21085522
2.78,-12.44319784,-12.44319879,-12.20781524
2.79,-12.44319784,-12.44319879,-12.20474363
2.8,-12.44319784,-12.44319879,-12.20164805
2.81,-12.44319784,-12.44319879,-12.19853616
2.82,-12.44319784,-12.44319879,-12.19541564
2.83,-12.44319784,-12.44319879,-12.19229419
2.84,-12.44319784,-12.44319879,-12.18917953
2.85,-12.44319784,-12.44319879,-12.18607941
2.86,-12.44319784,-12.44319879,-12.1830016
2.87,-12.44319784,-12.44319879,-12.17995391
2.88,-12.44319784,-12.44319879,-12.17694419
2.89,-12.44319784,-12.44319879,-12.17398034
2.9,-12.44319784,-12.44319879,-12.17107031
2.91,-12.44319784,-12.44319879,-12.16822211
2.92,-12.44319784,-12.44319879,-12.16544384
2.93,-12.44319784,-12.44319879,-12.16274365
2.94,-12.44319784,-12.44319879,-12.16012979
2.95,-12.44319784,-12.44319879,-12.15761063
2.96,-12.44319784,-12.44319879,-12.1551946
2.97,-12.44319784,-12.44319879,-12.15289029
2.98,-12.44319784,-12.44319879,-12.15070638
2.99,-12.44319784,-12.44319879,-12.14865169
3,-12.44319784,-12.44319879,-12.14673519
