frequency, S11, S12, S21, S22
2000000000.0000000000, 0.2386932969, 0.8864843249, 0.8864843249, 0.2386932224
2010000000.0000000000, 0.2386931777, 0.8864843845, 0.8864842057, 0.2386931926
2020000000.0000000000, 0.2386932224, 0.8864842653, 0.8864842653, 0.2386932224
2030000000.0000000000, 0.2386932075, 0.8864844441, 0.8864843249, 0.2386932224
2040000000.0000000000, 0.2386932522, 0.8864843845, 0.8864841461, 0.2386932820
2050000000.0000000000, 0.2386931777, 0.8864844441, 0.8864843249, 0.2386931926
2060000000.0000000000, 0.2386932373, 0.8864843249, 0.8864842057, 0.2386931628
2070000000.0000000000, 0.2386931181, 0.8864845037, 0.8864843845, 0.2386932224
2080000000.0000000000, 0.2386932224, 0.8864842653, 0.8864842057, 0.2386932224
2090000000.0000000000, 0.2386932224, 0.8864845037, 0.8864843845, 0.2386932820
2100000000.0000000000, 0.2386932671, 0.8864843845, 0.8864842653, 0.2386932373
2110000000.0000000000, 0.2386932373, 0.8864844441, 0.8864843249, 0.2386932373
2120000000.0000000000, 0.2386932075, 0.8864844441, 0.8864841461, 0.2386932075
2130000000.0000000000, 0.2386932522, 0.8864843845, 0.8864842653, 0.2386932224
2140000000.0000000000, 0.2386932075, 0.8864843845, 0.8864842057, 0.2386932075
2150000128.0000000000, 0.2386931777, 0.8864842653, 0.8864842653, 0.2386931926
2160000000.0000000000, 0.2386932820, 0.8864842653, 0.8864842057, 0.2386931777
2169999872.0000000000, 0.2386931628, 0.8864842653, 0.8864842653, 0.2386932075
2179999744.0000000000, 0.2386931628, 0.8864843249, 0.8864841461, 0.2386932522
2189999616.0000000000, 0.2386932373, 0.8864844441, 0.8864843845, 0.2386932224
2199999488.0000000000, 0.2386932373, 0.8864843845, 0.8864843249, 0.2386932224
2209999360.0000000000, 0.2386931628, 0.8864844441, 0.8864842057, 0.2386931926
2219999232.0000000000, 0.2386933416, 0.8864843845, 0.8864843249, 0.2386932224
2229999104.0000000000, 0.2386931926, 0.8864843845, 0.8864842653, 0.2386932820
2239998976.0000000000, 0.2386931330, 0.8864843249, 0.8864842057, 0.2386932522
2249998848.0000000000, 0.2386932224, 0.8864844441, 0.8864843249, 0.2386932224
2259998720.0000000000, 0.2386933416, 0.8864843249, 0.8864842057, 0.2386931628
2269998592.0000000000, 0.2386932224, 0.8864843249, 0.8864842653, 0.2386931330
2279998464.0000000000, 0.2386931777, 0.8864843845, 0.8864843249, 0.2386932224
2289998336.0000000000, 0.2386931628, 0.8864843845, 0.8864843249, 0.2386932522
2299998208.0000000000, 0.2386933118, 0.8864843249, 0.8864842653, 0.2386932820
2309998080.0000000000, 0.2386932671, 0.8864843845, 0.8864843249, 0.2386932075
2319997952.0000000000, 0.2386932671, 0.8864843249, 0.8864842653, 0.2386931777
2329997824.0000000000, 0.2386932224, 0.8864843249, 0.8864842653, 0.2386931777
2339997696.0000000000, 0.2386931777, 0.8864842653, 0.8864842653, 0.2386931777
2349997568.0000000000, 0.2386931926, 0.8864843845, 0.8864842653, 0.2386932671
2359997440.0000000000, 0.2386932671, 0.8864843249, 0.8864843249, 0.2386931777
2369997312.0000000000, 0.2386932075, 0.8864843249, 0.8864842057, 0.2386931777
2379997184.0000000000, 0.2386932671, 0.8864843249, 0.8864843845, 0.2386932373
2389997056.0000000000, 0.2386932373, 0.8864842653, 0.8864843249, 0.2386931926
2399996928.0000000000, 0.2386931777, 0.8864843845, 0.8864842653, 0.2386931628
2409996800.0000000000, 0.2386932373, 0.8864843249, 0.8864842057, 0.2386932075
2419996672.0000000000, 0.2386931777, 0.8864843249, 0.8864842653, 0.2386931628
2429996544.0000000000, 0.2386932224, 0.8864843845, 0.8864843845, 0.2386932075
2439996416.0000000000, 0.2386932522, 0.8864843249, 0.8864842057, 0.2386932522
2449996288.0000000000, 0.2386932671, 0.8864843249, 0.8864842057, 0.2386931777
2459996160.0000000000, 0.2386931777, 0.8864843249, 0.8864845037, 0.2386931926
2469996032.0000000000, 0.2386932373, 0.8864844441, 0.8864843845, 0.2386931926
2479995904.0000000000, 0.2386932224, 0.8864842653, 0.8864843249, 0.2386932075
2489995776.0000000000, 0.2386933118, 0.8864844441, 0.8864842653, 0.2386932075
2499995648.0000000000, 0.2386932075, 0.8864842653, 0.8864843845, 0.2386931479
2509995520.0000000000, 0.2386931777, 0.8864843249, 0.8864842057, 0.2386932224
2519995392.0000000000, 0.2386932373, 0.8864843845, 0.8864843845, 0.2386932373
2529995264.0000000000, 0.2386932671, 0.8864843845, 0.8864843249, 0.2386932224
2539995136.0000000000, 0.2386932075, 0.8864843845, 0.8864841461, 0.2386932075
2549995008.0000000000, 0.2386931479, 0.8864843845, 0.8864842653, 0.2386932224
2559994880.0000000000, 0.2386932224, 0.8864842653, 0.8864842653, 0.2386931777
2569994752.0000000000, 0.2386931181, 0.8864843249, 0.8864843249, 0.2386931777
2579994624.0000000000, 0.2386932671, 0.8864843845, 0.8864842057, 0.2386932522
2589994496.0000000000, 0.2386931777, 0.8864843249, 0.8864843845, 0.2386932075
2599994368.0000000000, 0.2386931479, 0.8864843845, 0.8864842653, 0.2386931777
2609994240.0000000000, 0.2386933565, 0.8864843249, 0.8864842057, 0.2386932522
2619994112.0000000000, 0.2386932224, 0.8864842653, 0.8864843249, 0.2386932373
2629993984.0000000000, 0.2386931330, 0.8864844441, 0.8864843845, 0.2386932075
2639993856.0000000000, 0.2386932820, 0.8864842057, 0.8864843249, 0.2386932075
2649993728.0000000000, 0.2386931628, 0.8864845037, 0.8864843249, 0.2386931777
2659993600.0000000000, 0.2386930883, 0.8864843249, 0.8864843845, 0.2386932671
2669993472.0000000000, 0.2386932373, 0.8864843845, 0.8864843249, 0.2386932224
2679993344.0000000000, 0.2386932224, 0.8864843845, 0.8864842057, 0.2386931330
2689993216.0000000000, 0.2386932224, 0.8864842653, 0.8864841461, 0.2386931777
2699993088.0000000000, 0.2386933267, 0.8864843249, 0.8864843845, 0.2386932373
2709992960.0000000000, 0.2386932671, 0.8864843845, 0.8864843249, 0.2386932224
2719992832.0000000000, 0.2386931479, 0.8864843249, 0.8864842653, 0.2386932075
2729992704.0000000000, 0.2386932373, 0.8864843845, 0.8864843249, 0.2386931777
2739992576.0000000000, 0.2386931330, 0.8864844441, 0.8864843249, 0.2386932075
2749992448.0000000000, 0.2386932671, 0.8864844441, 0.8864844441, 0.2386932373
2759992320.0000000000, 0.2386932671, 0.8864843249, 0.8864843845, 0.2386931777
2769992192.0000000000, 0.2386932671, 0.8864843845, 0.8864843249, 0.2386931628
2779992064.0000000000, 0.2386932075, 0.8864842653, 0.8864842653, 0.2386931479
2789991936.0000000000, 0.2386932373, 0.8864842653, 0.8864842057, 0.2386932075
2799991808.0000000000, 0.2386932820, 0.8864844441, 0.8864842653, 0.2386932075
2809991680.0000000000, 0.2386931479, 0.8864845037, 0.8864843249, 0.2386932075
2819991552.0000000000, 0.2386932671, 0.8864843845, 0.8864842057, 0.2386932671
2829991424.0000000000, 0.2386932820, 0.8864844441, 0.8864842653, 0.2386932075
2839991296.0000000000, 0.2386932373, 0.8864843845, 0.8864842653, 0.2386932522
2849991168.0000000000, 0.2386932075, 0.8864842653, 0.8864842653, 0.2386931479
2859991040.0000000000, 0.2386932969, 0.8864844441, 0.8864842057, 0.2386932671
2869990912.0000000000, 0.2386932373, 0.8864843249, 0.8864843249, 0.2386931926
