"Freq [GHz]","dB(S(1,1)) []"
2,-11.992751309704
2.01,-12.0003687869291
2.02,-12.0079951446723
2.03,-12.0156259341462
2.04,-12.0232561771104
2.05,-12.0308804043008
2.06,-12.0384926944246
2.07,-12.0460867135888
2.08,-12.0536557550395
2.09,-12.0611927790825
2.1,-12.0686904530668
2.11,-12.076141191306
2.12,-12.0835371948231
2.13,-12.0908704908001
2.14,-12.0981329716206
2.15,-12.1053164333949
2.16,-12.1124126138597
2.17,-12.1194132295478
2.18,-12.1263100121278
2.19,-12.1330947438142
2.2,-12.1397592917549
2.21,-12.1462956413055
2.22,-12.1526959281037
2.23,-12.1589524688614
2.24,-12.1650577907979
2.25,-12.1710046596405
2.26,-12.1767861061246
2.27,-12.1823954509317
2.28,-12.1878263280083
2.29,-12.1930727062146
2.3,-12.1981289092584
2.31,-12.2029896338767
2.32,-12.2076499662337
2.33,-12.2121053965103
2.34,-12.2163518316692
2.35,-12.2203856063849
2.36,-12.2242034921381
2.37,-12.2278027044795
2.38,-12.2311809084771
2.39,-12.2343362223684
2.4,-12.2372672194476
2.41,-12.2399729282249
2.42,-12.2424528309022
2.43,-12.2447068602193
2.44,-12.2467353947298
2.45,-12.248539252573
2.46,-12.2501196838171
2.47,-12.2514783614522
2.48,-12.2526173711201
2.49,-12.2535391996718
2.5,-12.2542467226491
2.51,-12.2547431907905
2.52,-12.2550322156659
2.53,-12.2551177545482
2.54,-12.2550040946299
2.55,-12.2546958366977
2.56,-12.2541978783769
2.57,-12.2535153970592
2.58,-12.2526538326258
2.59,-12.2516188700776
2.6,-12.2504164221837
2.61,-12.2490526122533
2.62,-12.2475337571384
2.63,-12.2458663505665
2.64,-12.2440570469007
2.65,-12.2421126454202
2.66,-12.2400400752072
2.67,-12.2378463807215
2.68,-12.2355387081396
2.69,-12.2331242925248
2.7,-12.2306104458928
2.71,-12.2280045462254
2.72,-12.2253140274817
2.73,-12.222546370646
2.74,-12.2197090958455
2.75,-12.216809755561
2.76,-12.2138559289499
2.77,-12.2108552172877
2.78,-12.2078152405306
2.79,-12.2047436349929
2.8,-12.2016480521223
2.81,-12.1985361583535
2.82,-12.1954156360085
2.83,-12.1922941852068
2.84,-12.1891795267411
2.85,-12.1860794058678
2.86,-12.1830015969515
2.87,-12.1799539089021
2.88,-12.1769441913302
2.89,-12.1739803413456
2.9,-12.1710703109141
2.91,-12.1682221146868
2.92,-12.1654438382054
2.93,-12.1627436463882
2.94,-12.1601297921914
2.95,-12.1576106253433
2.96,-12.155194601037
2.97,-12.1528902884729
2.98,-12.1507063791342
2.99,-12.1486516946776
3,-12.1467351943232
