Frequency [GHz],Analytical (S21),Z0lver (S21),HFSS (S21)
2,0.886484414,0.886484325,0.870534955
2.01,0.886484414,0.886484325,0.870594307
2.02,0.886484414,0.886484325,0.870652536
2.03,0.886484414,0.886484325,0.870709554
2.04,0.886484414,0.886484325,0.87076528
2.05,0.886484414,0.886484325,0.870819636
2.06,0.886484414,0.886484325,0.87087255
2.07,0.886484414,0.886484325,0.870923954
2.08,0.886484414,0.886484325,0.870973783
2.09,0.886484414,0.886484325,0.871021979
2.1,0.886484414,0.886484325,0.871068486
2.11,0.886484414,0.886484325,0.871113255
2.12,0.886484414,0.886484325,0.871156239
2.13,0.886484414,0.886484325,0.871197398
2.14,0.886484414,0.886484325,0.871236694
2.15,0.886484414,0.886484325,0.871274095
2.16,0.886484414,0.886484325,0.871309571
2.17,0.886484414,0.886484325,0.871343099
2.18,0.886484414,0.886484325,0.87137466
2.19,0.886484414,0.886484325,0.871404236
2.2,0.886484414,0.886484325,0.871431817
2.21,0.886484414,0.886484325,0.871457394
2.22,0.886484414,0.886484325,0.871480964
2.23,0.886484414,0.886484325,0.871502526
2.24,0.886484414,0.886484325,0.871522085
2.25,0.886484414,0.886484325,0.871539649
2.26,0.886484414,0.886484325,0.871555228
2.27,0.886484414,0.886484325,0.871568836
2.28,0.886484414,0.886484325,0.871580494
2.29,0.886484414,0.886484325,0.871590221
2.3,0.886484414,0.886484325,0.871598043
2.31,0.886484414,0.886484325,0.871603987
2.32,0.886484414,0.886484325,0.871608086
2.33,0.886484414,0.886484325,0.871610373
2.34,0.886484414,0.886484325,0.871610885
2.35,0.886484414,0.886484325,0.871609663
2.36,0.886484414,0.886484325,0.871606747
2.37,0.886484414,0.886484325,0.871602184
2.38,0.886484414,0.886484325,0.871596022
2.39,0.886484414,0.886484325,0.871588309
2.4,0.886484414,0.886484325,0.871579098
2.41,0.886484414,0.886484325,0.871568444
2.42,0.886484414,0.886484325,0.871556402
2.43,0.886484414,0.886484325,0.871543031
2.44,0.886484414,0.886484325,0.87152839
2.45,0.886484414,0.886484325,0.871512542
2.46,0.886484414,0.886484325,0.871495549
2.47,0.886484414,0.886484325,0.871477475
2.48,0.886484414,0.886484325,0.871458387
2.49,0.886484414,0.886484325,0.871438352
2.5,0.886484414,0.886484325,0.871417437
2.51,0.886484414,0.886484325,0.871395712
2.52,0.886484414,0.886484325,0.871373246
2.53,0.886484414,0.886484325,0.87135011
2.54,0.886484414,0.886484325,0.871326376
2.55,0.886484414,0.886484325,0.871302114
2.56,0.886484414,0.886484325,0.871277397
2.57,0.886484414,0.886484325,0.871252296
2.58,0.886484414,0.886484325,0.871226884
2.59,0.886484414,0.886484325,0.871201234
2.6,0.886484414,0.886484325,0.871175416
2.61,0.886484414,0.886484325,0.871149504
2.62,0.886484414,0.886484325,0.871123569
2.63,0.886484414,0.886484325,0.871097681
2.64,0.886484414,0.886484325,0.871071912
2.65,0.886484414,0.886484325,0.87104633
2.66,0.886484414,0.886484325,0.871021005
2.67,0.886484414,0.886484325,0.870996004
2.68,0.886484414,0.886484325,0.870971396
2.69,0.886484414,0.886484325,0.870947245
2.7,0.886484414,0.886484325,0.870923616
2.71,0.886484414,0.886484325,0.870900572
2.72,0.886484414,0.886484325,0.870878175
2.73,0.886484414,0.886484325,0.870856485
2.74,0.886484414,0.886484325,0.87083556
2.75,0.886484414,0.886484325,0.870815458
2.76,0.886484414,0.886484325,0.870796232
2.77,0.886484414,0.886484325,0.870777936
2.78,0.886484414,0.886484325,0.870760621
2.79,0.886484414,0.886484325,0.870744334
2.8,0.886484414,0.886484325,0.870729123
2.81,0.886484414,0.886484325,0.87071503
2.82,0.886484414,0.886484325,0.870702098
2.83,0.886484414,0.886484325,0.870690365
2.84,0.886484414,0.886484325,0.870679866
2.85,0.886484414,0.886484325,0.870670637
2.86,0.886484414,0.886484325,0.870662706
2.87,0.886484414,0.886484325,0.870656102
2.88,0.886484414,0.886484325,0.870650848
2.89,0.886484414,0.886484325,0.870646967
2.9,0.886484414,0.886484325,0.870644476
2.91,0.886484414,0.886484325,0.870643391
2.92,0.886484414,0.886484325,0.870643722
2.93,0.886484414,0.886484325,0.870645478
2.94,0.886484414,0.886484325,0.870648662
2.95,0.886484414,0.886484325,0.870653277
2.96,0.886484414,0.886484325,0.870659318
2.97,0.886484414,0.886484325,0.870666778
2.98,0.886484414,0.886484325,0.870675648
2.99,0.886484414,0.886484325,0.870685913
3,0.886484414,0.886484325,0.870697553
