!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 13:39:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.19663088,-143.24303,-25.801899,111.05801
1001000000,-0.22959338,-143.38101,-25.650249,111.3531
1002000000,-0.1711124,-143.56998,-25.634306,111.21488
1003000000,-0.23011513,-143.79901,-25.608522,111.50393
1004000000,-0.2232617,-144.02493,-25.553986,110.41456
1005000000,-0.23394947,-144.06638,-25.461578,110.86731
1006000000,-0.18686092,-144.04314,-25.348928,110.661
1007000000,-0.22340377,-144.30716,-25.292391,109.87682
1008000000,-0.21669242,-144.64719,-25.277618,110.88079
1009000000,-0.25076744,-144.55324,-25.226509,110.07533
1010000000,-0.19729488,-144.82455,-25.13456,110.15701
1011000000,-0.2288449,-144.89073,-25.187635,110.66114
1012000000,-0.19955146,-145.07368,-25.031925,109.82965
1013000000,-0.20710167,-145.29909,-25.044125,109.31938
1014000000,-0.23285881,-145.35164,-24.900982,109.49693
1015000000,-0.20927683,-145.51471,-24.800865,109.41608
1016000000,-0.19111358,-145.64911,-24.673729,108.78275
1017000000,-0.20323268,-145.75427,-24.853453,108.73869
1018000000,-0.23097742,-145.72656,-24.715899,109.22481
1019000000,-0.21303704,-145.86884,-24.591221,108.59792
1020000000,-0.22954041,-146.36682,-24.624809,108.88902
1021000000,-0.20471844,-146.17667,-24.532593,109.02666
1022000000,-0.23325495,-146.57993,-24.458836,108.35014
1023000000,-0.22013664,-146.80528,-24.38818,108.09491
1024000000,-0.24300869,-146.77094,-24.308485,107.92863
1025000000,-0.22652893,-146.93494,-24.265202,107.16532
1026000000,-0.23499954,-147.1846,-24.158276,107.43559
1027000000,-0.21172568,-147.08211,-24.090746,108.26049
1028000000,-0.24481308,-147.28766,-24.082756,108.00767
1029000000,-0.21251799,-147.45644,-23.91153,107.44839
1030000000,-0.22080028,-147.66508,-23.906874,107.03683
1031000000,-0.21577536,-147.78313,-23.86203,106.96857
1032000000,-0.23106545,-147.81718,-23.804651,105.98753
1033000000,-0.22788657,-148.10342,-23.778936,105.79466
1034000000,-0.20820503,-148.28294,-23.683821,105.72326
1035000000,-0.25447017,-148.38406,-23.641203,106.03885
1036000000,-0.19746369,-148.3969,-23.555185,106.33129
1037000000,-0.2403277,-148.54709,-23.440325,105.39635
1038000000,-0.25396267,-148.63646,-23.469347,104.82967
1039000000,-0.2473451,-148.97652,-23.499748,104.53004
1040000000,-0.219386,-149.13005,-23.35,104.6563
1041000000,-0.24250928,-149.27501,-23.371313,105.52098
1042000000,-0.22840288,-149.3618,-23.35351,104.96207
1043000000,-0.23537761,-149.42374,-23.223967,104.28738
1044000000,-0.24393772,-149.67415,-23.129271,104.07443
1045000000,-0.22986458,-150.04504,-23.086306,103.6301
1046000000,-0.22571701,-149.88985,-23.117453,103.93114
1047000000,-0.22700876,-149.96367,-23.017242,103.73158
1048000000,-0.22190984,-150.19533,-23.04348,103.88047
1049000000,-0.22919422,-150.36322,-22.911196,102.88791
1050000000,-0.23081973,-150.51277,-22.944267,102.63959
1051000000,-0.21803436,-150.59525,-22.853992,103.01006
1052000000,-0.23389041,-150.84808,-22.865656,102.46314
1053000000,-0.23237298,-151.04861,-22.890009,102.4018
1054000000,-0.23033711,-151.07014,-22.828838,102.55838
1055000000,-0.23448667,-151.21951,-22.834995,102.27477
1056000000,-0.22748286,-151.22993,-22.696232,101.87433
1057000000,-0.22627313,-151.44156,-22.729113,101.75922
1058000000,-0.2622166,-151.45174,-22.717697,101.76833
1059000000,-0.22445543,-151.54747,-22.558483,101.55108
1060000000,-0.25061411,-151.88155,-22.668852,101.23128
1061000000,-0.25771791,-151.82677,-22.62056,101.5194
1062000000,-0.20555523,-152.282,-22.530043,100.59239
1063000000,-0.23752993,-152.30637,-22.516493,101.06161
1064000000,-0.24727573,-152.47668,-22.495569,100.92488
1065000000,-0.2265268,-152.6642,-22.427063,100.584
1066000000,-0.25164044,-152.7413,-22.43157,100.06962
1067000000,-0.23024946,-152.86726,-22.340616,100.01765
1068000000,-0.24111837,-152.88795,-22.360233,100.03932
1069000000,-0.22791454,-153.01015,-22.431839,100.2286
1070000000,-0.24261405,-153.34518,-22.292034,99.595375
1071000000,-0.23312707,-153.50685,-22.313913,99.724327
1072000000,-0.24169111,-153.52124,-22.202574,99.567101
1073000000,-0.23565297,-153.86201,-22.259106,99.052429
1074000000,-0.24944091,-153.87947,-22.135489,99.084084
1075000000,-0.24111028,-153.89453,-22.180656,99.078049
1076000000,-0.2438063,-154.27676,-22.05979,98.928322
1077000000,-0.23574379,-154.32559,-22.082113,98.567917
1078000000,-0.23601237,-154.36201,-22.041222,98.917068
1079000000,-0.24017584,-154.60947,-22.02737,98.241905
1080000000,-0.26251078,-154.72528,-21.984652,97.984261
1081000000,-0.24916549,-155.10333,-21.947126,98.041878
1082000000,-0.25223249,-155.15852,-21.881624,97.695389
1083000000,-0.2462022,-155.20332,-21.920004,97.574867
1084000000,-0.24694364,-155.35083,-21.8218,97.614738
1085000000,-0.24534936,-155.41212,-21.842545,97.973839
1086000000,-0.22892414,-155.47343,-21.791956,97.333282
1087000000,-0.25096035,-155.8756,-21.774351,97.219467
1088000000,-0.24860692,-155.79984,-21.739788,97.268066
1089000000,-0.25626418,-156.05865,-21.6451,96.858154
1090000000,-0.22947764,-156.1635,-21.659815,96.974312
1091000000,-0.25479218,-156.34016,-21.585491,96.613655
1092000000,-0.26755285,-156.32501,-21.600191,96.702477
1093000000,-0.2415982,-156.59421,-21.527914,96.460663
1094000000,-0.24455182,-156.80092,-21.508722,96.202507
1095000000,-0.22579105,-156.9536,-21.403479,95.931671
1096000000,-0.27210727,-156.9612,-21.440546,96.020729
1097000000,-0.25173843,-157.30322,-21.370218,95.861496
1098000000,-0.25584984,-157.27217,-21.386293,95.652443
1099000000,-0.22990243,-157.47935,-21.213951,95.642792
1100000000,-0.27396056,-157.48854,-21.312857,95.260857
1101000000,-0.25488412,-157.61827,-21.283171,95.915016
1102000000,-0.24077991,-157.73477,-21.217878,95.810608
1103000000,-0.24891594,-157.94853,-21.190845,95.138069
1104000000,-0.23882805,-158.07907,-21.114067,94.896217
1105000000,-0.2648553,-158.3656,-21.098255,94.317238
1106000000,-0.2542209,-158.44684,-21.042919,95.137032
1107000000,-0.25843894,-158.567,-21.060379,94.78878
1108000000,-0.25152689,-158.748,-21.00746,94.2743
1109000000,-0.26760629,-158.7856,-21.015661,94.569138
1110000000,-0.24799202,-159.11287,-20.961279,94.064117
1111000000,-0.21272832,-159.2729,-20.829824,94.064461
1112000000,-0.24167846,-159.40712,-20.889526,93.68013
1113000000,-0.25600347,-159.40047,-20.845257,93.902122
1114000000,-0.26537371,-159.49883,-20.843645,93.345619
1115000000,-0.27948523,-159.75613,-20.857338,93.491592
1116000000,-0.24337432,-159.82816,-20.813835,93.059586
1117000000,-0.28435263,-160.29262,-20.73139,92.913712
1118000000,-0.25268561,-160.21706,-20.716482,92.80117
1119000000,-0.27811211,-160.48103,-20.722755,92.448601
1120000000,-0.26074523,-160.49423,-20.677919,92.691643
1121000000,-0.25171933,-160.71457,-20.662817,92.42189
1122000000,-0.26660135,-160.76578,-20.614607,92.307014
1123000000,-0.25926092,-160.81517,-20.609293,92.208717
1124000000,-0.27034724,-161.00029,-20.586771,92.257759
1125000000,-0.25050279,-161.0703,-20.540226,91.493019
1126000000,-0.25552055,-161.07738,-20.522629,92.128555
1127000000,-0.27198547,-161.41183,-20.479609,91.299484
1128000000,-0.26823843,-161.37338,-20.473104,91.458084
1129000000,-0.29376429,-161.57497,-20.467695,90.744438
1130000000,-0.27468356,-161.86697,-20.444555,90.764465
1131000000,-0.24041089,-162.02679,-20.392542,90.369896
1132000000,-0.25473326,-162.14363,-20.389206,90.417702
1133000000,-0.25801229,-162.42252,-20.325695,90.06633
1134000000,-0.25192416,-162.49403,-20.331276,89.897682
1135000000,-0.28039515,-162.60088,-20.332283,89.527115
1136000000,-0.266233,-162.51959,-20.343214,89.593346
1137000000,-0.26208732,-162.80075,-20.25321,89.530869
1138000000,-0.26820642,-162.96367,-20.282568,89.187645
1139000000,-0.26033878,-163.06425,-20.222832,88.995277
1140000000,-0.26354012,-163.12927,-20.194464,88.981865
1141000000,-0.26511934,-163.27725,-20.231388,88.669388
1142000000,-0.28122464,-163.42168,-20.167362,88.634621
1143000000,-0.27402258,-163.73288,-20.141706,88.25528
1144000000,-0.27989602,-163.77472,-20.12751,88.354797
1145000000,-0.28606883,-163.99179,-20.121084,88.087532
1146000000,-0.28700539,-164.13052,-20.063835,87.650932
1147000000,-0.26879153,-164.16563,-20.04203,87.748314
1148000000,-0.24032724,-164.36467,-19.991055,87.421585
1149000000,-0.26356012,-164.47321,-20.010305,87.422829
1150000000,-0.27987602,-164.91789,-19.963915,87.089203
1151000000,-0.26967156,-164.8322,-19.957493,87.199806
1152000000,-0.25278851,-164.89206,-19.948921,86.722374
1153000000,-0.26493153,-165.06226,-19.919641,86.862648
1154000000,-0.27279261,-165.10112,-19.896439,86.654007
1155000000,-0.28626001,-165.45627,-19.941044,86.378578
1156000000,-0.2733573,-165.50969,-19.8384,86.34137
1157000000,-0.27512667,-165.63994,-19.850252,85.979492
1158000000,-0.27721277,-165.98138,-19.843195,85.710335
1159000000,-0.26329818,-166.08292,-19.794123,85.573311
1160000000,-0.27956811,-166.02757,-19.840631,85.745453
1161000000,-0.28128669,-166.22903,-19.781216,85.508217
1162000000,-0.30110806,-166.27844,-19.78252,85.359459
1163000000,-0.30167446,-166.56735,-19.768362,84.920425
1164000000,-0.26961499,-166.6264,-19.764174,84.912277
1165000000,-0.26432431,-166.79059,-19.697231,84.914024
1166000000,-0.27695096,-166.93707,-19.704571,84.235786
1167000000,-0.28810668,-167.06804,-19.704422,84.472366
1168000000,-0.2891762,-167.12932,-19.690407,84.231018
1169000000,-0.27689773,-167.49117,-19.640944,84.257217
1170000000,-0.28840867,-167.51268,-19.671432,83.765373
1171000000,-0.25045732,-167.726,-19.625505,83.817421
1172000000,-0.26286262,-167.88187,-19.634827,83.845764
1173000000,-0.27252391,-168.02159,-19.585775,83.13195
1174000000,-0.29062012,-168.11754,-19.628685,83.09491
1175000000,-0.27344429,-168.15897,-19.576347,83.244591
1176000000,-0.26959366,-168.32465,-19.562424,83.06945
1177000000,-0.29647952,-168.67401,-19.572456,82.717339
1178000000,-0.24894246,-168.76573,-19.513382,82.521507
1179000000,-0.26581898,-168.85492,-19.492718,82.331566
1180000000,-0.27168283,-168.86331,-19.482218,82.554787
1181000000,-0.24820894,-168.9575,-19.490057,82.43792
1182000000,-0.28157103,-169.30386,-19.45219,81.979622
1183000000,-0.29081488,-169.36543,-19.455507,81.766258
1184000000,-0.29492325,-169.42574,-19.475533,81.884903
1185000000,-0.26632145,-169.62775,-19.429375,81.586609
1186000000,-0.26842269,-169.75459,-19.418346,81.667023
1187000000,-0.26212701,-169.86981,-19.403109,81.252754
1188000000,-0.28736737,-169.97591,-19.382849,81.194168
1189000000,-0.27822796,-170.27713,-19.350813,80.942009
1190000000,-0.27533415,-170.40979,-19.348791,80.53965
1191000000,-0.28786013,-170.49519,-19.323023,80.610275
1192000000,-0.33241391,-170.66772,-19.338568,80.384598
1193000000,-0.28506684,-170.80408,-19.275869,80.38871
1194000000,-0.28459004,-170.92822,-19.289009,80.127892
1195000000,-0.29349548,-171.07947,-19.273537,79.787651
1196000000,-0.28974587,-171.3083,-19.223354,79.708694
1197000000,-0.28879425,-171.32185,-19.217281,79.560791
1198000000,-0.28949752,-171.46959,-19.254454,79.349068
1199000000,-0.26654136,-171.57047,-19.184097,79.381889
1200000000,-0.30315831,-171.84732,-19.201664,78.919807
1201000000,-0.27943921,-171.99962,-19.142601,78.77903
1202000000,-0.26629758,-171.95784,-19.147081,78.78009
1203000000,-0.27206174,-172.13692,-19.104494,78.738258
1204000000,-0.27893516,-172.4834,-19.099218,78.190903
1205000000,-0.24786313,-172.51025,-19.054079,78.249001
1206000000,-0.29622835,-172.53787,-19.10973,78.06739
1207000000,-0.29067847,-172.72928,-19.081537,77.933533
1208000000,-0.29796985,-172.79062,-19.084213,77.991722
1209000000,-0.29745927,-172.97842,-19.079466,77.674133
1210000000,-0.28019512,-173.09227,-19.039703,77.549065
1211000000,-0.30285022,-173.42082,-19.033072,77.155754
1212000000,-0.28636777,-173.61653,-18.999147,76.973244
1213000000,-0.27000231,-173.42014,-19.001808,76.986305
1214000000,-0.29990977,-173.66652,-19.008553,76.738876
1215000000,-0.27268371,-173.97104,-18.949669,76.274612
1216000000,-0.29426277,-173.86546,-18.973831,76.545097
1217000000,-0.28642908,-174.21779,-18.965303,76.212257
1218000000,-0.29954994,-174.41528,-18.95986,75.801369
1219000000,-0.27546263,-174.32576,-18.89679,76.137848
1220000000,-0.30369222,-174.46906,-18.953959,75.724144
1221000000,-0.27955127,-174.90633,-18.881088,75.328773
1222000000,-0.29447886,-174.75818,-18.915092,75.322472
1223000000,-0.27959058,-174.82382,-18.920378,75.480118
1224000000,-0.30234861,-175.12935,-18.906349,75.138863
1225000000,-0.27866831,-175.47191,-18.866495,74.639244
1226000000,-0.27785477,-175.33714,-18.903013,74.875259
1227000000,-0.2809805,-175.50623,-18.885305,74.721931
1228000000,-0.28838396,-175.76627,-18.874031,74.30661
1229000000,-0.28141183,-175.9055,-18.871607,74.288834
1230000000,-0.2873795,-176.15173,-18.852865,74.024361
1231000000,-0.29310721,-176.22333,-18.873135,73.818375
1232000000,-0.28817025,-176.34329,-18.85006,73.688347
1233000000,-0.3005448,-176.34749,-18.881426,73.607826
1234000000,-0.31465745,-176.59209,-18.884487,73.161316
1235000000,-0.29174575,-176.61574,-18.843853,73.207283
1236000000,-0.29396841,-176.79616,-18.826874,72.984688
1237000000,-0.2894364,-177.18462,-18.815456,72.659988
1238000000,-0.30751255,-177.04439,-18.827394,72.651184
1239000000,-0.30773273,-177.30563,-18.830229,72.324364
1240000000,-0.30720252,-177.42671,-18.815231,72.251953
1241000000,-0.29231039,-177.80385,-18.784088,72.033684
1242000000,-0.31157598,-177.58952,-18.813753,71.960136
1243000000,-0.32942614,-177.91805,-18.836576,71.596909
1244000000,-0.29789385,-178.03545,-18.784233,71.488548
1245000000,-0.30775258,-178.20653,-18.777475,71.270538
1246000000,-0.303794,-178.26125,-18.800564,71.149307
1247000000,-0.29388663,-178.54274,-18.740515,70.987411
1248000000,-0.30485746,-178.69914,-18.779682,70.588432
1249000000,-0.31272897,-178.71916,-18.762222,70.52829
1250000000,-0.31585032,-178.81108,-18.760633,70.448303
1251000000,-0.29116151,-179.05171,-18.745058,70.480713
1252000000,-0.30039307,-179.05769,-18.722319,70.231949
1253000000,-0.30293715,-179.30745,-18.750172,69.983986
1254000000,-0.28533682,-179.43317,-18.713434,69.948975
1255000000,-0.31420636,-179.34814,-18.739914,69.875732
1256000000,-0.30718973,-179.77133,-18.732946,69.405586
1257000000,-0.31856766,-179.65015,-18.731634,69.453964
1258000000,-0.30723512,-180.0121,-18.690847,68.997063
1259000000,-0.29874349,-180.07541,-18.694483,69.122902
1260000000,-0.32529306,-180.10222,-18.719046,68.841782
1261000000,-0.31724381,-180.44675,-18.690359,68.530579
1262000000,-0.31091294,-180.56239,-18.683758,68.474754
1263000000,-0.27369681,-180.68968,-18.629313,68.304199
1264000000,-0.31904182,-180.77271,-18.668579,68.162628
1265000000,-0.30765477,-181.06206,-18.658384,67.990631
1266000000,-0.28170282,-181.06567,-18.625891,67.972862
1267000000,-0.31339777,-181.36075,-18.645241,67.638641
1268000000,-0.31007552,-181.32008,-18.644421,67.682968
1269000000,-0.29198149,-181.50304,-18.577568,67.349556
1270000000,-0.3196066,-181.67323,-18.627087,67.222084
1271000000,-0.29139054,-181.77246,-18.580721,67.152771
1272000000,-0.30851534,-181.7887,-18.608379,67.119171
1273000000,-0.30627313,-182.05725,-18.600267,66.859718
1274000000,-0.31909993,-182.2494,-18.589212,66.628548
1275000000,-0.29880437,-182.57735,-18.560041,66.432892
1276000000,-0.28553066,-182.52667,-18.550386,66.231537
1277000000,-0.31734464,-182.81316,-18.565084,65.974487
1278000000,-0.29873115,-182.85577,-18.533976,65.943665
1279000000,-0.30273446,-182.7119,-18.553576,66.080475
1280000000,-0.27635145,-183.14229,-18.522295,65.797859
1281000000,-0.29941508,-183.3459,-18.52899,65.272697
1282000000,-0.29805791,-183.38548,-18.541533,65.321152
1283000000,-0.30375588,-183.44063,-18.542955,65.217796
1284000000,-0.2946687,-183.68391,-18.520508,64.915565
1285000000,-0.3229675,-183.57108,-18.550402,65.030464
1286000000,-0.32723868,-183.96783,-18.539772,64.578659
1287000000,-0.31295666,-184.07275,-18.519262,64.375519
1288000000,-0.32914793,-184.02536,-18.545416,64.326569
1289000000,-0.33733818,-184.48969,-18.517679,63.889366
