!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:12:05
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22 Log Mag(dB),S22 Phase(°)
1000000000,-4.7709212,165.33699
1001000000,-4.7923937,165.45609
1002000000,-4.8094316,165.47244
1003000000,-4.7837152,165.47125
1004000000,-4.7994709,165.22273
1005000000,-4.790782,165.47707
1006000000,-4.7812772,165.2135
1007000000,-4.8051977,165.16368
1008000000,-4.768518,165.12802
1009000000,-4.8063264,165.1422
1010000000,-4.777885,165.13838
1011000000,-4.8007431,165.16425
1012000000,-4.780057,165.12494
1013000000,-4.7509232,165.24586
1014000000,-4.7863097,164.87096
1015000000,-4.7479253,164.86725
1016000000,-4.7619405,164.93011
1017000000,-4.7528925,164.46107
1018000000,-4.7718086,164.99411
1019000000,-4.7706552,165.03571
1020000000,-4.8200903,164.7224
1021000000,-4.7520123,164.82524
1022000000,-4.7614775,164.82278
1023000000,-4.7229271,164.46118
1024000000,-4.7688437,164.56142
1025000000,-4.7931275,164.61258
1026000000,-4.7351613,164.63144
1027000000,-4.780272,164.56374
1028000000,-4.7843332,164.63974
1029000000,-4.7440286,164.35172
1030000000,-4.7701921,164.6113
1031000000,-4.7668958,164.49149
1032000000,-4.7467623,164.40552
1033000000,-4.7626553,164.41733
1034000000,-4.7767644,164.38066
1035000000,-4.7573247,164.39124
1036000000,-4.7891669,164.12294
1037000000,-4.7726765,164.22838
1038000000,-4.7579708,164.32971
1039000000,-4.74546,163.97319
1040000000,-4.7704701,163.82758
1041000000,-4.7627835,164.01437
1042000000,-4.7488794,163.9921
1043000000,-4.7234354,163.9648
1044000000,-4.7360315,164.34958
1045000000,-4.7775998,163.9431
1046000000,-4.7673192,163.8951
1047000000,-4.7301288,163.77879
1048000000,-4.7501864,163.99782
1049000000,-4.7457938,163.83952
1050000000,-4.7526822,163.60945
1051000000,-4.7268939,163.68134
1052000000,-4.7700796,163.85359
1053000000,-4.7330008,163.67419
1054000000,-4.7523274,163.65196
1055000000,-4.7427692,163.42183
1056000000,-4.7315807,163.53889
1057000000,-4.7137032,163.43887
1058000000,-4.7496195,163.59161
1059000000,-4.7317762,163.46292
1060000000,-4.7489958,163.26814
1061000000,-4.7488561,163.31766
1062000000,-4.7258735,163.26837
1063000000,-4.7051821,163.24203
1064000000,-4.740447,163.40802
1065000000,-4.7072387,163.1008
1066000000,-4.7437015,163.06281
1067000000,-4.7311106,162.92873
1068000000,-4.7096219,163.05928
1069000000,-4.7382483,162.97697
1070000000,-4.7321424,163.12888
1071000000,-4.7073865,162.91685
1072000000,-4.699729,163.02675
